mode,development,scenario,score_id,value_mode,value
Rail,100000,scenario_9,rail_airpollution_cost,integrated,90694.75013109244
Rail,100000,scenario_9,rail_airpollution_cost,standalone,
Rail,100000,scenario_9,rail_co2_cost,integrated,2667.492650914484
Rail,100000,scenario_9,rail_co2_cost,standalone,
Rail,100000,scenario_9,rail_construction_cost,integrated,0.0
Rail,100000,scenario_9,rail_construction_cost,standalone,0.0
Rail,100000,scenario_9,rail_land_consumption_cost,integrated,0.0
Rail,100000,scenario_9,rail_land_consumption_cost,standalone,
Rail,100000,scenario_9,rail_maint_cost,integrated,0.0
Rail,100000,scenario_9,rail_maint_cost,standalone,0.0
Rail,100000,scenario_9,rail_noise_cost,integrated,20984.134265546712
Rail,100000,scenario_9,rail_noise_cost,standalone,
Rail,100000,scenario_9,rail_operation_cost,integrated,1194824.4643038511
Rail,100000,scenario_9,rail_operation_cost,standalone,1132535.0372548352
Rail,100000,scenario_9,rail_tts_cost,integrated,7950140.184882568
Rail,100000,scenario_9,rail_tts_cost,standalone,4348963.789331155
Rail,100000,scenario_10,rail_accident_cost,integrated,19947.815413067572
Rail,100000,scenario_10,rail_accident_cost,standalone,
Rail,100000,scenario_10,rail_airpollution_cost,integrated,90694.75013109244
Rail,100000,scenario_10,rail_airpollution_cost,standalone,
Rail,100000,scenario_10,rail_co2_cost,integrated,2667.492650914484
Rail,100000,scenario_10,rail_co2_cost,standalone,
Rail,100000,scenario_10,rail_construction_cost,integrated,0.0
Rail,100000,scenario_10,rail_construction_cost,standalone,0.0
Rail,100000,scenario_10,rail_land_consumption_cost,integrated,0.0
Rail,100000,scenario_10,rail_land_consumption_cost,standalone,
Rail,100000,scenario_10,rail_maint_cost,integrated,0.0
Rail,100000,scenario_10,rail_maint_cost,standalone,0.0
Rail,100000,scenario_10,rail_noise_cost,integrated,20984.134265546712
Rail,100000,scenario_10,rail_noise_cost,standalone,
Rail,100000,scenario_10,rail_operation_cost,integrated,1194824.4643038511
Rail,100000,scenario_10,rail_operation_cost,standalone,1132535.0372548352
Rail,100000,scenario_10,rail_tts_cost,integrated,7013847.084412595
Rail,100000,scenario_10,rail_tts_cost,standalone,5603925.615994563
Rail,100000,scenario_11,rail_accident_cost,integrated,19947.815413067572
Rail,100000,scenario_11,rail_accident_cost,standalone,
Rail,100000,scenario_11,rail_airpollution_cost,integrated,90694.75013109244
Rail,100000,scenario_11,rail_airpollution_cost,standalone,
Rail,100000,scenario_11,rail_co2_cost,integrated,2667.492650914484
Rail,100000,scenario_11,rail_co2_cost,standalone,
Rail,100000,scenario_11,rail_construction_cost,integrated,0.0
Rail,100000,scenario_11,rail_construction_cost,standalone,0.0
Rail,100000,scenario_11,rail_land_consumption_cost,integrated,0.0
Rail,100000,scenario_11,rail_land_consumption_cost,standalone,
Rail,100000,scenario_11,rail_maint_cost,integrated,0.0
Rail,100000,scenario_11,rail_maint_cost,standalone,0.0
Rail,100000,scenario_11,rail_noise_cost,integrated,20984.134265546712
Rail,100000,scenario_11,rail_noise_cost,standalone,
Rail,100000,scenario_11,rail_operation_cost,integrated,1194824.4643038511
Rail,100000,scenario_11,rail_operation_cost,standalone,1132535.0372548352
Rail,100000,scenario_11,rail_tts_cost,integrated,5334185.209988706
Rail,100000,scenario_11,rail_tts_cost,standalone,3786285.7593073794
Rail,100000,scenario_12,rail_accident_cost,integrated,19947.815413067572
Rail,100000,scenario_12,rail_accident_cost,standalone,
Rail,100000,scenario_12,rail_airpollution_cost,integrated,90694.75013109244
Rail,100000,scenario_12,rail_airpollution_cost,standalone,
Rail,100000,scenario_12,rail_co2_cost,integrated,2667.492650914484
Rail,100000,scenario_12,rail_co2_cost,standalone,
Rail,100000,scenario_12,rail_construction_cost,integrated,0.0
Rail,100000,scenario_12,rail_construction_cost,standalone,0.0
Rail,100000,scenario_12,rail_land_consumption_cost,integrated,0.0
Rail,100000,scenario_12,rail_land_consumption_cost,standalone,
Rail,100000,scenario_12,rail_maint_cost,integrated,0.0
Rail,100000,scenario_12,rail_maint_cost,standalone,0.0
Rail,100000,scenario_12,rail_noise_cost,integrated,20984.134265546712
Rail,100000,scenario_12,rail_noise_cost,standalone,
Rail,100000,scenario_12,rail_operation_cost,integrated,1194824.4643038511
Rail,100000,scenario_12,rail_operation_cost,standalone,1132535.0372548352
Rail,100000,scenario_12,rail_tts_cost,integrated,8676506.691261664
Rail,100000,scenario_12,rail_tts_cost,standalone,8115404.933559166
Rail,100000,scenario_13,rail_accident_cost,integrated,19947.815413067572
Rail,100000,scenario_13,rail_accident_cost,standalone,
Rail,100000,scenario_13,rail_airpollution_cost,integrated,90694.75013109244
Rail,100000,scenario_13,rail_airpollution_cost,standalone,
Rail,100000,scenario_13,rail_co2_cost,integrated,2667.492650914484
Rail,100000,scenario_13,rail_co2_cost,standalone,
Rail,100000,scenario_13,rail_construction_cost,integrated,0.0
Rail,100000,scenario_13,rail_construction_cost,standalone,0.0
Rail,100000,scenario_13,rail_land_consumption_cost,integrated,0.0
Rail,100000,scenario_13,rail_land_consumption_cost,standalone,
Rail,100000,scenario_13,rail_maint_cost,integrated,0.0
Rail,100000,scenario_13,rail_maint_cost,standalone,0.0
Rail,100000,scenario_13,rail_noise_cost,integrated,20984.134265546712
Rail,100000,scenario_13,rail_noise_cost,standalone,
Rail,100000,scenario_13,rail_operation_cost,integrated,1194824.4643038511
Rail,100000,scenario_13,rail_operation_cost,standalone,1132535.0372548352
Rail,100000,scenario_13,rail_tts_cost,integrated,5478886.08025456
Rail,100000,scenario_13,rail_tts_cost,standalone,4867944.823957277
Rail,100000,scenario_14,rail_accident_cost,integrated,19947.815413067572
Rail,100000,scenario_14,rail_accident_cost,standalone,
Rail,100000,scenario_14,rail_airpollution_cost,integrated,90694.75013109244
Rail,100000,scenario_14,rail_airpollution_cost,standalone,
Rail,100000,scenario_14,rail_co2_cost,integrated,2667.492650914484
Rail,100000,scenario_14,rail_co2_cost,standalone,
Rail,100000,scenario_14,rail_construction_cost,integrated,0.0
Rail,100000,scenario_14,rail_construction_cost,standalone,0.0
Rail,100000,scenario_14,rail_land_consumption_cost,integrated,0.0
Rail,100000,scenario_14,rail_land_consumption_cost,standalone,
Rail,100000,scenario_14,rail_maint_cost,integrated,0.0
Rail,100000,scenario_14,rail_maint_cost,standalone,0.0
Rail,100000,scenario_14,rail_noise_cost,integrated,20984.134265546712
Rail,100000,scenario_14,rail_noise_cost,standalone,
Rail,100000,scenario_14,rail_operation_cost,integrated,1194824.4643038511
Rail,100000,scenario_14,rail_operation_cost,standalone,1132535.0372548352
Rail,100000,scenario_14,rail_tts_cost,integrated,6039193.58058957
Rail,100000,scenario_14,rail_tts_cost,standalone,3336527.980026756
Rail,100000,scenario_15,rail_accident_cost,integrated,19947.815413067572
Rail,100000,scenario_15,rail_accident_cost,standalone,
Rail,100000,scenario_15,rail_airpollution_cost,integrated,90694.75013109244
Rail,100000,scenario_15,rail_airpollution_cost,standalone,
Rail,100000,scenario_15,rail_co2_cost,integrated,2667.492650914484
Rail,100000,scenario_15,rail_co2_cost,standalone,
Rail,100000,scenario_15,rail_construction_cost,integrated,0.0
Rail,100000,scenario_15,rail_construction_cost,standalone,0.0
Rail,100000,scenario_15,rail_land_consumption_cost,integrated,0.0
Rail,100000,scenario_15,rail_land_consumption_cost,standalone,
Rail,100000,scenario_15,rail_maint_cost,integrated,0.0
Rail,100000,scenario_15,rail_maint_cost,standalone,0.0
Rail,100000,scenario_15,rail_noise_cost,integrated,20984.134265546712
Rail,100000,scenario_15,rail_noise_cost,standalone,
Rail,100000,scenario_15,rail_operation_cost,integrated,1194824.4643038511
Rail,100000,scenario_15,rail_operation_cost,standalone,1132535.0372548352
Rail,100000,scenario_15,rail_tts_cost,integrated,4174456.8412865014
Rail,100000,scenario_15,rail_tts_cost,standalone,2564591.971141019
Rail,100000,scenario_16,rail_accident_cost,integrated,19947.815413067572
Rail,100000,scenario_16,rail_accident_cost,standalone,
Rail,100000,scenario_16,rail_airpollution_cost,integrated,90694.75013109244
Rail,100000,scenario_16,rail_airpollution_cost,standalone,
Rail,100000,scenario_16,rail_co2_cost,integrated,2667.492650914484
Rail,100000,scenario_16,rail_co2_cost,standalone,
Rail,100000,scenario_16,rail_construction_cost,integrated,0.0
Rail,100000,scenario_16,rail_construction_cost,standalone,0.0
Rail,100000,scenario_16,rail_land_consumption_cost,integrated,0.0
Rail,100000,scenario_16,rail_land_consumption_cost,standalone,
Rail,100000,scenario_16,rail_maint_cost,integrated,0.0
Rail,100000,scenario_16,rail_maint_cost,standalone,0.0
Rail,100000,scenario_16,rail_noise_cost,integrated,20984.134265546712
Rail,100000,scenario_16,rail_noise_cost,standalone,
Rail,100000,scenario_16,rail_operation_cost,integrated,1194824.4643038511
Rail,100000,scenario_16,rail_operation_cost,standalone,1132535.0372548352
Rail,100000,scenario_16,rail_tts_cost,integrated,6528970.255375653
Rail,100000,scenario_16,rail_tts_cost,standalone,5016838.406427939
Rail,100000,scenario_17,rail_accident_cost,integrated,19947.815413067572
Rail,100000,scenario_17,rail_accident_cost,standalone,
Rail,100000,scenario_17,rail_airpollution_cost,integrated,90694.75013109244
Rail,100000,scenario_17,rail_airpollution_cost,standalone,
Rail,100000,scenario_17,rail_co2_cost,integrated,2667.492650914484
Rail,100000,scenario_17,rail_co2_cost,standalone,
Rail,100000,scenario_17,rail_construction_cost,integrated,0.0
Rail,100000,scenario_17,rail_construction_cost,standalone,0.0
Rail,100000,scenario_17,rail_land_consumption_cost,integrated,0.0
Rail,100000,scenario_17,rail_land_consumption_cost,standalone,
Rail,100000,scenario_17,rail_maint_cost,integrated,0.0
Rail,100000,scenario_17,rail_maint_cost,standalone,0.0
Rail,100000,scenario_17,rail_noise_cost,integrated,20984.134265546712
Rail,100000,scenario_17,rail_noise_cost,standalone,
Rail,100000,scenario_17,rail_operation_cost,integrated,1194824.4643038511
Rail,100000,scenario_17,rail_operation_cost,standalone,1132535.0372548352
Rail,100000,scenario_17,rail_tts_cost,integrated,6607227.124926121
Rail,100000,scenario_17,rail_tts_cost,standalone,4649809.37945733
Rail,100000,scenario_18,rail_accident_cost,integrated,19947.815413067572
Rail,100000,scenario_18,rail_accident_cost,standalone,
Rail,100000,scenario_18,rail_airpollution_cost,integrated,90694.75013109244
Rail,100000,scenario_18,rail_airpollution_cost,standalone,
Rail,100000,scenario_18,rail_co2_cost,integrated,2667.492650914484
Rail,100000,scenario_18,rail_co2_cost,standalone,
Rail,100000,scenario_18,rail_construction_cost,integrated,0.0
Rail,100000,scenario_18,rail_construction_cost,standalone,0.0
Rail,100000,scenario_18,rail_land_consumption_cost,integrated,0.0
Rail,100000,scenario_18,rail_land_consumption_cost,standalone,
Rail,100000,scenario_18,rail_maint_cost,integrated,0.0
Rail,100000,scenario_18,rail_maint_cost,standalone,0.0
Rail,100000,scenario_18,rail_noise_cost,integrated,20984.134265546712
Rail,100000,scenario_18,rail_noise_cost,standalone,
Rail,100000,scenario_18,rail_operation_cost,integrated,1194824.4643038511
Rail,100000,scenario_18,rail_operation_cost,standalone,1132535.0372548352
Rail,100000,scenario_18,rail_tts_cost,integrated,3442921.536415376
Rail,100000,scenario_18,rail_tts_cost,standalone,2840174.3874427094
Rail,100000,scenario_19,rail_accident_cost,integrated,19947.815413067572
Rail,100000,scenario_19,rail_accident_cost,standalone,
Rail,100000,scenario_19,rail_airpollution_cost,integrated,90694.75013109244
Rail,100000,scenario_19,rail_airpollution_cost,standalone,
Rail,100000,scenario_19,rail_co2_cost,integrated,2667.492650914484
Rail,100000,scenario_19,rail_co2_cost,standalone,
Rail,100000,scenario_19,rail_construction_cost,integrated,0.0
Rail,100000,scenario_19,rail_construction_cost,standalone,0.0
Rail,100000,scenario_19,rail_land_consumption_cost,integrated,0.0
Rail,100000,scenario_19,rail_land_consumption_cost,standalone,
Rail,100000,scenario_19,rail_maint_cost,integrated,0.0
Rail,100000,scenario_19,rail_maint_cost,standalone,0.0
Rail,100000,scenario_19,rail_noise_cost,integrated,20984.134265546712
Rail,100000,scenario_19,rail_noise_cost,standalone,
Rail,100000,scenario_19,rail_operation_cost,integrated,1194824.4643038511
Rail,100000,scenario_19,rail_operation_cost,standalone,1132535.0372548352
Rail,100000,scenario_19,rail_tts_cost,integrated,5244557.471540235
Rail,100000,scenario_19,rail_tts_cost,standalone,4659658.228342224
Rail,100000,scenario_20,rail_accident_cost,integrated,19947.815413067572
Rail,100000,scenario_20,rail_accident_cost,standalone,
Rail,100000,scenario_20,rail_airpollution_cost,integrated,90694.75013109244
Rail,100000,scenario_20,rail_airpollution_cost,standalone,
Rail,100000,scenario_20,rail_co2_cost,integrated,2667.492650914484
Rail,100000,scenario_20,rail_co2_cost,standalone,
Rail,100000,scenario_20,rail_construction_cost,integrated,0.0
Rail,100000,scenario_20,rail_construction_cost,standalone,0.0
Rail,100000,scenario_20,rail_land_consumption_cost,integrated,0.0
Rail,100000,scenario_20,rail_land_consumption_cost,standalone,
Rail,100000,scenario_20,rail_maint_cost,integrated,0.0
Rail,100000,scenario_20,rail_maint_cost,standalone,0.0
Rail,100000,scenario_20,rail_noise_cost,integrated,20984.134265546712
Rail,100000,scenario_20,rail_noise_cost,standalone,
Rail,100000,scenario_20,rail_operation_cost,integrated,1194824.4643038511
Rail,100000,scenario_20,rail_operation_cost,standalone,1132535.0372548352
Rail,100000,scenario_20,rail_tts_cost,integrated,7421112.927293968
Rail,100000,scenario_20,rail_tts_cost,standalone,5184951.724208311
Rail,100000,scenario_21,rail_accident_cost,integrated,19947.815413067572
