mode,development,rail_accident_cost,rail_airpollution_cost,rail_co2_cost,rail_land_consumption_cost,rail_noise_cost,road_accident_cost,road_airpollution_cost,road_co2_cost,road_land_consumption_cost,road_noise_cost,total_externalities_chf,noise_externality_chf,new_link_km,surface_route_km,settlement_exposed_km,road_noise_relevant_share,development_label,total_externalities_mio_chf,noise_externality_mio_chf,externality_per_new_link_km,externality_per_surface_route_km,noise_per_settlement_exposed_km
Rail,101032,99424.00646781498,452041.25047816115,13295.330896416506,4335.4,102074.7296347144,,,,,,671170.7174771072,102074.7296347144,34.06805471359078,34.06805471359078,12.821423820621138,,X32,0.6711707174771072,0.1020747296347144,0.019700881753291207,0.019700881753291207,0.007961263199999994
Road,0,,,,,,-43445.74595760804,-9583.696122860581,-10834.414789807477,102967.78920474809,-5737.298327341154,33366.63400713084,-5737.298327341154,3.1469373228834985,3.1469373228834985,0.45191123814030104,0.1436035077197599,0,0.03336663400713084,-0.005737298327341153,0.010602891187091523,0.010602891187091523,-0.012695631006989791
Road,103,,,,,,579906.8324946368,127921.63512676384,144616.02682161002,191437.06023482743,23444.31285022117,1067325.8675280593,23444.31285022117,5.850765899597417,5.850765899597417,1.1095140097045828,0.1896356868048552,103,1.0673258675280592,0.02344431285022117,0.18242498261663492,0.18242498261663492,0.02113025400775553
Road,104,,,,,,29586.84676939901,6526.5618628860275,7378.309732210037,41252.849718938385,4806.91549847191,89551.48358190537,4806.91549847191,1.2607839156154763,1.2607839156154763,1.055275860190701,0.8369997801530863,104,0.08955148358190537,0.00480691549847191,0.07102841531587041,0.07102841531587041,0.004555126938659662
Road,109,,,,,,894285.1204897307,197270.33459920372,223015.06677299883,317243.43424887815,30149.41859418607,1661963.3747049973,30149.41859418607,13.145703980711499,9.695703980711436,0.4046336879551938,0.041733296391904,109,1.6619633747049973,0.03014941859418607,0.1264263501706392,0.171412346954001,0.07451040160928123
Road,114,,,,,,111399.416933429,24573.594873835424,27780.56778164531,104621.4827606165,5894.385322332297,274269.44767185854,5894.385322332297,3.1974780794809443,3.1974780794809443,0.45447945205399604,0.1421368468389228,114,0.2742694476718585,0.0058943853223322965,0.08577680310990012,0.08577680310990012,0.012969530956114587
Road,12,,,,,,193717.83918372347,42732.21378510758,48308.974230747284,298979.3075733272,7261.861686112742,591000.1964590183,7261.861686112742,9.137509400162813,9.137509400162813,2.2000952958215247,0.24077625526517363,12,0.5910001964590182,0.007261861686112742,0.06467847753442396,0.06467847753442396,0.0033007032467660146
Road,126,,,,,,574101.9322036544,126641.13230223962,143168.41218915916,305789.92036976776,17586.975671152875,1167288.372735974,17586.975671152875,9.54565771301246,9.34565771301246,0.5891515746818512,0.0630401404345832,126,1.167288372735974,0.017586975671152874,0.12228475059866735,0.12490168253334334,0.02985135986549819
Road,140,,,,,,25726.984528725698,5675.114938098241,6415.744868258214,78897.6022781194,1684.8143211539877,118400.26093435554,1684.8143211539877,2.4112959131454583,2.4112959131454583,0.9621137151046618,0.3990027560945912,140,0.11840026093435554,0.0016848143211539877,0.049102335507178047,0.049102335507178047,0.0017511592389790516
Road,143,,,,,,5959.363554351433,1314.5758723139875,1486.1343776696797,27148.933378833586,5.815557666510534,35914.822740835196,5.815557666510534,1.5797351277149627,0.8297351277149628,0.0,0.0,143,0.0359148227408352,5.815557666510534e-06,0.022734711731570382,0.043284683920448576,inf
