ID_edge,flow,fftt_min,tt_min,delay_min
158,0.0,2.372268069822438,2.372268069822438,0.0
120,0.0,2.3231483296496505,2.3231483296496505,0.0
128,3905.138625274469,0.9783967861743875,2.2993486472935087,1.3209518611191213
165,0.0,2.2982050340064233,2.2982050340064233,0.0
109,0.0,2.2957294315813246,2.2957294315813246,0.0
35,3905.138417802283,1.2651661948001989,2.2918200493333525,1.0266538545331536
21,0.0,2.272437085125159,2.272437085125159,0.0
96,3905.1387268766393,1.2188725208254705,2.2680052631995493,1.0491327423740788
10,0.0,2.264889032120959,2.264889032120959,0.0
114,0.0,2.2410490495855395,2.2410490495855395,0.0
30,3905.138526455859,1.3387402202363534,2.220652880098375,0.8819126598620215
36,0.0,2.2136170228794056,2.2136170228794056,0.0
40,0.0,2.2101098810331714,2.2101098810331714,0.0
6,0.0,2.189138414366008,2.189138414366008,0.0
83,3905.140349604525,1.5719915214336304,2.1772719960655595,0.6052804746319291
20,0.0,2.147690999560408,2.147690999560408,0.0
17,0.0,2.1041377826265393,2.1041377826265393,0.0
151,0.0,2.0703242058699525,2.0703242058699525,0.0
88,1170.3758364980845,1.7707134973454668,2.0567280164487127,0.28601451910324593
130,3905.138526455859,0.13503289731326126,2.030695283229276,1.8956623859160149
162,0.0,1.9980712877358162,1.9980712877358162,0.0
143,0.0,1.9615245913440753,1.9615245913440753,0.0
55,0.0,1.948901236687999,1.948901236687999,0.0
62,3905.138526455859,1.0430469069898802,1.940839340956493,0.8977924339666128
26,0.0,1.8964407678049842,1.8964407678049842,0.0
86,891.4646057580233,1.3480802777034384,1.8942901525383453,0.5462098748349069
146,0.0,1.891722331078817,1.891722331078817,0.0
8,0.0,1.8714941270274699,1.8714941270274699,0.0
28,0.0,1.8565338129224818,1.8565338129224818,0.0
132,3905.138526455859,1.001919532428364,1.855504631930565,0.853585099502201
84,3905.140171794355,1.2573173771636201,1.839355043891536,0.5820376667279159
110,0.0,1.816648819366549,1.816648819366549,0.0
95,3905.138845394296,0.9612613300013235,1.7886577898508496,0.827396459849526
7,0.0,1.7283636608166608,1.7283636608166608,0.0
16,0.0,1.6577711965952207,1.6577711965952207,0.0
59,3905.138526455859,0.9103914274026709,1.649153602941925,0.738762175539254
71,0.0,1.6162793260131165,1.6162793260131165,0.0
142,0.0,1.5948741785086311,1.5948741785086311,0.0
