development,mean_net_benefit,median_net_benefit,share_positive_scenarios,positive_scenarios,total_scenarios,mode,vtt_chf_per_hour,base_vtt_chf_per_hour
100003,-1087323.0428826218,-1095325.76537915,0.0,0,20,Rail,16.195,15.2
100004,-1063650.701261912,-1071296.8156816869,0.0,0,20,Rail,16.195,15.2
100005,1540251.1645873277,1513112.9709576345,1.0,20,20,Rail,16.195,15.2
101000,-5512048.0755333165,-5539566.851300446,0.0,0,20,Rail,16.195,15.2
101001,-1921701.4286624237,-1981112.6907662665,0.15,3,20,Rail,16.195,15.2
101002,-7749301.281153266,-7775498.506156931,0.0,0,20,Rail,16.195,15.2
101003,-7460497.312025128,-7487748.699491595,0.0,0,20,Rail,16.195,15.2
101004,-10497381.518317245,-10483013.68429264,0.0,0,20,Rail,16.195,15.2
101005,-7502061.858375353,-7502647.624290749,0.0,0,20,Rail,16.195,15.2
101006,-3258630.442732704,-3232287.28599828,0.0,0,20,Rail,16.195,15.2
101007,2701889.9745496744,2646541.277461673,1.0,20,20,Rail,16.195,15.2
101008,-967922.7444990588,-995253.0391294993,0.05,1,20,Rail,16.195,15.2
101009,-7367713.995754654,-7368498.1320493445,0.0,0,20,Rail,16.195,15.2
101010,578953.2989010673,545568.4152389779,0.7,14,20,Rail,16.195,15.2
101011,180374.61544850693,279321.0851525669,0.6,12,20,Rail,16.195,15.2
101012,3042892.9721714417,2991891.058562573,1.0,20,20,Rail,16.195,15.2
101013,-964038.6552227844,-988224.5751422094,0.05,1,20,Rail,16.195,15.2
101014,-1855994.511250394,-1879250.3524391418,0.0,0,20,Rail,16.195,15.2
101015,-1761958.6702274312,-1745354.6632254773,0.0,0,20,Rail,16.195,15.2
101016,3709469.501119177,3672515.4134849524,1.0,20,20,Rail,16.195,15.2
101017,-10789780.964660767,-10800922.070579251,0.0,0,20,Rail,16.195,15.2
101018,-11977455.96997248,-11978760.587709775,0.0,0,20,Rail,16.195,15.2
101019,-16238796.343119612,-16238412.652043585,0.0,0,20,Rail,16.195,15.2
101020,-13658019.243281519,-13671586.292724412,0.0,0,20,Rail,16.195,15.2
101021,-16358366.222791594,-16370417.944329122,0.0,0,20,Rail,16.195,15.2
101022,-17112256.257539038,-17120843.174831506,0.0,0,20,Rail,16.195,15.2
101023,-10014540.295446798,-10067495.047928656,0.0,0,20,Rail,16.195,15.2
101024,-15065151.62838081,-15090335.153877798,0.0,0,20,Rail,16.195,15.2
101025,-11448610.27003054,-11457701.619993318,0.0,0,20,Rail,16.195,15.2
101026,-6806403.7807039,-6840161.279510192,0.0,0,20,Rail,16.195,15.2
101027,-2559289.33387866,-2460455.9241857342,0.0,0,20,Rail,16.195,15.2
101028,-11554900.732915912,-11575216.191883039,0.0,0,20,Rail,16.195,15.2
101029,-12257310.021942789,-12279898.990782319,0.0,0,20,Rail,16.195,15.2
101030,-13887664.024344793,-13912251.702086117,0.0,0,20,Rail,16.195,15.2
101031,-4558026.6297794115,-4599696.943279501,0.0,0,20,Rail,16.195,15.2
101032,-8708727.129594302,-8704416.248499343,0.0,0,20,Rail,16.195,15.2
100000,2673251.0267681414,2653646.525217586,1.0,20,20,Rail,16.44625,15.2
100001,10695098.695326362,10630411.341599246,1.0,20,20,Rail,16.44625,15.2
100002,1801820.9298213213,1774788.0837514373,1.0,20,20,Rail,16.44625,15.2
100003,-1065725.4967287253,-1073852.3738425584,0.0,0,20,Rail,16.44625,15.2
100004,-1039768.6225388633,-1047533.3591412855,0.0,0,20,Rail,16.44625,15.2
100005,1611178.4567789985,1583619.2399230339,1.0,20,20,Rail,16.44625,15.2
101000,-5435361.668194936,-5463307.371557713,0.0,0,20,Rail,16.44625,15.2
101001,-1749541.3871438722,-1809874.358392734,0.15,3,20,Rail,16.44625,15.2
101002,-7674748.41653916,-7701352.066537093,0.0,0,20,Rail,16.44625,15.2
101003,-7389125.409535356,-7416799.57632266,0.0,0,20,Rail,16.44625,15.2
101004,-10479537.15928049,-10464946.421995703,0.0,0,20,Rail,16.44625,15.2
101005,-7500231.2251543775,-7500826.078670036,0.0,0,20,Rail,16.44625,15.2
101006,-3208128.4117585244,-3181376.5660380227,0.0,0,20,Rail,16.44625,15.2
101007,2846594.4894277276,2790387.1100215195,1.0,20,20,Rail,16.44625,15.2
101008,-888588.4779041134,-916342.7760248841,0.15,3,20,Rail,16.44625,15.2
101009,-7365312.20163275,-7366108.5030552,0.0,0,20,Rail,16.44625,15.2
101010,666155.353836172,632252.5355016468,0.75,15,20,Rail,16.44625,15.2
101011,305651.5835671994,406133.11350671155,0.6,12,20,Rail,16.44625,15.2
101012,3186379.714018269,3134586.554296759,1.0,20,20,Rail,16.44625,15.2
101013,-902144.9985107454,-926706.1399417326,0.05,1,20,Rail,16.44625,15.2
101014,-1792146.9875236205,-1815763.6209382822,0.0,0,20,Rail,16.44625,15.2
101015,-1719857.919729696,-1702996.3173736674,0.0,0,20,Rail,16.44625,15.2
101016,3815237.6670737625,3777710.2719669784,1.0,20,20,Rail,16.44625,15.2
101017,-10753017.898220671,-10764331.847786084,0.0,0,20,Rail,16.44625,15.2
101018,-11973943.352081005,-11975268.209719904,0.0,0,20,Rail,16.44625,15.2
101019,-16236620.202364806,-16236230.558687182,0.0,0,20,Rail,16.44625,15.2
101020,-13620799.843042022,-13634577.372335024,0.0,0,20,Rail,16.44625,15.2
101021,-16325804.39638566,-16338043.088904127,0.0,0,20,Rail,16.44625,15.2
101022,-17085423.751357846,-17094143.88649346,0.0,0,20,Rail,16.44625,15.2
101023,-9861127.315389607,-9914903.610419229,0.0,0,20,Rail,16.44625,15.2
101024,-14988159.847292978,-15013734.071201887,0.0,0,20,Rail,16.44625,15.2
101025,-11424257.8530373,-11433490.246635653,0.0,0,20,Rail,16.44625,15.2
101026,-6717858.753215236,-6752139.967463025,0.0,0,20,Rail,16.44625,15.2
101027,-2430751.0418415787,-2330384.325931589,0.0,0,20,Rail,16.44625,15.2
101028,-11501665.384056231,-11522296.018019684,0.0,0,20,Rail,16.44625,15.2
101029,-12184880.372912202,-12207819.788088314,0.0,0,20,Rail,16.44625,15.2
101030,-13815984.603008062,-13840953.7351509,0.0,0,20,Rail,16.44625,15.2
101031,-4448884.100806881,-4491200.889531848,0.0,0,20,Rail,16.44625,15.2
101032,-8699776.3441564,-8695398.58384717,0.0,0,20,Rail,16.44625,15.2
100000,2732343.766276044,2712439.765993888,1.0,20,20,Rail,16.697499999999998,15.2
100001,10882193.953383835,10816518.368441463,1.0,20,20,Rail,16.697499999999998,15.2
100002,1871127.0720604178,1843681.2441512048,1.0,20,20,Rail,16.697499999999998,15.2
100003,-1044127.9505748289,-1052378.9823059668,0.0,0,20,Rail,16.697499999999998,15.2
100004,-1015886.5438158149,-1023769.9026008841,0.0,0,20,Rail,16.697499999999998,15.2
100005,1682105.7489706692,1654125.5088884337,1.0,20,20,Rail,16.697499999999998,15.2
101000,-5358675.260856555,-5387047.891814978,0.0,0,20,Rail,16.697499999999998,15.2
101001,-1577381.345625321,-1638636.0260192025,0.15,3,20,Rail,16.697499999999998,15.2
101002,-7600195.551925054,-7627205.626917254,0.0,0,20,Rail,16.697499999999998,15.2
101003,-7317753.507045585,-7345850.453153724,0.0,0,20,Rail,16.697499999999998,15.2
101004,-10461692.800243739,-10446879.159698766,0.0,0,20,Rail,16.697499999999998,15.2
101005,-7498400.591933401,-7499004.533049323,0.0,0,20,Rail,16.697499999999998,15.2
101006,-3157626.380784345,-3130465.8460777663,0.0,0,20,Rail,16.697499999999998,15.2
101007,2991299.004305782,2934232.9425813667,1.0,20,20,Rail,16.697499999999998,15.2
101008,-809254.2113091678,-837432.5129202688,0.15,3,20,Rail,16.697499999999998,15.2
101009,-7362910.407510849,-7363718.8740610555,0.0,0,20,Rail,16.697499999999998,15.2
101010,753357.4087712765,718936.6557643153,0.85,17,20,Rail,16.697499999999998,15.2
101011,430928.55168589187,532945.1418608562,0.65,13,20,Rail,16.697499999999998,15.2
101012,3329866.455865096,3277282.050030945,1.0,20,20,Rail,16.697499999999998,15.2
101013,-840251.3417987063,-865187.7047412563,0.05,1,20,Rail,16.697499999999998,15.2
101014,-1728299.4637968473,-1752276.8894374226,0.0,0,20,Rail,16.697499999999998,15.2
101015,-1677757.169231961,-1660637.9715218574,0.0,0,20,Rail,16.697499999999998,15.2
101016,3921005.8330283486,3882905.130449005,1.0,20,20,Rail,16.697499999999998,15.2
101017,-10716254.831780575,-10727741.624992918,0.0,0,20,Rail,16.697499999999998,15.2
101018,-11970430.734189529,-11971775.831730032,0.0,0,20,Rail,16.697499999999998,15.2
101019,-16234444.061609998,-16234048.46533078,0.0,0,20,Rail,16.697499999999998,15.2
101020,-13583580.442802524,-13597568.451945636,0.0,0,20,Rail,16.697499999999998,15.2
101021,-16293242.569979731,-16305668.233479135,0.0,0,20,Rail,16.697499999999998,15.2
101022,-17058591.24517665,-17067444.598155413,0.0,0,20,Rail,16.697499999999998,15.2
101023,-9707714.335332418,-9762312.172909804,0.0,0,20,Rail,16.697499999999998,15.2
101024,-14911168.06620514,-14937132.988525977,0.0,0,20,Rail,16.697499999999998,15.2
101025,-11399905.436044058,-11409278.873277988,0.0,0,20,Rail,16.697499999999998,15.2
101026,-6629313.725726569,-6664118.655415858,0.0,0,20,Rail,16.697499999999998,15.2
101027,-2302212.7498044968,-2200312.727677443,0.0,0,20,Rail,16.697499999999998,15.2
101028,-11448430.035196548,-11469375.844156327,0.0,0,20,Rail,16.697499999999998,15.2
101029,-12112450.723881619,-12135740.585394312,0.0,0,20,Rail,16.697499999999998,15.2
101030,-13744305.18167133,-13769655.768215682,0.0,0,20,Rail,16.697499999999998,15.2
101031,-4339741.57183435,-4382704.835784195,0.0,0,20,Rail,16.697499999999998,15.2
101032,-8690825.558718499,-8686380.919195,0.0,0,20,Rail,16.697499999999998,15.2
100000,2791436.5057839463,2771233.006770191,1.0,20,20,Rail,16.94875,15.2
100001,11069289.21144131,11002625.39528368,1.0,20,20,Rail,16.94875,15.2
100002,1940433.2142995154,1912574.4045509733,1.0,20,20,Rail,16.94875,15.2
100003,-1022530.404420932,-1030905.5907693749,0.0,0,20,Rail,16.94875,15.2
100004,-992004.4650927661,-1000006.4460604822,0.0,0,20,Rail,16.94875,15.2
100005,1753033.0411623407,1724631.777853834,1.0,20,20,Rail,16.94875,15.2
101000,-5281988.853518173,-5310788.412072242,0.0,0,20,Rail,16.94875,15.2
101001,-1405221.3041067668,-1467397.6936456682,0.15,3,20,Rail,16.94875,15.2
101002,-7525642.687310946,-7553059.187297416,0.0,0,20,Rail,16.94875,15.2
101003,-7246381.604555811,-7274901.329984788,0.0,0,20,Rail,16.94875,15.2
101004,-10443848.441206984,-10428811.897401826,0.0,0,20,Rail,16.94875,15.2
101005,-7496569.958712426,-7497182.987428608,0.0,0,20,Rail,16.94875,15.2
101006,-3107124.349810165,-3079555.1261175084,0.0,0,20,Rail,16.94875,15.2
101007,3136003.519183838,3078078.775141217,1.0,20,20,Rail,16.94875,15.2
101008,-729919.9447142212,-758522.2498156521,0.15,3,20,Rail,16.94875,15.2
101009,-7360508.613388945,-7361329.245066911,0.0,0,20,Rail,16.94875,15.2
101010,840559.463706382,805620.7760269847,0.9,18,20,Rail,16.94875,15.2
101011,556205.5198045861,659757.1702150023,0.65,13,20,Rail,16.94875,15.2
101012,3473353.197711925,3419977.5457651326,1.0,20,20,Rail,16.94875,15.2
101013,-778357.6850866664,-803669.2695407791,0.1,2,20,Rail,16.94875,15.2
101014,-1664451.9400700731,-1688790.1579365623,0.0,0,20,Rail,16.94875,15.2
101015,-1635656.418734225,-1618279.625670047,0.0,0,20,Rail,16.94875,15.2
101016,4026773.998982935,3988099.988931033,1.0,20,20,Rail,16.94875,15.2
101017,-10679491.76534048,-10691151.40219975,0.0,0,20,Rail,16.94875,15.2
101018,-11966918.116298052,-11968283.45374016,0.0,0,20,Rail,16.94875,15.2
101019,-16232267.92085519,-16231866.371974375,0.0,0,20,Rail,16.94875,15.2
101020,-13546361.042563027,-13560559.531556249,0.0,0,20,Rail,16.94875,15.2
101021,-16260680.743573796,-16273293.378054142,0.0,0,20,Rail,16.94875,15.2
101022,-17031758.738995463,-17040745.309817366,0.0,0,20,Rail,16.94875,15.2
101023,-9554301.355275225,-9609720.735400379,0.0,0,20,Rail,16.94875,15.2
101024,-14834176.285117308,-14860531.905850066,0.0,0,20,Rail,16.94875,15.2
101025,-11375553.019050818,-11385067.499920323,0.0,0,20,Rail,16.94875,15.2
101026,-6540768.698237902,-6576097.34336869,0.0,0,20,Rail,16.94875,15.2
101027,-2173674.457767414,-2070241.129423296,0.05,1,20,Rail,16.94875,15.2
101028,-11395194.686336866,-11416455.67029297,0.0,0,20,Rail,16.94875,15.2
101029,-12040021.074851034,-12063661.382700307,0.0,0,20,Rail,16.94875,15.2
101030,-13672625.7603346,-13698357.801280465,0.0,0,20,Rail,16.94875,15.2
101031,-4230599.042861817,-4274208.782036539,0.0,0,20,Rail,16.94875,15.2
101032,-8681874.773280594,-8677363.254542828,0.0,0,20,Rail,16.94875,15.2
100000,2850529.2452918487,2830026.247546493,1.0,20,20,Rail,17.2,15.2
100001,11256384.469498783,11188732.422125896,1.0,20,20,Rail,17.2,15.2
100002,2009739.356538612,1981467.5649507418,1.0,20,20,Rail,17.2,15.2
100003,-1000932.8582670357,-1009432.1992327834,0.0,0,20,Rail,17.2,15.2
100004,-968122.3863697177,-976242.9895200809,0.0,0,20,Rail,17.2,15.2
100005,1823960.3333540116,1795138.0468192338,1.0,20,20,Rail,17.2,15.2
101000,-5205302.446179792,-5234528.932329508,0.0,0,20,Rail,17.2,15.2
101001,-1233061.2625882153,-1296159.3612721357,0.2,4,20,Rail,17.2,15.2
101002,-7451089.82269684,-7478912.747677578,0.0,0,20,Rail,17.2,15.2
101003,-7175009.702066039,-7203952.206815852,0.0,0,20,Rail,17.2,15.2
101004,-10426004.08217023,-10410744.635104889,0.0,0,20,Rail,17.2,15.2
101005,-7494739.325491449,-7495361.441807895,0.0,0,20,Rail,17.2,15.2
101006,-3056622.318835986,-3028644.4061572514,0.0,0,20,Rail,17.2,15.2
101007,3280708.0340618924,3221924.607701064,1.0,20,20,Rail,17.2,15.2
