mode,development,scenario,score_id,standalone_value,integrated_value
Rail,100000,scenario_18,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_18,rail_tts_cost,2840174.3874427094,3442921.536415376
Rail,100000,scenario_19,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_19,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_19,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_19,rail_construction_cost,0.0,0.0
Rail,100000,scenario_19,rail_land_consumption_cost,,0.0
Rail,100000,scenario_19,rail_maint_cost,0.0,0.0
Rail,100000,scenario_19,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_19,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_19,rail_tts_cost,4659658.228342224,5244557.471540235
Rail,100000,scenario_20,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_20,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_20,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_20,rail_construction_cost,0.0,0.0
Rail,100000,scenario_20,rail_land_consumption_cost,,0.0
Rail,100000,scenario_20,rail_maint_cost,0.0,0.0
Rail,100000,scenario_20,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_20,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_20,rail_tts_cost,5184951.724208311,7421112.927293968
Rail,100000,scenario_21,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_21,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_21,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_21,rail_construction_cost,0.0,0.0
Rail,100000,scenario_21,rail_land_consumption_cost,,0.0
Rail,100000,scenario_21,rail_maint_cost,0.0,0.0
Rail,100000,scenario_21,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_21,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_21,rail_tts_cost,5695934.313301338,6679048.930033874
Rail,100000,scenario_22,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_22,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_22,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_22,rail_construction_cost,0.0,0.0
Rail,100000,scenario_22,rail_land_consumption_cost,,0.0
Rail,100000,scenario_22,rail_maint_cost,0.0,0.0
Rail,100000,scenario_22,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_22,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_22,rail_tts_cost,6369695.7959526125,5448634.240398279
Rail,100000,scenario_23,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_23,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_23,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_23,rail_construction_cost,0.0,0.0
Rail,100000,scenario_23,rail_land_consumption_cost,,0.0
Rail,100000,scenario_23,rail_maint_cost,0.0,0.0
Rail,100000,scenario_23,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_23,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_23,rail_tts_cost,2580708.880320435,3712781.303173833
Rail,100000,scenario_24,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_24,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_24,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_24,rail_construction_cost,0.0,0.0
Rail,100000,scenario_24,rail_land_consumption_cost,,0.0
Rail,100000,scenario_24,rail_maint_cost,0.0,0.0
Rail,100000,scenario_24,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_24,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_24,rail_tts_cost,5553181.008077947,7089972.180847441
Rail,100000,scenario_25,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_25,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_25,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_25,rail_construction_cost,0.0,0.0
Rail,100000,scenario_25,rail_land_consumption_cost,,0.0
Rail,100000,scenario_25,rail_maint_cost,0.0,0.0
Rail,100000,scenario_25,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_25,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_25,rail_tts_cost,3755184.7941330327,5533106.676080044
Rail,100000,scenario_26,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_26,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_26,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_26,rail_construction_cost,0.0,0.0
Rail,100000,scenario_26,rail_land_consumption_cost,,0.0
Rail,100000,scenario_26,rail_maint_cost,0.0,0.0
Rail,100000,scenario_26,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_26,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_26,rail_tts_cost,2052632.606815486,3397582.0365480096
Rail,100000,scenario_27,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_27,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_27,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_27,rail_construction_cost,0.0,0.0
Rail,100000,scenario_27,rail_land_consumption_cost,,0.0
Rail,100000,scenario_27,rail_maint_cost,0.0,0.0
Rail,100000,scenario_27,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_27,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_27,rail_tts_cost,3346088.218407482,4902231.901818218
Rail,100000,scenario_28,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_28,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_28,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_28,rail_construction_cost,0.0,0.0
Rail,100000,scenario_28,rail_land_consumption_cost,,0.0
Rail,100000,scenario_28,rail_maint_cost,0.0,0.0
Rail,100000,scenario_28,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_28,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_28,rail_tts_cost,2642944.6118656574,2453360.185922551
Rail,100000,scenario_29,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_29,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_29,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_29,rail_construction_cost,0.0,0.0
Rail,100000,scenario_29,rail_land_consumption_cost,,0.0
Rail,100000,scenario_29,rail_maint_cost,0.0,0.0
Rail,100000,scenario_29,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_29,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_29,rail_tts_cost,4701367.050511977,6200374.971368748
Rail,100000,scenario_30,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_30,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_30,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_30,rail_construction_cost,0.0,0.0
Rail,100000,scenario_30,rail_land_consumption_cost,,0.0
Rail,100000,scenario_30,rail_maint_cost,0.0,0.0
Rail,100000,scenario_30,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_30,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_30,rail_tts_cost,5358250.914831433,5673049.788770404
Rail,100000,scenario_31,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_31,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_31,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_31,rail_construction_cost,0.0,0.0
Rail,100000,scenario_31,rail_land_consumption_cost,,0.0
Rail,100000,scenario_31,rail_maint_cost,0.0,0.0
Rail,100000,scenario_31,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_31,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_31,rail_tts_cost,4944682.621868719,6473401.5259183645
Rail,100000,scenario_32,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_32,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_32,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_32,rail_construction_cost,0.0,0.0
Rail,100000,scenario_32,rail_land_consumption_cost,,0.0
Rail,100000,scenario_32,rail_maint_cost,0.0,0.0
Rail,100000,scenario_32,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_32,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_32,rail_tts_cost,7126729.359687669,6869802.013694231
Rail,100000,scenario_33,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_33,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_33,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_33,rail_construction_cost,0.0,0.0
Rail,100000,scenario_33,rail_land_consumption_cost,,0.0
Rail,100000,scenario_33,rail_maint_cost,0.0,0.0
Rail,100000,scenario_33,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_33,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_33,rail_tts_cost,4434149.055407162,4902437.416934113
Rail,100000,scenario_34,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_34,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_34,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_34,rail_construction_cost,0.0,0.0
Rail,100000,scenario_34,rail_land_consumption_cost,,0.0
Rail,100000,scenario_34,rail_maint_cost,0.0,0.0
Rail,100000,scenario_34,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_34,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_34,rail_tts_cost,5968930.91788041,7985397.075023492
Rail,100000,scenario_35,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_35,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_35,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_35,rail_construction_cost,0.0,0.0
Rail,100000,scenario_35,rail_land_consumption_cost,,0.0
Rail,100000,scenario_35,rail_maint_cost,0.0,0.0
Rail,100000,scenario_35,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_35,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_35,rail_tts_cost,5191925.4204402175,6531004.166422132
Rail,100000,scenario_36,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_36,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_36,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_36,rail_construction_cost,0.0,0.0
Rail,100000,scenario_36,rail_land_consumption_cost,,0.0
Rail,100000,scenario_36,rail_maint_cost,0.0,0.0
Rail,100000,scenario_36,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_36,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_36,rail_tts_cost,5840363.188465287,5500348.133359075
Rail,100000,scenario_37,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_37,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_37,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_37,rail_construction_cost,0.0,0.0
Rail,100000,scenario_37,rail_land_consumption_cost,,0.0
Rail,100000,scenario_37,rail_maint_cost,0.0,0.0
Rail,100000,scenario_37,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_37,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_37,rail_tts_cost,6462546.365105012,7949876.624757127
Rail,100000,scenario_38,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_38,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_38,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_38,rail_construction_cost,0.0,0.0
Rail,100000,scenario_38,rail_land_consumption_cost,,0.0
Rail,100000,scenario_38,rail_maint_cost,0.0,0.0
Rail,100000,scenario_38,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_38,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_38,rail_tts_cost,4927214.514393641,6254209.0801102165
Rail,100000,scenario_39,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_39,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_39,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_39,rail_construction_cost,0.0,0.0
Rail,100000,scenario_39,rail_land_consumption_cost,,0.0
Rail,100000,scenario_39,rail_maint_cost,0.0,0.0
Rail,100000,scenario_39,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_39,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_39,rail_tts_cost,5149863.669082595,5556741.493155604
Rail,100000,scenario_40,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_40,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_40,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_40,rail_construction_cost,0.0,0.0
Rail,100000,scenario_40,rail_land_consumption_cost,,0.0
Rail,100000,scenario_40,rail_maint_cost,0.0,0.0
Rail,100000,scenario_40,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_40,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_40,rail_tts_cost,3968325.138555774,6415206.147488631
Rail,100000,scenario_41,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_41,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_41,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_41,rail_construction_cost,0.0,0.0
Rail,100000,scenario_41,rail_land_consumption_cost,,0.0
Rail,100000,scenario_41,rail_maint_cost,0.0,0.0
Rail,100000,scenario_41,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_41,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_41,rail_tts_cost,4824528.7059515035,7010010.418007884
Rail,100000,scenario_42,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_42,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_42,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_42,rail_construction_cost,0.0,0.0
Rail,100000,scenario_42,rail_land_consumption_cost,,0.0
Rail,100000,scenario_42,rail_maint_cost,0.0,0.0
Rail,100000,scenario_42,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_42,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_42,rail_tts_cost,5570316.63625275,8112709.324656548
Rail,100000,scenario_43,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_43,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_43,rail_co2_cost,,2667.492650914484
