mode,vtt_chf_per_hour,base_vtt_chf_per_hour,mean_net_benefit_rows,median_net_benefit_rows,share_positive_rows,mean_net_benefit_developments,median_net_benefit_developments,share_positive_developments,positive_developments,total_developments,total_rows
Rail,23.732499999999998,15.2,-1616791.6058397908,-1656917.903491002,0.3739130434782609,-1616791.6058397908,-1726975.1354300217,0.391304347826087,18,46,460
Rail,23.98375,15.2,-1558637.0487377318,-1643864.4931709021,0.3760869565217391,-1558637.0487377315,-1726740.5964031776,0.391304347826087,18,46,460
Rail,24.235,15.2,-1500482.4916356732,-1630811.0828508022,0.3826086956521739,-1500482.4916356737,-1652160.605865377,0.391304347826087,18,46,460
Rail,24.48625,15.2,-1442327.9345336147,-1617757.6725307018,0.3847826086956522,-1442327.934533615,-1576898.440697528,0.391304347826087,18,46,460
Rail,24.737499999999997,15.2,-1384173.3774315561,-1604704.262210602,0.3869565217391304,-1384173.3774315563,-1501636.275529679,0.391304347826087,18,46,460
Rail,24.988749999999996,15.2,-1326018.8203294985,-1591650.851890502,0.391304347826087,-1326018.8203294983,-1477060.4112622235,0.391304347826087,18,46,460
Rail,25.24,15.2,-1267864.263227439,-1545669.4283569586,0.391304347826087,-1267864.263227439,-1474561.3018079475,0.391304347826087,18,46,460
Road,26.85,31.4,-67070816.23291132,-44277951.42352236,0.19202898550724637,-67070816.23291132,-47281529.77582553,0.2028985507246377,28,138,1380
Road,26.96375,31.4,-67251339.52956587,-44420661.529182784,0.19202898550724637,-67251339.52956589,-47405157.256989785,0.2028985507246377,28,138,1380
Road,27.0775,31.4,-67431862.82622044,-44578780.89555219,0.19202898550724637,-67431862.82622042,-47528784.73815404,0.2028985507246377,28,138,1380
Road,27.19125,31.4,-67612386.122875,-44736900.2619216,0.1927536231884058,-67612386.12287499,-47652412.2193183,0.2028985507246377,28,138,1380
Road,27.305,31.4,-67792909.41952956,-44895019.62829101,0.1927536231884058,-67792909.41952956,-47776039.70048256,0.2028985507246377,28,138,1380
Road,27.418750000000003,31.4,-67973432.71618411,-45053138.99466042,0.1927536231884058,-67973432.71618412,-47899667.18164682,0.2028985507246377,28,138,1380
Road,27.532500000000002,31.4,-68153956.01283868,-45211258.36102983,0.1927536231884058,-68153956.01283866,-48023294.66281107,0.2028985507246377,28,138,1380
Road,27.646250000000002,31.4,-68334479.30949323,-45369377.72739924,0.1927536231884058,-68334479.30949323,-48146922.14397532,0.2028985507246377,28,138,1380
Road,27.76,31.4,-68515002.60614778,-45527497.09376865,0.1927536231884058,-68515002.6061478,-48270549.62513958,0.2028985507246377,28,138,1380
Road,27.87375,31.4,-68695525.90280235,-45685616.46013805,0.1927536231884058,-68695525.90280238,-48394177.10630383,0.2028985507246377,28,138,1380
Road,27.9875,31.4,-68876049.19945692,-45843735.826507464,0.1934782608695652,-68876049.19945692,-48517804.58746809,0.2028985507246377,28,138,1380
Road,28.10125,31.4,-69056572.49611147,-46001855.192876875,0.19420289855072465,-69056572.49611147,-48641432.06863235,0.2028985507246377,28,138,1380
Road,28.215,31.4,-69237095.79276603,-46159974.55924628,0.19420289855072465,-69237095.79276603,-48765059.549796596,0.2028985507246377,28,138,1380
Road,28.32875,31.4,-69417619.0894206,-46318093.92561569,0.19420289855072465,-69417619.0894206,-48888687.03096086,0.2028985507246377,28,138,1380
Road,28.4425,31.4,-69598142.38607515,-46476213.291985095,0.19492753623188405,-69598142.38607514,-49037780.453987345,0.2028985507246377,28,138,1380
Road,28.55625,31.4,-69778665.6827297,-46634332.658354506,0.19492753623188405,-69778665.68272972,-49189565.142461315,0.2028985507246377,28,138,1380
Road,28.67,31.4,-69959188.97938427,-46792452.02472392,0.19492753623188405,-69959188.97938427,-49341349.83093528,0.2028985507246377,28,138,1380
Road,28.78375,31.4,-70139712.27603883,-46950571.39109332,0.1956521739130435,-70139712.27603883,-49493134.51940925,0.2028985507246377,28,138,1380
Road,28.8975,31.4,-70320235.5726934,-47108690.75746274,0.1956521739130435,-70320235.5726934,-49644919.207883224,0.2028985507246377,28,138,1380
Road,29.01125,31.4,-70500758.86934794,-47266810.123832144,0.1956521739130435,-70500758.86934794,-49796703.89635719,0.2028985507246377,28,138,1380
Road,29.125,31.4,-70681282.16600251,-47424929.49020155,0.1956521739130435,-70681282.16600251,-49948488.58483115,0.2028985507246377,28,138,1380
Road,29.23875,31.4,-70861805.46265706,-47583048.85657096,0.1956521739130435,-70861805.46265706,-50100273.27330512,0.2028985507246377,28,138,1380
Road,29.3525,31.4,-71042328.75931162,-47741168.22294037,0.1956521739130435,-71042328.75931162,-50252057.96177909,0.2028985507246377,28,138,1380
Road,29.46625,31.4,-71222852.05596618,-47899287.58930978,0.1963768115942029,-71222852.05596617,-50403842.65025306,0.2028985507246377,28,138,1380
Road,29.58,31.4,-71403375.35262074,-48057406.955679186,0.1963768115942029,-71403375.35262075,-50555627.33872703,0.2028985507246377,28,138,1380
Road,29.69375,31.4,-71583898.6492753,-48215526.3220486,0.1963768115942029,-71583898.6492753,-50707412.027201,0.2028985507246377,28,138,1380
Road,29.8075,31.4,-71764421.94592986,-48294964.09693162,0.1963768115942029,-71764421.94592986,-50859196.71567497,0.2028985507246377,28,138,1380
Road,29.92125,31.4,-71944945.24258442,-48255288.97353841,0.1963768115942029,-71944945.24258442,-51010981.404148936,0.2028985507246377,28,138,1380
Road,30.035,31.4,-72125468.53923899,-48215613.85014521,0.19710144927536233,-72125468.53923899,-51162766.0926229,0.2028985507246377,28,138,1380
Road,30.14875,31.4,-72305991.83589354,-48175938.72675201,0.19710144927536233,-72305991.83589354,-51314550.78109686,0.2028985507246377,28,138,1380
Road,30.2625,31.4,-72486515.13254811,-48136263.603358805,0.19710144927536233,-72486515.1325481,-51466335.46957083,0.2028985507246377,28,138,1380
Road,30.37625,31.4,-72667038.42920268,-48096588.479965605,0.19710144927536233,-72667038.42920268,-51618120.1580448,0.2028985507246377,28,138,1380
Road,30.49,31.4,-72847561.72585723,-48098826.23872356,0.19710144927536233,-72847561.72585721,-51769904.84651877,0.2028985507246377,28,138,1380
Road,30.603749999999998,31.4,-73028085.02251178,-48250630.14542176,0.19710144927536233,-73028085.02251177,-51921689.53499274,0.2028985507246377,28,138,1380
Road,30.7175,31.4,-73208608.31916635,-48402434.052119955,0.19782608695652174,-73208608.31916633,-52073474.22346671,0.2028985507246377,28,138,1380
Road,30.831249999999997,31.4,-73389131.6158209,-48554237.95881815,0.19782608695652174,-73389131.6158209,-52225258.91194067,0.2028985507246377,28,138,1380
Road,30.945,31.4,-73569654.91247545,-48706041.86551635,0.19782608695652174,-73569654.91247547,-52377043.60041464,0.2028985507246377,28,138,1380
Road,31.05875,31.4,-73750178.20913002,-48857845.77221455,0.19782608695652174,-73750178.20913002,-52528828.2888886,0.2028985507246377,28,138,1380
Road,31.1725,31.4,-73930701.50578457,-49009649.678912744,0.19782608695652174,-73930701.50578457,-52680612.97736258,0.2028985507246377,28,138,1380
Road,31.28625,31.4,-74111224.80243912,-49161453.58561094,0.19782608695652174,-74111224.80243915,-52832397.66583655,0.2028985507246377,28,138,1380
Road,31.4,31.4,-74291748.09909369,-49313257.49230913,0.19782608695652174,-74291748.0990937,-52984182.35431052,0.2028985507246377,28,138,1380
