development,n_scenarios,mean_tts,median_tts,std_tts,min_tts,max_tts,pos,neg,mean_network,mean_access,pos_share,range_tts,cv_abs,mean_mmin,median_mmin,min_mmin,max_mmin,range_mmin
348,10,-15180.171195792482,-13022.621793481347,6877.36570125797,-26689.206585459997,-6302.217485959583,0,10,-17451.050459683862,2270.8792638913897,0.0,20386.989099500413,0.4530492846591995,-0.015180171195792482,-0.013022621793481346,-0.026689206585459996,-0.006302217485959583,0.020386989099500413
351,10,-21693.03808600507,-18037.837017104728,11658.979186948265,-41216.57280707697,-6647.014595506771,0,10,-20084.604149341227,-1608.4339366638633,0.0,34569.5582115702,0.5374525753711683,-0.021693038086005072,-0.01803783701710473,-0.04121657280707697,-0.006647014595506771,0.0345695582115702
356,10,-10758.849211218796,-9190.428542700887,4998.258053758267,-19119.80408701126,-4304.604792347818,0,10,-10657.966616176815,-100.88259504199887,0.0,14815.199294663442,0.46457181020311455,-0.010758849211218797,-0.009190428542700886,-0.01911980408701126,-0.0043046047923478185,0.014815199294663442
358,10,-11000.02861119975,-8983.337672638998,6426.197433584116,-21749.097286338103,-2702.763537942723,0,10,-14830.855945892434,3830.8273346926753,0.0,19046.33374839538,0.5841982471792156,-0.01100002861119975,-0.008983337672638998,-0.021749097286338104,-0.002702763537942723,0.01904633374839538
390,10,-13104.379673595162,-11151.243453490839,6224.55308929852,-23517.598055014503,-5068.195942202874,0,10,-13326.793521731335,222.4138481361646,0.0,18449.40211281163,0.47499792011069114,-0.013104379673595162,-0.011151243453490839,-0.023517598055014504,-0.005068195942202874,0.018449402112811628
392,10,679.3517276714207,585.5557580377208,311.3124028428928,266.6820513057756,1195.0936197073895,10,0,413.755669397593,265.5960582738291,1.0,928.411568401614,0.45824922519879724,0.0006793517276714206,0.0005855557580377208,0.00026668205130577557,0.0011950936197073895,0.0009284115684016139
394,10,-315.2357997294457,-260.9636302491999,163.02826257382065,-592.145915873698,-113.57974589959484,0,10,-1737.9731219554146,1422.7373222259616,0.0,478.5661699741031,0.5171629069849976,-0.0003152357997294457,-0.0002609636302491999,-0.0005921459158736979,-0.00011357974589959483,0.0004785661699741031
423,10,9139.766928475477,7619.62221944466,4863.201067103913,2846.2457625013776,17269.553159795352,10,0,8736.789837444207,402.9770910312633,1.0,14423.307397293975,0.5320924598145196,0.009139766928475478,0.00761962221944466,0.0028462457625013774,0.01726955315979535,0.014423307397293975
459,10,-2069.921664145554,-2063.971799907449,15.897314327768882,-2097.8409843225963,-2051.8597489935346,0,10,-2995.4185167720657,925.4968526265005,0.0,45.98123532906175,0.007680152637240577,-0.0020699216641455543,-0.0020639717999074493,-0.002097840984322596,-0.002051859748993535,4.5981235329061745e-05
464,10,-13.2097979997925,-16.66113365109777,24.30754088630371,-55.34328493109206,21.957731949863955,3,7,-21.787239562399918,8.577441562572494,0.3,77.30101688095601,1.8401145033925224,-1.32097979997925e-05,-1.666113365109777e-05,-5.5343284931092055e-05,2.1957731949863956e-05,7.730101688095601e-05
469,10,-7327.444617669494,-5879.8090505532455,4610.903467359763,-15040.307488157763,-1374.794342483743,0,10,-10557.993424361328,3230.548806691837,0.0,13665.51314567402,0.6292648676239697,-0.0073274446176694935,-0.005879809050553245,-0.015040307488157763,-0.0013747943424837431,0.01366551314567402
486,10,-21727.570004989248,-18921.82822898723,8945.823236606131,-36690.03984054539,-10172.832680376188,0,10,-23372.668611083966,1645.0986060946957,0.0,26517.2071601692,0.4117268168760669,-0.021727570004989247,-0.01892182822898723,-0.03669003984054539,-0.010172832680376189,0.026517207160169202
493,10,48.33279349300428,31.998715648311194,64.97236845303442,-46.17149016197072,151.88239236350637,9,1,40.65000832619262,7.682785166769827,0.9,198.0538825254771,1.3442709133383437,4.833279349300428e-05,3.1998715648311195e-05,-4.617149016197072e-05,0.00015188239236350637,0.0001980538825254771
499,10,-7594.400790859858,-6419.656820620119,3736.396934491755,-13853.963759155597,-2781.5321148378425,0,10,-6802.83023668562,-791.5705541742449,0.0,11072.431644317754,0.4919936460278271,-0.007594400790859858,-0.006419656820620119,-0.013853963759155596,-0.0027815321148378425,0.011072431644317754
517,10,-719.6814108035294,-629.4815799987409,278.0579684637367,-1189.0158971379278,-369.8382382153068,0,10,-1157.169814149721,437.48840334619234,0.0,819.177658922621,0.3863625825117298,-0.0007196814108035294,-0.000629481579998741,-0.0011890158971379278,-0.0003698382382153068,0.000819177658922621
521,10,-35030.5289988226,-30340.35172976635,14957.87429057631,-60055.21804013045,-15713.70859332697,0,10,-35849.0258893398,818.4968905171678,0.0,44341.50944680348,0.42699538711159785,-0.0350305289988226,-0.03034035172976635,-0.06005521804013045,-0.01571370859332697,0.04434150944680348
531,10,-20451.69115855269,-17609.040263365314,9064.568119313262,-35620.21269096469,-8747.728307443555,0,10,-21796.52819188596,1344.8370333332227,0.0,26872.484383521136,0.44321851181106614,-0.02045169115855269,-0.017609040263365315,-0.035620212690964694,-0.008747728307443555,0.026872484383521137
533,10,-1340.3261662465345,-1332.9644270322751,22.02379669494323,-1377.6461734425975,-1312.4840345589328,0,10,-1455.8166113002226,115.49044505367893,0.0,65.16213888366474,0.016431669581307165,-0.0013403261662465345,-0.001332964427032275,-0.0013776461734425975,-0.0013124840345589328,6.516213888366474e-05
538,10,1004.2293505159148,695.3386637266376,996.890076292068,-292.29423924774164,2669.606708578416,9,1,639.0630019863602,365.16634852955065,0.9,2961.900947826158,0.9926916354116953,0.0010042293505159148,0.0006953386637266377,-0.00029229423924774164,0.002669606708578416,0.002961900947826158
540,10,3603.090608769626,2956.393910561572,2064.2547691354716,935.0639459958184,7053.864177501528,10,0,2950.7809392450145,652.3096695246022,1.0,6118.800231505709,0.5729122559702621,0.003603090608769626,0.0029563939105615718,0.0009350639459958183,0.007053864177501527,0.006118800231505709
546,10,-4576.850020212709,-3956.5119859070987,1975.8077197380753,-7887.144693907932,-2028.3585929390392,0,10,-4792.762082329794,215.9120621171067,0.0,5858.786100968893,0.4316959723417482,-0.004576850020212709,-0.003956511985907098,-0.007887144693907932,-0.002028358592939039,0.005858786100968893
550,10,934.856569057051,602.124895880057,1072.21788280051,-458.5495030534221,2726.399524518638,9,1,310.87108664623236,623.9854824108261,0.9,3184.94902757206,1.1469330358153331,0.000934856569057051,0.000602124895880057,-0.0004585495030534221,0.0027263995245186377,0.00318494902757206
552,10,-7180.340006294811,-6099.952223840752,3439.0988965409992,-12934.912257813963,-2743.5233626207337,0,10,-7367.975797047507,187.63579075267043,0.0,10191.38889519323,0.47896045222455114,-0.007180340006294811,-0.006099952223840752,-0.012934912257813963,-0.0027435233626207337,0.01019138889519323
556,10,-3007.3338274113835,-2534.2763074369286,1501.4442013099217,-5522.6478258733405,-1074.993177221273,0,10,-3320.267372196418,312.933544785007,0.0,4447.654648652067,0.4992609026721575,-0.0030073338274113834,-0.0025342763074369286,-0.0055226478258733405,-0.001074993177221273,0.0044476546486520675
