development,scenario,total_mmin,top_edge,top_delta_delay,top_vcr,top_sq_vcr,n_more_delay,n_less_delay,max_delta_delay,min_delta_delay
277,scenario_70,-0.003881220435737865,178,0.3010992130792367,2.714840116953106,2.6900834474156134,23,1,0.3010992130792367,-0.040263637260532725
284,scenario_70,-0.001034803288711235,178,0.03317885518101704,2.692827081497984,2.6900834474156134,2,4,0.03317885518101704,-0.051351507332607405
285,scenario_70,-0.014846795909306267,178,0.4329286640083083,2.7255803982616866,2.6900834474156134,29,1,0.4329286640083083,-0.08094240831997279
289,scenario_70,-0.0074024200742696415,178,0.4224714471348996,2.72473060135709,2.6900834474156134,29,1,0.4224714471348996,-0.08333803892736702
308,scenario_70,-0.001378248743385775,178,0.00850798239416406,2.6907873650076977,2.6900834474156134,0,1,0.00850798239416406,-0.23580653405982455
331,scenario_70,-0.016354230007973963,178,0.49563577424250127,2.730668476032616,2.6900834474156134,31,1,0.49563577424250127,-0.013032796189384355
334,scenario_70,0.008516290499546914,86,3.569247075674298e-08,1.0572839420107145,1.0572839011936916,0,26,3.569247075674298e-08,-0.33858194319236645
348,scenario_70,-0.01005802425677504,178,0.46415891969675727,2.728116093230291,2.6900834474156134,31,1,0.46415891969675727,-0.3377618666778628
351,scenario_70,-0.012998740762008238,178,0.8321515782070676,2.757749634757431,2.6900834474156134,36,4,0.8321515782070676,-0.055921761275782966
356,scenario_70,-0.00703940270454553,178,0.32071189377862197,2.716441748095224,2.6900834474156134,25,0,0.32071189377862197,0.0
358,scenario_70,-0.006217942205461906,178,0.41229779995859417,2.7239034922572634,2.6900834474156134,29,1,0.41229779995859417,-0.05359659630248581
390,scenario_70,-0.008470567861504387,178,0.33806994241255595,2.717858157114379,2.6900834474156134,25,1,0.33806994241255595,-0.02191708395505687
392,scenario_70,0.0004481054641996743,91,0.0013575104154539552,0.594661911851977,0.5927100266000344,0,2,0.0013575104154539552,-0.013558956367031527
394,scenario_70,-0.00019357134831533767,87,0.04667730077870336,1.3870402658864873,1.277813237970788,2,0,0.04667730077870336,-0.0045277218297721245
423,scenario_70,0.005519137179775047,86,3.567832651540925e-08,1.05728394199454,1.0572839011936916,0,17,3.567832651540925e-08,-0.3307331037193828
459,scenario_70,-0.0020608664961615578,178,0.049043149238301,2.6941375536707306,2.6900834474156134,2,1,0.049043149238301,-0.2605020528169453
464,scenario_70,-3.100971189746633e-05,178,0.0018974154259971954,2.690240454578381,2.6900834474156134,0,0,0.0018974154259971954,-0.003098671234699868
