development,scenario,total_mmin,ID_edge,flow,sq_flow,vcr,sq_vcr,delay_min,sq_delay_min,delta_delay_min
351,scenario_78,-0.04121657280707697,129,4567.811381505829,4455.030657165999,6.265859233890025,6.111153164836762,42.529812576982245,40.053046244049376,2.4767663329328684
612,scenario_64,-0.05571932138840121,178,4181.478173503814,4070.969540360378,4.181478173503814,4.070969540360378,39.04213200993678,36.61143659911595,2.4306954108208316
109,scenario_64,-0.05572175393143785,178,4181.409171503902,4070.969540360378,4.181409171503902,4.070969540360378,39.040585788839536,36.61143659911595,2.4291491897235886
612,scenario_19,-0.062194287831858035,129,4406.258123305204,4290.090382360721,6.044249826207413,5.884897643841867,39.00872209696125,36.585866035357824,2.422856061603426
109,scenario_19,-0.0621938276386807,129,4406.185049334274,4290.090382360721,6.044149587564161,5.884897643841867,39.00716949297657,36.585866035357824,2.421303457618748
521,scenario_19,-0.05557900253317156,178,4399.455368995498,4297.718772075383,4.399455368995498,4.297718772075383,44.10616751490489,41.697796695616574,2.408370819288315
759,scenario_64,-0.05492975241930504,178,4178.400859270072,4070.969540360378,4.178400859270072,4.070969540360378,38.97320919398302,36.61143659911595,2.3617725948670696
759,scenario_19,-0.06130184127195924,129,4402.97238929034,4290.090382360721,6.039742646488807,5.884897643841867,38.938945674203374,36.585866035357824,2.35307963884555
521,scenario_78,-0.06005521804013045,129,4560.342305564948,4455.030657165999,6.255613587880587,6.111153164836762,42.363100850063645,40.053046244049376,2.310054606014269
945,scenario_78,-0.04715568273995316,178,4553.557807146928,4462.710982784518,4.5535578071469285,4.462710982784518,47.905345178633205,45.64350128624969,2.261843892383517
662,scenario_19,-0.052363314513050485,178,4393.342830734857,4297.718772075383,4.3933428307348565,4.297718772075383,43.95923742994041,41.697796695616574,2.261440734323834
351,scenario_19,-0.03767497112435196,129,4398.471832290654,4290.090382360721,6.033569042922707,5.884897643841867,38.84348930277758,36.585866035357824,2.2576232674197527
662,scenario_78,-0.056581092939046326,129,4553.9588713990015,4455.030657165999,6.246857162412897,6.111153164836762,42.2209235520669,40.053046244049376,2.1678773080175233
612,scenario_64,-0.05571932138840121,129,4173.575982071969,4063.4200199596817,5.725069934255101,5.573964362084611,34.24631586723015,32.11692796811082,2.1293878991193296
109,scenario_64,-0.05572175393143785,129,4173.506571080048,4063.4200199596817,5.724974720274415,5.573964362084611,34.24494895707484,32.11692796811082,2.1280209889640176
521,scenario_64,-0.04988906671743712,178,4167.451674399023,4070.969540360378,4.1674516743990235,4.070969540360378,38.728555363886535,36.61143659911595,2.117118764770588
521,scenario_19,-0.05557900253317156,129,4391.406401802323,4290.090382360721,6.023877094379044,5.884897643841867,38.69390783731718,36.585866035357824,2.1080418019593523
759,scenario_64,-0.05492975241930504,129,4170.459036040046,4063.4200199596817,5.720794288120777,5.573964362084611,34.1849652437211,32.11692796811082,2.06803727561028
945,scenario_19,-0.043440633826937296,178,4385.016073797169,4297.718772075383,4.3850160737971695,4.297718772075383,43.759543087223086,41.697796695616574,2.061746391606512
662,scenario_64,-0.04699116145448853,178,4161.641217072608,4070.969540360378,4.161641217072608,4.070969540360378,38.59908859933562,36.61143659911595,1.9876520002196756
945,scenario_78,-0.04715568273995316,129,4545.491083088181,4455.030657165999,6.235241540587354,6.111153164836762,42.03275183333152,40.053046244049376,1.9797055892821405
662,scenario_19,-0.052363314513050485,129,4385.27604649311,4290.090382360721,6.015467827836913,5.884897643841867,38.56439544284995,36.585866035357824,1.9785294074921254
521,scenario_64,-0.04988906671743712,129,4159.484728824643,4063.4200199596817,5.705740368758083,5.573964362084611,33.96946924610296,32.11692796811082,1.8525412779921382
945,scenario_64,-0.03881867546906369,178,4153.900775259821,4070.969540360378,4.153900775259821,4.070969540360378,38.42701123632832,36.61143659911595,1.8155746372123716
945,scenario_19,-0.043440633826937296,129,4376.999833298338,4290.090382360721,6.004114997665758,5.884897643841867,38.3899504433924,36.585866035357824,1.8040844080345764
662,scenario_64,-0.04699116145448853,129,4153.656291387331,4063.4200199596817,5.697745255675351,5.573964362084611,33.85534274759962,32.11692796811082,1.7384147794887994
775,scenario_78,-0.04128965992466558,178,4531.836631650594,4462.710982784518,4.531836631650594,4.462710982784518,47.358737121575196,45.64350128624969,1.7152358353255082
331,scenario_78,-0.04043588614707336,178,4530.118102812381,4462.710982784518,4.530118102812381,4.462710982784518,47.31564690856597,45.64350128624969,1.672145622316279
126,scenario_78,-0.039328285126749546,178,4528.160848138168,4462.710982784518,4.528160848138168,4.462710982784518,47.26659877575783,45.64350128624969,1.6230974895081403
201,scenario_78,-0.037498202358417096,178,4526.835389791552,4462.710982784518,4.526835389791552,4.462710982784518,47.233400093914355,45.64350128624969,1.5898988076646674
945,scenario_64,-0.03881867546906369,129,4145.962475707307,4063.4200199596817,5.687191324701382,5.573964362084611,33.70503327832943,32.11692796811082,1.5881053102186087
63,scenario_78,-0.037160531860202205,178,4526.387432657783,4462.710982784518,4.526387432657783,4.462710982784518,47.22218321266923,45.64350128624969,1.5786819264195415
775,scenario_19,-0.038255840101124955,178,4364.2738506592295,4297.718772075383,4.364273850659229,4.297718772075383,43.26440238054192,41.697796695616574,1.5666056849253422
331,scenario_19,-0.03747008148958813,178,4362.620465415518,4297.718772075383,4.362620465415518,4.297718772075383,43.22507556028075,41.697796695616574,1.5272788646641757
750,scenario_78,-0.037668423954194064,178,4523.780306258255,4462.710982784518,4.523780306258256,4.462710982784518,47.1569314058117,45.64350128624969,1.5134301195620097
775,scenario_78,-0.04128965992466558,129,4523.850392221087,4455.030657165999,6.2055560935817375,6.111153164836762,41.554077065969764,40.053046244049376,1.5010308219203878
612,scenario_75,-0.037046409451687835,178,3386.0237379519817,3296.629404741017,3.3860237379519815,3.296629404741017,23.528699317243195,22.065320035455592,1.4633792817876028
331,scenario_78,-0.04043588614707336,129,4522.112173165828,4455.030657165999,6.2031717053029185,6.111153164836762,41.51576775544154,40.053046244049376,1.4627215113921608
109,scenario_75,-0.03705706745335413,178,3385.967971226219,3296.629404741017,3.385967971226219,3.296629404741017,23.527769303636553,22.065320035455592,1.4624492681809613
126,scenario_78,-0.039328285126749546,129,4520.1561757425,4455.030657165999,6.200488581265431,6.111153164836762,41.47268338458754,40.053046244049376,1.419637140538164
