ID_edge,run,case,scenario,flow,capacity,flow_cap,ffs,length_m,length_m_geom,fftt_min,link_tt_min,delay_min
124,8iter_5scen_4dev_test_1547628,status_quo,scenario_44,1091.0285746218128,729.0,1.4966098417308815,79.0,1877.417300305622,1877.417300305622,1.425886557194143,2.2243263567790783,0.7984397995849353
66,2iter_xscen_xdev_test,dev109,scenario_44,3371.714022874459,2333.0,1.445226756482837,120.0,3047.1705599093475,3047.1705599093475,1.523585279954674,2.319155949435587,0.795570669480913
64,2iter_xscen_xdev_test,dev109,scenario_44,3371.714022874459,2335.0,1.443988874892702,118.0,2948.5542693597213,2948.5542693597213,1.499264882725282,2.280795635311737,0.7815307525864548
65,2iter_xscen_xdev_test,dev109,scenario_44,3371.714022874459,2333.0,1.445226756482837,120.0,2912.9705151237267,2912.9705151237267,1.4564852575618634,2.2170183020147767,0.7605330444529133
29,2iter_xscen_xdev_test,dev109,scenario_44,3371.714022874459,2391.0,1.4101689765263317,98.0,2447.233413479223,2447.233413479223,1.4983061715178918,2.243180298005313,0.7448741264874212
128,2iter_xscen_xdev_test,dev109,scenario_44,3372.429585008076,1934.0,1.7437588340269263,115.0,1875.2605068342427,1875.2605068342427,0.9783967861743876,1.722148308615626,0.7437515224412384
130,2iter_xscen_xdev_test,dev109,scenario_44,3371.714022874459,729.0,4.625122116425869,100.0,225.05482885543543,225.05482885543543,0.1350328973132612,0.8571805476012606,0.7221476502879993
96,2iter_xscen_xdev_test,dev109,scenario_44,3378.8314285636848,2333.0,1.448277509028583,120.0,2437.745041650941,2437.745041650941,1.2188725208254705,1.8580211584139656,0.6391486375884954
35,2iter_xscen_xdev_test,dev109,scenario_44,3372.947934869251,2391.0,1.410685041768821,87.0,1834.4909824602885,1834.4909824602885,1.2651661948001989,1.894596588840766,0.6294303940405672
86,5iter_5scen_4dev_test_1542375,dev109,scenario_44,945.727683001916,729.0,1.2972944897145624,99.0,2224.3324582106734,2224.3324582106734,1.3480802777034384,1.9152759526608956,0.5671956749574569
30,2iter_xscen_xdev_test,dev109,scenario_44,3371.714022874459,2608.0,1.292835131470268,99.0,2208.921363389983,2208.921363389983,1.3387402202363534,1.8981404109699105,0.5594001907335568
62,2iter_xscen_xdev_test,dev109,scenario_44,3371.714022874459,2333.0,1.445226756482837,120.0,2086.0938139797604,2086.0938139797604,1.0430469069898802,1.5876948088904694,0.5446479019005892
179,5iter_5scen_4dev_test_1542375,dev28,scenario_44,1116.7635200114926,2200.0,0.5076197818234057,120.0,16547.785709542954,16547.785709542954,8.273892854771477,8.806892570569063,0.5329997157975868
132,2iter_xscen_xdev_test,dev109,scenario_44,3371.714022874459,2343.0,1.439058481807281,113.0,1886.9484527400857,1886.9484527400857,1.001919532428364,1.5206356457422063,0.5187161133138423
95,2iter_xscen_xdev_test,dev109,scenario_44,3378.6137221923127,2333.0,1.4481841929671293,119.0,1906.501637835958,1906.501637835958,0.9612613300013236,1.4652596467547163,0.503998316753393
59,2iter_xscen_xdev_test,dev109,scenario_44,3371.714022874459,2391.0,1.4101689765263317,100.0,1517.319045671118,1517.319045671118,0.9103914274026708,1.3629871866267085,0.4525957592240376
97,2iter_xscen_xdev_test,dev109,scenario_44,3379.060966717147,2333.0,1.4483758965782885,120.0,1687.4477039097997,1687.4477039097997,0.8437238519548999,1.286213294287479,0.4424894423325792
83,2iter_xscen_xdev_test,dev109,scenario_44,3377.8733094307304,3262.0,1.0355221672074588,80.0,2095.9886952448405,2095.9886952448405,1.5719915214336304,1.993405568928663,0.4214140474950325
84,2iter_xscen_xdev_test,dev109,scenario_44,3377.4267629903748,3021.0,1.1179830397187602,80.0,1676.4231695514936,1676.4231695514936,1.25731737716362,1.650193248216417,0.3928758710527968
127,2iter_xscen_xdev_test,dev109,scenario_44,3373.5387660755105,2333.0,1.446008901018221,119.0,1483.4622208121002,1483.4622208121002,0.7479641449472775,1.1389515079617532,0.3909873630144757
33,2iter_xscen_xdev_test,dev109,scenario_44,3371.714022874459,2391.0,1.4101689765263317,100.0,1142.2004966082045,1142.2004966082045,0.6853202979649226,1.0260232650985164,0.3407029671335938
