ID_edge,length_m,flow,development,scenario,capacity,ffs,length_m_geom,fftt_min,flow_cap,link_tt_min,delay_min,run,case,case_type
61,8361.831024084971,3322.1327088233515,150,scenario_44,2333.0,120.0,8361.831024084971,4.1809155120424855,1.4239745858651314,6.3003298929567455,2.11941438091426,2iter_xscen_xdev_test,dev150,development
175,5286.2980122217705,3322.1327088233515,150,scenario_44,2200.0,100.0,5286.2980122217705,3.1717788073330624,1.5100603221924325,4.979916478000367,1.8081376706673042,2iter_xscen_xdev_test,dev150,development
176,4439.9389635413945,3322.1327088233515,150,scenario_44,2200.0,100.0,4439.9389635413945,2.663963378124837,1.5100603221924325,4.182610430728037,1.5186470526031997,2iter_xscen_xdev_test,dev150,development
32,4235.803391000821,3322.1327088233515,150,scenario_44,2391.0,86.0,4235.803391000821,2.9552116681401075,1.3894323332594527,4.381487107333599,1.4262754391934913,2iter_xscen_xdev_test,dev150,development
98,2007.6948653871616,3329.667579056066,150,scenario_44,1536.0,108.0,2007.6948653871616,1.115386036326201,2.1677523301146264,2.4257276554076372,1.3103416190814363,2iter_xscen_xdev_test,dev150,development
63,5114.75070314698,3322.1327088233515,150,scenario_44,2333.0,119.0,5114.7507031469795,2.5788659007463766,1.4239745858651314,3.8861598321229396,1.307293931376563,2iter_xscen_xdev_test,dev150,development
178,6719.55714161299,3099.1554390923416,152,scenario_44,1000.0,80.0,6719.55714161299,5.039667856209742,3.0991554390923417,17.140873504419808,12.101205648210065,2iter_xscen_xdev_test,dev152,development
129,3327.5142290398862,3092.035800868934,152,scenario_44,729.0,96.0,3327.5142290398862,2.079696393149929,4.241475721356562,11.433191385840484,9.353494992690555,2iter_xscen_xdev_test,dev152,development
174,6978.5477473254405,3092.035800868934,152,scenario_44,2200.0,100.0,6978.5477473254405,4.187128648395264,1.4054708185767881,6.254887930983344,2.0677592825880797,2iter_xscen_xdev_test,dev152,development
68,8865.80644588534,3092.035800868934,152,scenario_44,2335.0,119.0,8865.80644588534,4.470154510530423,1.3242123344192438,6.429801303220753,1.9596467926903296,2iter_xscen_xdev_test,dev152,development
61,8361.831024084971,3092.035800868934,152,scenario_44,2333.0,120.0,8361.831024084971,4.1809155120424855,1.325347535734648,6.0169082113666486,1.835992699324163,2iter_xscen_xdev_test,dev152,development
175,5286.2980122217705,3092.035800868934,152,scenario_44,2200.0,100.0,5286.2980122217705,3.1717788073330624,1.4054708185767881,4.73812071414136,1.5663419068082973,2iter_xscen_xdev_test,dev152,development
176,4439.9389635413945,3092.035800868934,152,scenario_44,2200.0,100.0,4439.9389635413945,2.663963378124837,1.4054708185767881,3.9795272086518647,1.3155638305270276,2iter_xscen_xdev_test,dev152,development
32,4235.803391000821,3092.035800868934,152,scenario_44,2391.0,86.0,4235.803391000821,2.9552116681401075,1.293197741894159,4.190756409728115,1.2355447415880074,2iter_xscen_xdev_test,dev152,development
98,2007.6948653871616,3099.054676210395,152,scenario_44,1536.0,108.0,2007.6948653871616,1.115386036326201,2.0176137214911427,2.2505046818804,1.135118645554199,2iter_xscen_xdev_test,dev152,development
63,5114.75070314698,3092.035800868934,152,scenario_44,2333.0,119.0,5114.7507031469795,2.5788659007463766,1.325347535734648,3.7113401047020833,1.1324742039557067,2iter_xscen_xdev_test,dev152,development
178,6719.55714161299,3286.089340332495,17,scenario_44,1000.0,80.0,6719.55714161299,5.039667856209742,3.2860893403324947,18.644733974567526,13.605066118357783,2iter_xscen_xdev_test,dev17,development
129,3327.5142290398862,3278.4739412880053,17,scenario_44,729.0,96.0,3327.5142290398862,2.079696393149929,4.497220769942394,12.595158501292712,10.515462108142783,2iter_xscen_xdev_test,dev17,development
174,6978.5477473254405,3278.4739412880053,17,scenario_44,2200.0,100.0,6978.5477473254405,4.187128648395264,1.4902154278581843,6.511761783047844,2.32463313465258,2iter_xscen_xdev_test,dev17,development
68,8865.80644588534,3278.4739412880053,17,scenario_44,2335.0,119.0,8865.80644588534,4.470154510530423,1.4040573624359767,6.673244543719307,2.203090033188884,2iter_xscen_xdev_test,dev17,development
61,8361.831024084971,3278.4739412880053,17,scenario_44,2333.0,120.0,8361.831024084971,4.1809155120424855,1.405261012125163,6.244990136090209,2.0640746240477235,2iter_xscen_xdev_test,dev17,development
175,5286.2980122217705,3278.4739412880053,17,scenario_44,2200.0,100.0,5286.2980122217705,3.1717788073330624,1.4902154278581843,4.932704427361742,1.7609256200286794,2iter_xscen_xdev_test,dev17,development
176,4439.9389635413945,3278.4739412880053,17,scenario_44,2200.0,100.0,4439.9389635413945,2.663963378124837,1.4902154278581843,4.142957232460651,1.4789938543358137,2iter_xscen_xdev_test,dev17,development
