ID_edge,length_m,flow,development,scenario,capacity,ffs,length_m_geom,fftt_min,flow_cap,link_tt_min,delay_min,run,case,case_type
58,980.986779978202,0.0,0,scenario_44,2391.0,100.0,980.9867799782021,0.5885920679869212,0.0,0.5885920679869212,0.0,2iter_xscen_xdev_test,dev0,development
59,1517.319045671118,3258.128636477875,0,scenario_44,2391.0,100.0,1517.3190456711181,0.9103914274026709,1.3626635869836365,1.3330069747652937,0.42261554736262286,2iter_xscen_xdev_test,dev0,development
60,3341.26037136498,3258.128636477875,0,scenario_44,2338.0,118.0,3341.26037136498,1.6989459515415155,1.3935537367313409,2.523780820410597,0.8248348688690816,2iter_xscen_xdev_test,dev0,development
61,8361.831024084971,3258.128636477875,0,scenario_44,2333.0,120.0,8361.831024084971,4.1809155120424855,1.3965403499690847,6.219451470337802,2.0385359582953164,2iter_xscen_xdev_test,dev0,development
62,2086.0938139797604,3258.128636477875,0,scenario_44,2333.0,120.0,2086.0938139797604,1.0430469069898802,1.3965403499690847,1.5516170084337226,0.5085701014438424,2iter_xscen_xdev_test,dev0,development
63,5114.75070314698,3258.128636477875,0,scenario_44,2333.0,119.0,5114.7507031469795,2.5788659007463766,1.3965403499690847,3.8362725273932985,1.257406626646922,2iter_xscen_xdev_test,dev0,development
64,2948.5542693597213,3258.128636477875,0,scenario_44,2335.0,118.0,2948.5542693597213,1.4992648827252821,1.395344169797805,2.2290265741545503,0.7297616914292682,2iter_xscen_xdev_test,dev0,development
65,2912.9705151237267,3258.128636477875,0,scenario_44,2333.0,120.0,2912.9705151237267,1.4564852575618634,1.3965403499690847,2.1666401415136782,0.7101548839518148,2iter_xscen_xdev_test,dev0,development
66,3047.1705599093475,3258.128636477875,0,scenario_44,2333.0,120.0,3047.1705599093475,1.5235852799546739,1.3965403499690847,2.2664568758458175,0.7428715958911436,2iter_xscen_xdev_test,dev0,development
67,4872.77147040362,3258.128636477875,0,scenario_44,2333.0,120.0,4872.77147040362,2.4363857352018097,1.3965403499690847,3.6243217064456577,1.187935971243848,2iter_xscen_xdev_test,dev0,development
68,8865.80644588534,3258.128636477875,0,scenario_44,2335.0,119.0,8865.80644588534,4.470154510530423,1.395344169797805,6.645985849036197,2.175831338505774,2iter_xscen_xdev_test,dev0,development
69,263.4135778567169,0.0,0,scenario_44,2333.0,119.0,263.4135778567169,0.13281356866725225,0.0,0.13281356866725225,0.0,2iter_xscen_xdev_test,dev0,development
70,5513.998529520909,0.0,0,scenario_44,2333.0,119.0,5513.998529520909,2.7801673258088617,0.0,2.7801673258088617,0.0,2iter_xscen_xdev_test,dev0,development
71,3232.558652026233,0.0,0,scenario_44,2333.0,120.0,3232.558652026233,1.6162793260131165,0.0,1.6162793260131165,0.0,2iter_xscen_xdev_test,dev0,development
72,113.6803311893096,0.0,0,scenario_44,2333.0,120.0,113.68033118930961,0.05684016559465481,0.0,0.05684016559465481,0.0,2iter_xscen_xdev_test,dev0,development
73,1949.3522223086495,541.9201772347872,0,scenario_44,2881.0,79.0,1949.3522223086497,1.4805206751711264,0.1881014152151292,1.493616673512085,0.013095998340958648,2iter_xscen_xdev_test,dev0,development
74,802.4785240978157,256.5829208887634,0,scenario_44,1289.0,80.0,802.4785240978157,0.6018588930733618,0.1990557958795682,0.6078207883819435,0.005961895308581711,2iter_xscen_xdev_test,dev0,development
75,1790.6201179575862,0.0,0,scenario_44,729.0,80.0,1790.6201179575862,1.3429650884681896,0.0,1.3429650884681896,0.0,2iter_xscen_xdev_test,dev0,development
76,550.4281597313835,945.0793253602064,0,scenario_44,2391.0,79.0,550.4281597313835,0.4180467035934558,0.3952652970975351,0.43437504923027304,0.016328345636817232,2iter_xscen_xdev_test,dev0,development
77,1011.8689371854967,826.7772612335343,0,scenario_44,2391.0,93.0,1011.8689371854967,0.6528186691519334,0.3457872276175384,0.6723328564810432,0.01951418732910981,2iter_xscen_xdev_test,dev0,development
78,1190.0072044742778,672.5078000120816,0,scenario_44,2391.0,100.0,1190.0072044742778,0.7140043226845667,0.2812663320836811,0.7281256769744104,0.014121354289843735,2iter_xscen_xdev_test,dev0,development
79,656.5663213618884,643.9474339856545,0,scenario_44,2391.0,99.0,656.5663213618884,0.39791898264356873,0.2693213860249496,0.40513464740770894,0.007215664764140206,2iter_xscen_xdev_test,dev0,development
80,381.9039017049991,47.41672230020931,0,scenario_44,2391.0,100.0,381.9039017049991,0.22914234102299946,0.01983133513183158,0.22916487040412542,2.252938112595748e-05,2iter_xscen_xdev_test,dev0,development
81,269.29106997647665,3262.487959770569,0,scenario_44,2391.0,80.0,269.29106997647665,0.2019683024823575,1.364486808770627,0.2959756733717012,0.09400737088934372,2iter_xscen_xdev_test,dev0,development
82,1362.7606945394907,3262.991206674343,0,scenario_44,3013.0,80.0,1362.7606945394907,1.0220705209046181,1.0829708618235456,1.3217482123615376,0.29967769145691947,2iter_xscen_xdev_test,dev0,development
83,2095.9886952448405,3264.2087327478816,0,scenario_44,3262.0,80.0,2095.9886952448405,1.5719915214336304,1.0006771099778913,1.9655217875450512,0.39353026611142083,2iter_xscen_xdev_test,dev0,development
84,1676.4231695514936,3263.778796847737,0,scenario_44,3021.0,80.0,1676.4231695514936,1.2573173771636201,1.0803637195788602,1.6241981138391026,0.3668807366754825,2iter_xscen_xdev_test,dev0,development
85,910.3365754780752,943.6131378357592,0,scenario_44,729.0,100.0,910.3365754780751,0.5462019452868451,1.294393879061398,0.7749862105546407,0.2287842652677956,2iter_xscen_xdev_test,dev0,development
86,2224.3324582106734,943.6131378357592,0,scenario_44,729.0,99.0,2224.3324582106734,1.3480802777034384,1.294393879061398,1.9127424114027545,0.5646621336993161,2iter_xscen_xdev_test,dev0,development
87,794.1532861069165,1140.459785567065,0,scenario_44,729.0,100.0,794.1532861069165,0.4764919716641499,1.5644167154555075,0.7680335439769881,0.29154157231283817,2iter_xscen_xdev_test,dev0,development
88,2951.1891622424446,1193.228666865196,0,scenario_44,1404.0,100.0,2951.1891622424446,1.7707134973454668,0.8498779678527036,2.0904567937084,0.3197432963629332,2iter_xscen_xdev_test,dev0,development
89,2140.272239606062,1469.2485839399285,0,scenario_44,2391.0,100.0,2140.272239606062,1.2841633437636373,0.61449125217061,1.4053882025716051,0.12122485880796785,2iter_xscen_xdev_test,dev0,development
90,1395.0130328637335,1650.0704697335962,0,scenario_44,2391.0,99.0,1395.0130328637335,0.8454624441598385,0.6901173022725203,0.9461278297440973,0.10066538558425875,2iter_xscen_xdev_test,dev0,development
91,4008.729740907578,1728.4384124037038,0,scenario_44,2391.0,100.0,4008.729740907578,2.4052378445445464,0.7228935225444181,2.7194671632186123,0.3142293186740659,2iter_xscen_xdev_test,dev0,development
92,2550.193392452562,3262.4187379219466,0,scenario_44,2166.0,97.0,2550.193392452562,1.577439211826327,1.5061951698623945,2.4720932819576413,0.8946540701313144,2iter_xscen_xdev_test,dev0,development
93,970.6857419960515,3264.5663866870377,0,scenario_44,3061.0,87.0,970.6857419960515,0.6694384427558976,1.0665032298879575,0.8597981407057244,0.19035969794982677,2iter_xscen_xdev_test,dev0,development
94,3121.847228370543,3264.593099306913,0,scenario_44,2333.0,120.0,3121.847228370543,1.5609236141852714,1.3993112298786596,2.3250237879802635,0.7641001737949922,2iter_xscen_xdev_test,dev0,development
95,1906.501637835958,3264.836889746692,0,scenario_44,2333.0,119.0,1906.501637835958,0.9612613300013235,1.3994157264237856,1.4318863160232962,0.47062498602197267,2iter_xscen_xdev_test,dev0,development
96,2437.745041650941,3265.037904475826,0,scenario_44,2333.0,120.0,2437.745041650941,1.2188725208254705,1.3995018879021972,1.8156951370314798,0.5968226162060093,2iter_xscen_xdev_test,dev0,development
97,1687.4477039097997,3265.245278711474,0,scenario_44,2333.0,120.0,1687.4477039097997,0.8437238519548999,1.3995907752728136,1.256906883872133,0.41318303191723305,2iter_xscen_xdev_test,dev0,development
98,2007.6948653871616,3265.4377114012414,0,scenario_44,1536.0,108.0,2007.6948653871616,1.115386036326201,2.12593601002685,2.3756618114950445,1.2602757751688436,2iter_xscen_xdev_test,dev0,development
99,426.5896754365461,2.122267985675909,0,scenario_44,729.0,100.0,426.58967543654614,0.2559538052619277,0.0029112043699258006,0.2559543475711478,5.423092201417568e-07,2iter_xscen_xdev_test,dev0,development
100,1461.1312385017154,0.0,0,scenario_44,2013.0,112.0,1461.1312385017154,0.7827488777687761,0.0,0.7827488777687761,0.0,2iter_xscen_xdev_test,dev0,development
101,3181.077676394208,0.0,0,scenario_44,2721.0,120.0,3181.077676394208,1.590538838197104,0.0,1.590538838197104,0.0,2iter_xscen_xdev_test,dev0,development
102,5030.979565723924,257.0020767043926,0,scenario_44,3324.0,119.0,5030.979565723924,2.536628352465844,0.0773171109218991,2.540419302725084,0.0037909502592401445,2iter_xscen_xdev_test,dev0,development
103,6088.671354567422,895.8811148978496,0,scenario_44,3293.0,106.0,6088.671354567422,3.4464177478683524,0.27205621466682345,3.5101890417903303,0.06377129392197789,2iter_xscen_xdev_test,dev0,development
104,4526.605938756334,0.0,0,scenario_44,729.0,96.0,4526.605938756334,2.8291287117227086,0.0,2.8291287117227086,0.0,2iter_xscen_xdev_test,dev0,development
105,2027.6844882076089,0.0,0,scenario_44,729.0,100.0,2027.6844882076089,1.2166106929245653,0.0,1.2166106929245653,0.0,2iter_xscen_xdev_test,dev0,development
106,2361.841828044352,0.0,0,scenario_44,729.0,99.0,2361.8418280443516,1.4314192897238494,0.0,1.4314192897238494,0.0,2iter_xscen_xdev_test,dev0,development
107,1832.0017704127936,0.0,0,scenario_44,729.0,100.0,1832.0017704127936,1.099201062247676,0.0,1.099201062247676,0.0,2iter_xscen_xdev_test,dev0,development
108,3976.529508207863,0.0,0,scenario_44,729.0,99.0,3976.529508207863,2.410017883762341,0.0,2.410017883762341,0.0,2iter_xscen_xdev_test,dev0,development
109,3787.9535621091854,0.0,0,scenario_44,729.0,99.0,3787.9535621091854,2.2957294315813246,0.0,2.2957294315813246,0.0,2iter_xscen_xdev_test,dev0,development
110,2664.418268404272,0.0,0,scenario_44,729.0,88.0,2664.418268404272,1.816648819366549,0.0,1.816648819366549,0.0,2iter_xscen_xdev_test,dev0,development
111,2236.141648525741,0.0,0,scenario_44,729.0,90.0,2236.141648525741,1.4907610990171607,0.0,1.4907610990171607,0.0,2iter_xscen_xdev_test,dev0,development
112,6295.230880371994,0.0,0,scenario_44,729.0,85.0,6295.230880371994,4.443692386144937,0.0,4.443692386144937,0.0,2iter_xscen_xdev_test,dev0,development
