ID_edge,length_m,flow,development,scenario,capacity,ffs,length_m_geom,fftt_min,flow_cap,link_tt_min,delay_min,run
19,5241.531215082299,0.0,status_quo,scenario_44,2340,114,5241.531215082299,2.7587006395169995,0.0,2.7587006395169995,0.0,15iter_status_quo
20,4259.587149128142,0.0,status_quo,scenario_44,2333,119,4259.587149128142,2.147690999560408,0.0,2.147690999560408,0.0,15iter_status_quo
21,4431.25231599406,0.0,status_quo,scenario_44,2239,117,4431.25231599406,2.272437085125159,0.0,2.272437085125159,0.0,15iter_status_quo
22,312.37327151232336,0.0,status_quo,scenario_44,2744,80,312.37327151232336,0.2342799536342425,0.0,0.2342799536342425,0.0,15iter_status_quo
23,10429.862112566574,0.0,status_quo,scenario_44,2465,100,10429.862112566574,6.257917267539945,0.0,6.257917267539945,0.0,15iter_status_quo
24,908.422568222344,0.0,status_quo,scenario_44,729,92,908.422568222344,0.5924495010145723,0.0,0.5924495010145723,0.0,15iter_status_quo
26,3097.519920748141,0.0,status_quo,scenario_44,3184,98,3097.519920748141,1.896440767804984,0.0,1.896440767804984,0.0,15iter_status_quo
27,1950.2102913634324,0.0,status_quo,scenario_44,3383,100,1950.2102913634324,1.1701261748180594,0.0,1.1701261748180594,0.0,15iter_status_quo
28,3094.2230215374693,0.0,status_quo,scenario_44,3235,100,3094.2230215374693,1.8565338129224815,0.0,1.8565338129224815,0.0,15iter_status_quo
29,2447.233413479223,2832.03485626888,status_quo,scenario_44,2391,98,2447.233413479223,1.4983061715178918,1.184456234324082,2.023813302173186,0.5255071306552943,15iter_status_quo
30,2208.921363389983,2832.03485626888,status_quo,scenario_44,2608,99,2208.921363389983,1.3387402202363534,1.0859029356859202,1.7333958790476949,0.3946556588113414,15iter_status_quo
31,782.2308016477537,2832.03485626888,status_quo,scenario_44,2746,99,782.2308016477537,0.4740792737259113,1.0313309746062929,0.6001421176064126,0.1260628438805012,15iter_status_quo
32,4235.803391000821,2832.03485626888,status_quo,scenario_44,2391,86,4235.803391000821,2.9552116681401075,1.184456234324082,3.991705299231588,1.03649363109148,15iter_status_quo
33,1142.2004966082045,2832.03485626888,status_quo,scenario_44,2391,100,1142.2004966082045,0.6853202979649226,1.184456234324082,0.9256855251858246,0.240365227220902,15iter_status_quo
34,3201.231578453541,2832.03485626888,status_quo,scenario_44,2391,100,3201.231578453541,1.9207389470721248,1.184456234324082,2.594407675134018,0.6736687280618934,15iter_status_quo
35,1834.4909824602885,2898.940532482526,status_quo,scenario_44,2391,87,1834.4909824602885,1.2651661948001989,1.2124385330332603,1.7301170475446634,0.4649508527444645,15iter_status_quo
36,3652.46808775102,0.0,status_quo,scenario_44,3250,99,3652.46808775102,2.2136170228794056,0.0,2.2136170228794056,0.0,15iter_status_quo
37,2087.5000694047385,0.0,status_quo,scenario_44,3383,100,2087.5000694047385,1.252500041642843,0.0,1.252500041642843,0.0,15iter_status_quo
38,2.9651927315463684,0.0,status_quo,scenario_44,3383,100,2.9651927315463684,0.0017791156389278,0.0,0.0017791156389278,0.0,15iter_status_quo
39,429.0603753941272,0.0,status_quo,scenario_44,3325,120,429.0603753941272,0.2145301876970635,0.0,0.2145301876970635,0.0,15iter_status_quo
40,4272.879103330798,0.0,status_quo,scenario_44,3083,116,4272.879103330798,2.2101098810331714,0.0,2.2101098810331714,0.0,15iter_status_quo
41,424.7698655376553,0.0,status_quo,scenario_44,1239,92,424.7698655376553,0.2770238253506447,0.0,0.2770238253506447,0.0,15iter_status_quo
42,5584.246522656695,0.0,status_quo,scenario_44,2333,119,5584.246522656695,2.815586482011779,0.0,2.815586482011779,0.0,15iter_status_quo
43,5376.107615468753,0.0,status_quo,scenario_44,2333,119,5376.107615468753,2.710642495194329,0.0,2.710642495194329,0.0,15iter_status_quo
44,4705.268039949857,0.0,status_quo,scenario_44,2335,118,4705.268039949857,2.3925091728558594,0.0,2.3925091728558594,0.0,15iter_status_quo
45,5931.50774269518,0.0,status_quo,scenario_44,2333,120,5931.50774269518,2.96575387134759,0.0,2.96575387134759,0.0,15iter_status_quo
46,3019.908646687248,0.0,status_quo,scenario_44,2338,118,3019.908646687248,1.5355467695019904,0.0,1.5355467695019904,0.0,15iter_status_quo
47,1923.2122059320616,0.0,status_quo,scenario_44,2391,88,1923.2122059320616,1.311281049499133,0.0,1.311281049499133,0.0,15iter_status_quo
48,661.9150670575519,0.0,status_quo,scenario_44,2333,119,661.9150670575519,0.3337386892727152,0.0,0.3337386892727152,0.0,15iter_status_quo
49,3086.7798993936267,0.0,status_quo,scenario_44,2333,120,3086.7798993936267,1.543389949696813,0.0,1.543389949696813,0.0,15iter_status_quo
50,60.406023075776496,0.0,status_quo,scenario_44,1516,109,60.406023075776496,0.0332510218765742,0.0,0.0332510218765742,0.0,15iter_status_quo
51,89.83860284702587,0.0,status_quo,scenario_44,2333,120,89.83860284702587,0.0449193014235129,0.0,0.0449193014235129,0.0,15iter_status_quo
52,161.90388362602724,0.0,status_quo,scenario_44,1516,109,161.90388362602724,0.0891214038308406,0.0,0.0891214038308406,0.0,15iter_status_quo
53,666.8849192453416,0.0,status_quo,scenario_44,1169,105,666.8849192453416,0.3810770967116238,0.0,0.3810770967116238,0.0,15iter_status_quo
54,224.7870581054576,0.0,status_quo,scenario_44,2333,120,224.7870581054576,0.1123935290527288,0.0,0.1123935290527288,0.0,15iter_status_quo
55,3897.802473376,0.0,status_quo,scenario_44,2333,120,3897.8024733759994,1.948901236687999,0.0,1.948901236687999,0.0,15iter_status_quo
56,2953.672126356878,0.0,status_quo,scenario_44,2186,118,2953.672126356878,1.5018671828933277,0.0,1.5018671828933277,0.0,15iter_status_quo
57,1607.524113232189,0.0,status_quo,scenario_44,2391,99,1607.524113232189,0.9742570383225386,0.0,0.9742570383225386,0.0,15iter_status_quo
58,980.986779978202,0.0,status_quo,scenario_44,2391,100,980.986779978202,0.5885920679869212,0.0,0.5885920679869212,0.0,15iter_status_quo
59,1517.319045671118,2832.03485626888,status_quo,scenario_44,2391,100,1517.319045671118,0.9103914274026708,1.184456234324082,1.229696784266338,0.3193053568636671,15iter_status_quo
60,3341.26037136498,2832.03485626888,status_quo,scenario_44,2338,118,3341.26037136498,1.6989459515415155,1.2113066108934474,2.3221463846572696,0.6232004331157541,15iter_status_quo
