development,scenario,tts_raw,net_benefit_raw,building_costs,externalities_raw,maintenance,maintenance_annual,maintenance_derived,construction_raw,construction_integrated,maintenance_raw,maintenance_integrated,tts_integrated,operation_raw,operation_integrated,cost_base_raw,cost_base_integrated,bcr_raw,bcr_integrated,net_benefit_integrated,mode,year,status_quo_tt,development_tt,tt_savings_daily,monetized_savings_yearly,net_benefit_reported,bcr_reported,TotalConstructionCost,YearlyMaintenanceCost,uncoveredOperatingCost
270,scenario_19,-19391956.210889112,-1050866882.5307432,443045218.6099368,313743130.1082861,274686577.60163116,5493731.5520326225,274686577.60163116,443045218.6099368,12745509.70825755,5493731.5520326225,6487051.471665977,-21599633.899048623,0.0,0.0,448538950.1619694,19232561.179923527,-0.043233605919589795,-1.1230763129767674,-354575325.18725824,Road,,,,,,,,,,
273,scenario_19,7669281.4171632435,-652068821.1726444,142458879.86503434,420002350.610022,97276872.11475126,1945537.4422950253,97276872.11475122,142458879.86503434,4098252.1875399556,1945537.4422950253,2297309.471474201,8542390.931477237,0.0,0.0,144404417.30732936,6395561.659014156,0.05310974248690094,1.3356748612433837,-417855521.3375589,Road,,,,,,,,,,
277,scenario_19,-502182396.959999,-2505062104.9244018,1001643662.0882915,386294667.2854791,614941378.590632,12298827.571812637,614941378.590632,1001643662.0882915,28815250.64059146,12298827.571812637,14522574.81892692,-559353363.163631,0.0,0.0,1013942489.6601042,43337825.45951838,-0.49527700247411627,-12.906816556500274,-988985855.9086285,Road,,,,,,,,,,
284,scenario_19,-22599144.499763496,-1357521136.041646,165840820.01590046,1050913730.8058985,118167440.72008365,2363348.814401673,118167440.72008348,165840820.01590046,4770903.042741121,2363348.814401673,2790665.189829315,-25171944.61033744,0.0,0.0,168204168.83030215,7561568.232570436,-0.13435543635403785,-3.3289317554409785,-1083647243.6488063,Road,,,,,,,,,,
285,scenario_19,-1056152690.7985992,-3355488060.978993,1081651927.7502804,534236242.74331635,683447199.686797,13668943.993735941,683447199.6867969,1081651927.7502804,31116925.69293759,13668943.993735941,16140421.571541326,-1176390417.483255,0.0,0.0,1095320871.7440164,47257347.264478914,-0.9642404504873061,-24.893280845822915,-1757884007.4910502,Road,,,,,,,,,,
289,scenario_19,-725989982.1966032,-4138722395.594567,1806910338.443409,489555048.98384964,1116267025.9707053,22325340.519414105,1116267025.970705,1806910338.443409,51981134.86663612,22325340.519414105,26361978.502266895,-808640327.9426796,0.0,0.0,1829235678.9628232,78343113.36890301,-0.3968815995368293,-10.321779326473077,-1376538490.2954323,Road,,,,,,,,,,
308,scenario_19,41429239.60741044,-3025043119.076754,1272109016.5535288,981965235.1892271,812398106.9414086,16247962.138828171,812398106.9414086,1272109016.5535288,36595988.714912,16247962.138828171,19185751.197701126,46145752.31628999,0.0,0.0,1288356978.692357,55781739.91261312,0.03215664624990804,0.8272555210465157,-991601222.7855502,Road,,,,,,,,,,
331,scenario_19,-1208511422.861917,-4697068443.710911,1809319030.8791187,482407924.1553338,1196830065.8145416,23936601.31629083,1196830065.8145413,1809319030.8791187,52050428.048311494,23936601.31629083,28264570.870426856,-1346094432.802915,0.0,0.0,1833255632.1954095,80314998.91873835,-0.6592159880150855,-16.76018739868098,-1908817355.8769872,Road,,,,,,,,,,
334,scenario_19,786320238.3894304,124188614.21433878,154144214.2024022,400252070.1311321,107735339.84155726,2154706.796831145,107735339.84155726,154144214.2024022,4434415.486420476,2154706.796831145,2544298.6729521872,875838883.4999136,0.0,0.0,156298920.99923334,6978714.159372663,5.030874387119328,125.50146968315511,468608099.20940876,Road,,,,,,,,,,
348,scenario_19,-804941005.5568478,-2277131079.4900737,511767627.3162046,609682058.3963946,350740388.22062665,7014807.764412533,350740388.22062683,511767627.3162046,14722513.613386558,7014807.764412533,8283153.008222566,-896579532.3216035,0.0,0.0,518782435.08061713,23005666.621609125,-1.55159649040886,-38.972117046999635,-1529267257.3396072,Road,,,,,,,,,,
