mode,development,scenario_count,median_tts_minutes,mean_tts_minutes,std_tts_minutes,min_tts_minutes,max_tts_minutes,q1_tts_minutes,q3_tts_minutes,median_bcr_integrated,iqr_tts_minutes,abs_median_tts_minutes,relative_iqr_tts,relative_std_tts
Rail,101013,3,579.2942169428061,584.1091115229696,50.39450936753251,536.2948586523562,636.7382589737463,557.7945377975811,608.0162379582762,0.6956124657657459,50.221700160695036,579.2942169428061,0.08669463407685536,0.08699294398878485
Rail,100000,3,552.8529250404026,556.0634285464015,46.656324686356896,511.09527443653496,604.2420861622668,531.9740997384688,578.5475056013347,2.859346099442707,46.57340586286591,552.8529250404026,0.08424194528673665,0.08439192879905129
Rail,101028,3,498.2028192004,502.0270410167189,42.97770951954007,461.0892393092072,546.7890645405496,479.6460292548036,522.4959418704748,0.20140586303378796,42.8499126156712,498.2028192004,0.08600897257956905,0.08626548839791384
Rail,101006,3,473.16944832802255,473.93431642254774,51.651837448839096,422.669160550824,525.9643403887967,447.9193044394233,499.5668943584096,0.42867261355246866,51.64758991898634,473.16944832802255,0.10915241907838032,0.10916139584107656
Rail,101015,3,394.3710067272332,395.24290630884934,41.606133406597706,354.0795750916004,437.2781371077144,374.2252909094168,415.8245719174738,0.5341756167236045,41.599281008057005,394.3710067272332,0.10548260470077903,0.10549998021374477
Rail,101020,3,348.34606559080567,351.0863570458435,30.372584030228175,322.1767741958247,382.7362313509002,335.2614198933152,365.54114847085293,0.1316052810385033,30.279728577537753,348.34606559080567,0.08692427321141807,0.08719083414568021
Rail,101017,3,344.1003725072442,346.6528891372024,30.51688635486801,317.49242872403556,378.36586618032743,330.79640061563987,361.2331193437858,0.15798950555702404,30.436718728145934,344.1003725072442,0.0884530246403763,0.08868600208860732
Rail,101021,3,304.69938209854445,306.8080288913843,26.034659187058754,281.89181733925943,333.83288723634905,293.29559971890194,319.26613466744675,0.10038541453690898,25.97053494854481,304.69938209854445,0.08523330362430975,0.08544375445644568
Rail,101022,3,251.03147052130225,252.46553097303453,21.11856715612816,232.10054322875655,274.26457916904474,241.56600687502942,262.6480248451735,0.08104244436233911,21.08201797014408,251.03147052130225,0.0839815738097072,0.08412716984158392
Rail,101025,3,227.8905824025278,229.50625468360036,19.51912794094192,210.84517822263297,249.78300342564037,219.36788031258038,238.83679291408407,0.10574200250418132,19.46891260150369,227.8905824025278,0.08543096601997949,0.0856513144824251
Rail,100004,3,223.4281949678843,224.7057785193198,18.796653323952697,206.58050859766809,244.10863199240703,215.0043517827762,233.76841348014568,0.5133398701513255,18.76406169736947,223.4281949678843,0.08398251483017453,0.08412838552741536
Rail,100003,3,202.09990488690528,203.50591409473904,17.273974724273852,186.9779130299357,221.43992436737608,194.5389089584205,211.76991462714068,0.4866996677000969,17.231005668720172,202.09990488690528,0.08525984056431204,0.08547245350729055
Rail,101004,3,167.26976013182866,167.31755544874372,19.625152051500834,147.7163447062194,186.96656150818308,157.49305241902402,177.11816082000587,0.0865184145913303,19.625108400981844,167.26976013182866,0.11732609878506971,0.11732635974388829
Rail,101032,3,83.85705749196495,84.00854871342501,9.057637639392835,75.02760688260605,93.14098176570404,79.4423321872855,88.4990196288345,0.054360692372033954,9.056687441549002,83.85705749196495,0.10800149340342402,0.10801282456471506
Rail,101018,3,32.87027869223675,33.09976223575844,2.811298843541068,30.410238655393183,36.018769359645376,31.64025867381497,34.444524025941064,0.01624537720645354,2.8042653521260945,32.87027869223675,0.08531309936195951,0.08552707659898959
Rail,101009,3,22.470594223341323,22.601816074054415,1.8937615996634707,20.77707819144416,24.55777580737777,21.623836207392742,23.514185015359544,0.01824906293261435,1.8903488079668023,22.470594223341323,0.08412544809354454,0.08427732621758291
