mode,development,scenarios,mean_bcr_integrated,std_bcr_integrated,min_bcr_integrated,max_bcr_integrated,mean_nb_integrated,std_nb_integrated,viable_scenarios_integrated
Road,9,3,39.85747780137621,26.838351282662117,18.036712924203,69.82534603171705,1202754545.676402,1591955099.103988,2
Road,423,3,34.476039084099845,25.26197951088716,14.009662437012395,62.709593487619486,-300565376.23383194,250152262.6572411,0
Road,938,3,31.811709843472453,24.373136006524103,11.753074988816602,58.93746358420238,-698550678.9618691,227550371.01366362,0
Road,673,3,28.817607729106356,20.71126244385391,12.132724821094042,51.99808826439386,40339404.55167837,112537367.87149629,2
Road,15,3,28.110585881968035,20.114780160576515,11.849053454518383,50.60367444417032,-11229182.683527937,173128137.20141828,1
Road,152,3,24.367453474697736,16.48947163833554,10.960319791138183,42.77953216490831,1381684722.1504152,1637999117.3987074,3
Road,57,3,23.526153016159572,13.098090137963755,13.061219147337468,38.21503759168126,-166663264.75346896,82913761.97309084,0
Road,813,3,22.603565593028446,17.486635522782418,8.243151380706285,42.07670968123485,-640811706.5710659,290987171.8511431,0
Road,761,3,22.253076967083032,16.670612050112364,8.79015154833544,40.89972056061807,-73771388.10048272,145262255.68691662,1
Road,767,3,22.157800576175976,16.155209944700594,9.271495046341586,40.28205584476005,-42541400.54788789,109900812.88409325,1
Road,540,3,18.259020575648453,13.919008964103368,6.709271766039594,33.71332096389808,-1893775657.7757032,116917346.00822996,0
Road,770,3,12.997048852533053,9.844657414200677,5.1434150613417415,24.041281487592705,-148465482.88234028,63471255.66581707,0
Road,694,3,12.287019945695482,10.633787843566235,3.4218117116279076,24.077171624719092,-579158589.2201663,117419902.48751052,0
Road,569,3,11.826164227550962,9.232006785589643,4.105921286719414,22.052472625011738,-1646126043.2777555,78542171.51444413,0
Road,62,3,10.202611988538697,7.758113536182505,4.102464402179399,18.934188682252177,-41527035.41996278,48990189.4195573,1
Road,176,3,7.417098107967466,5.895291834528488,2.604556048841127,13.992786963931978,-1091497803.9682796,198969025.69956577,0
Road,209,3,7.291237087391487,8.038641949073183,0.5475381294151173,16.186822408954008,-636543848.9467121,92652196.48046649,0
Road,206,3,6.673141298043301,5.758764070572914,1.06443835565441,12.571067093308557,-1080670762.9393072,36965537.88230807,0
Road,837,3,6.403921819805885,5.526285248628388,0.9757540248950117,12.023358439724989,-1143797710.3095467,34887949.31364339,0
Road,958,3,6.383317619483759,6.153432190911815,1.4369502902784306,13.274058913770205,-566738982.9342406,43877750.29168938,0
Road,780,3,5.943174292803384,5.700962088890395,1.328624587592627,12.316210698005031,-549446548.926097,45403987.66996106,0
Road,90,3,5.499227966296618,4.9202553219326255,0.5516567382078625,10.391704680967027,-1013299102.452375,30335616.08126968,0
Road,104,3,5.233335768980393,4.688622773516039,0.39166446636186797,9.752229512999056,-901887273.0025969,26197112.48498995,0
Road,863,3,4.38774857532864,6.06091780533628,-0.7532651105528622,11.070700962495682,-680377713.2344091,71707960.76040326,0
Road,392,3,4.1507050815532365,2.8855703409725537,2.1354793881659146,7.456287737934168,-176258944.62261024,16149791.0407452,0
Road,550,3,3.8370455944201507,4.137960661387606,0.4989786355471915,8.466771588919928,-993108831.4788901,45259580.40360219,0
Road,177,3,3.227315366350487,2.9153049420391293,0.9395825579321495,6.509805592797342,-305108997.35469323,17492169.43806118,0
Road,267,3,2.32858741924824,2.7693958951819835,-0.5642928067544611,4.955276075037397,-452535989.3380044,17798366.11927683,0
Road,12,3,2.2821861060242035,3.5002302677110935,-0.6961671129258239,6.137513810501051,-865627832.2281936,52007510.64986109,0
Road,28,3,2.2762741133218025,2.3212958520361346,0.36518112621039084,4.859459119766765,-1047180240.2431217,248524130.21251562,0
Road,94,3,2.1469897474878006,1.8907904144177945,0.9299325703478428,4.32528496264063,-70927357.84416796,10114990.759573884,0
Road,680,3,1.9250103114140433,3.1643659810917484,-0.773655036649231,5.407677480236087,-827349886.5829021,57545597.27887867,0
Road,964,3,1.9207261270734692,1.8141355500340208,0.11301688355757983,3.7412204065364727,-661249879.6963863,12326358.111560544,0
Road,538,3,1.8004510050951243,1.853832239880819,0.3200323693456113,3.879676555438964,-537940841.1273541,42161241.88253778,0
Road,17,3,1.2634755921874754,1.3050491266986624,0.17836197830257391,2.71159827570555,-1134913793.1129198,134886720.25194743,0
Road,627,3,1.2487555771283383,0.8287514726948602,0.7010814833418431,2.2022019373334736,-377657714.4349324,6331111.489431773,0
Road,233,3,1.1904434861393938,2.30713070387432,-1.4292994593104231,2.9193164619452032,-886496107.8900448,14245191.16724658,0
Road,602,3,0.9481174879212216,1.8483847243064142,-0.5894391773690145,2.998873088233546,-889735867.9629389,57088841.2345976,0
Road,227,3,0.8230567517385086,0.5091306463320961,0.4938480990775593,1.4094788850596434,-159537272.5481331,3720743.8987155994,0
Road,565,3,0.6682163282542307,2.0367984777312773,-1.0302747582245715,2.9263245549204067,-902575648.6340731,59384623.14690829,0
Road,273,3,0.5222849467534793,0.7050407810075521,0.08592286733062862,1.3356748612433837,-423057606.6884994,4509131.787053309,0
Road,493,3,0.31480402837290783,0.6497482259195412,-0.23036826387457654,1.033779170675777,-96637890.79906093,3673623.1670314064,0
Road,240,3,0.2146490112407413,0.41349632778858975,-0.055739184036306996,0.6906463966946332,-288332363.3018554,3424728.7684662067,0
Road,308,3,0.1561024485862262,0.6166660763022662,-0.38548917121152393,0.8272555210465157,-1029039308.9150814,34398706.68122468,0
Road,858,3,0.12476571105023039,1.4723355867915908,-1.1079943573205946,1.755048620517939,-1051821699.2968906,45951358.08749432,0
Road,764,3,-0.011815138441801659,0.5227424558965397,-0.4778694355922252,0.5534088181816879,-1029374131.0855803,28403912.515072525,0
Road,250,3,-0.10456160754921441,0.1343200778404718,-0.2428578272740493,0.02539357442192692,-460454887.12380856,9084791.707085732,0
Road,143,3,-0.11026721951056284,0.11722961942055027,-0.24182988577124956,-0.0168954477415999,-161665253.69781336,2182835.0436530598,0
Road,594,3,-0.1503503840418206,0.5862604894778228,-0.6654158214468214,0.4876190020783629,-853228812.2140723,37708546.65609498,0
