ID_edge,flow,capacity,ffs,length_m,fftt_min,scenario,case,development,flow_cap,link_tt_min,delay_min
129,3378.4254153141064,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_75,dev109_scenario_75,109,4.634328416068733,13.246106183430914,11.166409790280985
129,3371.714022874459,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_44,dev109_scenario_44,109,4.625122116425869,13.201785110105536,11.122088716955608
178,2928.05396093484,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_100,dev109_scenario_100,109,2.92805396093484,15.84156594517767,10.801898088967928
178,2926.691477063998,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_96,dev267_scenario_96,267,2.926691477063998,15.831515592308891,10.79184773609915
178,2925.7351273442277,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_96,status_quo_scenario_96,status_quo,2.9257351273442276,15.824463879214,10.784796023004258
178,2907.6914861362834,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_96,dev28_scenario_96,28,2.9076914861362835,15.691849735665615,10.652181879455874
129,3290.363568454998,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_75,dev267_scenario_75,267,4.513530272229079,12.671566996369467,10.591870603219538
129,3289.4195563899284,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_75,status_quo_scenario_75,status_quo,4.512235331124731,12.665490209359595,10.585793816209666
129,3283.8353230637285,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_44,dev267_scenario_44,267,4.504575203105252,12.629579091914849,10.54988269876492
129,3282.8991969095787,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_44,status_quo_scenario_44,status_quo,4.503291079437008,12.623565018453453,10.543868625303524
129,3268.7626546963024,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_75,dev28_scenario_75,28,4.483899389158165,12.532954303059231,10.453257909909302
129,3262.2960756391453,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_44,dev28_scenario_44,28,4.475028910341763,12.491635943443928,10.411939550293999
178,2851.7543342437884,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_100,dev267_scenario_100,267,2.8517543342437883,15.285946072561668,10.246278216351925
178,2850.853725237624,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_100,status_quo_scenario_100,status_quo,2.850853725237624,15.27947536559635,10.239807509386608
178,2833.339691812674,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_100,dev28_scenario_100,28,2.8333396918126743,15.15404665867666,10.114378802466916
178,2831.667616746716,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_89,dev109_scenario_89,109,2.831667616746716,15.142112325208432,10.10244446899869
178,2762.874650073046,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_70,dev109_scenario_70,109,2.7628746500730457,14.657214181609783,9.617546325400042
178,2757.859225333032,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_89,dev267_scenario_89,267,2.757859225333032,14.622328560947828,9.582660704738085
178,2756.982356058529,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_89,status_quo_scenario_89,status_quo,2.756982356058529,14.616235860620703,9.576568004410962
178,2740.013002652119,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_89,dev28_scenario_89,28,2.7400130026521192,14.498710230538485,9.459042374328742
178,2728.722004665117,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_96,dev254_scenario_96,254,2.728722004665117,14.420913538090236,9.381245681880493
129,3067.6005015017727,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_75,dev254_scenario_75,254,4.207956792183501,11.285940598828148,9.20624420567822
129,3061.5582040812146,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_44,dev254_scenario_44,254,4.199668318355576,11.24970897018825,9.170012577038321
178,2690.900103922908,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_70,dev267_scenario_70,267,2.6909001039229077,14.16265524292413,9.122987386714389
178,2690.0834474156136,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_70,status_quo_scenario_70,status_quo,2.6900834474156134,14.15711864462518,9.11745078841544
