ID_edge,max_delay_min,mean_delay_min,max_flow_cap,mean_flow,case_count
86,1.0430214754607516,0.570630776699021,1.7592142870378726,923.5938923579239,50
30,1.030238792631098,0.5391163967587933,1.7544895645346752,3221.961725574758,50
62,1.0030697274652611,0.5248990244172765,1.9612982358793112,3221.961725574758,50
132,0.9553115482459409,0.49990751984509346,1.9529273513898562,3221.961725574758,50
95,0.9273943105807041,0.48568709047574893,1.9644522344818778,3228.692093032092,50
59,0.8335387013749128,0.43618468306420705,1.913721783482406,3221.961725574758,50
97,0.8141561320474072,0.4263803146990883,1.9646431639085185,3229.010942126733,50
83,0.7755181822638428,0.40612727771336,1.404755975689963,3228.0508122568044,50
84,0.7230455954624544,0.3786293127343402,1.5166674951038388,3227.6272915733703,50
127,0.7198943701402073,0.3768020970625993,1.9621129062238887,3223.7451979480097,50
33,0.6274674541051967,0.32834911222541757,1.913721783482406,3221.961725574758,50
88,0.5906563829106104,0.32496352764529135,1.155109877435511,1171.3995086722941,50
82,0.590651593088487,0.3092738714330407,1.5203908747372745,3226.8241290798796,50
91,0.5841596056767231,0.3224353136968169,0.9856364200200773,1705.1766001682784,50
87,0.5385928019840357,0.2960101077112806,2.126338850663766,1118.9961532958905,50
85,0.42260121173432463,0.2312025814994635,1.7592142870378726,923.5938923579239,50
93,0.3751194497675626,0.19645261792167001,1.4971298272683327,3228.4223738679084,50
31,0.32908392208604986,0.17220720048134536,1.666317838421862,3221.961725574758,50
89,0.22399718038787686,0.12353417464385866,0.8352974142719408,1444.3817783816585,50
90,0.18593228338739898,0.10268719372329574,0.9379079922622124,1623.0524477184354,50
81,0.18529853037834979,0.09701825186655544,1.9156862208774967,3226.316687267693,50
103,0.12404617021655273,0.06346160847622848,0.3794352866394553,868.6120480918554,50
77,0.03626306814065772,0.02013451764736632,0.47137439260442626,817.8843355918997,50
76,0.030322892973735027,0.016847574948039654,0.5386453444571636,934.919181757681,50
78,0.0262516984529223,0.014570069049147025,0.38349373958256494,665.2701954399437,50
73,0.024232135315473968,0.013519233431576816,0.25586954692157776,536.177673957689,50
79,0.013413367336770343,0.00744491667699135,0.36719907289335596,637.0169086651642,50
74,0.011031016340833033,0.006154494511531799,0.27076368658489436,253.86352954419425,50
102,0.008090634610149916,0.003860860810997533,0.11295172516095436,251.92469110572324,50
80,4.1862119190577696e-05,2.325222127492532e-05,0.027032606817219612,46.91439302843405,50
99,9.757491085116143e-07,5.548647413500252e-07,0.0039049752169289112,2.098136776064936,50
139,0.0,0.0,0.0,0.0,50
140,0.0,0.0,0.0,0.0,50
141,0.0,0.0,0.0,0.0,50
145,0.0,0.0,0.0,0.0,50
142,0.0,0.0,0.0,0.0,50
144,0.0,0.0,0.0,0.0,50
137,0.0,0.0,0.0,0.0,50
143,0.0,0.0,0.0,0.0,50
138,0.0,0.0,0.0,0.0,50
135,0.0,0.0,0.0,0.0,50
136,0.0,0.0,0.0,0.0,50
10,0.0,0.0,0.0,0.0,50
120,0.0,0.0,0.0,0.0,50
121,0.0,0.0,0.0,0.0,50
122,0.0,0.0,0.0,0.0,50
123,0.0,0.0,0.0,0.0,50
12,0.0,0.0,0.0,0.0,50
11,0.0,0.0,0.0,0.0,50
9,0.0,0.0,0.0,0.0,50
147,0.0,0.0,0.0,0.0,50
8,0.0,0.0,0.0,0.0,50
7,0.0,0.0,0.0,0.0,50
6,0.0,0.0,0.0,0.0,50
5,0.0,0.0,0.0,0.0,50
133,0.0,0.0,0.0,0.0,50
134,0.0,0.0,0.0,0.0,50
146,0.0,0.0,0.0,0.0,50
46,0.0,0.0,0.0,0.0,50
148,0.0,0.0,0.0,0.0,50
163,0.0,0.0,0.0,0.0,50
177,0.0,0.0,0.0,0.0,50
2,0.0,0.0,0.0,0.0,50
3,0.0,0.0,0.0,0.0,50
4,0.0,0.0,0.0,0.0,50
173,0.0,0.0,0.0,0.0,50
172,0.0,0.0,0.0,0.0,50
171,0.0,0.0,0.0,0.0,50
169,0.0,0.0,0.0,0.0,50
168,0.0,0.0,0.0,0.0,50
167,0.0,0.0,0.0,0.0,50
166,0.0,0.0,0.0,0.0,50
165,0.0,0.0,0.0,0.0,50
164,0.0,0.0,0.0,0.0,50
162,0.0,0.0,0.0,0.0,50
149,0.0,0.0,0.0,0.0,50
161,0.0,0.0,0.0,0.0,50
160,0.0,0.0,0.0,0.0,50
159,0.0,0.0,0.0,0.0,50
158,0.0,0.0,0.0,0.0,50
157,0.0,0.0,0.0,0.0,50
156,0.0,0.0,0.0,0.0,50
