development,scenario,status_quo_origin_access_tt,status_quo_network_tt,status_quo_destination_access_tt,status_quo_total_tt,development_origin_access_tt,development_network_tt,development_destination_access_tt,development_total_tt,origin_access_savings,network_savings,destination_access_savings,tt_savings_peak,monetized_savings_yearly,monetized_savings,status_quo_origin_access_tt_min,status_quo_network_tt_min,status_quo_destination_access_tt_min,status_quo_total_tt_min,development_origin_access_tt_min,development_network_tt_min,development_destination_access_tt_min,development_total_tt_min,origin_access_savings_min,network_savings_min,destination_access_savings_min,tt_savings_peak_min,total_tts_min
267,scenario_70,28665.435074543988,502775.8179659085,28665.43507454399,560106.6881149965,28577.866424729316,503298.665012802,28577.86642472931,560454.3978622607,87.56864981467515,-522.8470468935557,87.56864981468243,-347.7097472641617,-113730.06316765289,-4549202.526706115,1719926.1044726393,30166549.07795451,1719926.1044726395,33606401.28689979,1714671.985483759,30197919.90076812,1714671.9854837586,33627263.87173564,5254.118988880509,-31370.82281361334,5254.118988880946,-20862.584835849702,-20862.584835849702
28,scenario_75,28665.43506842944,628423.267456147,28665.43506842944,685754.1375930059,27596.16297547827,627407.9029890149,27596.16297547827,682600.2289399713,1069.272092951167,1015.364467132138,1069.2720929511706,3153.908653034596,1031590.9552633988,41263638.21053596,1719926.1041057664,37705396.04736882,1719926.1041057664,41145248.25558035,1655769.7785286962,37644474.17934089,1655769.7785286962,40956013.73639828,64156.32557707002,60921.86802792828,64156.32557707024,189234.51918207578,189234.51918207578
109,scenario_75,28665.43506842944,628423.267456147,28665.43506842944,685754.1375930059,28020.577551989023,666770.049942382,28020.577551989016,722811.20504636,644.8575164404137,-38346.782486235024,644.8575164404247,-37057.06745335413,-12120749.146201247,-484829965.8480499,1719926.1041057664,37705396.04736882,1719926.1041057664,41145248.25558035,1681234.6531193415,40006202.99654292,1681234.653119341,43368672.302781604,38691.450986424825,-2300806.9491741015,38691.45098642548,-2223424.047201248,-2223424.047201248
254,scenario_75,28665.43506842944,628423.267456147,28665.43506842944,685754.1375930059,26112.47040160266,559087.7347968841,26112.47040160266,611312.6756000895,2552.964666826778,69335.53265926288,2552.964666826781,74441.46199291642,24348561.526849743,973942461.0739896,1719926.1041057664,37705396.04736882,1719926.1041057664,41145248.25558035,1566748.2240961595,33545264.087813046,1566748.2240961595,36678760.53600537,153177.88000960666,4160131.959555773,153177.88000960686,4466487.719574985,4466487.719574985
267,scenario_75,28665.43506842944,628423.267456147,28665.43506842944,685754.1375930059,28577.866419217124,629004.4171284811,28577.86641921712,686160.1499669153,87.56864921231318,-581.1496723340824,87.56864921232045,-406.0123739093542,-132799.88063285127,-5311995.225314051,1719926.1041057664,37705396.04736882,1719926.1041057664,41145248.25558035,1714671.9851530273,37740265.027708866,1714671.985153027,41169608.99801491,5254.1189527387905,-34868.980340044945,5254.118952739227,-24360.742434561253,-24360.742434561253
28,scenario_78,28665.43506636572,976279.3630202012,28665.43506636572,1033610.2331529326,27596.16297348544,966908.279428422,27596.162973485432,1022100.6053753928,1069.2720928802846,9371.083591779112,1069.2720928802885,11509.627777539776,3764607.418903635,150584296.7561454,1719926.1039819433,58576761.78121208,1719926.1039819433,62016613.98917595,1655769.7784091264,58014496.76570532,1655769.778409126,61326036.32252357,64156.32557281708,562265.0155067467,64156.32557281731,690577.6666523865,690577.6666523865
109,scenario_78,28665.43506636572,976279.3630202012,28665.43506636572,1033610.2331529326,28020.577549127647,1044860.1098705396,28020.577549127644,1100901.264968795,644.8575172380733,-68580.74685033853,644.857517238077,-67291.0318158624,-22009774.98977166,-880390999.5908664,1719926.1039819433,58576761.78121208,1719926.1039819433,62016613.98917595,1681234.652947659,62691606.59223238,1681234.6529476587,66054075.8981277,38691.4510342844,-4114844.811020312,38691.45103428462,-4037461.908951744,-4037461.908951744
254,scenario_78,28665.43506636572,976279.3630202012,28665.43506636572,1033610.2331529326,26112.470399258345,843532.5531539908,26112.470399258345,895757.4939525074,2552.964667107375,132746.80986621033,2552.964667107375,137852.73920042522,45089333.44680575,1803573337.8722296,1719926.1039819433,58576761.78121208,1719926.1039819433,62016613.98917595,1566748.2239555006,50611953.18923944,1566748.2239555006,53745449.637150444,153177.88002644252,7964808.591972619,153177.88002644252,8271164.352025513,8271164.352025513
267,scenario_78,28665.43506636572,976279.3630202012,28665.43506636572,1033610.2331529326,28577.866417209305,977031.6799130372,28577.8664172093,1034187.412747456,87.56864915641563,-752.3168928362429,87.56864915641927,-577.1795945232734,-188785.825708654,-7551433.02834616,1719926.1039819433,58576761.78121208,1719926.1039819433,62016613.98917595,1714671.9850325582,58621900.794782236,1714671.985032558,62051244.76484736,5254.118949384938,-45139.013570174575,5254.118949385156,-34630.775671396405,-34630.775671396405
28,scenario_89,28665.435068242296,514910.8490281218,28665.435068242296,572241.7191646063,27596.162974159408,516616.62598949054,27596.162974159408,571808.9519378094,1069.2720940828876,-1705.7769613687417,1069.2720940828876,432.7672267969465,141550.9470981679,5662037.883926716,1719926.1040945377,30894650.94168731,1719926.1040945377,34334503.14987638,1655769.7784495645,30996997.559369434,1655769.7784495645,34308537.11626856,64156.32564497326,-102346.6176821245,64156.32564497326,25966.03360781679,25966.03360781679
109,scenario_89,28665.435068242296,514910.8490281218,28665.435068242296,572241.7191646063,28020.577551423718,543401.6685856311,28020.57755142371,599442.8236884784,644.8575168185816,-28490.81955750927,644.8575168185853,-27201.10452387214,-8897027.938016513,-355881117.5206605,1719926.1040945377,30894650.94168731,1719926.1040945377,34334503.14987638,1681234.6530854232,32604100.115137864,1681234.6530854227,35966569.4213087,38691.4510091149,-1709449.1734505561,38691.45100911512,-1632066.2714323285,-1632066.2714323285
254,scenario_89,28665.435068242296,514910.8490281218,28665.435068242296,572241.7191646063,26112.47040227101,466246.3413321864,26112.47040227101,518471.2821367284,2552.9646659712853,48664.50769593544,2552.9646659712816,53770.437027877895,17587413.777868394,703496551.1147357,1719926.1040945377,30894650.94168731,1719926.1040945377,34334503.14987638,1566748.2241362606,27974780.479931187,1566748.2241362606,31108276.928203706,153177.8799582771,2919870.4617561265,153177.8799582769,3226226.2216726737,3226226.2216726737
267,scenario_89,28665.435068242296,514910.8490281218,28665.435068242296,572241.7191646063,28577.866418892485,515444.59003754426,28577.86641889248,572600.3228753293,87.56864934981058,-533.7410094224615,87.56864934981422,-358.6037107229931,-117293.297048979,-4691731.88195916,1719926.1040945377,30894650.94168731,1719926.1040945377,34334503.14987638,1714671.9851335492,30926675.402252655,1714671.985133549,34356019.37251976,5254.118960988635,-32024.46056534769,5254.118960988853,-21516.222643379588,-21516.222643379588
28,scenario_96,28665.43507360223,547379.1714718367,28665.43507360223,604710.0416190412,27596.16297995773,548300.7421708021,27596.16297995773,603493.0681307176,1069.2720936444966,-921.5706989653409,1069.2720936445005,1216.973488323623,398051.7451391851,15922069.805567404,1719926.1044161338,32842750.288310204,1719926.1044161338,36282602.49714247,1655769.778797464,32898044.530248124,1655769.778797464,36209584.08784306,64156.3256186698,-55294.24193792045,64156.32561867003,73018.40929941738,73018.40929941738
109,scenario_96,28665.43507360223,547379.1714718367,28665.43507360223,604710.0416190412,28020.577555663112,578694.9671237444,28020.57755566312,634736.1222350706,644.8575179391191,-31315.795651907683,644.8575179391155,-30026.08061602933,-9821030.534826258,-392841221.3930503,1719926.1044161338,32842750.288310204,1719926.1044161338,36282602.49714247,1681234.6533397867,34721698.02742466,1681234.6533397872,38084167.33410423,38691.45107634715,-1878947.739114461,38691.45107634693,-1801564.8369617597,-1801564.8369617597
254,scenario_96,28665.43507360223,547379.1714718367,28665.43507360223,604710.0416190412,26112.470406375985,492787.3005376292,26112.47040637598,545012.2413503812,2552.964667226246,54591.87093420757,2552.9646672262534,59697.80026866007,19526155.50454089,781046220.1816357,1719926.1044161338,32842750.288310204,1719926.1044161338,36282602.49714247,1566748.224382559,29567238.032257754,1566748.2243825586,32700734.481022872,153177.88003357477,3275512.256052454,153177.8800335752,3581868.016119604,3581868.016119604
267,scenario_96,28665.43507360223,547379.1714718367,28665.43507360223,604710.0416190412,28577.86642430577,547928.6015584889,28577.86642430577,605084.3344071005,87.56864929645963,-549.4300866521662,87.56864929645963,-374.29278805921786,-122424.93276103585,-4896997.310441433,1719926.1044161338,32842750.288310204,1719926.1044161338,36282602.49714247,1714671.985458346,32875716.093509335,1714671.985458346,36305060.06442603,5254.1189577875775,-32965.80519912997,5254.1189577875775,-22457.56728355307,-22457.56728355307
