development,mean_total_tts,median_total_tts,std_total_tts,min_total_tts,max_total_tts,origin_access_savings,network_savings,destination_access_savings,access_savings,origin_access_savings_per_demand,network_savings_per_demand,destination_access_savings_per_demand,access_savings_per_demand,mean_total_tts_per_demand,n_scenarios
273,183.3719956051015,50.99914636893664,247.53678198073186,30.167148696258664,468.9496917501092,302.0444265720701,-420.716857539063,302.0444265720689,604.0888531441391,0.032140100987815376,-0.04937874398337546,0.0321401009878152,0.06428020197563057,0.014901457992258137,3
493,97.70945619686972,43.7642063468229,201.6700553281195,-71.50212754437234,320.8662897881586,3.8413926082757825,90.02667098038364,3.8413926082769954,7.6827852165527775,0.00040875690957088896,0.006576643892380059,0.00040875690957093363,0.0008175138191418226,0.0073941577115175065,3
240,97.59559800650459,4.110183119424619,188.00655614835384,-25.34322877600789,314.01983967609704,219.48697856917715,-341.3783591317867,219.48697856917838,438.9739571383555,0.02335528496201875,-0.039737066329182884,0.02335528496201884,0.04671056992403758,0.006973503594852648,3
764,-35.24325558931249,-331.0554183269851,1559.2831240441599,-1425.4318508289289,1650.7575023879765,395.03617396815025,-825.3156035256108,395.03617396814906,790.0723479362993,0.0420352153787762,-0.12242243874397395,0.042035215378776074,0.08407043075755227,-0.03835200798642322,3
464,-99.13157835455301,-68.87010170216672,162.8391296154384,-274.97872656793334,46.45409320644103,4.288720778150794,-107.70901991077699,4.288720778149582,8.577441556300377,0.0004563564393073145,-0.010014531000555198,0.00045635643930714334,0.0009127128786144578,-0.009101818121943663,3
143,-112.71372381756858,-73.67548604216427,119.83059884212304,-247.1953775259899,-17.270307884551585,4.145696252687533,-121.00511632297032,4.145696252688746,8.29139250537628,0.00044113741108763976,-0.012129680798509604,0.00044113741108764616,0.0008822748221752859,-0.011247405976329899,3
811,-212.80673195192745,-227.1479283431545,154.14364201998194,-359.2786081562517,-51.99365935637616,-78.57431528039767,-55.658101391163655,-78.57431528039888,-157.14863056079653,-0.008360976747584173,-0.007789060893572314,-0.008360976747584343,-0.016721953495168515,-0.024511014388735135,3
250,-388.2335860017144,-357.2636050116271,498.7257437438621,-901.72260527662,94.28545228310396,959.2838324487626,-2306.801250899172,959.2838324487602,1918.567664897523,0.10207597474048652,-0.23420813414640987,0.10207597474048623,0.20415194948097273,-0.030056184665441268,3
270,-409.0980703893195,-30.112625018227845,672.6653192435377,-1185.7501886913087,-11.431397458421998,696.8776680228706,-1802.8534064350727,696.8776680228669,1393.7553360457375,0.07415372263698115,-0.17884258102984854,0.07415372263698083,0.148307445273962,-0.030535135755882004,3
140,-483.4866979023209,-443.70016512356233,269.51908665751654,-770.6874874364585,-236.07244114694183,64.63924754256489,-612.7651929874361,64.63924754256247,129.27849508512736,0.006878166788071412,-0.06169803134628801,0.006878166788071113,0.013756333576142525,-0.0479416977701427,3
594,-530.8850824698262,-964.857189460774,2070.0775078742918,-2349.573867049534,1721.775809100829,-45.79855393736337,-439.28797459497576,-45.798553937365796,-91.59710787472916,-0.004873356434544352,-0.0925057035632358,-0.004873356434544694,-0.009746712869089047,-0.10225241643233436,3
736,-665.892250436785,-817.7444659491302,454.0177953145847,-1024.5208998117596,-155.4113855494652,0.0,-665.892250436785,0.0,0.0,0.0,-0.0608924376824169,0.0,0.0,-0.0608924376824169,3
987,-689.7603658856436,-772.7292099812767,503.03294310955584,-1146.1506972000934,-150.40119047556072,0.0,-689.7603658856436,0.0,0.0,0.0,-0.06205305461105783,0.0,0.0,-0.06205305461105783,3
533,-851.057421326676,-756.445660441881,526.4666973776873,-1418.414880436496,-378.3117231016513,57.74522247184844,-966.5478662702953,57.74522247184844,115.49044494369689,0.006144583777784294,-0.11470387446907528,0.00614458377778425,0.012289167555568544,-0.10241470691351007,3
755,-866.7782504253167,-718.0900838895468,890.0508841500736,-1821.8092520844657,-60.43541530193761,1045.657441935941,-2958.0931342970966,1045.6574419359386,2091.3148838718794,0.11126686286247549,-0.29493736241347257,0.11126686286247513,0.22253372572495064,-0.07240363668852823,3
