iteration,development,scenario,matched_od_pairs,unweighted_mean_tts_min,unweighted_median_tts_min,weighted_mean_tts_min,min_od_tts_min,max_od_tts_min
5iter,267,scenario_78,930,2.1401558862211343,2.1596696796488635,2.370467709450615,-0.0001784435216939384,20.49014002365037
8iter,28,scenario_19,930,2.783508936318223,1.875078381497286,4.478473009095166,-1.9709260482961204,48.00937250018242
8iter,28,scenario_26,930,3.048498403027869,1.7063228030984035,0.8999234977566224,-0.2149266869609101,22.625815751814837
8iter,28,scenario_44,930,-7.900394429404633,-6.198051044493815,-4.670721158896213,-99.36861736878885,10.550704045469228
8iter,28,scenario_64,930,0.5213515521579886,0.17268335453673456,0.9886035487231681,-4.049656590821478,43.15305888174602
8iter,28,scenario_78,930,2.8274967330551,1.937192351050624,4.628259710492408,-1.474857876711646,44.265262157699595
8iter,109,scenario_19,930,-3.7760808612302474,-3.918108806437721,-4.182661416789813,-10.459076768736582,1.3273246827547924
8iter,109,scenario_26,930,2.937084946105566,1.244859375734474,0.2578930477889762,-0.7530598478574901,29.073265288980913
8iter,109,scenario_44,930,-2.1695778831837202,-1.715600227566747,-1.5368197327360955,-97.40589770086041,19.931934263030982
8iter,109,scenario_64,930,-0.9045366545901872,-0.8895329384848416,-0.27265161056888004,-8.251927841917366,7.394955509289476
8iter,109,scenario_78,930,-0.5835434721630091,-1.0407978273285812,-0.539922309982622,-6.592800690771538,7.017730885502243
8iter,254,scenario_19,930,6.3199503906416705,7.2833439605796055,6.413350920370878,-0.1391723416403884,23.87304509873465
8iter,254,scenario_26,930,4.024791783697173,2.919954814173554,2.043795999282485,-1.523820000390308e-07,22.77059185416305
8iter,254,scenario_44,930,-11.935505942973844,-8.989756615458521,-6.14302888034623,-48.58246651824836,2.334077670100041
8iter,254,scenario_64,930,4.938711910735831,6.852373245276894,6.402952989883017,-8.176142381433731,18.013694707362838
8iter,254,scenario_78,930,11.364787767205721,12.008882358079957,13.876442729652565,-1.2391652236310702,28.40155485764028
8iter,267,scenario_19,930,1.855746226562063,1.4978412927339957,2.46105465221702,-1.9289390347563122,17.54013028464791
8iter,267,scenario_26,930,2.7965441853363004,1.470179076835838,0.6696842516550968,-0.33556678598607115,22.572755252623164
8iter,267,scenario_44,930,-6.974831146320129,-5.070479196361546,-4.128963431073553,-103.89412481141484,0.20715169130247624
8iter,267,scenario_64,930,0.11127028745309815,0.232749814455908,-0.2325451860068137,-3.55234090173854,14.586701558676122
8iter,267,scenario_78,930,2.041991869179364,1.638033974438482,3.0028394312138014,-0.8441301908843335,14.99074835654125
