development,score_id,value,value_mode,development_label,value_mio_chf,plot_order
17,road_maint_cost,-30102127.951760042,standalone_annual_proxy,17,-30.102127951760043,80
17,road_noise_cost,-24989644.7709846,standalone_annual_proxy,17,-24.9896447709846,80
17,road_tts_cost,-1332920.375182,standalone_annual_proxy,17,-1.332920375182,80
176,road_accident_cost,,standalone_annual_proxy,176,,8
176,road_airpollution_cost,,standalone_annual_proxy,176,,8
176,road_climate_cost,-912203.6005346518,standalone_annual_proxy,176,-0.9122036005346518,8
176,road_co2_cost,,standalone_annual_proxy,176,,8
176,road_construction_cost,-18740505.652223084,standalone_annual_proxy,176,-18.740505652223085,8
176,road_ecological_disruption_cost,-2461667.8016208513,standalone_annual_proxy,176,-2.4616678016208513,8
176,road_land_consumption_cost,-194978.84412685657,standalone_annual_proxy,176,-0.19497884412685657,8
176,road_maint_cost,-10319569.185627632,standalone_annual_proxy,176,-10.319569185627632,8
176,road_noise_cost,-29133101.013936985,standalone_annual_proxy,176,-29.133101013936987,8
176,road_tts_cost,1461254.3247093193,standalone_annual_proxy,176,1.4612543247093193,8
177,road_accident_cost,,standalone_annual_proxy,177,,27
177,road_airpollution_cost,,standalone_annual_proxy,177,,27
177,road_climate_cost,-142343.05597595888,standalone_annual_proxy,177,-0.1423430559759589,27
177,road_co2_cost,,standalone_annual_proxy,177,,27
177,road_construction_cost,-3362937.2774935863,standalone_annual_proxy,177,-3.3629372774935864,27
177,road_ecological_disruption_cost,-462098.4286458269,standalone_annual_proxy,177,-0.4620984286458269,27
177,road_land_consumption_cost,-8280.060409801852,standalone_annual_proxy,177,-0.008280060409801853,27
177,road_maint_cost,-1804119.644938555,standalone_annual_proxy,177,-1.804119644938555,27
177,road_noise_cost,-7349107.183762843,standalone_annual_proxy,177,-7.349107183762843,27
177,road_tts_cost,137381.32372321206,standalone_annual_proxy,177,0.13738132372321205,27
195,road_accident_cost,,standalone_annual_proxy,195,,99
195,road_airpollution_cost,,standalone_annual_proxy,195,,99
195,road_climate_cost,-288346.7808494802,standalone_annual_proxy,195,-0.2883467808494802,99
195,road_co2_cost,,standalone_annual_proxy,195,,99
195,road_construction_cost,-9138040.28669078,standalone_annual_proxy,195,-9.138040286690781,99
195,road_ecological_disruption_cost,-781558.4752067361,standalone_annual_proxy,195,-0.7815584752067362,99
195,road_land_consumption_cost,-110557.51160549065,standalone_annual_proxy,195,-0.11055751160549065,99
195,road_maint_cost,-4755154.37347054,standalone_annual_proxy,195,-4.75515437347054,99
195,road_noise_cost,-3859799.5516069345,standalone_annual_proxy,195,-3.8597995516069346,99
195,road_tts_cost,-4356803.023433311,standalone_annual_proxy,195,-4.356803023433311,99
197,road_accident_cost,,standalone_annual_proxy,197,,58
197,road_airpollution_cost,,standalone_annual_proxy,197,,58
197,road_climate_cost,-200149.9904952867,standalone_annual_proxy,197,-0.2001499904952867,58
197,road_co2_cost,,standalone_annual_proxy,197,,58
197,road_construction_cost,-3708121.800207873,standalone_annual_proxy,197,-3.708121800207873,58
197,road_ecological_disruption_cost,-645166.8391312053,standalone_annual_proxy,197,-0.6451668391312053,58
197,road_land_consumption_cost,-36567.688386607944,standalone_annual_proxy,197,-0.03656768838660794,58
197,road_maint_cost,-2050611.6352857824,standalone_annual_proxy,197,-2.0506116352857826,58
197,road_noise_cost,-8068304.449403197,standalone_annual_proxy,197,-8.068304449403197,58
197,road_tts_cost,-432564.9909966978,standalone_annual_proxy,197,-0.4325649909966978,58
2,road_accident_cost,,standalone_annual_proxy,2,,105
2,road_airpollution_cost,,standalone_annual_proxy,2,,105
2,road_climate_cost,-352820.83604413207,standalone_annual_proxy,2,-0.35282083604413206,105
2,road_co2_cost,,standalone_annual_proxy,2,,105
2,road_construction_cost,-4872821.9573651925,standalone_annual_proxy,2,-4.8728219573651925,105
2,road_ecological_disruption_cost,-1056257.7307701265,standalone_annual_proxy,2,-1.0562577307701264,105
2,road_land_consumption_cost,-68689.3212454351,standalone_annual_proxy,2,-0.0686893212454351,105
2,road_maint_cost,-2881052.492674267,standalone_annual_proxy,2,-2.881052492674267,105
2,road_noise_cost,-10346231.975217368,standalone_annual_proxy,2,-10.346231975217368,105
2,road_tts_cost,-4733917.823925004,standalone_annual_proxy,2,-4.733917823925005,105
201,road_accident_cost,,standalone_annual_proxy,201,,121
201,road_airpollution_cost,,standalone_annual_proxy,201,,121
201,road_climate_cost,-636728.6859814313,standalone_annual_proxy,201,-0.6367286859814313,121
201,road_co2_cost,,standalone_annual_proxy,201,,121
201,road_construction_cost,-8815628.094791744,standalone_annual_proxy,201,-8.815628094791744,121
201,road_ecological_disruption_cost,-1967105.0000000224,standalone_annual_proxy,201,-1.9671050000000223,121
201,road_land_consumption_cost,-131625.3826015249,standalone_annual_proxy,201,-0.1316253826015249,121
201,road_maint_cost,-5088526.572247073,standalone_annual_proxy,201,-5.088526572247073,121
201,road_noise_cost,-17130466.84823581,standalone_annual_proxy,201,-17.13046684823581,121
201,road_tts_cost,-5601666.971321447,standalone_annual_proxy,201,-5.601666971321447,121
202,road_accident_cost,,standalone_annual_proxy,202,,86
202,road_airpollution_cost,,standalone_annual_proxy,202,,86
202,road_climate_cost,-220191.78891128898,standalone_annual_proxy,202,-0.220191788911289,86
202,road_co2_cost,,standalone_annual_proxy,202,,86
202,road_construction_cost,-4780289.117029755,standalone_annual_proxy,202,-4.7802891170297555,86
202,road_ecological_disruption_cost,-688111.0090107869,standalone_annual_proxy,202,-0.6881110090107869,86
