development,scenario,delta_vkm_peak_hour,delta_vkm_peak_hour_new_link,delta_vkm_peak_hour_existing_network,delta_vkm_peak_hour_noise_relevant,road_accident_cost_annual,road_airpollution_cost_annual,road_co2_cost_annual,road_noise_cost_annual,road_land_consumption_cost,pop_50m_sum,empl_50m_sum,mean_surface_share,mean_settlement_buffer_share,mean_noise_relevant_share,delta_vkm_annualized,delta_vkm_annualized_noise_relevant
12,scenario_78,5039.501601728503,5860.862829561614,-821.3612278331104,1071.1002719987875,265865.20637618937,58647.19989011545,66300.94294774061,9974.621282988708,298979.3075733272,7750.640335472461,6104.861520210668,0.8069739402204477,0.3293159288653131,0.2614565784448496,3149688.5010803146,669437.6699992422
12,scenario_89,3103.002094909154,3616.357260987558,-513.3551660784044,658.5942505465373,163702.75426955108,36111.18687950529,40823.87131114856,6133.158958214629,298979.3075733272,7750.640335472461,6104.861520210668,0.8069739402204477,0.3293159288653131,0.2614565784448496,1939376.3093182212,411621.40659158584
12,scenario_96,3295.78088278615,3840.359131632433,-544.5782488462835,699.6198381584983,173873.0401974868,38354.65002342382,43360.11723915528,6515.209742851017,298979.3075733272,7750.640335472461,6104.861520210668,0.8069739402204477,0.3293159288653131,0.2614565784448496,2059863.0517413437,437262.3988490614
15,scenario_100,-624.6521191841689,1299.833547027721,-1924.4856662118896,-447.59116613332145,-32954.303362709805,-7269.389037005765,-8218.079443016723,-4168.192734616557,62885.75043230296,7236.0885949818385,5204.819443858439,0.8065649229676405,0.3286121389329288,0.2607052584837669,-390407.5744901056,-279744.4788333259
15,scenario_19,-956.3757486576408,1960.0675171531705,-2916.443265810811,-679.2334460277244,-50454.79809011966,-11129.822775003291,-12582.318443277083,-6325.361466133184,62885.75043230296,7236.0885949818385,5204.819443858439,0.8065649229676405,0.3286121389329288,0.2607052584837669,-597734.8429110255,-424520.9037673278
15,scenario_26,-411.5288219882175,888.4081937204797,-1299.9370157086971,-301.2257003782649,-21710.717415015897,-4789.166665887882,-5414.176064282487,-2805.164334772592,62885.75043230296,7236.0885949818385,5204.819443858439,0.8065649229676405,0.3286121389329288,0.2607052584837669,-257205.51374263593,-188266.06273641557
15,scenario_44,-727.2793720607967,1500.865502700998,-2228.144874761795,-518.6137667373832,-38368.5323722824,-8463.713692357524,-9568.269238674857,-4829.590702741882,62885.75043230296,7236.0885949818385,5204.819443858439,0.8065649229676405,0.3286121389329288,0.2607052584837669,-454549.60753799794,-324133.6042108645
15,scenario_64,-906.043687296988,1859.3580729207856,-2765.4017602177732,-643.950015918737,-47799.46727796171,-10544.083410918694,-11920.137261000997,-5996.784523243237,62885.75043230296,7236.0885949818385,5204.819443858439,0.8065649229676405,0.3286121389329288,0.2607052584837669,-566277.3045606174,-402468.7599492106
15,scenario_70,-586.4462803273905,1225.5214312622525,-1811.967711589643,-421.2560983333055,-30938.706576521887,-6824.768587310007,-7715.43387555723,-3922.947415728908,62885.75043230296,7236.0885949818385,5204.819443858439,0.8065649229676405,0.3286121389329288,0.2607052584837669,-366528.92520461907,-263285.06145831593
15,scenario_75,-728.6726973563561,1504.1206163544052,-2232.793313710761,-519.6791655772491,-38442.03898990626,-8479.928515484593,-9586.600174594558,-4839.512229438133,62885.75043230296,7236.0885949818385,5204.819443858439,0.8065649229676405,0.3286121389329288,0.2607052584837669,-455420.4358477226,-324799.4784857807
15,scenario_78,-994.2738999370704,2037.6063243037993,-3031.88022424087,-706.0848173141027,-52454.16243355509,-11570.862510517662,-13080.915996047086,-6575.414861237582,62885.75043230296,7236.0885949818385,5204.819443858439,0.8065649229676405,0.3286121389329288,0.2607052584837669,-621421.187460669,-441303.0108213142
15,scenario_89,-602.8752728960083,1257.6921105710146,-1860.5673834670229,-432.6090755605512,-31805.43861572002,-7015.960988327295,-7931.57780903811,-4028.672016157633,62885.75043230296,7236.0885949818385,5204.819443858439,0.8065649229676405,0.3286121389329288,0.2607052584837669,-376797.0455600052,-270380.67222534446
15,scenario_96,-642.544781965348,1335.354061093284,-1977.898843058632,-460.05417794154454,-33898.25315355937,-7477.614900121736,-8453.479787731609,-4284.254532080634,62885.75043230296,7236.0885949818385,5204.819443858439,0.8065649229676405,0.3286121389329288,0.2607052584837669,-401590.48872834246,-287533.86121346534
17,scenario_100,11404.981543153845,11844.542105908296,-439.5605627544512,1035.11084774035,601684.0575360102,132725.4727084529,150046.7884271178,9639.46976958201,388971.1759297056,7790.273244698132,6248.534780095975,0.8053368665387465,0.3287753752438513,0.2606784882736967,7128113.464471153,646944.2798377187
17,scenario_19,17204.748199615606,17859.942498080018,-655.1942984644113,1563.5906405388891,907657.9972059708,200220.25717302665,226349.9685011928,14560.937840018409,388971.1759297056,7790.273244698132,6248.534780095975,0.8053368665387465,0.3287753752438513,0.2606784882736967,10752967.624759754,977244.1503368056
17,scenario_26,7794.53835947597,8095.589974071096,-301.05161459512556,706.9553155846143,411210.6143271042,90708.94015840162,102546.89529185572,6583.52137638172,388971.1759297056,7790.273244698132,6248.534780095975,0.8053368665387465,0.3287753752438513,0.2606784882736967,4871586.474672481,441847.0722403839
17,scenario_44,13166.84808694244,13675.943462650306,-509.0953757078664,1194.888022551395,694633.5293867569,153229.19461179263,173226.34514383646,11127.394710009869,388971.1759297056,7790.273244698132,6248.534780095975,0.8053368665387465,0.3287753752438513,0.2606784882736967,8229280.054339025,746805.0140946218
17,scenario_64,16302.374543731928,16941.970706707412,-639.5961629754865,1477.969151743194,860052.1470227574,189718.8837526803,214478.11509097312,13763.587725608497,388971.1759297056,7790.273244698132,6248.534780095975,0.8053368665387465,0.3287753752438513,0.2606784882736967,10188984.089832457,923730.7198394964
17,scenario_70,10758.4396325205,11167.613174490549,-409.17354197004664,977.403207805674,567574.9308631596,125201.34122345732,141540.72141534783,9102.06737269034,388971.1759297056,7790.273244698132,6248.534780095975,0.8053368665387465,0.3287753752438513,0.2606784882736967,6724024.770325312,610877.0048785463
17,scenario_75,13193.784344673111,13705.529300105336,-511.74495543222224,1197.0341065208236,696054.585333661,153542.66531113337,173580.72528460564,11147.38011697517,388971.1759297056,7790.273244698132,6248.534780095975,0.8053368665387465,0.3287753752438513,0.2606784882736967,8246115.215420696,748146.3165755147
17,scenario_78,17871.204103084056,18566.149733865735,-694.945630781679,1621.4930382571508,942817.7114633282,207976.1377496407,235118.0289811996,15100.153918769716,388971.1759297056,7790.273244698132,6248.534780095975,0.8053368665387465,0.3287753752438513,0.2606784882736967,11169502.564427534,1013433.1489107192
17,scenario_89,11030.052869730796,11460.140350345988,-430.0874806151932,1000.105481142582,581904.2267087351,128362.24027149212,145114.13306739574,9313.482293140296,388971.1759297056,7790.273244698132,6248.534780095975,0.8053368665387465,0.3287753752438513,0.2606784882736967,6893783.0435817465,625065.9257141137
17,scenario_96,11708.45113829021,12167.970106251129,-459.51896796091864,1061.123920569746,617693.9753644228,136257.10012185233,154039.31028813057,9881.71651030576,388971.1759297056,7790.273244698132,6248.534780095975,0.8053368665387465,0.3287753752438513,0.2606784882736967,7317781.96143138,663202.4503560911
25,scenario_100,6988.456475909882,1646.892086069735,5341.564389840148,2647.1215862217978,368684.7569572207,81328.16223840126,91941.88051118936,24651.31977169049,107712.98814100532,7751.284421150214,6966.290180511743,0.8069739402204477,0.3318005852062447,0.2639412347857812,4367785.297443677,1654450.9913886236
25,scenario_19,10531.369886917486,2483.6848475796596,8047.685039337826,3990.069973369956,555595.5825966906,122558.81705900226,138553.3350747582,37157.52662700772,107712.98814100532,7751.284421150214,6966.290180511743,0.8069739402204477,0.3318005852062447,0.2639412347857812,6582106.179323428,2493793.7333562225
25,scenario_26,4787.620271208757,1124.791888546765,3662.828382661992,1812.2233468493655,252576.891932957,55715.93090619192,62987.12919309021,16876.329917534717,107712.98814100532,7751.284421150214,6966.290180511743,0.8069739402204477,0.3318005852062447,0.2639412347857812,2992262.669505473,1132639.5917808537
25,scenario_44,8065.867583860158,1902.0183411943249,6163.849242665834,3055.750046879421,425524.92672102246,93866.5340071726,106116.5704001602,28456.6723115646,107712.98814100532,7751.284421150214,6966.290180511743,0.8069739402204477,0.3318005852062447,0.2639412347857812,5041167.239912599,1909843.7792996375
25,scenario_64,9992.994836091448,2357.912411679308,7635.0824244121395,3786.606621980779,527192.9338215494,116293.47740501424,131470.3383123281,35262.77416719601,107712.98814100532,7751.284421150214,6966.290180511743,0.8069739402204477,0.3318005852062447,0.2639412347857812,6245621.772557155,2366629.1387379873
25,scenario_70,6590.0197878404,1552.0292820119082,5037.990505828491,2495.7947125630735,347664.73143225507,76691.35528099265,86699.94783377525,23242.08826074362,107712.98814100532,7751.284421150214,6966.290180511743,0.8069739402204477,0.3318005852062447,0.2639412347857812,4118762.36740025,1559871.695351921
25,scenario_75,8083.495828718249,1906.207064219742,6177.288764498508,3062.445303095051,426454.9268138171,94071.68270670864,106348.49199657446,28519.021885072663,107712.98814100532,7751.284421150214,6966.290180511743,0.8069739402204477,0.3318005852062447,0.2639412347857812,5052184.892948906,1914028.3144344068
25,scenario_78,10951.448696678264,2583.615516342714,8367.833180335552,4149.6635009643405,577757.3653041327,127447.48420759333,144079.99691567343,38643.741352730416,107712.98814100532,7751.284421150214,6966.290180511743,0.8069739402204477,0.3318005852062447,0.2639412347857812,6844655.435423915,2593539.688102713
25,scenario_89,6763.104735300456,1593.8310882061294,5169.273647094326,2561.8012931349735,356796.0441916947,78705.63135705906,88977.09667379662,23856.774542319443,107712.98814100532,7751.284421150214,6966.290180511743,0.8069739402204477,0.3318005852062447,0.2639412347857812,4226940.459562785,1601125.8082093585
25,scenario_96,7179.824647045618,1692.7138755400358,5487.110771505582,2719.9317167035956,378780.62403570034,83555.20932999338,94459.5680126939,25329.364111802235,107712.98814100532,7751.284421150214,6966.290180511743,0.8069739402204477,0.3318005852062447,0.2639412347857812,4487390.404403511,1699957.3229397472
27,scenario_100,6758.624836373217,1861.418038080195,4897.206798293022,2662.024120313155,356559.7015239145,78653.4965332933,88918.15800353512,24790.09962041626,100587.93634205122,7697.429499985365,6805.913315494175,0.8069739402204477,0.3316966154099878,0.2638372649895243,4224140.52273326,1663765.075195722
27,scenario_19,10183.757525779343,2806.3401275216615,7377.417398257681,4011.826144738692,537256.8579693965,118513.4782062571,133980.05994853447,37360.130972879066,100587.93634205122,7697.429499985365,6805.913315494175,0.8069739402204477,0.3316966154099878,0.2638372649895243,6364848.453612089,2507391.3404616825
27,scenario_26,4631.307605430305,1272.502601551677,3358.805003878628,1823.1260804752285,244330.4218589825,53896.842258195175,60930.640683942445,16977.861624425565,100587.93634205122,7697.429499985365,6805.913315494175,0.8069739402204477,0.3316966154099878,0.2638372649895243,2894567.2533939406,1139453.8002970177
27,scenario_44,7799.752208024012,2148.9103852815283,5650.8418227424845,3072.3670075026753,411485.6774245668,90769.61632087945,102615.48998681593,28611.41775736866,100587.93634205122,7697.429499985365,6805.913315494175,0.8069739402204477,0.3316966154099878,0.2638372649895243,4874845.130015008,1920229.379689172
27,scenario_64,9661.034410129005,2661.3173257588332,6999.7170843701715,3805.385515575702,509679.9465993683,112430.28794787628,127102.98395825972,35437.652613798724,100587.93634205122,7697.429499985365,6805.913315494175,0.8069739402204477,0.3316966154099878,0.2638372649895243,6038146.506330628,2378365.9472348136
27,scenario_70,6373.963622137977,1755.332807446503,4618.630814691473,2510.5089397885868,336266.4183404166,74177.0016526307,83857.45890375275,23379.114501781212,100587.93634205122,7697.429499985365,6805.913315494175,0.8069739402204477,0.3316966154099878,0.2638372649895243,3983727.263836236,1569068.087367867
27,scenario_75,7816.553061222992,2153.370717103276,5663.182344119717,3078.905769752439,412372.02743614546,90965.13624998258,102836.52621171498,28672.30998081959,100587.93634205122,7697.429499985365,6805.913315494175,0.8069739402204477,0.3316966154099878,0.2638372649895243,4885345.6632643705,1924316.1060952744
27,scenario_78,10587.935658936824,2916.632302226241,7671.303356710583,4170.553454753874,558579.7806067858,123217.10123087728,139297.5285128876,38838.27904739545,100587.93634205122,7697.429499985365,6805.913315494175,0.8069739402204477,0.3316966154099878,0.2638372649895243,6617459.786835515,2606595.909221171
27,scenario_89,6540.235418239582,1800.7758956377183,4739.459522601864,2575.7939947920377,345038.29478350194,76111.98967976314,86044.9722212145,23987.081576500845,100587.93634205122,7697.429499985365,6805.913315494175,0.8069739402204477,0.3316966154099878,0.2638372649895243,4087647.136399739,1609871.2467450236
27,scenario_96,6942.593388283651,1911.737698613298,5030.855689670352,2734.293442477232,366265.19244063937,80794.430556151,91338.49426460678,25463.107683069225,100587.93634205122,7697.429499985365,6805.913315494175,0.8069739402204477,0.3316966154099878,0.2638372649895243,4339120.867677282,1708933.40154827
28,scenario_100,13106.084778439126,15997.98118972754,-2891.8964112884128,563.0293619274067,691427.8850925291,152522.06160908533,172426.92786633974,5243.210932948976,371299.54841624544,7800.43437912368,6280.009023309961,0.8051985648566911,0.3287851009002104,0.2606650903917912,8191302.986524454,351893.35120462923
