development,scenario,tts_minutes,component
126,scenario_26,-5573.4693323202955,total
140,scenario_26,-85.44045996511704,total
143,scenario_26,-63.63240153877996,total
144,scenario_26,-4250.682917604485,total
150,scenario_26,-3934.626155389647,total
176,scenario_26,306.1973116915615,total
177,scenario_26,3.521029076859122,total
195,scenario_26,-3808.863591125584,total
197,scenario_26,-384.36142084616586,total
201,scenario_26,-5207.358920337108,total
202,scenario_26,-2078.567522920406,total
206,scenario_26,-80.8337217841472,total
209,scenario_26,-914.7985828327364,total
227,scenario_26,69.24357743558357,total
233,scenario_26,-373.89153271133546,total
240,scenario_26,-35.420015139650786,total
243,scenario_26,-3660.7033648428337,total
245,scenario_26,-4760.288406135427,total
249,scenario_26,-5143.746944596962,total
250,scenario_26,443.80262862340896,total
255,scenario_26,-412.0282322279527,total
261,scenario_26,-2035.228498341952,total
267,scenario_26,48.69511215452803,total
270,scenario_26,-498.71987836583867,total
273,scenario_26,50.62862796895206,total
277,scenario_26,-2708.6909063361527,total
284,scenario_26,-288.5224451353133,total
285,scenario_26,-5120.839621243504,total
289,scenario_26,-4996.447060171486,total
308,scenario_26,-1406.5625209117716,total
331,scenario_26,-5592.286669743975,total
334,scenario_26,2748.416123521689,total
348,scenario_26,-6195.111712883896,total
351,scenario_26,-8300.188233004417,total
356,scenario_26,-3973.860940434912,total
358,scenario_26,-4228.645524724328,total
390,scenario_26,-2905.3437061726872,total
392,scenario_26,110.72594671099796,total
394,scenario_26,59.24217693528044,total
423,scenario_26,1626.5581834885816,total
459,scenario_26,-1936.4160962348396,total
464,scenario_26,-20.177512652095174,total
469,scenario_26,-2819.726720861625,total
486,scenario_26,-5257.885662670451,total
493,scenario_26,-42.71534427689039,total
499,scenario_26,-4344.254705662577,total
517,scenario_26,-129.59167979485937,total
521,scenario_26,-8355.641788949637,total
531,scenario_26,-4310.620128523791,total
533,scenario_26,-732.3841195096902,total
538,scenario_26,-171.05378970617312,total
540,scenario_26,385.3623997748655,total
546,scenario_26,-627.0331139159389,total
550,scenario_26,-259.1495766293956,total
552,scenario_26,-1564.411450192536,total
556,scenario_26,-385.1030417178117,total
558,scenario_26,-5091.84699139811,total
564,scenario_26,-4735.302500218095,total
565,scenario_26,-1281.5492808720735,total
569,scenario_26,254.22905308628103,total
594,scenario_26,-1508.2989266176592,total
602,scenario_26,-1376.1224024819967,total
612,scenario_26,-9327.83875215854,total
614,scenario_26,-757.4114107878704,total
625,scenario_26,-856.1856019604311,total
627,scenario_26,337.5852998760529,total
628,scenario_26,-886.2975818910345,total
629,scenario_26,-784.6762769709167,total
648,scenario_26,-1105.221967193589,total
662,scenario_26,-7899.735169215826,total
669,scenario_26,1511.7851698814193,total
670,scenario_26,257.8935750409437,total
673,scenario_26,805.5131874942745,total
678,scenario_26,-4903.437353238376,total
680,scenario_26,-1032.7302257201227,total
682,scenario_26,-5097.7985738328425,total
689,scenario_26,-5490.258478178235,total
694,scenario_26,-88.29180199469556,total
726,scenario_26,-844.9841164700047,total
736,scenario_26,-61.19010992109543,total
750,scenario_26,-5442.860375580378,total
755,scenario_26,462.2117278466758,total
759,scenario_26,-9058.04825295898,total
761,scenario_26,760.4455309081532,total
764,scenario_26,-1578.8063363821711,total
767,scenario_26,637.6846931987384,total
770,scenario_26,368.5636825511465,total
775,scenario_26,-5711.035056344146,total
776,scenario_26,-1406.2831923559716,total
780,scenario_26,-171.49748552936944,total
789,scenario_26,-4916.139148231538,total
791,scenario_26,-1422.4804699293743,total
809,scenario_26,-1488.9652214566013,total
810,scenario_26,-1602.1900221246178,total
811,scenario_26,-208.53861731415964,total
813,scenario_26,611.3699622725835,total
822,scenario_26,-691.165237171721,total
831,scenario_26,-931.014075240586,total
837,scenario_26,-43.38498134803376,total
858,scenario_26,-1838.0044452345755,total
863,scenario_26,-1133.8363962981675,total
866,scenario_26,-441.8548762349237,total
873,scenario_26,-4986.963469939015,total
878,scenario_26,-1374.0944500087353,total
887,scenario_26,-2393.3254668348236,total
895,scenario_26,-4476.398280944646,total
935,scenario_26,-875.5014669097145,total
938,scenario_26,1019.1751485197748,total
940,scenario_26,-746.124407561816,total
945,scenario_26,-6009.281416726386,total
952,scenario_26,-5525.070824227092,total
958,scenario_26,-117.26341236423468,total
964,scenario_26,22.4517925378168,total
970,scenario_26,-1616.0236894892296,total
971,scenario_26,-133.74956482395646,total
987,scenario_26,-42.9747815989831,total
0,scenario_44,7806.03905306349,total
2,scenario_44,-14895.512264084187,total
12,scenario_44,-807.3290205867961,total
15,scenario_44,5588.046463606297,total
17,scenario_44,-5082.709703414352,total
25,scenario_44,-17249.42516789923,total
27,scenario_44,-16226.773045126814,total
28,scenario_44,-340.9889826733852,total
57,scenario_44,4997.492942904704,total
62,scenario_44,1376.889462238527,total
63,scenario_44,-18067.180925301043,total
73,scenario_44,-7954.123095341143,total
90,scenario_44,164.55749646003824,total
94,scenario_44,214.96501198376063,total
103,scenario_44,-16031.212330115028,total
104,scenario_44,165.1309899361804,total
109,scenario_44,-32929.742840435356,total
114,scenario_44,-761.9048759219004,total
126,scenario_44,-18552.54726833012,total
140,scenario_44,-353.30111800145824,total
143,scenario_44,-80.32590097561479,total
144,scenario_44,-13786.186781098368,total
150,scenario_44,-14198.55085658608,total
176,scenario_44,4235.883957534912,total
177,scenario_44,393.43049890431575,total
195,scenario_44,-13695.715813566,total
197,scenario_44,-1361.007737648557,total
201,scenario_44,-17726.45536918298,total
202,scenario_44,-6729.820854884572,total
206,scenario_44,195.51397206482943,total
209,scenario_44,162.33362465596292,total
227,scenario_44,173.99440405634232,total
233,scenario_44,-872.1123007329879,total
240,scenario_44,-10.442883619340137,total
243,scenario_44,-9184.52328598441,total
245,scenario_44,-15591.54267437884,total
249,scenario_44,-17092.82638653007,total
250,scenario_44,940.240875389427,total
255,scenario_44,-1563.7018429366872,total
261,scenario_44,-7252.946708288742,total
267,scenario_44,79.50188794522546,total
270,scenario_44,-1516.617652030196,total
273,scenario_44,171.35522041399963,total
277,scenario_44,-10261.290938295424,total
284,scenario_44,-910.4213081786876,total
285,scenario_44,-16842.089443408768,total
289,scenario_44,-16434.470574561274,total
308,scenario_44,-2122.600659874268,total
331,scenario_44,-18931.62216845015,total
334,scenario_44,11605.89425007312,total
348,scenario_44,-18939.58443312219,total
351,scenario_44,-29945.02130099514,total
356,scenario_44,-12867.86130824592,total
358,scenario_44,-14986.567086715251,total
390,scenario_44,-11246.929391271318,total
392,scenario_44,516.1623222271446,total
394,scenario_44,-36.81400064914487,total
423,scenario_44,7781.890436986345,total
459,scenario_44,-3760.952883231337,total
464,scenario_44,-0.5618509941268712,total
469,scenario_44,-10379.017414902104,total
486,scenario_44,-17462.448638062924,total
493,scenario_44,5.3501847182633355,total
499,scenario_44,-13972.272836320915,total
517,scenario_44,-447.0608900620136,total
521,scenario_44,-29019.02757259272,total
531,scenario_44,-15701.255062316195,total
533,scenario_44,-1253.2748256780906,total
538,scenario_44,687.3915181818884,total
540,scenario_44,2742.1489649642026,total
546,scenario_44,-2541.30374935118,total
550,scenario_44,530.9581156781642,total
552,scenario_44,-6139.794374199235,total
556,scenario_44,-2137.639932078891,total
558,scenario_44,-13725.13960177102,total
564,scenario_44,-15858.539282623213,total
565,scenario_44,-1002.625587063376,total
569,scenario_44,1757.990776803228,total
594,scenario_44,-1845.8282217709348,total
602,scenario_44,-1293.8275868422352,total
612,scenario_44,-32928.06291312433,total
614,scenario_44,-2576.963106850744,total
625,scenario_44,-2500.8180794625077,total
627,scenario_44,687.2940875019412,total
628,scenario_44,-4374.094855160918,total
629,scenario_44,-1575.4895250484117,total
648,scenario_44,-1723.6474632592872,total
662,scenario_44,-27340.988940656767,total
669,scenario_44,7102.088489571004,total
670,scenario_44,397.2840500803431,total
673,scenario_44,3603.4162154097576,total
678,scenario_44,-15032.161639132535,total
680,scenario_44,-846.0295503122034,total
682,scenario_44,-13735.316608400432,total
689,scenario_44,-17507.409480046248,total
694,scenario_44,2032.296482493286,total
726,scenario_44,-4178.609964565025,total
736,scenario_44,-124.74652033974417,total
750,scenario_44,-17779.697563342284,total
755,scenario_44,970.0979439041112,total
759,scenario_44,-31979.39623612666,total
761,scenario_44,4166.670463318704,total
764,scenario_44,-2581.040284701623,total
767,scenario_44,3265.501800924656,total
770,scenario_44,1884.328944283654,total
775,scenario_44,-19395.95135624241,total
776,scenario_44,-6586.1799212382175,total
780,scenario_44,676.8513193648541,total
789,scenario_44,-14877.672197658105,total
791,scenario_44,-3671.869787203264,total
809,scenario_44,-3867.9571155572776,total
810,scenario_44,-2124.631330520846,total
811,scenario_44,-306.0626906515099,total
813,scenario_44,6423.50803102355,total
822,scenario_44,-2115.297901349026,total
831,scenario_44,-4580.074356876663,total
837,scenario_44,212.3560701259412,total
858,scenario_44,-2271.5836853974033,total
863,scenario_44,-591.8005704532843,total
866,scenario_44,-1516.9960583758077,total
