mode,development,scenario,tts_annual_chf,cost_annual_chf_negative,cost_annual_chf_magnitude,bcr
Rail,100000,scenario_28,2453360.185922551,-1329118.6567644724,1329118.6567644724,1.8458549004908753
Rail,100000,scenario_29,6200374.971368748,-1329118.6567644724,1329118.6567644724,4.665027414830345
Rail,100000,scenario_3,5924051.5209615575,-1329118.6567644724,1329118.6567644724,4.457127654338039
Rail,100000,scenario_30,5673049.788770404,-1329118.6567644724,1329118.6567644724,4.268279404474345
Rail,100000,scenario_31,6473401.5259183645,-1329118.6567644724,1329118.6567644724,4.87044666251005
Rail,100000,scenario_32,6869802.013694231,-1329118.6567644724,1329118.6567644724,5.168689777041931
Rail,100000,scenario_33,4902437.416934113,-1329118.6567644724,1329118.6567644724,3.688487398761158
Rail,100000,scenario_34,7985397.075023492,-1329118.6567644724,1329118.6567644724,6.008039262997533
Rail,100000,scenario_35,6531004.166422132,-1329118.6567644724,1329118.6567644724,4.913785637710347
Rail,100000,scenario_36,5500348.133359075,-1329118.6567644724,1329118.6567644724,4.1383424311782635
Rail,100000,scenario_37,7949876.624757127,-1329118.6567644724,1329118.6567644724,5.981314447958947
Rail,100000,scenario_38,6254209.0801102165,-1329118.6567644724,1329118.6567644724,4.7055310286104115
Rail,100000,scenario_39,5556741.493155604,-1329118.6567644724,1329118.6567644724,4.180771569848102
Rail,100000,scenario_4,4264556.368871007,-1329118.6567644724,1329118.6567644724,3.208559557242534
Rail,100000,scenario_40,6415206.147488631,-1329118.6567644724,1329118.6567644724,4.82666172417249
Rail,100000,scenario_41,7010010.418007884,-1329118.6567644724,1329118.6567644724,5.274179534182928
Rail,100000,scenario_42,8112709.324656548,-1329118.6567644724,1329118.6567644724,6.10382623354761
Rail,100000,scenario_43,5730875.114427988,-1329118.6567644724,1329118.6567644724,4.311785923146163
Rail,100000,scenario_44,6723716.2024530005,-1329118.6567644724,1329118.6567644724,5.058777986625224
Rail,100000,scenario_45,5640891.473905834,-1329118.6567644724,1329118.6567644724,4.2440841870639945
Rail,100000,scenario_46,6299158.292271731,-1329118.6567644724,1329118.6567644724,4.739349839243118
Rail,100000,scenario_47,4071030.679512335,-1329118.6567644724,1329118.6567644724,3.0629550332418103
Rail,100000,scenario_48,4647253.397743558,-1329118.6567644724,1329118.6567644724,3.4964924870263694
Rail,100000,scenario_49,5838253.346025875,-1329118.6567644724,1329118.6567644724,4.392574971626817
Rail,100000,scenario_5,6241804.501842518,-1329118.6567644724,1329118.6567644724,4.696198093432227
Rail,100000,scenario_50,5888417.312421205,-1329118.6567644724,1329118.6567644724,4.430317250045695
Rail,100000,scenario_51,6073665.995334865,-1329118.6567644724,1329118.6567644724,4.569694334229148
Rail,100000,scenario_52,8567814.00667342,-1329118.6567644724,1329118.6567644724,6.446237108378569
Rail,100000,scenario_53,7592103.491507084,-1329118.6567644724,1329118.6567644724,5.712133715727722
Rail,100000,scenario_54,9018279.704912571,-1329118.6567644724,1329118.6567644724,6.785157712604935
Rail,100000,scenario_55,5790519.951982705,-1329118.6567644724,1329118.6567644724,4.3566614030374105
Rail,100000,scenario_56,6771098.702614131,-1329118.6567644724,1329118.6567644724,5.094427550281547
Rail,100000,scenario_57,5019417.573722328,-1329118.6567644724,1329118.6567644724,3.776500727136959
Rail,100000,scenario_58,5178984.3456548145,-1329118.6567644724,1329118.6567644724,3.8965552994811063
Rail,100000,scenario_59,4540089.928724866,-1329118.6567644724,1329118.6567644724,3.415865021244222
Rail,100000,scenario_6,5390248.889981115,-1329118.6567644724,1329118.6567644724,4.055506152552863
Rail,100000,scenario_60,5234866.107451909,-1329118.6567644724,1329118.6567644724,3.9385995229315016
Rail,100000,scenario_61,5006061.213849358,-1329118.6567644724,1329118.6567644724,3.7664516921580327
Rail,100000,scenario_62,5679144.147902406,-1329118.6567644724,1329118.6567644724,4.27286466787501
Rail,100000,scenario_63,7799583.680734668,-1329118.6567644724,1329118.6567644724,5.868237302244716
Rail,100000,scenario_64,7099982.613122121,-1329118.6567644724,1329118.6567644724,5.3418726589888506
Rail,100000,scenario_65,4866471.50259466,-1329118.6567644724,1329118.6567644724,3.66142742623244
Rail,100000,scenario_66,4752108.602605111,-1329118.6567644724,1329118.6567644724,3.5753832650076274
Rail,100000,scenario_67,6882785.919891827,-1329118.6567644724,1329118.6567644724,5.178458585967691
Rail,100000,scenario_68,3787975.9069747967,-1329118.6567644724,1329118.6567644724,2.849990772227982
Rail,100000,scenario_69,3551868.292859787,-1329118.6567644724,1329118.6567644724,2.672348533204887
Rail,100000,scenario_7,7386575.488479621,-1329118.6567644724,1329118.6567644724,5.557498911693153
