mode,development,scenario,score_id,value_mode,annual_value
Rail,100000,scenario_26,rail_construction_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_26,rail_land_consumption_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_26,rail_maint_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_26,rail_noise_cost,standalone_annual_proxy,20984.134265546712
Rail,100000,scenario_26,rail_operation_cost,standalone_annual_proxy,1132535.0372548352
Rail,100000,scenario_26,rail_tts_cost,standalone_annual_proxy,2052632.606815486
Rail,100000,scenario_27,rail_accident_cost,standalone_annual_proxy,19947.815413067572
Rail,100000,scenario_27,rail_airpollution_cost,standalone_annual_proxy,90694.75013109244
Rail,100000,scenario_27,rail_co2_cost,standalone_annual_proxy,2667.492650914484
Rail,100000,scenario_27,rail_construction_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_27,rail_land_consumption_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_27,rail_maint_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_27,rail_noise_cost,standalone_annual_proxy,20984.134265546712
Rail,100000,scenario_27,rail_operation_cost,standalone_annual_proxy,1132535.0372548352
Rail,100000,scenario_27,rail_tts_cost,standalone_annual_proxy,3346088.218407482
Rail,100000,scenario_28,rail_accident_cost,standalone_annual_proxy,19947.815413067572
Rail,100000,scenario_28,rail_airpollution_cost,standalone_annual_proxy,90694.75013109244
Rail,100000,scenario_28,rail_co2_cost,standalone_annual_proxy,2667.492650914484
Rail,100000,scenario_28,rail_construction_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_28,rail_land_consumption_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_28,rail_maint_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_28,rail_noise_cost,standalone_annual_proxy,20984.134265546712
Rail,100000,scenario_28,rail_operation_cost,standalone_annual_proxy,1132535.0372548352
Rail,100000,scenario_28,rail_tts_cost,standalone_annual_proxy,2642944.6118656574
Rail,100000,scenario_29,rail_accident_cost,standalone_annual_proxy,19947.815413067572
Rail,100000,scenario_29,rail_airpollution_cost,standalone_annual_proxy,90694.75013109244
Rail,100000,scenario_29,rail_co2_cost,standalone_annual_proxy,2667.492650914484
Rail,100000,scenario_29,rail_construction_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_29,rail_land_consumption_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_29,rail_maint_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_29,rail_noise_cost,standalone_annual_proxy,20984.134265546712
Rail,100000,scenario_29,rail_operation_cost,standalone_annual_proxy,1132535.0372548352
Rail,100000,scenario_29,rail_tts_cost,standalone_annual_proxy,4701367.050511977
Rail,100000,scenario_3,rail_accident_cost,standalone_annual_proxy,19947.815413067572
Rail,100000,scenario_3,rail_airpollution_cost,standalone_annual_proxy,90694.75013109244
Rail,100000,scenario_3,rail_co2_cost,standalone_annual_proxy,2667.492650914484
Rail,100000,scenario_3,rail_construction_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_3,rail_land_consumption_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_3,rail_maint_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_3,rail_noise_cost,standalone_annual_proxy,20984.134265546712
Rail,100000,scenario_3,rail_operation_cost,standalone_annual_proxy,1132535.0372548352
Rail,100000,scenario_3,rail_tts_cost,standalone_annual_proxy,3850417.2484519472
