mode,development,scenario,value_mode,tts_annual,cost_annual,cost_annual_negative,net_annual
Rail,101015,scenario_96,standalone_annual_proxy,5502817.460627029,4486079.4834017735,-4486079.4834017735,1016737.9772252552
Rail,101015,scenario_97,integrated,6346569.456257682,4963588.781532466,-4963588.781532466,1382980.6747252159
Rail,101015,scenario_97,standalone_annual_proxy,4612414.32560826,4486079.4834017735,-4486079.4834017735,126334.8422064865
Rail,101015,scenario_98,integrated,5472045.761812403,4963588.781532466,-4963588.781532466,508456.98027993646
Rail,101015,scenario_98,standalone_annual_proxy,3078764.5042239735,4486079.4834017735,-4486079.4834017735,-1407314.9791778
Rail,101015,scenario_99,integrated,6458975.149256473,4963588.781532466,-4963588.781532466,1495386.367724007
Rail,101015,scenario_99,standalone_annual_proxy,5121513.473576737,4486079.4834017735,-4486079.4834017735,635433.9901749631
Rail,101016,scenario_1,integrated,12618586.872610155,3465799.7699635723,-3465799.7699635723,9152787.102646584
Rail,101016,scenario_1,standalone_annual_proxy,13647373.3051829,3059585.7090496104,-3059585.7090496104,10587787.59613329
Rail,101016,scenario_10,integrated,12500811.043928888,3465799.7699635723,-3465799.7699635723,9035011.273965316
Rail,101016,scenario_10,standalone_annual_proxy,9988970.265431054,3059585.7090496104,-3059585.7090496104,6929384.5563814435
Rail,101016,scenario_100,integrated,7622244.656164506,3465799.7699635723,-3465799.7699635723,4156444.886200934
Rail,101016,scenario_100,standalone_annual_proxy,6363223.334395005,3059585.7090496104,-3059585.7090496104,3303637.625345395
Rail,101016,scenario_11,integrated,9563107.518303083,3465799.7699635723,-3465799.7699635723,6097307.748339511
Rail,101016,scenario_11,standalone_annual_proxy,6791120.076359725,3059585.7090496104,-3059585.7090496104,3731534.367310114
Rail,101016,scenario_12,integrated,15495377.628391806,3465799.7699635723,-3465799.7699635723,12029577.858428234
Rail,101016,scenario_12,standalone_annual_proxy,14479067.479444573,3059585.7090496104,-3059585.7090496104,11419481.770394962
Rail,101016,scenario_13,integrated,9829026.58963534,3465799.7699635723,-3465799.7699635723,6363226.819671769
Rail,101016,scenario_13,standalone_annual_proxy,8725974.390960127,3059585.7090496104,-3059585.7090496104,5666388.681910517
Rail,101016,scenario_14,integrated,10809208.331190528,3465799.7699635723,-3465799.7699635723,7343408.561226957
Rail,101016,scenario_14,standalone_annual_proxy,5990202.117124946,3059585.7090496104,-3059585.7090496104,2930616.4080753354
Rail,101016,scenario_15,integrated,7503657.9055319885,3465799.7699635723,-3465799.7699635723,4037858.135568416
Rail,101016,scenario_15,standalone_annual_proxy,4614841.816389441,3059585.7090496104,-3059585.7090496104,1555256.1073398301
Rail,101016,scenario_16,integrated,11670583.18881062,3465799.7699635723,-3465799.7699635723,8204783.418847049
Rail,101016,scenario_16,standalone_annual_proxy,8972222.873329375,3059585.7090496104,-3059585.7090496104,5912637.1642797645
Rail,101016,scenario_17,integrated,11799543.517053455,3465799.7699635723,-3465799.7699635723,8333743.747089883
Rail,101016,scenario_17,standalone_annual_proxy,8301497.804999444,3059585.7090496104,-3059585.7090496104,5241912.095949833
Rail,101016,scenario_18,integrated,6198888.623412907,3465799.7699635723,-3465799.7699635723,2733088.853449335
Rail,101016,scenario_18,standalone_annual_proxy,5111449.977699374,3059585.7090496104,-3059585.7090496104,2051864.2686497634
Rail,101016,scenario_19,integrated,9388504.901626175,3465799.7699635723,-3465799.7699635723,5922705.1316626035
Rail,101016,scenario_19,standalone_annual_proxy,8352708.903252837,3059585.7090496104,-3059585.7090496104,5293123.194203227
Rail,101016,scenario_2,integrated,6207880.574052276,3465799.7699635723,-3465799.7699635723,2742080.804088704
Rail,101016,scenario_2,standalone_annual_proxy,4671707.478392782,3059585.7090496104,-3059585.7090496104,1612121.7693431713
Rail,101016,scenario_20,integrated,13283024.765418712,3465799.7699635723,-3465799.7699635723,9817224.99545514
Rail,101016,scenario_20,standalone_annual_proxy,9294408.973204443,3059585.7090496104,-3059585.7090496104,6234823.264154833
Rail,101016,scenario_21,integrated,11944173.90062146,3465799.7699635723,-3465799.7699635723,8478374.130657889
Rail,101016,scenario_21,standalone_annual_proxy,10182439.882969532,3059585.7090496104,-3059585.7090496104,7122854.173919922
Rail,101016,scenario_22,integrated,9779099.158233318,3465799.7699635723,-3465799.7699635723,6313299.388269747
Rail,101016,scenario_22,standalone_annual_proxy,11384777.096331548,3059585.7090496104,-3059585.7090496104,8325191.3872819375
Rail,101016,scenario_23,integrated,6678558.678652627,3465799.7699635723,-3465799.7699635723,3212758.908689055
Rail,101016,scenario_23,standalone_annual_proxy,4645676.899884275,3059585.7090496104,-3059585.7090496104,1586091.1908346647
Rail,101016,scenario_24,integrated,12671792.203531768,3465799.7699635723,-3465799.7699635723,9205992.433568196
Rail,101016,scenario_24,standalone_annual_proxy,9936205.97428796,3059585.7090496104,-3059585.7090496104,6876620.26523835
Rail,101016,scenario_25,integrated,9922983.90579818,3465799.7699635723,-3465799.7699635723,6457184.135834608
Rail,101016,scenario_25,standalone_annual_proxy,6743196.054329869,3059585.7090496104,-3059585.7090496104,3683610.345280259
Rail,101016,scenario_26,integrated,6114348.305026747,3465799.7699635723,-3465799.7699635723,2648548.535063175
Rail,101016,scenario_26,standalone_annual_proxy,3707797.430803263,3059585.7090496104,-3059585.7090496104,648211.7217536527
Rail,101016,scenario_27,integrated,8786826.552899372,3465799.7699635723,-3465799.7699635723,5321026.7829358
Rail,101016,scenario_27,standalone_annual_proxy,5999635.128422312,3059585.7090496104,-3059585.7090496104,2940049.419372702
Rail,101016,scenario_28,integrated,4433184.594012578,3465799.7699635723,-3465799.7699635723,967384.8240490058
Rail,101016,scenario_28,standalone_annual_proxy,4756633.63379185,3059585.7090496104,-3059585.7090496104,1697047.9247422395
Rail,101016,scenario_29,integrated,11129688.390013918,3465799.7699635723,-3465799.7699635723,7663888.6200503465
Rail,101016,scenario_29,standalone_annual_proxy,8439288.479303578,3059585.7090496104,-3059585.7090496104,5379702.7702539675
Rail,101016,scenario_3,integrated,10594701.769008026,3465799.7699635723,-3465799.7699635723,7128901.999044454
Rail,101016,scenario_3,standalone_annual_proxy,6902148.853380051,3059585.7090496104,-3059585.7090496104,3842563.144330441
Rail,101016,scenario_30,integrated,10156192.57945148,3465799.7699635723,-3465799.7699635723,6690392.809487909
Rail,101016,scenario_30,standalone_annual_proxy,9572669.01994874,3059585.7090496104,-3059585.7090496104,6513083.310899129
Rail,101016,scenario_31,integrated,11577522.747607091,3465799.7699635723,-3465799.7699635723,8111722.97764352
Rail,101016,scenario_31,standalone_annual_proxy,8840794.093913468,3059585.7090496104,-3059585.7090496104,5781208.384863857
Rail,101016,scenario_32,integrated,12254591.067583373,3465799.7699635723,-3465799.7699635723,8788791.297619801
Rail,101016,scenario_32,standalone_annual_proxy,12703075.646283934,3059585.7090496104,-3059585.7090496104,9643489.937234323
Rail,101016,scenario_33,integrated,8780106.385216454,3465799.7699635723,-3465799.7699635723,5314306.615252882
Rail,101016,scenario_33,standalone_annual_proxy,7932527.790962279,3059585.7090496104,-3059585.7090496104,4872942.081912668
Rail,101016,scenario_34,integrated,14256314.048111234,3465799.7699635723,-3465799.7699635723,10790514.278147662
Rail,101016,scenario_34,standalone_annual_proxy,10653356.118978225,3059585.7090496104,-3059585.7090496104,7593770.409928614
Rail,101016,scenario_35,integrated,11663261.17139747,3465799.7699635723,-3465799.7699635723,8197461.401433898
Rail,101016,scenario_35,standalone_annual_proxy,9281052.8845626,3059585.7090496104,-3059585.7090496104,6221467.17551299
Rail,101016,scenario_36,integrated,9828494.24445145,3465799.7699635723,-3465799.7699635723,6362694.474487878
Rail,101016,scenario_36,standalone_annual_proxy,10423106.301752051,3059585.7090496104,-3059585.7090496104,7363520.592702441
Rail,101016,scenario_37,integrated,14204601.161034549,3465799.7699635723,-3465799.7699635723,10738801.391070977
Rail,101016,scenario_37,standalone_annual_proxy,11547212.555512814,3059585.7090496104,-3059585.7090496104,8487626.846463203
Rail,101016,scenario_38,integrated,11182912.246321289,3465799.7699635723,-3465799.7699635723,7717112.476357717
Rail,101016,scenario_38,standalone_annual_proxy,8801115.010842895,3059585.7090496104,-3059585.7090496104,5741529.301793285
Rail,101016,scenario_39,integrated,9946035.50584774,3465799.7699635723,-3465799.7699635723,6480235.735884169
Rail,101016,scenario_39,standalone_annual_proxy,9220157.44292652,3059585.7090496104,-3059585.7090496104,6160571.73387691
Rail,101016,scenario_4,integrated,7650002.926778835,3465799.7699635723,-3465799.7699635723,4184203.156815263
Rail,101016,scenario_4,standalone_annual_proxy,7120974.241658512,3059585.7090496104,-3059585.7090496104,4061388.532608901
Rail,101016,scenario_40,integrated,11507746.742505904,3465799.7699635723,-3465799.7699635723,8041946.9725423325
Rail,101016,scenario_40,standalone_annual_proxy,7129579.650344859,3059585.7090496104,-3059585.7090496104,4069993.9412952485
Rail,101016,scenario_41,integrated,12541890.950502576,3465799.7699635723,-3465799.7699635723,9076091.180539005
Rail,101016,scenario_41,standalone_annual_proxy,8631142.48483138,3059585.7090496104,-3059585.7090496104,5571556.775781769
Rail,101016,scenario_42,integrated,14479911.07308155,3465799.7699635723,-3465799.7699635723,11014111.303117977
