mode,development,score_id,value_mio_chf,development_label,ranking_label,ranking_label_short,bcr_mean,plot_group,plot_order
Road,15,road_maint_cost,-2.992924703195333,15,Road 15,15,0.2354211440625124,Road top 10,16
Road,15,road_noise_cost,0.004777589481615034,15,Road 15,15,0.2354211440625124,Road top 10,16
Road,15,road_tts_cost,2.020120289793219,15,Road 15,15,0.2354211440625124,Road top 10,16
Road,334,road_accident_cost,0.06715064253250377,334,Road 334,334,0.618951191446911,Road top 10,10
Road,334,road_airpollution_cost,0.014812758724739018,334,Road 334,334,0.618951191446911,Road top 10,10
Road,334,road_co2_cost,0.016745895335969724,334,Road 334,334,0.618951191446911,Road top 10,10
Road,334,road_construction_cost,-4.224853843456887,334,Road 334,334,0.618951191446911,Road top 10,10
Road,334,road_land_consumption_cost,-0.10870143063415687,334,Road 334,334,0.618951191446911,Road top 10,10
Road,334,road_maint_cost,-2.5442986729521873,334,Road 334,334,0.618951191446911,Road top 10,10
Road,334,road_noise_cost,0.010840883175522845,334,Road 334,334,0.618951191446911,Road top 10,10
Road,334,road_tts_cost,4.178701425923635,334,Road 334,334,0.618951191446911,Road top 10,10
Road,423,road_accident_cost,-0.006805993543537318,423,Road 423,423,0.2827716298680314,Road top 10,13
Road,423,road_airpollution_cost,-0.0015013339625715519,423,Road 423,423,0.2827716298680314,Road top 10,13
Road,423,road_co2_cost,-0.0016972653014033934,423,Road 423,423,0.2827716298680314,Road top 10,13
Road,423,road_construction_cost,-6.352578682878811,423,Road 423,423,0.2827716298680314,Road top 10,13
Road,423,road_land_consumption_cost,-0.11326091142210848,423,Road 423,423,0.2827716298680314,Road top 10,13
Road,423,road_maint_cost,-3.540682337985838,423,Road 423,423,0.2827716298680314,Road top 10,13
Road,423,road_noise_cost,0.0010417271718592322,423,Road 423,423,0.2827716298680314,Road top 10,13
Road,423,road_tts_cost,2.832405719418363,423,Road 423,423,0.2827716298680314,Road top 10,13
Road,57,road_accident_cost,-0.017490877890066377,57,Road 57,57,0.2715372369363208,Road top 10,14
Road,57,road_airpollution_cost,-0.0038583123600643998,57,Road 57,57,0.2715372369363208,Road top 10,14
Road,57,road_co2_cost,-0.004361840772253256,57,Road 57,57,0.2715372369363208,Road top 10,14
Road,57,road_construction_cost,-3.860651291691024,57,Road 57,57,0.2715372369363208,Road top 10,14
Road,57,road_land_consumption_cost,-0.07570486714302221,57,Road 57,57,0.2715372369363208,Road top 10,14
Road,57,road_maint_cost,-2.269766265378703,57,Road 57,57,0.2715372369363208,Road top 10,14
Road,57,road_noise_cost,-0.001539783603562007,57,Road 57,57,0.2715372369363208,Road top 10,14
Road,57,road_tts_cost,1.6933593799516728,57,Road 57,57,0.2715372369363208,Road top 10,14
Road,669,road_accident_cost,0.056223487049218424,669,Road 669,669,0.4046099755665874,Road top 10,12
Road,669,road_airpollution_cost,0.012402337742642423,669,Road 669,669,0.4046099755665874,Road top 10,12
Road,669,road_co2_cost,0.014020902764909937,669,Road 669,669,0.4046099755665874,Road top 10,12
Road,669,road_construction_cost,-4.0166487292026005,669,Road 669,669,0.4046099755665874,Road top 10,12
Road,669,road_land_consumption_cost,-0.08434027389074812,669,Road 669,669,0.4046099755665874,Road top 10,12
Road,669,road_maint_cost,-2.380392040612237,669,Road 669,669,0.4046099755665874,Road top 10,12
Road,669,road_noise_cost,0.007791160205319751,669,Road 669,669,0.4046099755665874,Road top 10,12
Road,669,road_tts_cost,2.5799458297675777,669,Road 669,669,0.4046099755665874,Road top 10,12
Road,673,road_accident_cost,0.031123665460268363,673,Road 673,673,0.25010614011596144,Road top 10,15
Road,673,road_airpollution_cost,0.0068655686633123676,673,Road 673,673,0.25010614011596144,Road top 10,15
Road,673,road_co2_cost,0.00776155855868557,673,Road 673,673,0.25010614011596144,Road top 10,15
Road,673,road_construction_cost,-3.3333883843579306,673,Road 673,673,0.25010614011596144,Road top 10,15
Road,673,road_land_consumption_cost,-0.04243139095678082,673,Road 673,673,0.25010614011596144,Road top 10,15
Road,673,road_maint_cost,-1.8906814655231787,673,Road 673,673,0.25010614011596144,Road top 10,15
Road,673,road_noise_cost,0.003305264435963536,673,Road 673,673,0.25010614011596144,Road top 10,15
Road,673,road_tts_cost,1.3029173260229348,673,Road 673,673,0.25010614011596144,Road top 10,15
Road,761,road_accident_cost,0.0024633514751751587,761,Road 761,761,0.17547761653624633,Road top 10,19
Road,761,road_airpollution_cost,0.0005433906464608637,761,Road 761,761,0.17547761653624633,Road top 10,19
Road,761,road_co2_cost,0.0006143057523094084,761,Road 761,761,0.17547761653624633,Road top 10,19
Road,761,road_construction_cost,-5.518140039147735,761,Road 761,761,0.17547761653624633,Road top 10,19
Road,761,road_land_consumption_cost,-0.10342120819829459,761,Road 761,761,0.17547761653624633,Road top 10,19
Road,761,road_maint_cost,-3.118010934615342,761,Road 761,761,0.17547761653624633,Road top 10,19
Road,761,road_noise_cost,0.00403114788872155,761,Road 761,761,0.17547761653624633,Road top 10,19
Road,761,road_tts_cost,1.531965633562169,761,Road 761,761,0.17547761653624633,Road top 10,19
Road,767,road_accident_cost,0.0016331510200091822,767,Road 767,767,0.17840656123035178,Road top 10,18
Road,767,road_airpollution_cost,0.0003602567467429336,767,Road 767,767,0.17840656123035178,Road top 10,18
Road,767,road_co2_cost,0.0004072719934983219,767,Road 767,767,0.17840656123035178,Road top 10,18
Road,767,road_construction_cost,-4.133322213549162,767,Road 767,767,0.17840656123035178,Road top 10,18
Road,767,road_land_consumption_cost,-0.0959747638910909,767,Road 767,767,0.17840656123035178,Road top 10,18
Road,767,road_maint_cost,-2.4696869742215863,767,Road 767,767,0.17840656123035178,Road top 10,18
Road,767,road_noise_cost,0.0036651298612529757,767,Road 767,767,0.17840656123035178,Road top 10,18
Road,767,road_tts_cost,1.193797166320471,767,Road 767,767,0.17840656123035178,Road top 10,18
Road,938,road_accident_cost,-0.20181463803542599,938,Road 938,938,0.23357778261420833,Road top 10,17
Road,938,road_airpollution_cost,-0.044518286461552335,938,Road 938,938,0.23357778261420833,Road top 10,17
Road,938,road_co2_cost,-0.050328138024472426,938,Road 938,938,0.23357778261420833,Road top 10,17
Road,938,road_construction_cost,-5.599941471907087,938,Road 938,938,0.23357778261420833,Road top 10,17
Road,938,road_land_consumption_cost,-0.20203958776655467,938,Road 938,938,0.23357778261420833,Road top 10,17
Road,938,road_maint_cost,-3.541252924751384,938,Road 938,938,0.23357778261420833,Road top 10,17
Road,938,road_noise_cost,-0.013653061287948211,938,Road 938,938,0.23357778261420833,Road top 10,17
Road,938,road_tts_cost,2.2669064606350866,938,Road 938,938,0.23357778261420833,Road top 10,17
