development,score_id,value,value_mode,development_label,value_mio_chf,plot_order
101008,rail_maint_cost,1457895.0,standalone_annual_proxy,X8 (101008),1.457895,11
101008,rail_noise_cost,,standalone_annual_proxy,X8 (101008),,11
101008,rail_operation_cost,2348724.399368907,standalone_annual_proxy,X8 (101008),2.3487243993689066,11
101008,rail_tts_cost,6447113.948978143,standalone_annual_proxy,X8 (101008),6.447113948978143,11
101009,rail_accident_cost,,standalone_annual_proxy,X9 (101009),,36
101009,rail_airpollution_cost,,standalone_annual_proxy,X9 (101009),,36
101009,rail_co2_cost,,standalone_annual_proxy,X9 (101009),,36
101009,rail_construction_cost,457500.0,standalone_annual_proxy,X9 (101009),0.4575,36
101009,rail_land_consumption_cost,,standalone_annual_proxy,X9 (101009),,36
101009,rail_maint_cost,549000.0,standalone_annual_proxy,X9 (101009),0.549,36
101009,rail_noise_cost,,standalone_annual_proxy,X9 (101009),,36
101009,rail_operation_cost,6029353.94372662,standalone_annual_proxy,X9 (101009),6.02935394372662,36
101009,rail_tts_cost,195397.96618777595,standalone_annual_proxy,X9 (101009),0.19539796618777594,36
101010,rail_accident_cost,,standalone_annual_proxy,X10 (101010),,10
101010,rail_airpollution_cost,,standalone_annual_proxy,X10 (101010),,10
101010,rail_co2_cost,,standalone_annual_proxy,X10 (101010),,10
101010,rail_construction_cost,457500.0,standalone_annual_proxy,X10 (101010),0.4575,10
101010,rail_land_consumption_cost,,standalone_annual_proxy,X10 (101010),,10
101010,rail_maint_cost,549000.0,standalone_annual_proxy,X10 (101010),0.549,10
101010,rail_noise_cost,,standalone_annual_proxy,X10 (101010),,10
101010,rail_operation_cost,3678039.6755888616,standalone_annual_proxy,X10 (101010),3.6780396755888614,10
101010,rail_tts_cost,7089600.607961492,standalone_annual_proxy,X10 (101010),7.089600607961492,10
101011,rail_accident_cost,,standalone_annual_proxy,X11 (101011),,6
101011,rail_airpollution_cost,,standalone_annual_proxy,X11 (101011),,6
101011,rail_co2_cost,,standalone_annual_proxy,X11 (101011),,6
101011,rail_construction_cost,457500.0,standalone_annual_proxy,X11 (101011),0.4575,6
101011,rail_land_consumption_cost,,standalone_annual_proxy,X11 (101011),,6
101011,rail_maint_cost,549000.0,standalone_annual_proxy,X11 (101011),0.549,6
101011,rail_noise_cost,,standalone_annual_proxy,X11 (101011),,6
101011,rail_operation_cost,6382115.932128592,standalone_annual_proxy,X11 (101011),6.382115932128593,6
101011,rail_tts_cost,10040607.689438017,standalone_annual_proxy,X11 (101011),10.040607689438017,6
101012,rail_accident_cost,,standalone_annual_proxy,X12 (101012),,4
101012,rail_airpollution_cost,,standalone_annual_proxy,X12 (101012),,4
101012,rail_co2_cost,,standalone_annual_proxy,X12 (101012),,4
101012,rail_construction_cost,457500.0,standalone_annual_proxy,X12 (101012),0.4575,4
101012,rail_land_consumption_cost,,standalone_annual_proxy,X12 (101012),,4
101012,rail_maint_cost,549000.0,standalone_annual_proxy,X12 (101012),0.549,4
101012,rail_noise_cost,,standalone_annual_proxy,X12 (101012),,4
101012,rail_operation_cost,4781397.43325049,standalone_annual_proxy,X12 (101012),4.78139743325049,4
101012,rail_tts_cost,11661611.119666923,standalone_annual_proxy,X12 (101012),11.661611119666922,4
101013,rail_accident_cost,,standalone_annual_proxy,X13 (101013),,21
101013,rail_airpollution_cost,,standalone_annual_proxy,X13 (101013),,21
101013,rail_co2_cost,,standalone_annual_proxy,X13 (101013),,21
101013,rail_construction_cost,1018025.0,standalone_annual_proxy,X13 (101013),1.018025,21
101013,rail_land_consumption_cost,,standalone_annual_proxy,X13 (101013),,21
101013,rail_maint_cost,794059.5,standalone_annual_proxy,X13 (101013),0.7940595,21
101013,rail_noise_cost,,standalone_annual_proxy,X13 (101013),,21
101013,rail_operation_cost,2672944.478542223,standalone_annual_proxy,X13 (101013),2.672944478542223,21
101013,rail_tts_cost,5031013.473804674,standalone_annual_proxy,X13 (101013),5.031013473804674,21
101014,rail_accident_cost,,standalone_annual_proxy,X14 (101014),,20
101014,rail_airpollution_cost,,standalone_annual_proxy,X14 (101014),,20
101014,rail_co2_cost,,standalone_annual_proxy,X14 (101014),,20
101014,rail_construction_cost,1018025.0,standalone_annual_proxy,X14 (101014),1.018025,20
101014,rail_land_consumption_cost,,standalone_annual_proxy,X14 (101014),,20
101014,rail_maint_cost,794059.5,standalone_annual_proxy,X14 (101014),0.7940595,20
101014,rail_noise_cost,,standalone_annual_proxy,X14 (101014),,20
101014,rail_operation_cost,3637776.3764198814,standalone_annual_proxy,X14 (101014),3.637776376419881,20
101014,rail_tts_cost,5190709.071566623,standalone_annual_proxy,X14 (101014),5.190709071566623,20
101015,rail_accident_cost,,standalone_annual_proxy,X15 (101015),,25
101015,rail_airpollution_cost,,standalone_annual_proxy,X15 (101015),,25
101015,rail_co2_cost,,standalone_annual_proxy,X15 (101015),,25
101015,rail_construction_cost,457500.0,standalone_annual_proxy,X15 (101015),0.4575,25
101015,rail_land_consumption_cost,,standalone_annual_proxy,X15 (101015),,25
101015,rail_maint_cost,549000.0,standalone_annual_proxy,X15 (101015),0.549,25
101015,rail_noise_cost,,standalone_annual_proxy,X15 (101015),,25
101015,rail_operation_cost,3141343.089817573,standalone_annual_proxy,X15 (101015),3.141343089817573,25
101015,rail_tts_cost,3391952.947147031,standalone_annual_proxy,X15 (101015),3.391952947147031,25
101016,rail_accident_cost,,standalone_annual_proxy,X16 (101016),,8
101016,rail_airpollution_cost,,standalone_annual_proxy,X16 (101016),,8
101016,rail_co2_cost,,standalone_annual_proxy,X16 (101016),,8
101016,rail_construction_cost,457500.0,standalone_annual_proxy,X16 (101016),0.4575,8
101016,rail_land_consumption_cost,,standalone_annual_proxy,X16 (101016),,8
