scenario,rank,net_benefit_mio_chf
scenario_29,129,-437.74228650587924
scenario_29,130,-428.89543113269235
scenario_29,131,-392.5703178060762
scenario_29,132,-385.0473906577309
scenario_29,133,-380.48545825775125
scenario_29,134,-333.5473223628966
scenario_29,135,-313.0479604171959
scenario_29,136,-303.62688427409176
scenario_29,137,-272.62156912533743
scenario_29,138,-254.83934574952414
scenario_30,1,-5028.418223314588
scenario_30,2,-4968.687469397935
scenario_30,3,-4940.924391691846
scenario_30,4,-4776.301048888924
scenario_30,5,-4665.771491141682
scenario_30,6,-4272.898900279202
scenario_30,7,-4177.337804748655
scenario_30,8,-4070.4667842105337
scenario_30,9,-4050.893236973188
scenario_30,10,-4002.2377711040026
scenario_30,11,-3999.809565659328
scenario_30,12,-3721.613463165461
scenario_30,13,-3464.8565594550664
scenario_30,14,-3408.8158588066676
scenario_30,15,-3277.81378361283
scenario_30,16,-3198.740341737618
scenario_30,17,-3197.6422684345157
scenario_30,18,-3065.143176525125
scenario_30,19,-3010.6513977465315
scenario_30,20,-2993.66648824374
scenario_30,21,-2963.664096754491
scenario_30,22,-2924.184760447076
scenario_30,23,-2914.934204655701
scenario_30,24,-2795.624731518429
scenario_30,25,-2682.2399756417244
scenario_30,26,-2622.6136644749968
scenario_30,27,-2402.3569745817963
scenario_30,28,-2246.3325928047248
scenario_30,29,-2202.326172614349
scenario_30,30,-2201.8933104186613
scenario_30,31,-2061.6058050388356
scenario_30,32,-2032.9147647274856
scenario_30,33,-1986.9702603854569
scenario_30,34,-1982.434611271438
scenario_30,35,-1963.3545818013329
scenario_30,36,-1925.6917862542118
scenario_30,37,-1921.1878244247232
scenario_30,38,-1870.9774977665584
scenario_30,39,-1836.1275042423183
scenario_30,40,-1770.9098194385035
scenario_30,41,-1723.7632485695497
scenario_30,42,-1691.8486178505912
scenario_30,43,-1685.1650408144071
scenario_30,44,-1657.7748649046416
scenario_30,45,-1631.5409820254179
scenario_30,46,-1631.1082591995687
scenario_30,47,-1615.6040393122971
scenario_30,48,-1581.6610857302132
scenario_30,49,-1529.826600307733
scenario_30,50,-1512.849762320011
scenario_30,51,-1482.1999666480917
scenario_30,52,-1431.277153128602
scenario_30,53,-1430.371876033016
scenario_30,54,-1426.9486203330653
scenario_30,55,-1409.5176743794773
scenario_30,56,-1407.505986359048
scenario_30,57,-1391.9009299185038
scenario_30,58,-1385.371949745613
scenario_30,59,-1381.1011187892136
scenario_30,60,-1379.3046092731256
scenario_30,61,-1374.39901459967
scenario_30,62,-1374.1963100069759
scenario_30,63,-1364.6768070661121
scenario_30,64,-1345.1064543656191
scenario_30,65,-1320.921019952703
scenario_30,66,-1313.2270190328297
scenario_30,67,-1283.6536497962695
scenario_30,68,-1273.062544550067
scenario_30,69,-1253.7081921436238
scenario_30,70,-1253.5495186830187
scenario_30,71,-1249.9814532720688
scenario_30,72,-1243.257832427675
scenario_30,73,-1241.292278550995
scenario_30,74,-1230.1472454058633
scenario_30,75,-1211.7166687396145
scenario_30,76,-1174.3176991909547
scenario_30,77,-1148.1439223518125
scenario_30,78,-1134.5287602749925
scenario_30,79,-1130.1908485571323
scenario_30,80,-1107.473054384554
scenario_30,81,-1106.7195081058842
scenario_30,82,-1101.0704793032025
scenario_30,83,-1094.6077947913236
scenario_30,84,-1090.4985636231377
scenario_30,85,-1088.5795528994527
scenario_30,86,-1031.9673932081728
scenario_30,87,-1025.3196048457391
scenario_30,88,-1007.5991797697731
scenario_30,89,-1004.5412687667081
scenario_30,90,-998.5007963790362
scenario_30,91,-964.0711595596028
scenario_30,92,-957.2473146012318
scenario_30,93,-913.4562769048312
scenario_30,94,-910.7552986054528
scenario_30,95,-858.745723292463
scenario_30,96,-858.186722502378
scenario_30,97,-844.3543542005427
scenario_30,98,-839.8173454814652
scenario_30,99,-780.395196716606
scenario_30,100,-765.6706524943354
scenario_30,101,-741.6229258809427
scenario_30,102,-730.0219606906463
scenario_30,103,-723.3449575621858
scenario_30,104,-719.098282325131
scenario_30,105,-716.0285861044242
scenario_30,106,-687.0271378713597
scenario_30,107,-676.5567676447944
scenario_30,108,-665.5498469751961
scenario_30,109,-660.7374440119319
scenario_30,110,-659.2447440121709
scenario_30,111,-658.2833210641479
scenario_30,112,-648.139474276703
scenario_30,113,-641.2767501813199
scenario_30,114,-608.9270480134264
scenario_30,115,-607.5859165172646
scenario_30,116,-605.5041652802641
scenario_30,117,-593.5897482419882
scenario_30,118,-581.1319187242607
scenario_30,119,-576.9102634253487
scenario_30,120,-545.8454189493596
scenario_30,121,-542.9488619425941
scenario_30,122,-531.1701667247937
scenario_30,123,-459.47052941305566
scenario_30,124,-451.9678569364252
scenario_30,125,-436.8156836530498
scenario_30,126,-429.3677976913234
scenario_30,127,-410.75119892408657
scenario_30,128,-397.3870449274014
scenario_30,129,-388.92806707609606
scenario_30,130,-385.74222416447793
scenario_30,131,-365.6886343618766
scenario_30,132,-338.3350518094244
scenario_30,133,-318.6396694225479
scenario_30,134,-305.511969109604
scenario_30,135,-293.3828099732448
scenario_30,136,-271.39291296304253
scenario_30,137,-229.96483053174603
scenario_30,138,-205.1333092002145
