development,scenario,status_quo_origin_access_tt,status_quo_network_tt,status_quo_destination_access_tt,status_quo_total_tt,development_origin_access_tt,development_network_tt,development_destination_access_tt,development_total_tt,origin_access_savings,network_savings,destination_access_savings,tt_savings_peak,monetized_savings_yearly,monetized_savings,access_savings,total_tts,network_share,total_tts_mmin,network_savings_mmin,access_savings_mmin
789,scenario_35,28665.43506953756,1004738.2868997956,28665.43506953756,1062069.1570388707,27095.01709657883,1028635.4163439156,27095.017096578827,1082825.4505370732,1570.4179729587268,-23897.129444119983,1570.417972958734,-20756.29349820246,-6789037.665037055,-271561506.6014821,3140.835945917461,-20756.29349820246,1.1513196923231754,-0.02075629349820246,-0.023897129444119983,0.003140835945917461
895,scenario_35,28665.43506953756,1004738.2868997956,28665.43506953756,1062069.1570388707,27069.665745619637,1035278.8063562692,27069.665745619637,1089418.1378475083,1595.7693239179243,-30540.519456473645,1595.769323917928,-27348.980808637803,-8945395.806158615,-357815832.2463446,3191.5386478358523,-27348.980808637803,1.1166968038102478,-0.027348980808637804,-0.030540519456473646,0.0031915386478358525
2,scenario_36,28665.435073392306,1115900.49514917,28665.4350733923,1173231.3652959545,26722.97548442512,1146870.8176591815,26722.97548442513,1200316.768628032,1942.459588967184,-30970.32251001149,1942.4595889671727,-27085.403332077432,-8859184.00653366,-354367360.2613464,3884.9191779343564,-27085.403332077432,1.1434322070195322,-0.027085403332077432,-0.03097032251001149,0.0038849191779343566
103,scenario_36,28665.435073392306,1115900.49514917,28665.4350733923,1173231.3652959545,26826.8816740893,1147686.8488747282,26826.8816740893,1201340.612222907,1838.5533993030003,-31786.353725558147,1838.5533993029967,-28109.246926952157,-9194066.182357268,-367762647.29429066,3677.106798605997,-28109.246926952157,1.130814845668464,-0.02810924692695216,-0.031786353725558145,0.003677106798605997
201,scenario_36,28665.435073392306,1115900.49514917,28665.4350733923,1173231.3652959545,27762.275133822222,1162912.4796218958,27762.275133822222,1218437.02988954,903.159939570076,-47011.98447272577,903.159939570076,-45205.664593585534,-14786019.460818602,-591440778.432744,1806.319879140152,-45205.664593585534,1.0399578215557645,-0.045205664593585534,-0.047011984472725775,0.001806319879140152
249,scenario_36,28665.435073392306,1115900.49514917,28665.4350733923,1173231.3652959545,27780.55273334816,1161605.6245475835,27780.55273334816,1217166.7300142802,884.8823400441397,-45705.1293984137,884.8823400441361,-43935.36471832567,-14370525.543285688,-574821021.7314274,1769.7646800882758,-43935.36471832567,1.040281096821073,-0.04393536471832567,-0.0457051293984137,0.0017697646800882757
334,scenario_36,28665.435073392306,1115900.49514917,28665.4350733923,1173231.3652959545,28288.595198997707,1086491.1020608947,28288.595198997707,1143068.2924588902,376.8398743945945,29409.39308827533,376.8398743945909,30163.07283706428,9865838.407123106,394633536.2849242,753.6797487891854,30163.07283706428,0.9750131641805795,0.030163072837064278,0.02940939308827533,0.0007536797487891854
469,scenario_36,28665.435073392306,1115900.49514917,28665.4350733923,1173231.3652959545,27050.160670737016,1137993.3902119168,27050.16067073702,1192093.7115533908,1615.2744026552864,-22092.895062746717,1615.2744026552791,-18862.34625743632,-6169559.088369797,-246782363.5347919,3230.5488053105655,-18862.34625743632,1.1712697222932582,-0.018862346257436317,-0.022092895062746715,0.0032305488053105654
662,scenario_36,28665.435073392306,1115900.49514917,28665.4350733923,1173231.3652959545,28002.0019904054,1185497.6338981232,28002.0019904054,1241501.637878934,663.4330829869032,-69597.13874895312,663.4330829868995,-68270.2725829794,-22330068.32401618,-893202732.9606472,1326.8661659738027,-68270.2725829794,1.0194354895003672,-0.06827027258297941,-0.06959713874895312,0.0013268661659738027
689,scenario_36,28665.435073392306,1115900.49514917,28665.4350733923,1173231.3652959545,27380.04696720889,1152169.0409613007,27380.0469672089,1206929.1348957184,1285.3881061834072,-36268.54581213067,1285.3881061834,-33697.76959976391,-11021978.806589443,-440879152.2635778,2570.776212366807,-33697.76959976391,1.0762892097281351,-0.03369776959976391,-0.036268545812130674,0.002570776212366807
