development,scenario,rank_type,rank_value,ID_edge,length_m,flow,capacity,flow_capacity_ratio,fftt_min,tt_min,delay_min
103,scenario_29,delay_min,0.2118714633792571,91,4008.729740907578,1548.1709767085076,2391.0,0.6474993629061094,2.4052378445445464,2.6171093079238035,0.2118714633792571
103,scenario_29,delay_min,0.209940312646278,96,2437.745041650941,1997.5471958985245,2333.0,0.8562139716667486,1.2188725208254705,1.4288128334717485,0.209940312646278
103,scenario_29,delay_min,0.18180541946833806,87,794.1532861069165,869.4251660045805,729.0,1.1926271138608786,0.4764919716641499,0.658297391132488,0.18180541946833806
103,scenario_29,delay_min,0.1640352339667177,88,2951.1891622424446,928.369340632866,1404.0,0.661231724097483,1.7707134973454668,1.9347487313121845,0.1640352339667177
103,scenario_29,delay_min,0.15992464021249475,95,1906.501637835958,1968.8858204730204,2333.0,0.8439287700270126,0.9612613300013235,1.1211859702138183,0.15992464021249475
2,scenario_30,flow_capacity_ratio,2.668679625544161,178,6719.55714161299,2668.679625544161,1000.0,2.668679625544161,5.039667856209742,18.327476931894267,13.287809075684525
2,scenario_30,flow_capacity_ratio,1.8989080541200851,124,1877.417300305622,1384.303971453542,729.0,1.8989080541200851,1.425886557194143,3.0871344038134128,1.6612478466192697
2,scenario_30,flow_capacity_ratio,1.724891522067005,98,2007.6948653871616,2649.4333778949194,1536.0,1.724891522067005,1.115386036326201,2.1471812338840395,1.0317951975578386
2,scenario_30,flow_capacity_ratio,1.6078615984131999,87,794.1532861069165,1172.1311052432227,729.0,1.6078615984131999,0.4764919716641499,0.8488771501669612,0.3723851785028113
2,scenario_30,flow_capacity_ratio,1.3070448193266697,85,910.3365754780752,952.8356732891422,729.0,1.3070448193266697,0.5462019452868452,0.8058531866925901,0.2596512414057449
2,scenario_30,flow_capacity_ratio,1.3070448193266697,86,2224.3324582106734,952.8356732891422,729.0,1.3070448193266697,1.3480802777034384,1.9889251531944545,0.6408448754910161
2,scenario_30,flow_capacity_ratio,1.1765949860264584,97,1687.4477039097997,2744.9961023997275,2333.0,1.1765949860264584,0.8437238519548999,1.1553580566644692,0.3116342047095694
2,scenario_30,flow_capacity_ratio,1.1515871313066617,96,2437.745041650941,2686.652777338442,2333.0,1.1515871313066617,1.2188725208254705,1.6464458646750648,0.42757334384959433
2,scenario_30,flow_capacity_ratio,1.1343752680023826,95,1906.501637835958,2646.4975002495585,2333.0,1.1343752680023826,0.9612613300013235,1.2864966317392361,0.3252353017379126
2,scenario_30,flow_capacity_ratio,1.08217097166946,94,3121.847228370543,2524.7048769048506,2333.0,1.08217097166946,1.5609236141852714,2.0325865738999074,0.471662959714636
2,scenario_30,delay_min,13.287809075684525,178,6719.55714161299,2668.679625544161,1000.0,2.668679625544161,5.039667856209742,18.327476931894267,13.287809075684525
2,scenario_30,delay_min,1.6612478466192697,124,1877.417300305622,1384.303971453542,729.0,1.8989080541200851,1.425886557194143,3.0871344038134128,1.6612478466192697
2,scenario_30,delay_min,1.0317951975578386,98,2007.6948653871616,2649.4333778949194,1536.0,1.724891522067005,1.115386036326201,2.1471812338840395,1.0317951975578386
2,scenario_30,delay_min,0.6408448754910161,86,2224.3324582106734,952.8356732891422,729.0,1.3070448193266697,1.3480802777034384,1.9889251531944545,0.6408448754910161
2,scenario_30,delay_min,0.471662959714636,94,3121.847228370543,2524.7048769048506,2333.0,1.08217097166946,1.5609236141852714,2.0325865738999074,0.471662959714636
2,scenario_30,delay_min,0.43287751217701764,91,4008.729740907578,2085.0068575119985,2391.0,0.8720229433341692,2.4052378445445464,2.838115356721564,0.43287751217701764
2,scenario_30,delay_min,0.42757334384959433,96,2437.745041650941,2686.652777338442,2333.0,1.1515871313066617,1.2188725208254705,1.6464458646750648,0.42757334384959433
2,scenario_30,delay_min,0.3723851785028113,87,794.1532861069165,1172.1311052432227,729.0,1.6078615984131999,0.4764919716641499,0.8488771501669612,0.3723851785028113
2,scenario_30,delay_min,0.33560713134931364,88,2951.1891622424446,1251.007669037125,1404.0,0.8910311033027956,1.7707134973454668,2.1063206286947804,0.33560713134931364
2,scenario_30,delay_min,0.3252353017379126,95,1906.501637835958,2646.4975002495585,2333.0,1.1343752680023826,0.9612613300013235,1.2864966317392361,0.3252353017379126
9,scenario_30,flow_capacity_ratio,2.361127716956903,178,6719.55714161299,2361.127716956903,1000.0,2.361127716956903,5.039667856209742,14.944079315348336,9.904411459138593
9,scenario_30,flow_capacity_ratio,1.5978650651094959,87,794.1532861069165,1164.8436324648226,729.0,1.5978650651094959,0.4764919716641499,0.8433447735036779,0.36685280183952795
9,scenario_30,flow_capacity_ratio,1.5247668920923256,98,2007.6948653871616,2342.041946253812,1536.0,1.5247668920923256,1.115386036326201,1.8828420614226937,0.7674560250964928
9,scenario_30,flow_capacity_ratio,1.4411560321997468,124,1877.417300305622,1050.6027474736154,729.0,1.4411560321997468,1.425886557194143,2.2827890232075236,0.8569024660133806
9,scenario_30,flow_capacity_ratio,1.2993858384647725,85,910.3365754780752,947.2522762408192,729.0,1.2993858384647725,0.5462019452868452,0.8022165620375509,0.2560146167507057
9,scenario_30,flow_capacity_ratio,1.2993858384647725,86,2224.3324582106734,947.2522762408192,729.0,1.2993858384647725,1.3480802777034384,1.9799496048333192,0.6318693271298808
9,scenario_30,flow_capacity_ratio,1.065529537902526,97,1687.4477039097997,2485.8804119265933,2333.0,1.065529537902526,0.8437238519548999,1.0893629644872984,0.24563911253239856
9,scenario_30,flow_capacity_ratio,1.0565982329881938,96,2437.745041650941,2465.043677561456,2333.0,1.0565982329881938,1.2188725208254705,1.566634426382832,0.34776190555736153
9,scenario_30,flow_capacity_ratio,1.0540240578379272,95,1906.501637835958,2459.038126935884,2333.0,1.0540240578379272,0.9612613300013235,1.23392215041642,0.2726608204150964
9,scenario_30,flow_capacity_ratio,1.0208097979084367,94,3121.847228370543,2381.549258520383,2333.0,1.0208097979084367,1.5609236141852714,1.9709287068213153,0.4100050926360439
9,scenario_30,delay_min,9.904411459138593,178,6719.55714161299,2361.127716956903,1000.0,2.361127716956903,5.039667856209742,14.944079315348336,9.904411459138593
9,scenario_30,delay_min,0.8569024660133806,124,1877.417300305622,1050.6027474736154,729.0,1.4411560321997468,1.425886557194143,2.2827890232075236,0.8569024660133806
