run,case_type,development,scenario,od_pairs,total_demand,mean_tt_min_unweighted,median_tt_min_unweighted,p95_tt_min_unweighted,max_tt_min_unweighted,mean_tt_min_weighted,std_tt_min_unweighted
5iter_5scen_4dev_test_1542375,status_quo,status_quo,scenario_19,930,10004.725529239464,59.38221038786131,70.24507115989763,89.69860024956311,100.920259087318,70.04396419475937,27.46121351033568
5iter_5scen_4dev_test_1542375,status_quo,status_quo,scenario_26,930,4540.663259143899,41.46775690102318,45.312720560880635,52.97792412571013,59.08119892362422,40.61086828678932,13.251677628279175
5iter_5scen_4dev_test_1542375,status_quo,status_quo,scenario_44,930,7660.214081615989,47.58576633551446,52.22677145589446,68.26208039376394,76.76566671635435,54.300331551600074,19.335404921253673
5iter_5scen_4dev_test_1542375,status_quo,status_quo,scenario_64,930,9479.923166176046,50.0904981714051,60.89467592656098,78.96868418835169,90.59227112651433,60.68556006815477,25.308201775639805
5iter_5scen_4dev_test_1542375,status_quo,status_quo,scenario_78,930,10391.082934411694,66.97115758691011,77.37250773186918,98.27072333603516,109.23342512774018,77.50958620928739,29.324447528099217
5iter_5scen_4dev_test_1542375,development,109,scenario_19,992,10247.288085326818,63.14070643977454,73.87415930770024,93.81659822300487,104.96292824381959,73.77912767377141,28.13329820154882
5iter_5scen_4dev_test_1542375,development,109,scenario_26,992,4650.643463030267,38.05131161132387,43.69632120282958,52.53806483294063,57.02671206272021,40.717402845462104,13.90562968864854
5iter_5scen_4dev_test_1542375,development,109,scenario_44,992,7845.948471774449,43.70448597281789,49.59942345602749,66.46595863244401,75.51528558777953,51.85937708702683,19.118448765335195
5iter_5scen_4dev_test_1542375,development,109,scenario_64,992,9709.963304356686,52.64368981646359,63.69064290058765,82.18535188761503,93.47429725608698,63.24806599033373,25.82133690009761
5iter_5scen_4dev_test_1542375,development,109,scenario_78,992,10643.1900165677,68.62775440676909,79.86477197280905,100.53292230125923,111.85339887843914,79.31450108825085,29.90988201012393
5iter_5scen_4dev_test_1542375,development,254,scenario_19,930,9406.061138683031,48.63320928509353,59.6353116606852,75.48681732544303,88.90516189436381,58.29924058830127,24.58859728685231
5iter_5scen_4dev_test_1542375,development,254,scenario_26,930,4269.2836217228,35.86270340004975,41.27758059951293,49.29195795304804,54.93659041731364,38.06220152411654,13.255331014618207
5iter_5scen_4dev_test_1542375,development,254,scenario_44,930,7201.796258827181,61.46530931659806,67.0288614113696,75.73911313611008,82.14848980752247,59.04759099887261,18.997924673789644
5iter_5scen_4dev_test_1542375,development,254,scenario_64,930,8912.050500429017,46.92125644680569,56.108863260952006,72.56766626598603,84.25522245738884,55.759677864126715,22.518434057665445
5iter_5scen_4dev_test_1542375,development,254,scenario_78,930,9768.76621583745,53.98200716947252,65.08796640510474,82.3298115769443,95.0394608946013,63.6512859224111,25.96482384077929
5iter_5scen_4dev_test_1542375,development,267,scenario_19,992,10070.325350513387,56.94241048512621,68.4386251481943,86.66347392015284,98.12116928894858,66.57062970606324,26.935602835510664
5iter_5scen_4dev_test_1542375,development,267,scenario_26,992,4570.5612096499935,37.55105999197806,43.11822754240483,51.058132545371215,56.52595625889216,39.51908406466768,13.612254313960795
5iter_5scen_4dev_test_1542375,development,267,scenario_44,992,7710.426793717192,45.38029491221526,49.888306024372085,67.01247813402783,112.72239587585037,51.00286316150319,19.60587826334656
5iter_5scen_4dev_test_1542375,development,267,scenario_64,992,9541.856125690309,48.19636133826895,58.74924304344755,76.49846447371166,88.10008453129898,57.53176189961568,24.5500851771499
5iter_5scen_4dev_test_1542375,development,267,scenario_78,992,10459.012432458003,64.97103036704998,75.60626387506595,95.5624694577992,106.71739238118685,74.38457076311222,28.6420999119061
5iter_5scen_4dev_test_1542375,development,28,scenario_19,992,10131.425515891278,57.12554893056882,68.29786105293354,89.8862587384959,97.91759208422027,66.31943627291852,27.015432458132466
5iter_5scen_4dev_test_1542375,development,28,scenario_26,992,4598.088676033247,37.748046579244935,42.89289144084455,52.3652739914251,59.98280226439086,39.95737085439482,13.849891303911495
5iter_5scen_4dev_test_1542375,development,28,scenario_44,992,7757.230992909386,46.31193445646132,50.185310276939234,69.44702927694927,76.3510246811298,52.37058642178822,18.88530083858486
5iter_5scen_4dev_test_1542375,development,28,scenario_64,992,9600.117131298472,48.72212841129184,59.66584135375945,79.78926155429028,88.1396511264139,57.698503303637935,24.771437640148704
