development,scenario,status_quo_origin_access_tt,status_quo_network_tt,status_quo_destination_access_tt,status_quo_total_tt,development_origin_access_tt,development_network_tt,development_destination_access_tt,development_total_tt,origin_access_savings,network_savings,destination_access_savings,tt_savings_peak,monetized_savings_yearly,monetized_savings,run
109,scenario_19,28665.43507365332,662569.7777861,28665.43507365332,719900.6479334068,28020.577555922187,712664.6412027692,28020.577555922187,768705.7963146137,644.8575177311286,-50094.86341666919,644.8575177311286,-48805.148381206905,-15963350.61635309,-638534024.6541237,5iter_5scen_4dev_test_1542375
254,scenario_19,28665.43507365332,662569.7777861,28665.43507365332,719900.6479334068,26112.47040659138,534845.5791746927,26112.470406591376,587070.5199878756,2552.964667061937,127724.19861140732,2552.9646670619404,132830.12794553116,43446521.01551748,1737860840.6206992,5iter_5scen_4dev_test_1542375
267,scenario_19,28665.43507365332,662569.7777861,28665.43507365332,719900.6479334068,28577.866424341984,633261.0654745443,28577.866424341984,690416.7983232284,87.56864931133168,29308.712311555748,87.56864931133168,29483.849610178386,9643675.809995843,385747032.3998338,5iter_5scen_4dev_test_1542375
28,scenario_26,28665.435067869967,394611.7105784007,28665.435067869963,451942.5807141406,27596.1629741454,390103.626531246,27596.1629741454,445295.9524795368,1069.272093724565,4508.084047154698,1069.2720937245613,6646.62823460385,2174001.318401676,86960052.73606703,5iter_5scen_4dev_test_1542375
109,scenario_26,28665.435067869967,394611.7105784007,28665.435067869963,451942.5807141406,28020.577550014328,402128.432066689,28020.57755001433,458169.5871667177,644.8575178556384,-7516.721488288371,644.8575178556312,-6227.006452577072,-2036750.027197084,-81470001.08788335,5iter_5scen_4dev_test_1542375
254,scenario_26,28665.435067869967,394611.7105784007,28665.435067869963,451942.5807141406,26112.470400992635,359301.87660003017,26112.47040099264,411526.8174020154,2552.964666877331,35309.83397837053,2552.964666877324,40415.76331212517,13219322.58334094,528772903.33363765,5iter_5scen_4dev_test_1542375
267,scenario_26,28665.435067869967,394611.7105784007,28665.435067869963,451942.5807141406,28577.866418752077,385895.1744173395,28577.86641875207,443050.9072548436,87.56864911789307,8716.536161061202,87.56864911789307,8891.673459296988,2908318.1939783897,116332727.7591356,5iter_5scen_4dev_test_1542375
28,scenario_44,28665.43507238786,519425.527372594,28665.43507238786,576756.3975173696,27596.162978194625,505317.4525478808,27596.162978194625,560509.77850427,1069.2720941932348,14108.074824713229,1069.2720941932348,16246.619013099582,5313998.302201321,212559932.08805287,5iter_5scen_4dev_test_1542375
109,scenario_44,28665.43507238786,519425.527372594,28665.43507238786,576756.3975173696,28020.57755294957,502566.0408855885,28020.57755294957,558607.1959914876,644.8575194382938,16859.486487005488,644.8575194382938,18149.201525882003,5936301.332423905,237452053.29695615,5iter_5scen_4dev_test_1542375
254,scenario_44,28665.43507238786,519425.527372594,28665.43507238786,576756.3975173696,26112.47040379581,556868.3777365847,26112.47040379581,609093.3185441764,2552.964668592045,-37442.85036399076,2552.964668592045,-32336.921026806813,-10576867.919184728,-423074716.7673891,5iter_5scen_4dev_test_1542375
