mode_rail,vtt_chf_per_hour_rail,base_vtt_chf_per_hour_rail,mean_net_benefit_rows_rail,median_net_benefit_rows_rail,share_positive_rows_rail,mean_net_benefit_developments_rail,median_net_benefit_developments_rail,share_positive_developments_rail,positive_developments_rail,total_developments_rail,total_rows_rail,mode_road,vtt_chf_per_hour_road,base_vtt_chf_per_hour_road,mean_net_benefit_rows_road,median_net_benefit_rows_road,share_positive_rows_road,mean_net_benefit_developments_road,median_net_benefit_developments_road,share_positive_developments_road,positive_developments_road,total_developments_road,total_rows_road,combined_mean_net_benefit_developments,delta_mean_net_benefit_developments,delta_share_positive_developments
Rail,23.48125,15.2,-3529742.0228218464,-2947614.3282725397,0.3435897435897436,-3529742.022821847,-3288142.2627202664,0.3333333333333333,13,39,780,Road,30.7175,31.4,-1154701712.9356499,-1063287227.287255,0.026570048309178744,-1154701712.9356494,-1075376018.2760706,0.021739130434782608,3,138,414,-1158231454.9584713,1151171970.9128275,0.3115942028985507
Rail,23.48125,15.2,-3529742.0228218464,-2947614.3282725397,0.3435897435897436,-3529742.022821847,-3288142.2627202664,0.3333333333333333,13,39,780,Road,30.831249999999997,31.4,-1155079682.6448035,-1063700134.8588054,0.026570048309178744,-1155079682.6448038,-1077074988.7271862,0.021739130434782608,3,138,414,-1158609424.6676257,1151549940.6219819,0.3115942028985507
Rail,23.48125,15.2,-3529742.0228218464,-2947614.3282725397,0.3435897435897436,-3529742.022821847,-3288142.2627202664,0.3333333333333333,13,39,780,Road,30.945,31.4,-1155457652.3539574,-1064113042.4303558,0.026570048309178744,-1155457652.3539572,-1078773959.178302,0.021739130434782608,3,138,414,-1158987394.376779,1151927910.3311353,0.3115942028985507
Rail,23.48125,15.2,-3529742.0228218464,-2947614.3282725397,0.3435897435897436,-3529742.022821847,-3288142.2627202664,0.3333333333333333,13,39,780,Road,31.05875,31.4,-1155835622.0631113,-1064525950.0019062,0.026570048309178744,-1155835622.0631113,-1080472929.629418,0.021739130434782608,3,138,414,-1159365364.0859332,1152305880.0402894,0.3115942028985507
Rail,23.48125,15.2,-3529742.0228218464,-2947614.3282725397,0.3435897435897436,-3529742.022821847,-3288142.2627202664,0.3333333333333333,13,39,780,Road,31.1725,31.4,-1156213591.772265,-1064938857.5734565,0.026570048309178744,-1156213591.772265,-1082171900.0805335,0.021739130434782608,3,138,414,-1159743333.7950869,1152683849.749443,0.3115942028985507
Rail,23.48125,15.2,-3529742.0228218464,-2947614.3282725397,0.3435897435897436,-3529742.022821847,-3288142.2627202664,0.3333333333333333,13,39,780,Road,31.28625,31.4,-1156591561.4814188,-1065351765.1450069,0.026570048309178744,-1156591561.4814188,-1083870870.5316494,0.021739130434782608,3,138,414,-1160121303.5042408,1153061819.458597,0.3115942028985507
Rail,23.48125,15.2,-3529742.0228218464,-2947614.3282725397,0.3435897435897436,-3529742.022821847,-3288142.2627202664,0.3333333333333333,13,39,780,Road,31.4,31.4,-1156969531.1905727,-1065764672.7165573,0.026570048309178744,-1156969531.1905725,-1085569840.9827652,0.021739130434782608,3,138,414,-1160499273.2133944,1153439789.1677506,0.3115942028985507
Rail,23.732499999999998,15.2,-3461044.3427534644,-2828390.5927326456,0.35128205128205126,-3461044.342753464,-3211455.8553818855,0.358974358974359,14,39,780,Road,26.85,31.4,-1141850742.8244197,-1055142737.048475,0.021739130434782608,-1141850742.8244197,-1017611022.9381344,0.014492753623188406,2,138,414,-1145311787.1671731,1138389698.4816663,0.34448160535117056
Rail,23.732499999999998,15.2,-3461044.3427534644,-2828390.5927326456,0.35128205128205126,-3461044.342753464,-3211455.8553818855,0.358974358974359,14,39,780,Road,26.96375,31.4,-1142228712.5335739,-1056650121.3639016,0.021739130434782608,-1142228712.5335739,-1019309993.3892503,0.014492753623188406,2,138,414,-1145689756.8763273,1138767668.1908205,0.34448160535117056
Rail,23.732499999999998,15.2,-3461044.3427534644,-2828390.5927326456,0.35128205128205126,-3461044.342753464,-3211455.8553818855,0.358974358974359,14,39,780,Road,27.0775,31.4,-1142606682.2427273,-1056646178.2519085,0.021739130434782608,-1142606682.2427273,-1021008963.840366,0.014492753623188406,2,138,414,-1146067726.5854807,1139145637.8999739,0.34448160535117056
