development,scenario,tts_raw,net_benefit_raw,building_costs,externalities_raw,maintenance,maintenance_derived,construction_raw,construction_integrated,maintenance_raw,maintenance_integrated,tts_integrated,operation_raw,operation_integrated,cost_base_raw,cost_base_integrated,bcr_raw,bcr_integrated,net_benefit_integrated,mode,year,status_quo_tt,development_tt,tt_savings_daily,monetized_savings_yearly,net_benefit_reported,bcr_reported,TotalConstructionCost,YearlyMaintenanceCost,uncoveredOperatingCost
100000,scenario_3,3202936.258573338,,,,,,0.0,0.0,0.0,0.0,3567574.6085031335,1132535.0372548352,1194824.4643038511,1132535.0372548352,1194824.4643038511,2.828112290757001,2.9858566802795874,2372750.1441992824,Rail,2050.0,60294.783871813626,59717.47019867496,577.3136731386694,3202936.258573338,49830000.0,2.66,0.0,0.0,1132535.0372548352
100001,scenario_3,10138067.86869726,,,,,,0.0,0.0,0.0,0.0,11292236.431753416,1470832.908922622,1551728.718913366,1470832.908922622,1551728.718913366,6.892739350062099,7.277197550136899,9740507.71284005,Rail,2050.0,60294.783871813626,58467.446476590616,1827.3373952230104,10138067.86869726,213830000.0,6.49,0.0,0.0,1470832.908922622
100002,scenario_3,3749976.374329977,,,,,,18300000.0,582364.7375776469,549000.0,579195.0,4176892.5184621946,1491223.5000004936,1573240.7925005206,20340223.50000049,2734800.5300781676,0.1843625943603759,1.5273115799574637,1442091.988384027,Rail,2050.0,60294.783871813626,59618.868880045426,675.9149917682007,3749976.374329977,20840000.0,1.29,18300000.0,549000.0,1491223.5000004936
100003,scenario_3,1169449.7988508693,,,,,,18300000.0,582364.7375776469,549000.0,579195.0,1302585.8373334622,1249186.448497714,1317891.7031650883,20098186.448497713,2479451.4407427353,0.0581868320232586,0.5253524291418527,-1176865.603409273,Rail,2050.0,60294.783871813626,60083.9962368369,210.7876349767248,1169449.7988508693,-37300000.0,0.44,18300000.0,549000.0,1249186.448497714
100004,scenario_3,1294539.646095953,,,,,,18300000.0,582364.7375776469,549000.0,579195.0,1441916.5410334086,1366327.1115340572,1441475.1026684302,20215327.11153406,2603034.840246077,0.0640375314707294,0.5539367044726522,-1161118.2992126686,Rail,2050.0,60294.783871813626,60061.44940063555,233.33447117807373,1294539.646095953,-37350000.0,0.46,18300000.0,549000.0,1366327.1115340572
100005,scenario_3,3838108.3887934065,,,,,,18300000.0,582364.7375776469,549000.0,579195.0,4275057.924081603,1772511.8780511147,1870000.031343926,20621511.878051113,3031559.7689215727,0.186121580778884,1.4101842780432412,1243498.1551600304,Rail,2050.0,60294.783871813626,59602.98351334329,691.8003584703329,3838108.3887934065,15570000.0,1.19,18300000.0,549000.0,1772511.8780511147
101000,scenario_3,4150264.228630238,,,,,,63332000.0,2015427.51695451,1234974.0,1302897.5699999998,4622751.152480064,6764695.075241824,7136753.3043801235,71331669.07524182,10455078.391334634,0.0581826316758755,0.4421536577202029,-5832327.23885457,Rail,2050.0,60294.783871813626,59546.71894235612,748.0649294575051,4150264.228630238,-173430000.0,0.37,63332000.0,1234974.0,6764695.075241824
101001,scenario_3,9315421.078628052,,,,,,63332000.0,2015427.51695451,1234974.0,1302897.5699999998,10375935.39948599,9194709.592311688,9700418.61988883,73761683.59231168,13018743.70684334,0.1262907870991032,0.7969997438410167,-2642808.3073573504,Rail,2050.0,60294.783871813626,58615.72455699242,1679.0593148212065,9315421.078628052,-108380000.0,0.68,63332000.0,1234974.0,9194709.592311688
101002,scenario_3,4037897.030338712,,,,,,63332000.0,2015427.51695451,1234974.0,1302897.5699999998,4497591.507988092,8754960.406377172,9236483.228727916,73321934.40637717,12554808.315682426,0.0550707924310779,0.3582365731836839,-8057216.807694335,Rail,2050.0,60294.783871813626,59566.97258299987,727.8112888137548,4037897.030338712,-229150000.0,0.31,63332000.0,1234974.0,8754960.406377172
101003,scenario_3,3862199.1912939134,,,,,,63332000.0,2015427.51695451,1234974.0,1302897.5699999998,4301891.3445311105,8286864.190406665,8742641.720879031,72853838.19040667,12060966.80783354,0.0530129817072902,0.3566788146483458,-7759075.463302431,Rail,2050.0,60294.783871813626,59598.641263433325,696.1426083803017,3862199.1912939134,-221030000.0,0.3,63332000.0,1234974.0,8286864.190406665
101004,scenario_3,973034.7304809488,,,,,,63332000.0,2015427.51695451,1234974.0,1302897.5699999998,1083809.8911158957,7895035.997189831,8329262.977035271,72462009.99718983,11647588.06398978,0.0134282050762694,0.0930501564067716,-10563778.172873884,Rail,2050.0,60294.783871813626,60119.399097033354,175.38477478027198,973034.7304809488,-282240000.0,0.08,63332000.0,1234974.0,7895035.997189831
101005,scenario_3,99230.62675476074,,,,,,64910000.0,2065644.541866943,1457895.0,1538079.225,110527.53967505478,3806954.046847058,4016336.519423646,70174849.04684706,7620060.286290589,0.0014140483107917,0.0145048117104673,-7509532.746615534,Rail,2050.0,60294.783871813626,60276.898034258695,17.88583755493164,99230.62675476074,-203910000.0,0.01,64910000.0,1457895.0,3806954.046847058
101006,scenario_3,2749815.6731093717,,,,,,64910000.0,2065644.541866943,1457895.0,1538079.225,3062868.499861632,2758437.9295488927,2910152.0156740816,69126332.92954889,6513875.7825410245,0.0397795681699459,0.4702067712238174,-3451007.2826793925,Rail,2050.0,60294.783871813626,59799.14297903977,495.6408927738594,2749815.6731093717,-108560000.0,0.39,64910000.0,1457895.0,2758437.9295488927
101007,scenario_3,7830493.908397608,,,,,,64910000.0,2065644.541866943,1457895.0,1538079.225,8721956.662378618,2864178.3156979834,3021708.1230613724,69232073.31569798,6625431.889928315,0.1131050036980777,1.316435940672388,2096524.7724503037,Rail,2050.0,60294.783871813626,58883.37545285227,1411.4084189613568,7830493.908397608,14350000.0,1.08,64910000.0,1457895.0,2864178.3156979834
