development,scenario,year,status_quo_tt,development_tt,tt_savings_daily,monetized_savings_yearly,total_demand_basis,tts_total_person_h,tts_total_person_min,tts_per_trip_min,status_quo_total_per_trip_min,development_total_per_trip_min
101025.0,scenario_19,2050,88590.64524743764,88239.1053799888,351.5398674488388,1899018.3639586272,135103.84375,351.5398674488388,21092.392046930327,0.15611985167468875,39.343356689999865,39.18723683832517
101026.0,scenario_19,2050,88590.64524743764,87311.97783526788,1278.6674121697579,6907361.360541033,135103.84375,1278.6674121697579,76720.04473018547,0.5678598224943949,39.343356689999865,38.77549686750547
101027.0,scenario_19,2050,88590.64524743764,86814.07768410248,1776.5675633351639,9597017.977136554,135103.84375,1776.5675633351639,106594.05380010983,0.7889786910678463,39.343356689999865,38.55437799893201
101028.0,scenario_19,2050,88590.64524743764,87821.87616277354,768.7690846641053,4152890.595355497,135103.84375,768.7690846641053,46126.14507984632,0.3414125297959653,39.343356689999865,39.0019441602039
101029.0,scenario_19,2050,88590.64524743764,87547.4273552518,1043.217892185843,5635463.053587925,135103.84375,1043.217892185843,62593.073531150585,0.4632960232202911,39.343356689999865,38.88006066677957
101030.0,scenario_19,2050,88590.64524743764,87556.97954120049,1033.6657062371523,5583862.145093097,135103.84375,1033.6657062371523,62019.94237422914,0.4590538703620647,39.343356689999865,38.884302819637796
101031.0,scenario_19,2050,88590.64524743764,87014.51789601445,1576.127351423187,8514239.952388057,135103.84375,1576.127351423187,94567.64108539122,0.6999626247524229,39.343356689999865,38.643394065247435
101032.0,scenario_19,2050,88590.64524743764,88465.55253472533,125.0927127123141,675750.8340719208,135103.84375,125.0927127123141,7505.562762738846,0.05555402832673919,39.343356689999865,39.287802661673126
100000.0,scenario_26,2050,23307.38168086708,23088.056932698677,219.32474816840477,1184792.2896057228,88665.265625,219.32474816840477,13159.484890104286,0.14841758830070934,15.772161635048674,15.623744046747962
100001.0,scenario_26,2050,23307.38168086708,22612.529291038714,694.8523898283674,3753592.609852841,88665.265625,694.8523898283674,41691.14338970205,0.4702082951629577,15.772161635048674,15.301953339885717
100002.0,scenario_26,2050,23307.38168086708,23048.331540654126,259.05014021295574,1399388.857430387,88665.265625,259.05014021295574,15543.008412777344,0.1752998573140782,15.772161635048674,15.596861777734595
100003.0,scenario_26,2050,23307.38168086708,23226.91939181984,80.46228904724194,434657.28543320094,88665.265625,80.46228904724194,4827.737342834516,0.054449025881825035,15.772161635048674,15.717712609166847
100004.0,scenario_26,2050,23307.38168086708,23218.820947119602,88.56073374747939,478405.0837038837,88665.265625,88.56073374747939,5313.644024848763,0.059929263025300536,15.772161635048674,15.712232372023372
100005.0,scenario_26,2050,23307.38168086708,23042.419043879727,264.9626369873549,1431328.1650056913,88665.265625,264.9626369873549,15897.758219241296,0.17930085820166736,15.772161635048674,15.592860776847006
101000.0,scenario_26,2050,23307.38168086708,23020.171733717136,287.20994714994595,1551508.1345040079,88665.265625,287.20994714994595,17232.596828996757,0.19435566687275413,15.772161635048674,15.577805968175918
101001.0,scenario_26,2050,23307.38168086708,22660.39993288716,646.9817479799203,3494995.4025875297,88665.265625,646.9817479799203,38818.90487879522,0.43781411587910324,15.772161635048674,15.334347519169569
101002.0,scenario_26,2050,23307.38168086708,23029.37830652496,278.0033743421227,1501774.228196147,88665.265625,278.0033743421227,16680.202460527362,0.18812555675493542,15.772161635048674,15.584036078293739
101003.0,scenario_26,2050,23307.38168086708,23040.74288425645,266.6387966106304,1440382.7792906254,88665.265625,266.6387966106304,15998.327796637823,0.18043511947847754,15.772161635048674,15.591726515570194
101004.0,scenario_26,2050,23307.38168086708,23232.960972465084,74.42070840199813,402020.6667875939,88665.265625,74.42070840199813,4465.242504119888,0.050360673626187964,15.772161635048674,15.721800961422485
101005.0,scenario_26,2050,23307.38168086708,23300.5933158209,6.788365046180843,36670.74797946891,88665.265625,6.788365046180843,407.3019027708506,0.004593703068499103,15.772161635048674,15.767567931980174
101006.0,scenario_26,2050,23307.38168086708,23102.492373545974,204.88930732110748,1106812.0381486227,88665.265625,204.88930732110748,12293.358439266449,0.1386490905160072,15.772161635048674,15.633512544532664
101007.0,scenario_26,2050,23307.38168086708,22766.82721288305,540.5544679840314,2920075.236049738,88665.265625,540.5544679840314,32433.26807904188,0.3657945177338646,15.772161635048674,15.406367117314808
101008.0,scenario_26,2050,23307.38168086708,23009.844623518,297.53705734908,1607295.1837997301,88665.265625,297.53705734908,17852.2234409448,0.2013440473572686,15.772161635048674,15.570817587691405
101009.0,scenario_26,2050,23307.38168086708,23298.471077784903,8.910603082178568,48135.077849928624,88665.265625,8.910603082178568,534.6361849307141,0.00602982668762195,15.772161635048674,15.76613180836105
101010.0,scenario_26,2050,23307.38168086708,22981.497827918338,325.8838529487439,1760424.5736291145,88665.265625,325.8838529487439,19553.031176924633,0.22052639259687137,15.772161635048674,15.551635242451802
101011.0,scenario_26,2050,23307.38168086708,22785.679708824562,521.7019720425196,2818234.052973691,88665.265625,521.7019720425196,31302.118322551178,0.3530369880685865,15.772161635048674,15.419124646980087
101012.0,scenario_26,2050,23307.38168086708,22769.646620561696,537.7350603053856,2904844.795769693,88665.265625,537.7350603053856,32264.103618323134,0.36388661772898323,15.772161635048674,15.408275017319689
101013.0,scenario_26,2050,23307.38168086708,23075.580983011918,231.8006978551639,1252187.3698135952,88665.265625,231.8006978551639,13908.041871309833,0.1568600936710929,15.772161635048674,15.61530154137758
101014.0,scenario_26,2050,23307.38168086708,23068.81140551071,238.57027535637098,1288756.6274751162,88665.265625,238.57027535637098,14314.216521382259,0.16144108316240394,15.772161635048674,15.610720551886269
101015.0,scenario_26,2050,23307.38168086708,23138.722036780928,168.659644086154,911099.397353404,88665.265625,168.659644086154,10119.57864516924,0.11413238965491725,15.772161635048674,15.658029245393756
101016.0,scenario_26,2050,23307.38168086708,22912.68101887405,394.70066199303255,2132172.976086362,88665.265625,394.70066199303255,23682.039719581953,0.26709489395478203,15.772161635048674,15.505066741093891
101017.0,scenario_26,2050,23307.38168086708,23168.7980752061,138.58360566098054,748628.637780617,88665.265625,138.58360566098054,8315.016339658832,0.09377986160698239,15.772161635048674,15.678381773441691
101018.0,scenario_26,2050,23307.38168086708,23294.293664492183,13.08801637489887,70701.4644572037,88665.265625,13.08801637489887,785.2809824939322,0.008856692380702854,15.772161635048674,15.76330494266797
101019.0,scenario_26,2050,23307.38168086708,23298.853761193168,8.527919673913857,46067.822078482655,88665.265625,8.527919673913857,511.6751804348314,0.005770863898371493,15.772161635048674,15.766390771150302
101020.0,scenario_26,2050,23307.38168086708,23167.86589478355,139.51578608353157,753664.2764232375,88665.265625,139.51578608353157,8370.947165011894,0.09441067035670873,15.772161635048674,15.677750964691965
101021.0,scenario_26,2050,23307.38168086708,23186.08635412157,121.29532674551228,655237.3550792574,88665.265625,121.29532674551228,7277.719604730737,0.08208084139183716,15.772161635048674,15.690080793656836
101022.0,scenario_26,2050,23307.38168086708,23207.881475731716,99.50020513536583,537500.1081412463,88665.265625,99.50020513536583,5970.01230812195,0.06733202980941219,15.772161635048674,15.70482960523926
101023.0,scenario_26,2050,23307.38168086708,22731.821414054455,575.5602668126267,3109176.5613218094,88665.265625,575.5602668126267,34533.6160087576,0.38948302658691325,15.772161635048674,15.382678608461761
101024.0,scenario_26,2050,23307.38168086708,23017.88638372521,289.49529714187156,1563853.5951603903,88665.265625,289.49529714187156,17369.717828512294,0.19590216874751842,15.772161635048674,15.576259466301154
101025.0,scenario_26,2050,23307.38168086708,23216.6064860195,90.77519484758159,490367.6025666357,88665.265625,90.77519484758159,5446.511690854895,0.06142779421527161,15.772161635048674,15.7107338408334
101026.0,scenario_26,2050,23307.38168086708,22976.44556342164,330.9361174454425,1787716.9064402804,88665.265625,330.9361174454425,19856.16704672655,0.22394527221861632,15.772161635048674,15.548216362830056
101027.0,scenario_26,2050,23307.38168086708,22773.17659954429,534.2050813227906,2885775.849305715,88665.265625,534.2050813227906,32052.30487936744,0.3614978724016814,15.772161635048674,15.41066376264699
101028.0,scenario_26,2050,23307.38168086708,23108.51342294417,198.86825792291347,1074286.3292995784,88665.265625,198.86825792291347,11932.095475374808,0.13457463180497642,15.772161635048674,15.637587003243697
101029.0,scenario_26,2050,23307.38168086708,23035.22616167863,272.15551918845085,1470184.1146560116,88665.265625,272.15551918845085,16329.331151307051,0.1841682990086576,15.772161635048674,15.587993336040016
