development,scenario,status_quo_origin_access_tt,status_quo_network_tt,status_quo_destination_access_tt,status_quo_total_tt,development_origin_access_tt,development_network_tt,development_destination_access_tt,development_total_tt,origin_access_savings,network_savings,destination_access_savings,tt_savings_peak,monetized_savings_yearly,monetized_savings,access_savings,total_tts,total_mmin
521,scenario_19,28665.43507365332,918038.2188763628,28665.43507365332,975369.0890236696,28256.1866281531,974435.7183005348,28256.186628153097,1030948.091556841,409.2484455002159,-56397.4994241721,409.24844550021953,-55579.00253317156,-18178965.41189153,-727158616.4756613,818.4968910004354,-55579.00253317156,-0.05557900253317156
759,scenario_64,28665.435068393672,843010.264186838,28665.435068393672,900341.1343236254,27869.214897083864,899532.4569487628,27869.214897083868,955270.8867429304,796.2201713098075,-56522.192761924816,796.2201713098038,-54929.75241930504,-17966606.52048102,-718664260.8192408,1592.4403426196113,-54929.75241930504,-0.05492975241930504
662,scenario_19,28665.43507365332,918038.2188763628,28665.43507365332,975369.0890236696,28002.00198942369,971728.3995578728,28002.00198942369,1027732.40353672,663.4330842296258,-53690.1806815099,663.4330842296258,-52363.314513050485,-17127167.455310263,-685086698.2124104,1326.8661684592516,-52363.314513050485,-0.052363314513050485
521,scenario_64,28665.435068393672,843010.264186838,28665.435068393672,900341.1343236254,28256.186623116497,893717.8277948295,28256.1866231165,950230.2010410624,409.2484452771751,-50707.56360799156,409.2484452771714,-49889.06671743712,-16317882.23882839,-652715289.5531356,818.4968905543465,-49889.06671743712,-0.04988906671743712
945,scenario_78,28665.43506636572,976279.3630202012,28665.43506636572,1033610.2331529326,28290.090508416368,1024185.7348760532,28290.090508416368,1080765.9158928858,375.3445579493528,-47906.37185585208,375.3445579493528,-47155.68273995316,-15423837.896193013,-616953515.8477205,750.6891158987056,-47155.68273995316,-0.04715568273995316
662,scenario_64,28665.435068393672,843010.264186838,28665.435068393672,900341.1343236254,28002.00198400781,891328.2918100983,28002.001984007813,947332.295778114,663.4330843858625,-48318.0276232604,663.4330843858588,-46991.16145448852,-15370025.725738954,-614801029.0295582,1326.8661687717213,-46991.16145448852,-0.04699116145448853
945,scenario_19,28665.43507365332,918038.2188763628,28665.43507365332,975369.0890236696,28290.090516078868,962229.541818449,28290.090516078868,1018809.7228506068,375.3445575744481,-44191.32294208626,375.3445575744481,-43440.63382693729,-14208707.314227406,-568348292.5690962,750.6891151488962,-43440.63382693729,-0.043440633826937296
775,scenario_78,28665.43506636572,976279.3630202012,28665.43506636572,1033610.2331529326,27964.501101405454,1018970.8908747872,27964.501101405454,1074899.8930775982,700.9339649602625,-42691.52785458614,700.9339649602625,-41289.65992466558,-13505159.600359367,-540206384.0143747,1401.867929920525,-41289.65992466558,-0.04128965992466558
351,scenario_78,28665.43506636572,976279.3630202012,28665.43506636572,1033610.2331529326,29469.652034738767,1015887.501890532,29469.65203473877,1074826.8059600096,-804.2169683730463,-39608.13887033099,-804.2169683730499,-41216.57280707697,-13481254.022314755,-539250160.8925903,-1608.4339367460962,-41216.57280707697,-0.04121657280707697
331,scenario_78,28665.43506636572,976279.3630202012,28665.43506636572,1033610.2331529326,27874.35248515551,1018297.4143296948,27874.35248515551,1074046.119300006,791.0825812102121,-42018.05130949384,791.0825812102121,-40435.88614707336,-13225904.427271908,-529036177.09087634,1582.1651624204242,-40435.88614707336,-0.04043588614707336
126,scenario_78,28665.43506636572,976279.3630202012,28665.43506636572,1033610.2331529326,28157.403678639294,1016623.7109224036,28157.403678639294,1072938.518279682,508.0313877264271,-40344.3479022024,508.0313877264271,-39328.28512674954,-12863626.593540996,-514545063.7416399,1016.0627754528542,-39328.28512674954,-0.039328285126749546
945,scenario_64,28665.435068393672,843010.264186838,28665.435068393672,900341.1343236254,28290.09051210918,882579.6287684706,28290.09051210917,939159.809792689,375.3445562844936,-39569.36458163266,375.3445562844972,-38818.67546906369,-12696941.768006248,-507877670.7202499,750.6891125689908,-38818.67546906369,-0.03881867546906369
775,scenario_19,28665.43507365332,918038.2188763628,28665.43507365332,975369.0890236696,27964.501108367054,957695.9269080602,27964.50110836705,1013624.9291247944,700.9339652862582,-39657.70803169743,700.9339652862618,-38255.84010112495,-12512847.699742952,-500513907.9897181,1401.86793057252,-38255.84010112495,-0.038255840101124955
351,scenario_19,28665.43507365332,918038.2188763628,28665.43507365332,975369.0890236696,29469.65204418008,954104.7560596612,29469.65204418008,1013044.0601480214,-804.2169705267661,-36066.5371832985,-804.2169705267661,-37674.97112435196,-12322855.138590118,-492914205.54360473,-1608.4339410535322,-37674.97112435196,-0.03767497112435196
750,scenario_78,28665.43506636572,976279.3630202012,28665.43506636572,1033610.2331529326,27765.899974510303,1015746.857158106,27765.89997451031,1071278.657107127,899.5350918554141,-39467.49413790496,899.5350918554104,-37668.42395419406,-12320713.668350974,-492828546.73403895,1799.0701837108245,-37668.42395419406,-0.037668423954194064
201,scenario_78,28665.43506636572,976279.3630202012,28665.43506636572,1033610.2331529326,27762.275127480123,1015583.8852563894,27762.275127480127,1071108.4355113497,903.1599388855976,-39304.52223618829,903.159938885594,-37498.2023584171,-12265037.021398924,-490601480.855957,1806.3198777711916,-37498.2023584171,-0.037498202358417096
331,scenario_19,28665.43507365332,918038.2188763628,28665.43507365332,975369.0890236696,27874.352492125592,957090.4655290064,27874.3524921256,1012839.1705132576,791.082581527724,-39052.24665264366,791.0825815277203,-37470.08148958813,-12255839.15388612,-490233566.1554448,1582.1651630554443,-37470.08148958813,-0.03747008148958813
63,scenario_78,28665.43506636572,976279.3630202012,28665.43506636572,1033610.2331529326,27845.26457547269,1015080.2358621894,27845.26457547269,1070770.7650131348,820.1704908930296,-38800.87284198834,820.1704908930296,-37160.5318602022,-12154590.629274469,-486183625.1709788,1640.3409817860593,-37160.5318602022,-0.037160531860202205
109,scenario_75,28665.43506842944,628423.267456147,28665.43506842944,685754.1375930059,28020.577551989023,666770.049942382,28020.577551989016,722811.20504636,644.8575164404137,-38346.782486235024,644.8575164404247,-37057.06745335413,-12120749.146201247,-484829965.8480499,1289.7150328808384,-37057.06745335413,-0.03705706745335413
612,scenario_75,28665.43506842944,628423.267456147,28665.43506842944,685754.1375930059,28014.57505085834,666771.3969429771,28014.575050858344,722800.5470446937,650.8600175710963,-38348.12948683009,650.8600175710963,-37046.40945168783,-12117263.09148956,-484690523.6595824,1301.7200351421925,-37046.40945168783,-0.037046409451687835
