development,scenario,total_mmin,network_mmin,max_vcr,max_delay_min,mean_delta_delay_min,max_delta_delay_min,min_delta_delay_min,links_more_delay,links_less_delay
775,scenario_78,-0.04128965992466558,-0.04269152785458614,6.2055560935817375,47.358737121575196,0.03427667866626768,1.7152358353255082,-0.007162104146769099,38,0
351,scenario_78,-0.04121657280707697,-0.039608138870330996,6.265859233890025,48.46285302259684,0.05433210244736036,2.8193517363471514,-0.18813773322505423,39,4
331,scenario_78,-0.04043588614707336,-0.04201805130949384,6.2031717053029185,47.31564690856597,0.03318447705192291,1.672145622316279,-0.04411503350968449,38,1
126,scenario_78,-0.039328285126749546,-0.0403443479022024,6.200488581265431,47.26659877575783,0.031500191515471364,1.6230974895081403,-0.17021079090316826,38,1
945,scenario_64,-0.03881867546906369,-0.03956936458163266,5.687191324701382,38.42701123632832,0.031312257792746837,1.8155746372123716,-0.8629056866709015,38,1
775,scenario_19,-0.038255840101124955,-0.03965770803169743,5.975775526508827,43.26440238054192,0.03130177604862902,1.5666056849253422,-0.006533281797618695,38,0
351,scenario_19,-0.03767497112435196,-0.0360665371832985,6.033569042922707,44.26793673584427,0.04951892883285583,2.570140040227699,-0.17196145866034707,39,4
750,scenario_78,-0.037668423954194064,-0.039467494137904964,6.194378452920285,47.1569314058117,0.02941364516336209,1.5134301195620097,-0.14273953086133329,38,1
201,scenario_78,-0.037498202358417096,-0.03930452223618829,6.198641046662849,47.233400093914355,0.030545804392184076,1.5898988076646674,-0.21690106184013125,38,1
331,scenario_19,-0.03747008148958813,-0.03905224665264366,5.973479912169657,43.22507556028075,0.030304966642125532,1.5272788646641757,-0.04020583600711447,38,1
63,scenario_78,-0.037160531860202205,-0.03880087284198834,6.1980230817908435,47.22218321266923,0.030015324973769898,1.5786819264195415,-0.2769058172981258,38,1
109,scenario_75,-0.03705706745335413,-0.03834678248623503,4.634328416068733,23.527769303636553,0.02851532711969963,1.4624492681809613,-0.1314717977761215,38,1
612,scenario_75,-0.037046409451687835,-0.03834812948683009,4.6344061015669675,23.528699317243195,0.02852432903634639,1.4633792817876028,-0.13320608941615042,38,1
565,scenario_26,-0.0026928663942315614,-0.00215315631113539,2.66360466370741,6.244388749918781,-0.001087999441400111,8.972922995287291e-06,-0.1259997230182488,0,3
28,scenario_26,-0.002436018541252648,-0.004574562728701799,2.650298836029225,6.170033542103822,-0.0030901374701947965,0.00027670329816986694,-0.21753168282705415,0,6
602,scenario_26,-0.002008812112749147,-0.0016017703790719387,2.6642665918090156,6.24806991059087,-0.0010523389521066486,6.158003337919382e-06,-0.13273831942134517,0,3
680,scenario_26,-0.0017302265080148353,-0.0019382843448331117,2.6647033889952607,6.250927162275388,-0.0009442809447578499,4.450859827898057e-05,-0.12297123219562622,0,3
863,scenario_26,-0.0017063395823751924,-0.001511879348672519,2.66339724647288,6.242888879529173,-0.001436929294588752,0.0,-0.18291571936772355,0,3
255,scenario_78,-0.0015997317391076358,-0.00295948687045218,6.120172862556443,45.81479315017599,0.0023909567794087438,0.17129186392629947,-0.1610741423333737,11,1
12,scenario_26,-0.00143502212263603,-0.0015859841697973315,2.6647859752009824,6.251422974015058,-0.0007393145634243822,4.7720611981993954e-05,-0.0885656132809749,0,3
17,scenario_26,-0.0013609119314832497,-0.0033745525839015025,2.663434820771106,6.244204299891055,-0.0008054211528392037,0.0008244006780873114,-0.07633179978167415,0,3
209,scenario_26,-0.0013079865023995518,-0.0010754298243495868,2.6617103235095545,6.233267896008948,-0.0015995697906753183,0.0,-0.17808375770665008,0,3
270,scenario_78,-0.0007850820135625545,-0.00217883734884602,6.118247108631464,45.78037441691761,0.0016795617153521696,0.13687313066792228,-0.1656907051705483,8,1
550,scenario_26,-0.0004585495030534221,-0.0010825349865270545,2.6614926042355322,6.232294976123861,-0.0001670869806527235,0.05452346616908277,-0.033738927322741974,3,3
538,scenario_26,-0.00029229423924774164,-0.0006574605879387236,2.661431717713871,6.231699269671043,-0.00014552815323601672,0.05947673297013578,-0.030890201142498852,3,3
958,scenario_26,-0.0001805304928162368,-0.0004600614901587833,2.661513819596235,6.232340043409141,-0.00022273175648509851,0.0484206134896108,-0.030601521010683363,3,3
780,scenario_26,-0.00016028263220610098,-0.0007753710934872507,2.661555335467337,6.2326148308651215,-0.00017701202731423648,0.05390622144174739,-0.03542064693429636,3,3
240,scenario_26,-5.8154641894623635e-05,-0.0004971285989185561,2.667233624736797,6.263117579534996,-3.188477517653819e-06,0.001567857368153014,-0.0043822119206058385,0,0
