run,case,case_type,scenario,source,n_links,total_flow,mean_link_tt_min_unweighted,median_link_tt_min_unweighted,p95_link_tt_min_unweighted,max_link_tt_min,mean_delay_min_unweighted,p95_delay_min_unweighted,max_delay_min,flow_weighted_link_tt_min,flow_weighted_delay_min,edge_max_delay
5iter_5scen_4dev_test_1542375,dev564,development,scenario_44,used_links,58,146026.68389588234,2.581081411744252,1.898287395163743,6.600641210531363,19.025116183718435,1.021685102532033,2.2835933982919476,13.985448327508692,2.980035385904871,1.305441485870357,178
5iter_5scen_4dev_test_1542375,dev565,development,scenario_44,all_links,177,143491.6829680577,2.5713549430013707,1.8714941270274699,6.247858809696515,27.199114537306937,0.32423102181246455,1.273957942481094,13.60670166680654,2.9499448277344302,1.27240971282582,178
5iter_5scen_4dev_test_1542375,dev565,development,scenario_44,used_links,58,143491.6829680577,2.585258925508887,1.8804861900882388,6.536379823641243,18.646369523016283,0.9894636355311419,2.2217025307520997,13.60670166680654,2.9499448277344302,1.27240971282582,178
5iter_5scen_4dev_test_1542375,dev569,development,scenario_44,all_links,177,143514.8917656113,2.5577595676399167,1.8714941270274699,6.244734744328836,27.199114537306937,0.32519860805680917,1.2715763563853362,13.581051976295203,2.9385448635229916,1.2717002845335956,178
5iter_5scen_4dev_test_1542375,dev569,development,scenario_44,used_links,58,143514.8917656113,2.5437695903541053,1.8897308968936608,6.532016276476155,18.620719832504946,0.9924164418285385,2.2174999491915726,13.581051976295203,2.9385448635229916,1.2717002845335956,178
5iter_5scen_4dev_test_1542375,dev57,development,scenario_44,all_links,177,143593.6693725824,2.5493832496361533,1.8661431573642813,6.242935566167819,27.199114537306937,0.3246613387621213,1.2701481559951604,13.565612070935469,2.930252783424565,1.2684470932292888,178
5iter_5scen_4dev_test_1542375,dev57,development,scenario_44,used_links,58,143593.6693725824,2.5182073785150325,1.8623752338436468,6.529503269275599,18.60527992714521,0.9907768441533702,2.2150796435725497,13.565612070935469,2.930252783424565,1.2684470932292888,178
5iter_5scen_4dev_test_1542375,dev594,development,scenario_44,all_links,177,143566.04542882933,2.566722468533295,1.8688551108639249,6.2514026332845125,27.199114537306937,0.3236349784270882,1.2766909149604566,13.636062420044276,2.95459762852706,1.2742182526299406,178
5iter_5scen_4dev_test_1542375,dev594,development,scenario_44,used_links,58,143566.04542882938,2.571121891356309,1.865254240714637,6.541329669291387,18.67573027625402,0.9876446755447346,2.226469783005768,13.636062420044276,2.95459762852706,1.2742182526299406,178
5iter_5scen_4dev_test_1542375,dev602,development,scenario_44,all_links,177,143511.40042297327,2.570533733987172,1.8714941270274699,6.248677173601359,27.199114537306937,0.32427286478604955,1.2745886904742725,13.613414390358418,2.950116741964428,1.2730010148760065,178
5iter_5scen_4dev_test_1542375,dev602,development,scenario_44,used_links,58,143511.40042297327,2.5827528221379703,1.8712132869107718,6.53752287574698,18.65308224656816,0.9895913287436338,2.2228034171457947,13.613414390358418,2.950116741964428,1.2730010148760065,178
5iter_5scen_4dev_test_1542375,dev612,development,scenario_44,all_links,177,147345.1344074746,2.598657342148906,1.8946173867017428,6.418810732069314,27.199114537306937,0.34345490501398995,1.3472628098245805,14.387904765065269,3.030390768574354,1.3481596600997412,178
5iter_5scen_4dev_test_1542375,dev612,development,scenario_44,used_links,58,147345.1344074746,2.6685783160108474,1.9062191616778001,6.669118925205939,19.42757262127501,1.0481296239220037,2.34954505874401,14.387904765065269,3.030390768574354,1.3481596600997412,178
5iter_5scen_4dev_test_1542375,dev614,development,scenario_44,all_links,177,144207.71821661625,2.5511015495500167,1.8712603929151606,6.258166008843476,27.199114537306937,0.3278032228310774,1.2824881329462101,13.69763859586449,2.9427902424720327,1.2816580215623514,178
5iter_5scen_4dev_test_1542375,dev614,development,scenario_44,used_links,58,144207.71821661625,2.5234511558383748,1.8678118829634882,6.551818723654764,18.737306452074233,1.0003650076051842,2.2365719097359618,13.69763859586449,2.9427902424720327,1.2816580215623514,178
