ID_edge,link_group,capacity,ffs,length_m,fftt_min,flow_status_quo,flow_dev28,flow_dev109,flow_dev254,flow_dev267,traffic_count_name,traffic_count_road,traffic_count_distance_m,traffic_count_dwv,traffic_count_dwv_per_hour,traffic_count_mspw,traffic_count_aspw,traffic_count_peak_hour_avg,model_vs_astra_peak_ratio_status_quo,model_minus_astra_peak_status_quo,model_vs_capacity_ratio_status_quo,traffic_count_source,notes,length_m_geom,flow_cap_dev109,flow_cap_dev254,flow_cap_dev267,flow_cap_dev28,flow_cap_status_quo,delay_min_dev109,delay_min_dev254,delay_min_dev267,delay_min_dev28,delay_min_status_quo,link_tt_min_dev109,link_tt_min_dev254,link_tt_min_dev267,link_tt_min_dev28,link_tt_min_status_quo,traffic_count_mlocnr,traffic_count_direction
176,critical_peak,2200.0,100.0,4439.9389635413945,2.663963378124837,2918.5972317087617,2834.4068149023024,2814.3479453751365,3058.072887126371,2804.025818121425,BIRMENSDORF N (AB) - ZH1103,A 4,199.4140025932865,89224.0,3717.6666666666665,5883.0,6270.0,6076.5,0.48030893305500894,-3157.9027682912383,1.3266351053221643,ASTRA_traffic_count2025.gpkg; nearest point in 1km flat side buffer,,4439.9389635413945,1.2792490660796074,1.3900331305119868,1.274557190055193,1.288366734046501,1.3266351053221643,1.0898794805368146,1.2868222510868503,1.0818994834377356,1.105470771310349,1.1721177147150317,3.753842858661652,3.950785629211688,3.7458628615625726,3.7694341494351855,3.8360810928398688,301,13.0
178,critical_peak,1000.0,80.0,6719.55714161299,5.039667856209742,3217.551487685965,3189.334432234304,3274.0658933386294,3068.278694534062,3189.6639043396376,,,,,,,,,,,3.217551487685965,ASTRA_traffic_count2025.gpkg; nearest point in 1km flat side buffer,,6719.55714161299,3.274065893338629,3.068278694534062,3.1896639043396378,3.189334432234304,3.217551487685965,13.505689312682808,11.86127929748126,12.818339532473235,12.815691562455097,13.043463704575904,18.54535716889255,16.900947153691003,17.858007388682978,17.85535941866484,18.083131560785645,,
29,uncritical_validation,2391.0,98.0,2447.233413479223,1.4983061715178918,2918.5972317087617,2834.4068149023024,2814.3479453751365,3058.072887126371,2804.025818121425,URDORF (AB),A 3,29.18589447956624,89936.0,3747.3333333333335,5609.0,5863.0,5736.0,0.5088209957651258,-2817.4027682912383,1.2206596535795742,ASTRA_traffic_count2025.gpkg; nearest point in 1km flat side buffer,,2447.233413479223,1.1770589482957492,1.2789932610315229,1.1727418729073296,1.1854482705572156,1.2206596535795742,0.5189637267196407,0.6127412094416718,0.5151639221470194,0.5263877717711338,0.5581227908640072,2.017269898237533,2.111047380959564,2.0134700936649117,2.0246939432890256,2.056428962381899,194,13.0
35,uncritical_validation,2391.0,87.0,1834.4909824602885,1.2651661948001989,2973.643605078896,2895.2221706405016,2893.700706635856,3059.7530407176114,2874.159309974307,OPFIKON (AB),A 11,606.8850832553396,107252.0,4468.833333333333,6827.0,7106.0,6966.5,0.4268490066861259,-3992.856394921104,1.2436819761935993,ASTRA_traffic_count2025.gpkg; nearest point in 1km flat side buffer,,1834.4909824602885,1.2102470542182584,1.2796959601495657,1.2020741572456324,1.2108833837894193,1.243681976193599,0.4632715773672065,0.5179659196262145,0.4570356830328121,0.4637588677961859,0.4892223265518178,1.7284377721674054,1.7831321144264134,1.722201877833011,1.7289250625963848,1.7543885213520167,241,13.0
60,uncritical_validation,2338.0,118.0,3341.26037136498,1.6989459515415155,2918.5972317087617,2834.4068149023024,2814.3479453751365,3058.072887126371,2804.025818121425,ADLISWIL (AB),A 3,89.01359846218837,58712.0,2446.3333333333335,4373.0,4617.0,4495.0,0.6492986054969436,-1576.4027682912383,1.248330723570899,ASTRA_traffic_count2025.gpkg; nearest point in 1km flat side buffer,,3341.26037136498,1.2037416361741389,1.307986692526249,1.1993266972290098,1.212321135544184,1.248330723570899,0.6154405913764696,0.7266515806089071,0.6109343920933887,0.6242447879737494,0.6618794393227301,2.314386542917985,2.4255975321504226,2.309880343634904,2.323190739515265,2.3608253908642456,54,13.0
64,uncritical_validation,2335.0,118.0,2948.5542693597213,1.499264882725282,2918.5972317087617,2834.4068149023024,2814.3479453751365,3058.072887126371,2804.025818121425,"WOLLERAU, BLATTTUNNEL (AB)",A 3,131.7711861134583,57617.0,2400.7083333333335,4357.0,4840.0,4598.5,0.6346846214436799,-1679.9027682912383,1.2499345746076067,ASTRA_traffic_count2025.gpkg; nearest point in 1km flat side buffer,,2948.5542693597213,1.205288199304127,1.3096671893474825,1.2008675880605677,1.2138787215855684,1.2499345746076067,0.5445028864418762,0.6428953316097916,0.5405160864957888,0.5522922824082659,0.5855890401731736,2.0437677691671583,2.1421602143350738,2.039780969221071,2.051557165133548,2.084853922898456,299,13.0
77,uncritical_validation,2391.0,93.0,1011.8689371854967,0.6528186691519334,833.0216545400068,834.5933362922802,841.6310040083238,816.3306155787161,835.9486548893393,OPFIKON (AB),A 11,12.706195536845227,107252.0,4468.833333333333,6827.0,7106.0,6966.5,0.11957534695184192,-6133.478345459993,0.3483988517524077,ASTRA_traffic_count2025.gpkg; nearest point in 1km flat side buffer,,1011.8689371854967,0.3519995834413734,0.3414180742696429,0.3496230258842908,0.349056184145663,0.3483988517524077,0.0202216632347228,0.0190241644431782,0.0199495281811177,0.0198848925168553,0.0198100697397004,0.6730403323866563,0.6718428335951117,0.6727681973330512,0.6727035616687888,0.6726287388916339,241,13.0
83,uncritical_validation,3262.0,80.0,2095.9886952448405,1.5719915214336304,3177.449074907569,3123.625646628031,3195.987677981628,3066.817751709588,3141.705296406367,WALLISELLEN (AB),A 1,143.55386668703002,140139.0,5839.125,8560.0,9363.0,8961.5,0.3545666545676024,-5784.0509250924315,0.9740800352261094,ASTRA_traffic_count2025.gpkg; nearest point in 1km flat side buffer,,2095.9886952448405,0.9797632366589908,0.9401648533751036,0.9631224084630188,0.9575799039325662,0.9740800352261094,0.3772528132437696,0.347374737375782,0.3645467098679975,0.3603630504342803,0.3728889314216654,1.9492443346774,1.9193662588094125,1.936538231301628,1.9323545718679107,1.944880452855296,286,13.0
96,uncritical_validation,2333.0,120.0,2437.745041650941,1.2188725208254705,3201.641853898468,3161.1910148196025,3248.500745814836,3067.841745303841,3182.475833446303,NAENIKON,A 15,115.12249503195207,57009.0,2375.375,4190.0,4575.0,4382.5,0.7305514783567526,-1180.858146101532,1.372328269995057,ASTRA_traffic_count2025.gpkg; nearest point in 1km flat side buffer,,2437.745041650941,1.392413521566582,1.3149771732978317,1.364113087632363,1.3549897191682825,1.372328269995057,0.5907922080867132,0.5269079153475726,0.5670208727493462,0.5594616152760867,0.5738710474707724,1.809664728912184,1.7457804361730431,1.7858933935748167,1.7783341361015572,1.792743568296243,759,13.0
102,uncritical_validation,3324.0,119.0,5030.979565723924,2.536628352465844,260.0037762826881,264.197675939184,281.4333360727909,220.00601939028303,260.8914623622032,"WINTERTHUR, KEMPTTHAL (AB)",A 1,523.1094149332502,110923.0,4621.791666666667,7187.0,7785.0,7486.0,0.034732003243746735,-7225.996223717312,0.07822014930285441,ASTRA_traffic_count2025.gpkg; nearest point in 1km flat side buffer,,5030.979565723924,0.0846670686139563,0.0661871297804702,0.0784872028767157,0.0794818519672635,0.0782201493028544,0.0045459630179971,0.0027780748797883,0.0039065605044283,0.0040062016611566,0.0038800215005498,2.541174315483841,2.5394064273456323,2.5405349129702723,2.540634554127001,2.540508373966394,284,13.0
132,uncritical_validation,2343.0,113.0,1886.9484527400857,1.001919532428364,2918.5972317087617,2834.4068149023024,2814.3479453751365,3058.072887126371,2804.025818121425,SCHMERIKON (AB),A 15,51.16391513097371,34495.0,1437.2916666666667,2900.0,3630.0,3265.0,0.8939042057300954,-346.4027682912383,1.2456667655607176,ASTRA_traffic_count2025.gpkg; nearest point in 1km flat side buffer,,1886.9484527400857,1.2011728319996315,1.3051954277107858,1.196767314605815,1.2097340225788742,1.2456667655607176,0.3613964261912445,0.4267012738482796,0.3587503148696485,0.3665663893531243,0.3886660504561654,1.3633159586196086,1.4286208062766437,1.3606698472980123,1.3684859217814884,1.3905855828845295,588,13.0
