mode,development,scenario,value_mode,tts_annual,cost_annual,cost_annual_negative,net_annual
Rail,100000,scenario_50,standalone_annual_proxy,4082534.4137627496,1266829.2297154565,-1266829.2297154565,2815705.184047293
Rail,100000,scenario_51,integrated,6073665.995334865,1329118.6567644724,-1329118.6567644724,4744547.338570392
Rail,100000,scenario_51,standalone_annual_proxy,5141198.184808943,1266829.2297154565,-1266829.2297154565,3874368.955093487
Rail,100000,scenario_52,integrated,8567814.00667342,1329118.6567644724,-1329118.6567644724,7238695.349908948
Rail,100000,scenario_52,standalone_annual_proxy,6982108.707480831,1266829.2297154565,-1266829.2297154565,5715279.477765375
Rail,100000,scenario_53,integrated,7592103.491507084,1329118.6567644724,-1329118.6567644724,6262984.834742611
Rail,100000,scenario_53,standalone_annual_proxy,6187508.601763859,1266829.2297154565,-1266829.2297154565,4920679.372048403
Rail,100000,scenario_54,integrated,9018279.704912571,1329118.6567644724,-1329118.6567644724,7689161.048148099
Rail,100000,scenario_54,standalone_annual_proxy,7409759.354971466,1266829.2297154565,-1266829.2297154565,6142930.125256009
Rail,100000,scenario_55,integrated,5790519.951982705,1329118.6567644724,-1329118.6567644724,4461401.295218233
Rail,100000,scenario_55,standalone_annual_proxy,3962115.840018492,1266829.2297154565,-1266829.2297154565,2695286.610303036
Rail,100000,scenario_56,integrated,6771098.702614131,1329118.6567644724,-1329118.6567644724,5441980.045849659
Rail,100000,scenario_56,standalone_annual_proxy,6752836.193783252,1266829.2297154565,-1266829.2297154565,5486006.964067795
Rail,100000,scenario_57,integrated,5019417.573722328,1329118.6567644724,-1329118.6567644724,3690298.9169578557
Rail,100000,scenario_57,standalone_annual_proxy,4689732.197376209,1266829.2297154565,-1266829.2297154565,3422902.967660753
Rail,100000,scenario_58,integrated,5178984.3456548145,1329118.6567644724,-1329118.6567644724,3849865.688890342
Rail,100000,scenario_58,standalone_annual_proxy,3027690.7435628865,1266829.2297154565,-1266829.2297154565,1760861.51384743
Rail,100000,scenario_59,integrated,4540089.928724866,1329118.6567644724,-1329118.6567644724,3210971.271960394
Rail,100000,scenario_59,standalone_annual_proxy,2788670.7672412144,1266829.2297154565,-1266829.2297154565,1521841.537525758
Rail,100000,scenario_6,integrated,5390248.889981115,1329118.6567644724,-1329118.6567644724,4061130.233216643
Rail,100000,scenario_6,standalone_annual_proxy,4341206.515230666,1266829.2297154565,-1266829.2297154565,3074377.2855152097
Rail,100000,scenario_60,integrated,5234866.107451909,1329118.6567644724,-1329118.6567644724,3905747.450687437
Rail,100000,scenario_60,standalone_annual_proxy,3873534.240200579,1266829.2297154565,-1266829.2297154565,2606705.010485123
Rail,100000,scenario_61,integrated,5006061.213849358,1329118.6567644724,-1329118.6567644724,3676942.557084886
Rail,100000,scenario_61,standalone_annual_proxy,2621897.880923722,1266829.2297154565,-1266829.2297154565,1355068.6512082655
Rail,100000,scenario_62,integrated,5679144.147902406,1329118.6567644724,-1329118.6567644724,4350025.491137933
Rail,100000,scenario_62,standalone_annual_proxy,5227685.547407259,1266829.2297154565,-1266829.2297154565,3960856.317691803
Rail,100000,scenario_63,integrated,7799583.680734668,1329118.6567644724,-1329118.6567644724,6470465.023970196
Rail,100000,scenario_63,standalone_annual_proxy,4506796.2485634405,1266829.2297154565,-1266829.2297154565,3239967.0188479843
Rail,100000,scenario_64,integrated,7099982.613122121,1329118.6567644724,-1329118.6567644724,5770863.956357649
Rail,100000,scenario_64,standalone_annual_proxy,5279118.704541252,1266829.2297154565,-1266829.2297154565,4012289.4748257957
Rail,100000,scenario_65,integrated,4866471.50259466,1329118.6567644724,-1329118.6567644724,3537352.8458301877
Rail,100000,scenario_65,standalone_annual_proxy,4314020.640641647,1266829.2297154565,-1266829.2297154565,3047191.410926191
Rail,100000,scenario_66,integrated,4752108.602605111,1329118.6567644724,-1329118.6567644724,3422989.9458406386
Rail,100000,scenario_66,standalone_annual_proxy,3486164.7820713036,1266829.2297154565,-1266829.2297154565,2219335.5523558473
Rail,100000,scenario_67,integrated,6882785.919891827,1329118.6567644724,-1329118.6567644724,5553667.263127355
Rail,100000,scenario_67,standalone_annual_proxy,4663130.273434957,1266829.2297154565,-1266829.2297154565,3396301.0437195003
Rail,100000,scenario_68,integrated,3787975.9069747967,1329118.6567644724,-1329118.6567644724,2458857.2502103243
Rail,100000,scenario_68,standalone_annual_proxy,2767071.4747742675,1266829.2297154565,-1266829.2297154565,1500242.245058811
Rail,100000,scenario_69,integrated,3551868.292859787,1329118.6567644724,-1329118.6567644724,2222749.6360953148
Rail,100000,scenario_69,standalone_annual_proxy,3194955.3996980493,1266829.2297154565,-1266829.2297154565,1928126.1699825928
Rail,100000,scenario_7,integrated,7386575.488479621,1329118.6567644724,-1329118.6567644724,6057456.831715148
Rail,100000,scenario_7,standalone_annual_proxy,4204935.509612181,1266829.2297154565,-1266829.2297154565,2938106.279896725
Rail,100000,scenario_70,integrated,4168100.7331793862,1329118.6567644724,-1329118.6567644724,2838982.076414914
Rail,100000,scenario_70,standalone_annual_proxy,2929990.179277273,1266829.2297154565,-1266829.2297154565,1663160.9495618164
Rail,100000,scenario_71,integrated,5884636.920894483,1329118.6567644724,-1329118.6567644724,4555518.264130011
Rail,100000,scenario_71,standalone_annual_proxy,4000672.784334314,1266829.2297154565,-1266829.2297154565,2733843.554618858
Rail,100000,scenario_72,integrated,3187028.0031027505,1329118.6567644724,-1329118.6567644724,1857909.3463382781
Rail,100000,scenario_72,standalone_annual_proxy,2671692.766874532,1266829.2297154565,-1266829.2297154565,1404863.5371590757
Rail,100000,scenario_73,integrated,3183385.9341385523,1329118.6567644724,-1329118.6567644724,1854267.27737408
Rail,100000,scenario_73,standalone_annual_proxy,2447684.7345604645,1266829.2297154565,-1266829.2297154565,1180855.504845008
Rail,100000,scenario_74,integrated,6366537.776124347,1329118.6567644724,-1329118.6567644724,5037419.119359875
Rail,100000,scenario_74,standalone_annual_proxy,4851028.359201832,1266829.2297154565,-1266829.2297154565,3584199.1294863755
Rail,100000,scenario_75,integrated,5717455.730385159,1329118.6567644724,-1329118.6567644724,4388337.073620686
Rail,100000,scenario_75,standalone_annual_proxy,6906692.043316665,1266829.2297154565,-1266829.2297154565,5639862.813601209
Rail,100000,scenario_76,integrated,5155023.940361264,1329118.6567644724,-1329118.6567644724,3825905.283596792
Rail,100000,scenario_76,standalone_annual_proxy,4455697.604332427,1266829.2297154565,-1266829.2297154565,3188868.3746169703
Rail,100000,scenario_77,integrated,6514600.546541737,1329118.6567644724,-1329118.6567644724,5185481.8897772655
Rail,100000,scenario_77,standalone_annual_proxy,3310435.176485284,1266829.2297154565,-1266829.2297154565,2043605.9467698277
Rail,100000,scenario_78,integrated,8917573.426411098,1329118.6567644724,-1329118.6567644724,7588454.769646626
Rail,100000,scenario_78,standalone_annual_proxy,6373205.58138508,1266829.2297154565,-1266829.2297154565,5106376.3516696235
Rail,100000,scenario_79,integrated,6670160.711906737,1329118.6567644724,-1329118.6567644724,5341042.055142265
Rail,100000,scenario_79,standalone_annual_proxy,5407110.26872773,1266829.2297154565,-1266829.2297154565,4140281.039012274
Rail,100000,scenario_8,integrated,4838091.937057193,1329118.6567644724,-1329118.6567644724,3508973.280292721
Rail,100000,scenario_8,standalone_annual_proxy,2969415.9254501597,1266829.2297154565,-1266829.2297154565,1702586.6957347032
Rail,100000,scenario_80,integrated,11105907.436486848,1329118.6567644724,-1329118.6567644724,9776788.779722376
Rail,100000,scenario_80,standalone_annual_proxy,10473904.699667174,1266829.2297154565,-1266829.2297154565,9207075.469951717
Rail,100000,scenario_81,integrated,5944270.161336802,1329118.6567644724,-1329118.6567644724,4615151.50457233
Rail,100000,scenario_81,standalone_annual_proxy,3724173.462294818,1266829.2297154565,-1266829.2297154565,2457344.2325793616
Rail,100000,scenario_82,integrated,7242185.255031059,1329118.6567644724,-1329118.6567644724,5913066.598266587
Rail,100000,scenario_82,standalone_annual_proxy,5319330.002025315,1266829.2297154565,-1266829.2297154565,4052500.7723098584
Rail,100000,scenario_83,integrated,5238377.833820928,1329118.6567644724,-1329118.6567644724,3909259.1770564555
Rail,100000,scenario_83,standalone_annual_proxy,3782639.886745674,1266829.2297154565,-1266829.2297154565,2515810.6570302173
Rail,100000,scenario_84,integrated,5334732.76037762,1329118.6567644724,-1329118.6567644724,4005614.103613148
Rail,100000,scenario_84,standalone_annual_proxy,3488545.297583136,1266829.2297154565,-1266829.2297154565,2221716.0678676795
Rail,100000,scenario_85,integrated,5045501.502745175,1329118.6567644724,-1329118.6567644724,3716382.8459807024
Rail,100000,scenario_85,standalone_annual_proxy,3482065.722682944,1266829.2297154565,-1266829.2297154565,2215236.4929674873
Rail,100000,scenario_86,integrated,7283437.157062023,1329118.6567644724,-1329118.6567644724,5954318.50029755
Rail,100000,scenario_86,standalone_annual_proxy,4890937.038358325,1266829.2297154565,-1266829.2297154565,3624107.808642869
Rail,100000,scenario_87,integrated,6656439.849334203,1329118.6567644724,-1329118.6567644724,5327321.192569731
Rail,100000,scenario_87,standalone_annual_proxy,5970416.075900631,1266829.2297154565,-1266829.2297154565,4703586.846185175
Rail,100000,scenario_88,integrated,5072942.243762963,1329118.6567644724,-1329118.6567644724,3743823.586998491
Rail,100000,scenario_88,standalone_annual_proxy,4760194.980824214,1266829.2297154565,-1266829.2297154565,3493365.751108758
Rail,100000,scenario_89,integrated,5445902.809909447,1329118.6567644724,-1329118.6567644724,4116784.1531449747
Rail,100000,scenario_89,standalone_annual_proxy,4765794.458337182,1266829.2297154565,-1266829.2297154565,3498965.228621726
Rail,100000,scenario_9,integrated,7950140.184882568,1329118.6567644724,-1329118.6567644724,6621021.528118096
Rail,100000,scenario_9,standalone_annual_proxy,4348963.789331155,1266829.2297154565,-1266829.2297154565,3082134.5596156986
Rail,100000,scenario_90,integrated,5536133.24557989,1329118.6567644724,-1329118.6567644724,4207014.588815417
Rail,100000,scenario_90,standalone_annual_proxy,3782075.239225508,1266829.2297154565,-1266829.2297154565,2515246.0095100515
Rail,100000,scenario_91,integrated,7484521.810279925,1329118.6567644724,-1329118.6567644724,6155403.1535154525
Rail,100000,scenario_91,standalone_annual_proxy,7078025.240822012,1266829.2297154565,-1266829.2297154565,5811196.011106555
Rail,100000,scenario_92,integrated,5368321.316251692,1329118.6567644724,-1329118.6567644724,4039202.65948722
Rail,100000,scenario_92,standalone_annual_proxy,3773788.304357414,1266829.2297154565,-1266829.2297154565,2506959.074641958
Rail,100000,scenario_93,integrated,5790965.241007029,1329118.6567644724,-1329118.6567644724,4461846.584242556
Rail,100000,scenario_93,standalone_annual_proxy,5642961.441598622,1266829.2297154565,-1266829.2297154565,4376132.211883166
Rail,100000,scenario_94,integrated,10570598.092002189,1329118.6567644724,-1329118.6567644724,9241479.435237717
Rail,100000,scenario_94,standalone_annual_proxy,8415965.799691876,1266829.2297154565,-1266829.2297154565,7149136.56997642
Rail,100000,scenario_95,integrated,8321855.163964423,1329118.6567644724,-1329118.6567644724,6992736.5071999505
Rail,100000,scenario_95,standalone_annual_proxy,6606870.8560912,1266829.2297154565,-1266829.2297154565,5340041.626375744
Rail,100000,scenario_96,integrated,8100872.505934856,1329118.6567644724,-1329118.6567644724,6771753.849170383
Rail,100000,scenario_96,standalone_annual_proxy,7909798.357298313,1266829.2297154565,-1266829.2297154565,6642969.127582856
Rail,100000,scenario_97,integrated,9265630.02057182,1329118.6567644724,-1329118.6567644724,7936511.363807349
Rail,100000,scenario_97,standalone_annual_proxy,6666231.074755139,1266829.2297154565,-1266829.2297154565,5399401.845039682
Rail,100000,scenario_98,integrated,7927224.909309908,1329118.6567644724,-1329118.6567644724,6598106.252545435
Rail,100000,scenario_98,standalone_annual_proxy,4298493.206529264,1266829.2297154565,-1266829.2297154565,3031663.976813808
Rail,100000,scenario_99,integrated,9489549.093251524,1329118.6567644724,-1329118.6567644724,8160430.436487053
Rail,100000,scenario_99,standalone_annual_proxy,7487103.557772663,1266829.2297154565,-1266829.2297154565,6220274.328057207
Rail,100001,scenario_1,integrated,22320396.497709937,1733979.1735291178,-1733979.1735291178,20586417.32418082
Rail,100001,scenario_1,standalone_annual_proxy,24184229.56096738,1653083.3635383737,-1653083.3635383737,22531146.197429005
Rail,100001,scenario_10,integrated,22189742.00216962,1733979.1735291178,-1733979.1735291178,20455762.828640502
Rail,100001,scenario_10,standalone_annual_proxy,17731190.37224574,1653083.3635383737,-1653083.3635383737,16078107.008707367
Rail,100001,scenario_100,integrated,13460561.448117351,1733979.1735291178,-1733979.1735291178,11726582.274588233
Rail,100001,scenario_100,standalone_annual_proxy,11249241.404163726,1653083.3635383737,-1653083.3635383737,9596158.040625352
Rail,100001,scenario_11,integrated,16896343.969394162,1733979.1735291178,-1733979.1735291178,15162364.795865044
Rail,100001,scenario_11,standalone_annual_proxy,11994016.3587527,1653083.3635383737,-1653083.3635383737,10340932.995214326
Rail,100001,scenario_12,integrated,27466362.702519976,1733979.1735291178,-1733979.1735291178,25732383.528990857
Rail,100001,scenario_12,standalone_annual_proxy,25692830.429876667,1653083.3635383737,-1653083.3635383737,24039747.066338293
Rail,100001,scenario_13,integrated,17352492.85406535,1733979.1735291178,-1733979.1735291178,15618513.680536233
Rail,100001,scenario_13,standalone_annual_proxy,15418369.53646031,1653083.3635383737,-1653083.3635383737,13765286.172921937
Rail,100001,scenario_14,integrated,19119917.81415006,1733979.1735291178,-1733979.1735291178,17385938.640620943
Rail,100001,scenario_14,standalone_annual_proxy,10568407.07167447,1653083.3635383737,-1653083.3635383737,8915323.708136097
Rail,100001,scenario_15,integrated,13226546.472890137,1733979.1735291178,-1733979.1735291178,11492567.299361018
Rail,100001,scenario_15,standalone_annual_proxy,8124966.835425417,1653083.3635383737,-1653083.3635383737,6471883.471887043
Rail,100001,scenario_16,integrated,20662289.778529663,1733979.1735291178,-1733979.1735291178,18928310.605000544
Rail,100001,scenario_16,standalone_annual_proxy,15882899.304949164,1653083.3635383737,-1653083.3635383737,14229815.941410791
Rail,100001,scenario_17,integrated,20912022.14172005,1733979.1735291178,-1733979.1735291178,19178042.96819093
Rail,100001,scenario_17,standalone_annual_proxy,14717821.223267594,1653083.3635383737,-1653083.3635383737,13064737.859729221
Rail,100001,scenario_18,integrated,10908929.598110536,1733979.1735291178,-1733979.1735291178,9174950.424581418
Rail,100001,scenario_18,standalone_annual_proxy,9001818.69653375,1653083.3635383737,-1653083.3635383737,7348735.3329953775
Rail,100001,scenario_19,integrated,16611085.508635305,1733979.1735291178,-1733979.1735291178,14877106.335106187
Rail,100001,scenario_19,standalone_annual_proxy,14764598.964740643,1653083.3635383737,-1653083.3635383737,13111515.60120227
Rail,100001,scenario_2,integrated,10952431.804548578,1733979.1735291178,-1733979.1735291178,9218452.63101946
Rail,100001,scenario_2,standalone_annual_proxy,8232709.124910968,1653083.3635383737,-1653083.3635383737,6579625.761372594
Rail,100001,scenario_20,integrated,23499228.431689475,1733979.1735291178,-1733979.1735291178,21765249.258160356
Rail,100001,scenario_20,standalone_annual_proxy,16426363.091149744,1653083.3635383737,-1653083.3635383737,14773279.72761137
Rail,100001,scenario_21,integrated,21146366.28612281,1733979.1735291178,-1733979.1735291178,19412387.11259369
Rail,100001,scenario_21,standalone_annual_proxy,18034956.281432845,1653083.3635383737,-1653083.3635383737,16381872.917894471
Rail,100001,scenario_22,integrated,17260679.41123613,1733979.1735291178,-1733979.1735291178,15526700.237707011
Rail,100001,scenario_22,standalone_annual_proxy,20166937.59989521,1653083.3635383737,-1653083.3635383737,18513854.236356836
Rail,100001,scenario_23,integrated,11767403.933224129,1733979.1735291178,-1733979.1735291178,10033424.75969501
Rail,100001,scenario_23,standalone_annual_proxy,8180995.316224759,1653083.3635383737,-1653083.3635383737,6527911.952686386
Rail,100001,scenario_24,integrated,22443664.738055676,1733979.1735291178,-1733979.1735291178,20709685.564526558
Rail,100001,scenario_24,standalone_annual_proxy,17584053.651594143,1653083.3635383737,-1653083.3635383737,15930970.28805577
Rail,100001,scenario_25,integrated,17527259.823401466,1733979.1735291178,-1733979.1735291178,15793280.649872348
Rail,100001,scenario_25,standalone_annual_proxy,11897243.096182317,1653083.3635383737,-1653083.3635383737,10244159.732643943
Rail,100001,scenario_26,integrated,10764029.503012275,1733979.1735291178,-1733979.1735291178,9030050.329483157
Rail,100001,scenario_26,standalone_annual_proxy,6509719.948412107,1653083.3635383737,-1653083.3635383737,4856636.584873734
Rail,100001,scenario_27,integrated,15519866.413811408,1733979.1735291178,-1733979.1735291178,13785887.24028229
Rail,100001,scenario_27,standalone_annual_proxy,10591137.555269454,1653083.3635383737,-1653083.3635383737,8938054.19173108
Rail,100001,scenario_28,integrated,7780195.215104214,1733979.1735291178,-1733979.1735291178,6046216.041575097
Rail,100001,scenario_28,standalone_annual_proxy,8378166.248075778,1653083.3635383737,-1653083.3635383737,6725082.884537404
Rail,100001,scenario_29,integrated,19644158.922918648,1733979.1735291178,-1733979.1735291178,17910179.74938953
Rail,100001,scenario_29,standalone_annual_proxy,14899490.831110904,1653083.3635383737,-1653083.3635383737,13246407.46757253
Rail,100001,scenario_3,integrated,18751055.759042725,1733979.1735291178,-1733979.1735291178,17017076.585513607
Rail,100001,scenario_3,standalone_annual_proxy,12192592.617685648,1653083.3635383737,-1653083.3635383737,10539509.254147274
Rail,100001,scenario_30,integrated,17962578.108007256,1733979.1735291178,-1733979.1735291178,16228598.934478138
