development,scenario_count,mean_delta_vkm_annualized,median_delta_vkm_annualized,std_delta_vkm_annualized,mean_delta_vkm_peak_hour,median_delta_vkm_peak_hour,std_delta_vkm_peak_hour
201,10,6950668.894558601,6627541.727558572,1712164.349669719,11121.070231293763,10604.066764093715,2739.4629594715516
202,10,2755789.292005333,2626998.2296389546,679963.4779930089,4409.262867208534,4203.197167422328,1087.9415647888145
206,10,880775.8079165092,838502.1317487501,219136.3556835895,1409.2412926664144,1341.6034107980001,350.6181690937431
209,10,2653816.87969317,2529942.130303208,653582.553359659,4246.107007509072,4047.907408485132,1045.732085375454
227,10,518157.4858021713,494180.8222736984,122856.45336086178,829.0519772834741,790.6893156379174,196.57032537737888
233,10,791723.7962324156,753642.4466976346,197808.08182786911,1266.758073971865,1205.8279147162154,316.4929309245906
240,10,586184.8113633104,558968.2045142862,139938.58796117236,937.8956981812968,894.3491272228582,223.90174073787577
243,10,7938265.59435265,7570070.132460632,1956773.7570648235,12701.224950964242,12112.112211937012,3130.8380113037174
245,10,4604307.904616277,4390730.101888418,1128636.6147730304,7366.892647386044,7025.168163021469,1805.8185836368484
249,10,7003046.07584403,6677379.889191413,1725088.1363917822,11204.873721350446,10683.807822706262,2760.141018226851
25,10,4995887.67184817,4764278.822158055,1226073.6865967677,7993.420274957071,7622.846115452889,1961.7178985548285
250,10,1891780.648976686,1804782.030821723,461516.49066613405,3026.849038362697,2887.6512493147566,738.4263850658142
255,10,1219289.788863358,1161922.0227854396,302357.47386621614,1950.863662181373,1859.0752364567031,483.7719581859458
261,10,2225248.3948301636,2120889.3824694296,549847.3396201389,3560.3974317282614,3393.4230119510876,879.7557433922223
267,10,451926.1840735467,430101.2635583725,115731.47318919365,723.0818945176746,688.162021693396,185.17035710270986
27,10,4830984.858409807,4606982.998846145,1184935.4430602852,7729.57577345569,7371.1727981538315,1895.8967088964564
270,10,1374932.8869167801,1310377.6639375116,340746.9591132758,2199.8926190668485,2096.6042623000185,545.1951345812412
273,10,778786.3913729838,742943.5265151621,186409.54250286258,1246.058226196774,1188.7096424242593,298.2552680045801
277,10,4064102.893039435,3874702.1892442144,1001256.2680194341,6502.564628863096,6199.523502790743,1602.0100288310946
28,10,9369364.801005796,8934520.398584342,2304607.719289829,14990.983681609272,14295.232637734945,3687.3723508637263
284,10,1233099.199443087,1174771.810707354,305138.7772526456,1972.958719108939,1879.6348971317664,488.2220436042331
285,10,7204862.803048888,6869893.08842646,1774794.531831322,11527.780484878222,10991.828941482336,2839.671250930115
289,10,6880606.705241969,6560788.73131614,1694576.7155161696,11008.97072838715,10497.261970105825,2711.3227448258713
308,10,3309891.9681701334,3155884.9842034467,817095.6520995909,5295.827149072213,5049.415974725514,1307.3530433593453
331,10,7097765.074377259,6767893.820076834,1748100.5929585444,11356.424119003615,10828.630112122937,2796.96094873367
334,10,-795529.4696422673,-758781.0352098957,200401.6444304202,-1272.8471514276278,-1214.049656335833,320.6426310886723
348,10,9050158.400858175,8630228.332764318,2229919.0630905475,14480.253441373081,13808.365332422907,3567.870500944876
351,10,6694363.760237962,6384212.157957841,1654320.348613461,10710.98201638074,10214.739452732543,2646.912557781537
356,10,3640635.5707294135,3471059.5677680424,897260.2874540472,5825.016913167061,5553.695308428868,1435.6164599264757
