development,component,scenario_count,mean_tts_minutes,median_tts_minutes,std_tts_minutes,min_tts_minutes,max_tts_minutes,n_positive,n_negative
273,network,10,-525.7010567621153,-530.3008667380491,69.26227282317683,-599.6764236325398,-375.2829621396377,0,10
273,origin_access,10,330.855218127634,315.64249602658674,81.78032465857547,196.9913805221804,454.20104525214265,10,0
273,total,10,187.3198896926595,149.76585679274285,111.19458903689747,50.62862796895206,377.5249069989659,10,0
277,access_only,10,1187.5263284945308,1132.7561323814025,292.6965359901117,708.4447176055255,1628.6346709393074,10,0
277,destination_access,10,578.223606297432,551.2550598008202,141.06106678198122,347.3413660972801,790.151976330515,10,0
277,network,10,-12925.491727010056,-9955.7618304957,8191.270225793112,-27217.055592561373,-3417.1356239416637,0,10
277,origin_access,10,609.3027221970988,581.5010725805823,151.64658482460376,361.1033515082454,838.4826946087924,10,0
277,total,10,-11737.965398515542,-8823.005698114343,7905.730111573407,-25588.420921622077,-2708.6909063361527,0,10
28,access_only,10,965.564723360987,920.941081362238,237.698049295006,576.5064475187282,1323.612944885699,10,0
28,destination_access,10,246.5827689618336,235.09324731874221,60.18921483231039,148.0623191871582,337.0242728553021,10,0
28,network,10,-153.52333851847806,-1873.267434084526,3714.4849948296946,-3240.4012615242973,6749.325038261013,3,7
28,origin_access,10,718.9819543991534,685.8478340434958,177.510610038625,428.44412833157,986.588672030397,10,0
28,total,10,812.0413848424884,-952.3263527223315,3938.309465083819,-2663.894814005558,8072.937983146636,3,7
284,access_only,10,603.8113064616698,575.6335297493515,147.22507909423808,362.8406231422032,824.9691101308708,10,0
284,destination_access,10,389.3353372024056,371.17195992228517,94.95627262562961,233.91501227924164,531.9885990072871,10,0
284,network,10,-1626.3801213364495,-1371.5113828423491,773.3526787867622,-2945.4233507257886,-651.363068277511,0,10
284,origin_access,10,214.47596925926428,204.46156982706634,52.268814659301526,128.92561086296155,292.9805111235837,10,0
284,total,10,-1022.5688148747926,-795.8778530930285,628.8558192899415,-2120.4542405949906,-288.5224451353133,0,10
285,access_only,10,734.2435389017357,700.4160381719339,181.53045225586817,437.1167414148531,1007.9403498081045,10,0
285,destination_access,10,-1.9960698635553853,-1.9983604766985081,1.023835742925659,-3.621247180730279,-0.4543134490195371,0,10
285,network,10,-19683.701108093162,-15357.69340950402,12054.631510490559,-40664.03484970145,-5557.956362658355,0,10
285,origin_access,10,736.2396087652911,702.4143986486324,182.47363185810494,437.57105486387263,1011.5615969888348,10,0
285,total,10,-18949.45756919145,-14657.277371332108,11877.258259363758,-39656.09449989349,-5120.839621243504,0,10
289,access_only,10,608.8772360997906,580.9275120600687,150.84216938168763,361.97731473828935,836.4854474561362,10,0
289,destination_access,10,16.51360305462895,15.770263608970708,3.4954435443544156,10.85870572443855,22.01200284330116,10,0
289,network,10,-19100.253264008417,-14883.36635101962,11738.687498309397,-39536.83479636861,-5358.42437490978,0,10
289,origin_access,10,592.3636330451616,565.3022136491782,147.3920960623422,351.1186090138508,815.0488118338981,10,0
289,total,10,-18491.376027908627,-14302.438838959584,11591.324586927507,-38700.34934891248,-4996.447060171486,0,10
308,access_only,10,85.88582601744675,81.76507374698122,21.108598562019285,51.33729887072697,117.52663441685945,10,0
308,destination_access,10,-126.50443646176208,-120.7583636153795,31.64186981410952,-174.3965064504555,-74.72885220136232,0,10
308,network,10,-2119.917982450538,-2125.442119498475,317.5384999111638,-2481.7599991981406,-1457.8998197824983,0,10
308,origin_access,10,212.39026247920884,202.60019674944306,52.74111122887483,126.06615107208928,291.92314086731494,10,0
308,total,10,-2034.0321564331039,-2043.600286364468,297.1302530177334,-2367.288382523926,-1406.5625209117716,0,10
331,access_only,10,441.1985161567389,420.7518544948198,108.54682371551878,263.5334237119223,604.6086355470725,10,0
331,destination_access,10,-14.440054191730814,-13.851900194615155,3.939709762609057,-20.523639908733458,-8.01427961032823,0,10
331,network,10,-21816.008493398804,-16855.185023777507,13718.277505218728,-45737.685006769374,-5855.820093455899,0,10
331,origin_access,10,455.63857034846967,434.60375468943494,112.47190176915828,271.5477033222505,625.1322754558059,10,0
331,total,10,-21374.80997724209,-16434.433169282653,13612.268089020281,-45133.0763712225,-5592.286669743975,0,10
334,access_only,10,812.8585472083502,775.1719308949505,199.4744958115504,486.37784905666194,1113.0865557088546,10,0
334,destination_access,10,520.5617326341592,496.4124065625474,127.63913356158227,311.64883724890024,712.6256920977321,10,0
334,network,10,12600.684764914982,9126.806846077117,9240.191841806321,2262.0382744650124,28875.764588708756,10,0
334,origin_access,10,292.296814574191,278.7595243324031,71.83542101657636,174.7290118077617,400.4608636111225,10,0
334,total,10,13413.543312123296,9901.978776972013,9434.305241983013,2748.416123521689,29988.851144417426,10,0
348,access_only,10,432.6758623380647,412.7972121024068,107.21946225067205,257.1719110988961,594.4150921727851,10,0
348,destination_access,10,-63.69589122006255,-60.84797687116588,16.170866407844695,-88.27564736717613,-37.244746312735515,0,10
348,network,10,-21540.112703678245,-17011.94802404646,12754.35997570477,-43688.976177504286,-6452.283623982803,0,10
348,origin_access,10,496.37175355812724,473.64518897357266,123.38641376188143,294.4166574116316,682.6907395399612,10,0
348,total,10,-21107.436841340157,-16599.15081194404,12649.476552128319,-43094.56108533149,-6195.111712883896,0,10
351,access_only,10,-1646.914454441899,-1570.7929547278327,405.20040565790885,-2257.3767139436895,-983.6735545625615,0,10
351,destination_access,10,-963.6230796970209,-919.0544283968466,236.94137135339906,-1320.524889199638,-575.7929194762291,0,10
351,network,10,-32426.767614566652,-24296.004720248486,22031.388264020174,-71081.28278147266,-7316.514678441861,0,10
351,origin_access,10,-683.2913747448781,-651.7385263309861,168.2591222759302,-936.8518247440516,-407.8806350863324,0,10
351,total,10,-34073.68206900854,-25866.79767497632,22426.44441309734,-73338.65949541633,-8300.188233004417,0,10
356,access_only,10,-1035.1875428315889,-987.2824139574404,254.39491834232487,-1418.27327370286,-618.8042530641942,0,10
356,destination_access,10,-554.2825319796535,-528.6637348852873,136.36975121187217,-759.7066849884104,-331.0781166634915,0,10
356,network,10,-13414.347653242585,-10227.771729743283,8726.492429885448,-28668.34146454651,-3355.0566873706994,0,10
356,origin_access,10,-480.90501085193534,-458.6186790721531,118.02530744647365,-658.5665887144496,-287.72613640070267,0,10
356,total,10,-14449.535196074197,-11215.054143700778,8974.888721705875,-30086.614738249453,-3973.860940434912,0,10
358,access_only,10,1370.0160095340389,1306.823113567847,337.6728724305814,817.3174760380552,1878.896128506189,10,0
358,destination_access,10,558.1243074682209,532.0962067414839,136.17379241231194,335.24137924950446,762.717396107746,10,0
358,network,10,-18385.035243766935,-14263.919080324122,11431.477661165898,-38302.81454645051,-5045.963000762393,0,10
358,origin_access,10,811.891702065818,774.7269068263631,201.50795097931706,482.0760967885508,1116.178732398443,10,0
358,total,10,-17015.019234232903,-12957.095966756286,11101.811924380032,-36423.91841794434,-4228.645524724328,0,10
390,access_only,10,162.33388413841513,154.78953159439334,39.714416248277466,97.33410293806992,222.06442957537365,10,0
390,destination_access,10,50.268392911935734,47.92198023220408,12.260850743995114,30.20388223898408,68.6896116528369,10,0
390,network,10,-13057.514544353728,-9811.274642612785,8805.7789933636,-28488.881284076255,-3002.6778091107844,0,10
390,origin_access,10,112.0654912264794,106.86755136218926,27.453687644781134,67.13022069908584,153.37481792253675,10,0
390,total,10,-12895.180660215308,-9656.48511101838,8767.069907685855,-28266.81685450091,-2905.3437061726872,0,10
392,access_only,10,184.42023852575386,175.82646746427963,45.02243090701941,110.72840660421389,252.0742019067984,10,0
392,destination_access,10,65.3743847169826,62.33046990906041,15.97200252640681,39.23172486369003,89.38096911623143,10,0
392,network,10,410.5585806814837,262.04419449940906,381.8899300781419,-0.0024598932359367,1087.77235907875,9,1
392,origin_access,10,119.04585380877124,113.49599755521922,29.050434566962082,71.49668174052385,162.69323279056698,10,0
392,total,10,594.9788192072389,437.8706619636214,425.6366152261122,110.72594671099796,1339.8465609855484,10,0
394,access_only,10,1448.0267968382518,1381.2417104210363,356.89392524713,863.8323308841991,1985.8659356252538,10,0
394,destination_access,10,785.388095308833,749.0426305403689,192.96980639295944,469.52153480772904,1075.924918027442,10,0
394,network,10,-1528.641225841228,-1394.6397280952951,503.9494827123172,-2347.004831083119,-804.5901539489278,0,10
394,origin_access,10,662.6387015294188,632.1990798806673,163.92570441097388,394.31079607647007,909.941017597812,10,0
