development,scenario,tts_annual,access_only_minutes,cost_annual,mode,value_mode,cost_annual_negative,net_annual
15,scenario_19,88084.165011201,314.93779668809293,-13018427.140923744,Road,access_only_integrated_proxy,13018427.140923744,13106511.305934945
15,scenario_26,39984.4025831462,142.96099247605343,-12976174.26176053,Road,access_only_integrated_proxy,12976174.26176053,13016158.664343676
15,scenario_44,67433.37723891677,241.10257783746783,-13000660.716918658,Road,access_only_integrated_proxy,13000660.716918658,13068094.094157575
15,scenario_64,83415.32980423885,298.24475460733447,-13014523.889565226,Road,access_only_integrated_proxy,13014523.889565226,13097939.219369464
15,scenario_70,55144.46485898655,197.16456709358317,-12989739.110654734,Road,access_only_integrated_proxy,12989739.110654734,13044883.57551372
15,scenario_75,67562.74072524189,241.56510650365817,-13000768.76929533,Road,access_only_integrated_proxy,13000768.76929533,13068331.51002057
15,scenario_78,91447.57716977471,326.9634044058985,-13021366.142555464,Road,access_only_integrated_proxy,13021366.142555464,13112813.719725238
15,scenario_89,56503.732810434674,202.02451954568824,-12991013.17902843,Road,access_only_integrated_proxy,12991013.17902843,13047516.911838863
15,scenario_96,59961.51782583979,214.38754976836572,-12994089.549456757,Road,access_only_integrated_proxy,12994089.549456757,13054051.067282597
150,scenario_100,49461.76204925938,176.84652352807822,-22932234.06828912,Road,access_only_integrated_proxy,22932234.06828912,22981695.830338378
150,scenario_19,74668.49627685836,266.9711598725662,-22688942.391066734,Road,access_only_integrated_proxy,22688942.391066734,22763610.887343593
150,scenario_26,33695.62888486252,120.47599154364252,-23083666.255851716,Road,access_only_integrated_proxy,23083666.255851716,23117361.88473658
150,scenario_44,57191.4981195586,204.48356869562852,-22858251.701147698,Road,access_only_integrated_proxy,22858251.701147698,22915443.199267257
150,scenario_64,71083.88283706196,254.15466489228857,-22726269.166592717,Road,access_only_integrated_proxy,22726269.166592717,22797353.049429778
150,scenario_70,46532.47667679965,166.37310096732836,-22959528.848948162,Road,access_only_integrated_proxy,22959528.848948162,23006061.32562496
150,scenario_75,57337.16993394463,205.00440646773495,-22857067.46531679,Road,access_only_integrated_proxy,22857067.46531679,22914404.635250736
150,scenario_78,77844.48615425616,278.326654406279,-22660518.23133159,Road,access_only_integrated_proxy,22660518.23133159,22738362.717485845
150,scenario_89,47914.99857580221,171.3161960252146,-22947824.344685767,Road,access_only_integrated_proxy,22947824.344685767,22995739.34326157
