mode,development,scenario,tts_hours,tts_minutes,tts_chf_yearly,tts_minutes_metric
Road,250,scenario_19,25.296134772475735,1517.768086348544,424500.7616506084,weighted_peak_minutes
Road,255,scenario_19,-57.98664769150783,-3479.1988614904694,-973088.4315731156,weighted_peak_minutes
Road,261,scenario_19,-262.71665141031065,-15762.99908461864,-4408713.806479276,weighted_peak_minutes
Road,267,scenario_19,1.6930712735823665,101.584276414942,28411.85230980409,weighted_peak_minutes
Road,270,scenario_19,-51.66062664723723,-3099.637598834234,-866929.8909239497,weighted_peak_minutes
Road,273,scenario_19,5.686631644499721,341.19789866998326,95428.78728426094,weighted_peak_minutes
Road,277,scenario_19,-379.4829400620229,-22768.976403721375,-6368198.087915822,weighted_peak_minutes
Road,284,scenario_19,-31.560200050125907,-1893.6120030075544,-529619.6070911754,weighted_peak_minutes
Road,285,scenario_19,-591.4175715039406,-35485.05429023644,-9924726.121800505,weighted_peak_minutes
Road,289,scenario_19,-577.1290753503679,-34627.744521022076,-9684947.295723362,weighted_peak_minutes
Road,308,scenario_19,-39.45480637539877,-2367.288382523926,-662100.9694871606,weighted_peak_minutes
Road,331,scenario_19,-672.2073190648458,-40332.43914389075,-11280479.073056944,weighted_peak_minutes
Road,334,scenario_19,442.8788656809677,26572.731940858062,7432060.96470874,weighted_peak_minutes
Road,348,scenario_19,-644.561068946612,-38673.66413679672,-10816540.438260334,weighted_peak_minutes
Road,351,scenario_19,-1087.5093397033904,-65250.56038220343,-18249766.10689752,weighted_peak_minutes
Road,356,scenario_19,-448.9937123877831,-26939.622743266984,-7534675.736007485,weighted_peak_minutes
Road,358,scenario_19,-541.5049914836981,-32490.299489021883,-9087130.638335807,weighted_peak_minutes
Road,390,scenario_19,-418.6754446107448,-25120.526676644688,-7025897.304874061,weighted_peak_minutes
Road,392,scenario_19,19.845251914767626,1190.7151148860576,333028.1336946942,weighted_peak_minutes
Road,394,scenario_19,-4.911096286857113,-294.66577721142676,-82414.33456382091,weighted_peak_minutes
Road,423,scenario_19,306.8709982845215,18412.25989707129,5149678.939962125,weighted_peak_minutes
Road,459,scenario_19,-95.5316496331264,-5731.898977987585,-1603140.4954059026,weighted_peak_minutes
Road,464,scenario_19,0.47018118864895464,28.21087131893728,7890.22807201527,weighted_peak_minutes
Road,469,scenario_19,-380.12995596568607,-22807.797357941163,-6379055.823549169,weighted_peak_minutes
Road,486,scenario_19,-615.4913482796052,-36929.48089677631,-10328714.188317124,weighted_peak_minutes
Road,493,scenario_19,1.7883526735842072,107.30116041505244,30010.79330358498,weighted_peak_minutes
Road,499,scenario_19,-486.1837764634848,-29171.026587809087,-8158771.498777854,weighted_peak_minutes
Road,517,scenario_19,-16.311619100248205,-978.6971460148924,-273729.35802604025,weighted_peak_minutes
Road,521,scenario_19,-1040.1408719882254,-62408.45231929352,-17454864.008052405,weighted_peak_minutes
Road,531,scenario_19,-572.3964310952191,-34343.785865713144,-9605527.609316643,weighted_peak_minutes
Road,533,scenario_19,-27.96843182175265,-1678.105909305159,-469345.2465087867,weighted_peak_minutes
Road,538,scenario_19,41.12852187692576,2467.7113126155455,690188.0077471604,weighted_peak_minutes
Road,540,scenario_19,116.87798764356218,7012.679258613731,1961358.7301435275,weighted_peak_minutes
Road,546,scenario_19,-95.89467821547102,-5753.680692928261,-1609232.568803373,weighted_peak_minutes
Road,550,scenario_19,37.53063724730746,2251.8382348384475,629811.0063063783,weighted_peak_minutes
Road,552,scenario_19,-229.68707254956635,-13781.22435297398,-3854436.18622241,weighted_peak_minutes
Road,556,scenario_19,-87.4051806435804,-5244.310838614823,-1466768.1876750833,weighted_peak_minutes
Road,558,scenario_19,-439.69660259207984,-26381.79615552479,-7378658.61224834,weighted_peak_minutes
Road,564,scenario_19,-560.9379475564987,-33656.27685338992,-9413239.932432491,weighted_peak_minutes
Road,565,scenario_19,9.97516237172531,598.5097423035186,167395.69355051534,weighted_peak_minutes
Road,569,scenario_19,74.5838000194189,4475.028001165134,1251609.3940758733,weighted_peak_minutes
Road,594,scenario_19,-21.125329146763153,-1267.5197488057893,-354509.4297441192,weighted_peak_minutes
Road,602,scenario_19,0.011690228218988826,0.7014136931393296,196.17664229990623,weighted_peak_minutes
Road,612,scenario_19,-1187.3009613843597,-71238.05768306158,-19924394.25823129,weighted_peak_minutes
Road,614,scenario_19,-92.02226136263343,-5521.335681758006,-1544248.5734916923,weighted_peak_minutes
Road,625,scenario_19,-83.5212973178112,-5011.277839068673,-1401591.7706145197,weighted_peak_minutes
Road,627,scenario_19,17.746161167797013,1064.7696700678207,297802.76709709363,weighted_peak_minutes
Road,628,scenario_19,-174.04568440875738,-10442.741064525442,-2920704.1414844594,weighted_peak_minutes
Road,629,scenario_19,-41.527279274185034,-2491.636756451102,-696879.6553199176,weighted_peak_minutes
Road,648,scenario_19,-33.596631287108174,-2015.7978772264903,-563793.4687867841,weighted_peak_minutes
Road,662,scenario_19,-978.8067079343562,-58728.40247606137,-16425600.067523414,weighted_peak_minutes
Road,669,scenario_19,279.16397792744294,16749.838675646577,4684720.504594902,weighted_peak_minutes
Road,670,scenario_19,7.240519948195045,434.4311968917027,121504.9753806481,weighted_peak_minutes
Road,673,scenario_19,139.4158308548329,8364.949851289974,2339571.9115326647,weighted_peak_minutes
Road,678,scenario_19,-512.5316322950355,-30751.89793770213,-8600921.454451066,weighted_peak_minutes
Road,680,scenario_19,6.07824863740049,364.6949182440294,102000.60994637696,weighted_peak_minutes
Road,682,scenario_19,-439.92025315428225,-26395.215189256935,-7382411.7482453,weighted_peak_minutes
Road,689,scenario_19,-607.0311106631882,-36421.86663979129,-10186740.825816626,weighted_peak_minutes
Road,694,scenario_19,103.5062181749284,6210.373090495705,1736963.723748017,weighted_peak_minutes
Road,726,scenario_19,-165.99791104865145,-9959.874662919086,-2785652.444785182,weighted_peak_minutes
Road,736,scenario_19,-3.3572700941236695,-201.43620564742017,-56339.18876701282,weighted_peak_minutes
Road,750,scenario_19,-622.643413104408,-37358.60478626448,-10448734.776158346,weighted_peak_minutes
Road,755,scenario_19,25.9146130516155,1554.87678309693,434879.6002724226,weighted_peak_minutes
Road,759,scenario_19,-1153.0949269019416,-69185.6956141165,-19350374.242073208,weighted_peak_minutes
