development,score_id,value,value_mode,development_label,value_mio_chf
101018,rail_accident_cost,,standalone_annual_proxy,X18 (101018),
101018,rail_airpollution_cost,,standalone_annual_proxy,X18 (101018),
101018,rail_co2_cost,,standalone_annual_proxy,X18 (101018),
101018,rail_construction_cost,1583300.0,standalone_annual_proxy,X18 (101018),1.5833
101018,rail_land_consumption_cost,,standalone_annual_proxy,X18 (101018),
101018,rail_maint_cost,1234974.0,standalone_annual_proxy,X18 (101018),1.234974
101018,rail_noise_cost,,standalone_annual_proxy,X18 (101018),
101018,rail_operation_cost,8422318.666801453,standalone_annual_proxy,X18 (101018),8.422318666801452
101018,rail_tts_cost,279317.5400074586,standalone_annual_proxy,X18 (101018),0.27931754000745856
101019,rail_accident_cost,,standalone_annual_proxy,X19 (101019),
101019,rail_airpollution_cost,,standalone_annual_proxy,X19 (101019),
101019,rail_co2_cost,,standalone_annual_proxy,X19 (101019),
101019,rail_construction_cost,1583300.0,standalone_annual_proxy,X19 (101019),1.5833
101019,rail_land_consumption_cost,,standalone_annual_proxy,X19 (101019),
101019,rail_maint_cost,1234974.0,standalone_annual_proxy,X19 (101019),1.234974
101019,rail_noise_cost,,standalone_annual_proxy,X19 (101019),
101019,rail_operation_cost,12379848.634120692,standalone_annual_proxy,X19 (101019),12.379848634120691
101019,rail_tts_cost,172195.09413915366,standalone_annual_proxy,X19 (101019),0.17219509413915365
101020,rail_accident_cost,,standalone_annual_proxy,X20 (101020),
101020,rail_airpollution_cost,,standalone_annual_proxy,X20 (101020),
101020,rail_co2_cost,,standalone_annual_proxy,X20 (101020),
101020,rail_construction_cost,1583300.0,standalone_annual_proxy,X20 (101020),1.5833
101020,rail_land_consumption_cost,,standalone_annual_proxy,X20 (101020),
101020,rail_maint_cost,1234974.0,standalone_annual_proxy,X20 (101020),1.234974
101020,rail_noise_cost,,standalone_annual_proxy,X20 (101020),
101020,rail_operation_cost,12074664.945059828,standalone_annual_proxy,X20 (101020),12.074664945059828
101020,rail_tts_cost,2955271.224956661,standalone_annual_proxy,X20 (101020),2.955271224956661
101021,rail_accident_cost,,standalone_annual_proxy,X21 (101021),
101021,rail_airpollution_cost,,standalone_annual_proxy,X21 (101021),
101021,rail_co2_cost,,standalone_annual_proxy,X21 (101021),
101021,rail_construction_cost,1583300.0,standalone_annual_proxy,X21 (101021),1.5833
101021,rail_land_consumption_cost,,standalone_annual_proxy,X21 (101021),
101021,rail_maint_cost,1234974.0,standalone_annual_proxy,X21 (101021),1.234974
101021,rail_noise_cost,,standalone_annual_proxy,X21 (101021),
101021,rail_operation_cost,14349670.091337211,standalone_annual_proxy,X21 (101021),14.349670091337211
101021,rail_tts_cost,2589482.641012335,standalone_annual_proxy,X21 (101021),2.589482641012335
101022,rail_accident_cost,,standalone_annual_proxy,X22 (101022),
101022,rail_airpollution_cost,,standalone_annual_proxy,X22 (101022),
101022,rail_co2_cost,,standalone_annual_proxy,X22 (101022),
