mode,development,scenario_count,tts_median_chf,tts_mean_chf,cost_median_chf_negative,cost_mean_chf_negative,bcr_median,bcr_mean,bcr_std,cost_median_chf_magnitude,cost_mean_chf_magnitude,tts_median_mio_chf,cost_median_mio_chf_negative,cost_median_mio_chf_magnitude,net_median_mio_chf,development_label,ranking_label
Rail,101021,100,3243086.1192421746,3357225.0961520886,-19818165.381989654,-19818165.381989654,0.16364209586167977,0.16940140681251287,0.04469578619496938,19818165.381989654,19818165.381989654,3.2430861192421747,-19.818165381989655,19.818165381989655,-16.57507926274748,X21 (101021),Rail X21 (101021)
Rail,101022,100,2672897.557025144,2767266.1238269256,-20260586.765774693,-20260586.765774693,0.1319259697621567,0.13658371081836312,0.03627626293577386,20260586.765774693,20260586.765774693,2.672897557025144,-20.260586765774693,20.260586765774693,-17.58768920874955,X22 (101022),Rail X22 (101022)
Rail,101023,100,15282899.190076998,15812736.00786839,-21415121.526016407,-21415121.526016407,0.7136498932079556,0.7383911405152712,0.19301691779490532,21415121.526016407,21415121.526016407,15.282899190076998,-21.415121526016407,21.415121526016407,-6.132222335939408,X23 (101023),Rail X23 (101023)
Rail,101024,100,7671186.344297673,7935279.385891124,-21522963.63703254,-21522963.63703254,0.3564186825599883,0.36868897423762015,0.0961225209453588,21522963.63703254,21522963.63703254,7.671186344297673,-21.52296363703254,21.52296363703254,-13.851777292734866,X24 (101024),Rail X24 (101024)
Rail,101025,100,2425373.52990626,2510717.076245961,-13822839.05103348,-13822839.05103348,0.1754613159389224,0.18163541273803982,0.04787508282318111,13822839.05103348,13822839.05103348,2.4253735299062598,-13.82283905103348,13.82283905103348,-11.39746552112722,X25 (101025),Rail X25 (101025)
Rail,101026,100,8818013.55421767,9127486.504916422,-13225354.729246467,-13225354.72924647,0.6667506267123081,0.6901506002505894,0.18122501364283639,13225354.729246467,13225354.72924647,8.81801355421767,-13.225354729246467,13.225354729246467,-4.407341175028797,X26 (101026),Rail X26 (101026)
Rail,101027,100,12958042.710524652,13214648.91910491,-11446613.836616684,-11446613.836616684,1.1320415710254017,1.1544592232885889,0.2648051952151951,11446613.836616684,11446613.836616684,12.958042710524651,-11.446613836616685,11.446613836616685,1.5114288739079669,X27 (101027),Rail X27 (101027)
Rail,101028,100,5301582.131498314,5487791.6931030825,-16025202.26003876,-16025202.26003876,0.3308277827306182,0.3424475775128101,0.08998257163830145,16025202.26003876,16025202.26003876,5.301582131498314,-16.02520226003876,16.02520226003876,-10.723620128540446,X28 (101028),Rail X28 (101028)
Rail,101029,100,7217542.0628551645,7465596.422105105,-18203493.123563483,-18203493.123563483,0.3964921465272194,0.4101188915462206,0.10705531791441712,18203493.123563483,18203493.123563483,7.2175420628551645,-18.203493123563483,18.203493123563483,-10.985951060708318,X29 (101029),Rail X29 (101029)
Rail,101030,100,7140919.32834305,7387552.409229921,-19897285.21001388,-19897285.21001388,0.35888912748504886,0.3712844406287107,0.09680596192364715,19897285.21001388,19897285.21001388,7.14091932834305,-19.89728521001388,19.89728521001388,-12.756365881670831,X30 (101030),Rail X30 (101030)
Rail,101031,100,10869229.873507539,11251052.66647538,-12295730.435018826,-12295730.435018826,0.8839840732480158,0.9150373559290017,0.24046021695797523,12295730.435018826,12295730.435018826,10.869229873507539,-12.295730435018827,12.295730435018827,-1.426500561511288,X31 (101031),Rail X31 (101031)
