development,score_id,value,value_mode,development_label,value_mio_chf
150,road_noise_cost,-3720875.493154947,standalone_annual_proxy,150,-3.720875493154947
150,road_tts_cost,-3429193.867537411,standalone_annual_proxy,150,-3.429193867537411
17,road_accident_cost,,standalone_annual_proxy,17,
17,road_airpollution_cost,,standalone_annual_proxy,17,
17,road_climate_cost,-1308175.8626868748,standalone_annual_proxy,17,-1.308175862686875
17,road_co2_cost,,standalone_annual_proxy,17,
17,road_construction_cost,-58930736.08780906,standalone_annual_proxy,17,-58.930736087809066
17,road_ecological_disruption_cost,-2469002.865472936,standalone_annual_proxy,17,-2.469002865472936
17,road_land_consumption_cost,-286826.32232872886,standalone_annual_proxy,17,-0.28682632232872884
17,road_maint_cost,-30102127.95176004,standalone_annual_proxy,17,-30.10212795176004
17,road_noise_cost,-24989644.7709846,standalone_annual_proxy,17,-24.9896447709846
17,road_tts_cost,-1356371.0151775498,standalone_annual_proxy,17,-1.3563710151775499
176,road_accident_cost,,standalone_annual_proxy,176,
176,road_airpollution_cost,,standalone_annual_proxy,176,
176,road_climate_cost,-912203.6005346518,standalone_annual_proxy,176,-0.9122036005346518
176,road_co2_cost,,standalone_annual_proxy,176,
176,road_construction_cost,-18740505.652223084,standalone_annual_proxy,176,-18.740505652223085
176,road_ecological_disruption_cost,-2461667.8016208513,standalone_annual_proxy,176,-2.4616678016208513
176,road_land_consumption_cost,-194978.84412685657,standalone_annual_proxy,176,-0.19497884412685657
176,road_maint_cost,-10319569.185627632,standalone_annual_proxy,176,-10.319569185627632
176,road_noise_cost,-29133101.013936985,standalone_annual_proxy,176,-29.133101013936987
176,road_tts_cost,960678.7684732259,standalone_annual_proxy,176,0.9606787684732259
177,road_accident_cost,,standalone_annual_proxy,177,
177,road_airpollution_cost,,standalone_annual_proxy,177,
177,road_climate_cost,-142343.05597595888,standalone_annual_proxy,177,-0.1423430559759589
177,road_co2_cost,,standalone_annual_proxy,177,
177,road_construction_cost,-3362937.2774935863,standalone_annual_proxy,177,-3.3629372774935864
177,road_ecological_disruption_cost,-462098.4286458269,standalone_annual_proxy,177,-0.4620984286458269
177,road_land_consumption_cost,-8280.060409801852,standalone_annual_proxy,177,-0.008280060409801853
177,road_maint_cost,-1804119.6449385548,standalone_annual_proxy,177,-1.8041196449385548
177,road_noise_cost,-7349107.183762843,standalone_annual_proxy,177,-7.349107183762843
177,road_tts_cost,87683.6423559011,standalone_annual_proxy,177,0.0876836423559011
195,road_accident_cost,,standalone_annual_proxy,195,
195,road_airpollution_cost,,standalone_annual_proxy,195,
195,road_climate_cost,-288346.7808494802,standalone_annual_proxy,195,-0.2883467808494802
195,road_co2_cost,,standalone_annual_proxy,195,
195,road_construction_cost,-9138040.28669078,standalone_annual_proxy,195,-9.138040286690781
195,road_ecological_disruption_cost,-781558.4752067361,standalone_annual_proxy,195,-0.7815584752067362
195,road_land_consumption_cost,-110557.51160549064,standalone_annual_proxy,195,-0.11055751160549064
195,road_maint_cost,-4755154.37347054,standalone_annual_proxy,195,-4.75515437347054
195,road_noise_cost,-3859799.5516069345,standalone_annual_proxy,195,-3.8597995516069346
195,road_tts_cost,-3308910.95553058,standalone_annual_proxy,195,-3.30891095553058
197,road_accident_cost,,standalone_annual_proxy,197,
197,road_airpollution_cost,,standalone_annual_proxy,197,
197,road_climate_cost,-200149.9904952867,standalone_annual_proxy,197,-0.2001499904952867
197,road_co2_cost,,standalone_annual_proxy,197,
197,road_construction_cost,-3708121.800207873,standalone_annual_proxy,197,-3.708121800207873
197,road_ecological_disruption_cost,-645166.8391312053,standalone_annual_proxy,197,-0.6451668391312053
197,road_land_consumption_cost,-36567.688386607944,standalone_annual_proxy,197,-0.03656768838660794
197,road_maint_cost,-2050611.6352857824,standalone_annual_proxy,197,-2.0506116352857826
197,road_noise_cost,-8068304.449403197,standalone_annual_proxy,197,-8.068304449403197
197,road_tts_cost,-329157.5813537118,standalone_annual_proxy,197,-0.32915758135371176
2,road_accident_cost,,standalone_annual_proxy,2,
2,road_airpollution_cost,,standalone_annual_proxy,2,
2,road_climate_cost,-352820.83604413207,standalone_annual_proxy,2,-0.35282083604413206
2,road_co2_cost,,standalone_annual_proxy,2,
2,road_construction_cost,-4872821.9573651925,standalone_annual_proxy,2,-4.8728219573651925
2,road_ecological_disruption_cost,-1056257.7307701265,standalone_annual_proxy,2,-1.0562577307701264
2,road_land_consumption_cost,-68689.3212454351,standalone_annual_proxy,2,-0.0686893212454351
2,road_maint_cost,-2881052.492674267,standalone_annual_proxy,2,-2.881052492674267
2,road_noise_cost,-10346231.975217368,standalone_annual_proxy,2,-10.346231975217368
2,road_tts_cost,-3599676.281107017,standalone_annual_proxy,2,-3.599676281107017
201,road_accident_cost,,standalone_annual_proxy,201,
201,road_airpollution_cost,,standalone_annual_proxy,201,
201,road_climate_cost,-636728.6859814313,standalone_annual_proxy,201,-0.6367286859814313
201,road_co2_cost,,standalone_annual_proxy,201,
201,road_construction_cost,-8815628.094791744,standalone_annual_proxy,201,-8.815628094791744
201,road_ecological_disruption_cost,-1967105.0000000224,standalone_annual_proxy,201,-1.9671050000000223
201,road_land_consumption_cost,-131625.3826015249,standalone_annual_proxy,201,-0.1316253826015249
201,road_maint_cost,-5088526.572247073,standalone_annual_proxy,201,-5.088526572247073
201,road_noise_cost,-17130466.84823581,standalone_annual_proxy,201,-17.13046684823581
201,road_tts_cost,-4301777.366666457,standalone_annual_proxy,201,-4.301777366666457
202,road_accident_cost,,standalone_annual_proxy,202,
202,road_airpollution_cost,,standalone_annual_proxy,202,
202,road_climate_cost,-220191.78891128895,standalone_annual_proxy,202,-0.22019178891128896
202,road_co2_cost,,standalone_annual_proxy,202,
202,road_construction_cost,-4780289.117029755,standalone_annual_proxy,202,-4.7802891170297555
202,road_ecological_disruption_cost,-688111.0090107869,standalone_annual_proxy,202,-0.6881110090107869
202,road_land_consumption_cost,-80404.65128737352,standalone_annual_proxy,202,-0.08040465128737352
202,road_maint_cost,-2581793.9789130255,standalone_annual_proxy,202,-2.5817939789130255
202,road_noise_cost,-6140122.291736708,standalone_annual_proxy,202,-6.140122291736708
202,road_tts_cost,-1640138.9270669324,standalone_annual_proxy,202,-1.6401389270669324
206,road_accident_cost,,standalone_annual_proxy,206,
206,road_airpollution_cost,,standalone_annual_proxy,206,
206,road_climate_cost,-156019.52169874072,standalone_annual_proxy,206,-0.15601952169874073
206,road_co2_cost,,standalone_annual_proxy,206,
206,road_construction_cost,-3573399.2561117746,standalone_annual_proxy,206,-3.5733992561117747
206,road_ecological_disruption_cost,-468560.2989595845,standalone_annual_proxy,206,-0.4685602989595845
206,road_land_consumption_cost,-5106.553484641387,standalone_annual_proxy,206,-0.005106553484641387
206,road_maint_cost,-1953768.1155433937,standalone_annual_proxy,206,-1.9537681155433937
206,road_noise_cost,-27297480.82033637,standalone_annual_proxy,206,-27.29748082033637
206,road_tts_cost,37755.23309942719,standalone_annual_proxy,206,0.03775523309942719
209,road_accident_cost,,standalone_annual_proxy,209,
209,road_airpollution_cost,,standalone_annual_proxy,209,
209,road_climate_cost,-399469.5471930178,standalone_annual_proxy,209,-0.3994695471930178
209,road_co2_cost,,standalone_annual_proxy,209,
209,road_construction_cost,-6342528.892824883,standalone_annual_proxy,209,-6.342528892824883
209,road_ecological_disruption_cost,-1241176.2823896154,standalone_annual_proxy,209,-1.2411762823896155
209,road_land_consumption_cost,-65234.98730372918,standalone_annual_proxy,209,-0.06523498730372919
209,road_maint_cost,-3580073.6834223275,standalone_annual_proxy,209,-3.5800736834223277
209,road_noise_cost,-16020512.078218585,standalone_annual_proxy,209,-16.020512078218584
209,road_tts_cost,-29257.522373748445,standalone_annual_proxy,209,-0.029257522373748446
227,road_accident_cost,,standalone_annual_proxy,227,
227,road_airpollution_cost,,standalone_annual_proxy,227,
227,road_climate_cost,-134172.47972749203,standalone_annual_proxy,227,-0.13417247972749202
227,road_co2_cost,,standalone_annual_proxy,227,
227,road_construction_cost,-4020969.267924532,standalone_annual_proxy,227,-4.0209692679245315
227,road_ecological_disruption_cost,-233992.0589854638,standalone_annual_proxy,227,-0.2339920589854638
227,road_land_consumption_cost,-25237.759822066037,standalone_annual_proxy,227,-0.025237759822066035
227,road_maint_cost,-2270500.8357484313,standalone_annual_proxy,227,-2.270500835748431
227,road_noise_cost,-3562701.834830711,standalone_annual_proxy,227,-3.5627018348307113
227,road_tts_cost,43825.72091021761,standalone_annual_proxy,227,0.043825720910217615
233,road_accident_cost,,standalone_annual_proxy,233,
233,road_airpollution_cost,,standalone_annual_proxy,233,
233,road_climate_cost,-138633.91150894307,standalone_annual_proxy,233,-0.13863391150894308
233,road_co2_cost,,standalone_annual_proxy,233,
233,road_construction_cost,-3450677.4176571323,standalone_annual_proxy,233,-3.450677417657132
233,road_ecological_disruption_cost,-418911.3388511013,standalone_annual_proxy,233,-0.41891133885110127
233,road_land_consumption_cost,-5449.497720197919,standalone_annual_proxy,233,-0.005449497720197919
233,road_maint_cost,-1866227.8941063904,standalone_annual_proxy,233,-1.8662278941063903
233,road_noise_cost,-21628804.89514859,standalone_annual_proxy,233,-21.62880489514859
233,road_tts_cost,-219958.62008865824,standalone_annual_proxy,233,-0.21995862008865824
