development,development_label,road_climate_cost,road_construction_cost,road_ecological_disruption_cost,road_land_consumption_cost,road_maint_cost,road_noise_cost,road_tts_cost,road_externalities_total_cost,road_total_cost_without_tts,road_construction_cost_mio_chf,road_maint_cost_mio_chf,road_tts_cost_mio_chf,road_climate_cost_mio_chf,road_land_consumption_cost_mio_chf,road_ecological_disruption_cost_mio_chf,road_noise_cost_mio_chf,road_externalities_total_cost_mio_chf,road_total_cost_without_tts_mio_chf
15,15,-148243.3115845066,-4878765.572749263,-435157.1500357672,-7564.816580049666,-2534637.646489866,-5523292.165796165,1813645.7489737447,-6114257.443996489,-13527660.663235618,-4.878765572749263,-2.534637646489866,1.8136457489737448,-0.1482433115845066,-0.0075648165800496665,-0.43515715003576716,-5.523292165796166,-6.114257443996489,-13.527660663235618
150,150,-238667.54975225628,-13040428.421298534,-493804.2937146368,-103273.58433715378,-6544685.522982683,-3720875.4931549476,-4518504.765813421,-4556620.920958995,-24141734.865240213,-13.040428421298534,-6.544685522982683,-4.518504765813422,-0.2386675497522563,-0.10327358433715378,-0.4938042937146368,-3.7208754931549475,-4.556620920958995,-24.141734865240213
17,17,-1308175.8626868748,-58930736.08780906,-2469002.865472936,-286826.32232872886,-30102127.951760042,-24989644.7709846,-1332920.375182,-29053649.82147314,-118086513.86104225,-58.930736087809066,-30.102127951760043,-1.332920375182,-1.308175862686875,-0.28682632232872884,-2.469002865472936,-24.9896447709846,-29.05364982147314,-118.08651386104225
176,176,-912203.6005346518,-18740505.652223084,-2461667.8016208513,-194978.84412685657,-10319569.185627632,-29133101.013936985,1461254.3247093193,-32701951.260219343,-61762026.098070055,-18.740505652223085,-10.319569185627632,1.4612543247093193,-0.9122036005346518,-0.19497884412685657,-2.4616678016208513,-29.133101013936987,-32.701951260219346,-61.76202609807005
177,177,-142343.05597595888,-3362937.2774935863,-462098.4286458269,-8280.060409801852,-1804119.644938555,-7349107.183762843,137381.32372321206,-7961828.72879443,-13128885.651226573,-3.3629372774935864,-1.804119644938555,0.13738132372321205,-0.1423430559759589,-0.008280060409801853,-0.4620984286458269,-7.349107183762843,-7.961828728794431,-13.128885651226573
195,195,-288346.7808494802,-9138040.28669078,-781558.4752067361,-110557.51160549065,-4755154.37347054,-3859799.5516069345,-4356803.023433311,-5040262.319268642,-18933456.97942996,-9.138040286690781,-4.75515437347054,-4.356803023433311,-0.2883467808494802,-0.11055751160549065,-0.7815584752067362,-3.8597995516069346,-5.040262319268642,-18.93345697942996
197,197,-200149.9904952867,-3708121.800207873,-645166.8391312053,-36567.688386607944,-2050611.6352857824,-8068304.449403197,-432564.9909966978,-8950188.967416296,-14708922.402909951,-3.708121800207873,-2.0506116352857826,-0.4325649909966978,-0.2001499904952867,-0.03656768838660794,-0.6451668391312053,-8.068304449403197,-8.950188967416295,-14.708922402909952
2,2,-352820.83604413207,-4872821.9573651925,-1056257.7307701265,-68689.3212454351,-2881052.492674267,-10346231.975217368,-4733917.823925004,-11823999.863277063,-19577874.313316524,-4.8728219573651925,-2.881052492674267,-4.733917823925005,-0.35282083604413206,-0.0686893212454351,-1.0562577307701264,-10.346231975217368,-11.823999863277063,-19.577874313316524
201,201,-636728.6859814313,-8815628.094791744,-1967105.0000000224,-131625.3826015249,-5088526.572247073,-17130466.84823581,-5601666.971321447,-19865925.916818786,-33770080.5838576,-8.815628094791744,-5.088526572247073,-5.601666971321447,-0.6367286859814313,-0.1316253826015249,-1.9671050000000223,-17.13046684823581,-19.865925916818785,-33.770080583857606
202,202,-220191.78891128898,-4780289.117029755,-688111.0090107869,-80404.65128737352,-2581793.9789130255,-6140122.291736708,-2113735.936135334,-7128829.740946157,-14490912.836888937,-4.7802891170297555,-2.5817939789130255,-2.113735936135334,-0.220191788911289,-0.08040465128737352,-0.6881110090107869,-6.140122291736708,-7.1288297409461565,-14.490912836888937
