mode,development,scenario_count,mean_tts_minutes,median_tts_minutes,std_tts_minutes,min_tts_minutes,max_tts_minutes,q1_tts_minutes,q3_tts_minutes,mean_tts_chf_yearly,median_tts_chf_yearly,std_tts_chf_yearly,n_positive,n_negative,iqr_tts_minutes
Road,673,10,4182.337095515637,3062.707464238716,2998.287872932516,805.5131874942745,9454.626859947572,2167.0393753351964,6187.22748157836,1169747.4064020296,856600.9939042659,838583.6394608131,10,0,4020.188106243164
Road,767,10,3832.0636877735933,2751.4243057614367,2864.936300471276,637.6846931987384,8880.231227940647,1902.9185318612435,5738.100595274096,1071780.3126741769,769538.9855176518,801286.8715380599,10,0,3835.1820634128526
Road,540,10,3290.9238390873275,2270.9026771970675,2656.0871978435757,385.3623997748655,7991.52710549999,1497.025524520519,5042.904864653858,920430.2612447368,635143.0925285548,742874.3881468752,10,0,3545.8793401333387
Road,694,10,2615.3295719837333,1590.0891133305558,2578.57004604638,-88.29180199469556,7232.16294386331,863.8139962395944,4304.540571912978,731474.9896642005,444728.04888463987,721193.8097535968,9,1,3440.726575673383
Road,770,10,2208.0439382019745,1588.4375575990707,1646.6087285815129,368.5636825511465,5108.713948520133,1099.4460879742255,3305.631623796711,617562.2889658647,444266.12939099007,460535.87877514184,10,0,2206.1855358224857
Road,569,10,2105.8452158724917,1457.6833266135654,1690.1324292960403,254.22905308628103,5095.5601556592155,964.5269528525532,3220.5296718161553,588978.5838143376,407695.8054122316,472708.91381873627,10,0,2256.002718963602
Road,62,10,1628.7124198892707,1151.536699239543,1259.7324546721345,231.8161513528612,3852.116739226738,779.5669906789262,2466.5583131398016,455530.5049377804,322070.42056855967,352331.4209161126,10,0,1686.9913224608754
Road,755,10,1007.703738268165,888.9120523641177,403.0929717073157,462.2117278466758,1677.2500642312225,747.6915974467993,1298.8149856688106,281842.1392968774,248617.58964558918,112740.06552438985,10,0,551.1233882220113
Road,250,10,978.4727763590956,860.5025358307175,396.9368307403027,443.80262862340896,1639.0308501895051,722.1123927541921,1264.5676147578633,273666.60463793454,240671.8029901538,111018.2698476784,10,0,542.4552220036712
Road,627,10,706.6622391529847,632.5639953925274,264.80866141546267,337.5852998760529,1140.7452964519616,537.0526092389046,900.0003221315857,197644.59501310042,176920.24246134755,74063.6724896372,10,0,362.9477128926811
Road,958,10,1086.5480587121099,621.3857980038738,1160.5963066737118,-117.26341236423468,3167.1445160426665,296.89859525699285,1842.6295719103655,303893.91017104324,173793.84037920844,324604.2795228037,9,1,1545.7309766533726
Road,538,10,944.1081360330485,502.92680095284595,1089.5162408026379,-171.05378970617312,2902.7090169736184,201.45776520071374,1650.9898998004792,264055.24429674324,140662.3396414991,304724.0735994879,9,1,1449.5321345997654
Road,780,10,930.9203879439883,494.33311955907266,1077.6199853391715,-171.49748552936944,2868.183668450918,196.35613261577964,1629.7944784769788,260366.79600308425,138258.79437667812,301396.8396495495,9,1,1433.4383458611992
Road,392,10,594.9788192072389,437.8706619636214,425.6366152261122,110.72594671099796,1339.8465609855484,308.88074987745495,879.9739608453236,166408.1384970246,122466.95076795036,119045.24082105326,10,0,571.0932109678687
Road,670,10,377.4059547101759,382.1998460923205,54.634057388867916,257.8935750409437,434.4311968917027,352.91152257965587,424.01308394403895,105555.72795800232,106896.51945394588,15280.462925948994,10,0,71.10156136438309
Road,550,10,787.3992835677985,356.36721108839265,1045.983480777662,-259.1495766293956,2675.958292905474,72.32754480245057,1460.5474877574306,220225.73712286865,99671.45435128482,292548.5047800023,9,1,1388.21994295498
Road,177,10,491.19579431762975,313.50576037864084,454.814329638046,3.521029076859122,1299.1869169094134,182.8524646481237,789.8545202883544,137381.32372321206,87683.6423559011,127205.882820641,10,0,607.0020556402307
Road,94,10,262.9792309541779,172.3035457530059,236.70502616696214,5.036724609031808,681.6300132989418,102.46641150633512,420.0748494624859,73552.00365749662,48191.147952793835,66203.43700607223,10,0,317.60843795615074
Road,837,10,285.01204482486065,157.95689307613065,317.32108710848274,-43.38498134803376,853.9316879017279,68.72693375032395,492.1503442413814,79714.30628695322,44178.56853223029,88750.74155065377,9,1,423.42341049105744
Road,227,10,181.49005851178953,156.69531498625292,83.82432462156133,69.24357743558357,320.6323850885965,126.97386690689018,242.31286061750143,50760.500740016134,43825.72091021761,23444.615792592933,10,0,115.33899371061125
Road,273,10,187.3198896926595,149.76585679274285,111.19458903689747,50.62862796895206,377.5249069989659,113.57329856503928,264.6828407483408,52391.0316484157,41887.63807172027,31099.736621257263,10,0,151.10954218330153
Road,104,10,191.88673033750965,138.03413000470027,146.69322179155466,25.484591814456508,448.6189430563245,93.00206362507015,291.4078287926677,53668.31989127223,38606.42073568961,41028.26046982544,10,0,198.40576516759756
Road,206,10,281.08386410535024,134.99077756219776,358.02168981580235,-80.8337217841472,926.008892584592,36.42800077942957,512.8381241070747,78615.64324196512,37755.23309942719,100134.1913703572,9,1,476.4101233276451
Road,90,10,213.81222032516672,125.514158917038,223.73657633270875,-21.62604501095484,613.2796347027179,61.555080266538425,360.7732886224985,59800.60537219506,35104.74132210907,62576.32369305448,9,1,299.2182083559601
Road,964,10,138.47643701338092,101.11414025304839,101.7981893997775,22.4517925378168,316.32903133681975,69.89181060690316,206.74699431954647,38730.128477179984,28280.36110202447,28471.681097750276,10,0,136.8551837126433
Road,267,10,72.1875387303182,71.31193604524015,13.360956063353163,48.69511215452803,101.584276414942,66.5154758249264,76.2820593888755,20189.95223863587,19945.057112653103,3736.8923989690875,10,0,9.766583563949098
Road,464,10,1.819893307404709,-4.642565447895322,18.900763133116108,-20.177512652095174,33.95238591055386,-11.04478135817044,15.196394437516574,509.00140941475456,-1298.4675237082226,5286.307188793411,3,7,26.241175795687013
Road,493,10,19.466990520755644,-5.762149151152698,62.20315613039887,-42.71534427689039,130.51954555138946,-23.647206076435396,60.02761199497036,5444.673911273845,-1611.6010907130203,17397.445230220936,5,5,83.67481807140575
Road,394,10,-80.6144290029566,-13.398017674277071,152.55358096559735,-361.1388954578433,59.24217693528044,-175.1217696786043,24.199256210995372,-22546.848111764426,-3747.258068274369,42667.32967631551,5,5,199.32102588959967
Road,240,10,-3.447304636737681,-16.44601694701123,32.34078325357764,-35.420015139650786,54.33923076884821,-25.95090014814923,18.066961839300347,-964.1680155875702,-4599.7453648672035,9045.312816234997,3,7,44.01786198744958
Road,143,10,-78.72721769845229,-78.98574406356784,6.647691353719193,-86.46611771848984,-63.63240153877996,-83.5777955747617,-76.23600051068934,-22019.01870003588,-22091.32529277913,1859.276175493337,0,10,7.3417950640723575
Road,987,10,-120.36787238508987,-101.93981582132983,59.36234071772525,-219.5039492147043,-42.9747815989831,-163.02943564538145,-81.40225400532654,-33665.38930770483,-28511.292237528185,16602.904669488784,0,10,81.62718164005491
Road,209,10,631.8686053155398,-104.60790122457547,1684.560674208221,-914.7985828327364,3721.806229754351,-530.9070769197133,1685.5613545114174,176725.75054919004,-29257.522373748445,471150.5635676118,5,5,2216.4684314311307
Road,736,10,-130.54970621538814,-114.61240707655088,51.8557083573059,-217.08518488053232,-61.19010992109543,-167.66056763852248,-97.12748818573891,-36513.12095711637,-32055.657604222826,14503.393431183995,0,10,70.53307945278357
Road,971,10,-242.08697511597128,-219.4440244800353,78.28371073843462,-371.7983102391008,-133.74956482395646,-298.8644385493826,-192.32253570754258,-67708.70085274821,-61375.75059675987,21894.97534715594,0,10,106.54190284184003
Road,811,10,-297.8964872392447,-295.3936950514326,45.54491543081321,-357.16310909949243,-208.53861731415964,-334.9573059687391,-274.62367109322804,-83317.92377472625,-82617.92408469756,12738.343534555568,0,10,60.33363487551105
Road,140,10,-410.3498309820687,-301.0437265127548,289.8309076527187,-919.5205456737896,-85.44045996511704,-601.397076016583,-215.52180509967732,-114769.71835279735,-84198.16725903611,81062.08198411977,0,10,385.8752709169057
Road,517,10,-511.80872814622415,-386.8236296082614,336.7122484993233,-1104.2018902283162,-129.59167979485937,-738.5455958776292,-286.2717911788495,-143146.50365339706,-108189.7339060606,94174.20700215451,0,10,452.2738046987797
Road,114,10,-883.6627742464655,-651.5808049544576,619.7005805235037,-1976.8439979911784,-187.46131086535752,-1299.0206432084378,-467.67052193211566,-247149.4321720583,-182239.00638569985,173322.50611516743,0,10,831.3501212763222
Road,863,10,-221.2778037853975,-758.8523015211977,1140.6268512170745,-1133.8363962981675,1910.5556422795637,-1017.7418631732289,461.1680637494719,-61888.63574622837,-212241.50308170996,319019.07244977547,3,7,1478.9099269227008
Road,233,10,-936.1331150370243,-786.4442282499513,449.0527975561041,-1703.752637202153,-373.89153271133546,-1247.842829353991,-641.118265349287,-261824.7306119177,-219958.62008865824,125594.45431647287,0,10,606.724564004704
Road,284,10,-1022.5688148747926,-795.8778530930285,628.8558192899415,-2120.4542405949906,-288.5224451353133,-1449.817934809369,-603.3588571182336,-285999.71541029355,-222597.0870369564,175883.11195765555,0,10,846.4590776911355
Road,12,10,-584.5126929009566,-874.000053268217,571.9077297481285,-1003.0109958337852,506.3251256975346,-971.1457972266508,-271.15648881701054,-163480.8937957363,-244446.88989845442,159955.44316392968,2,8,699.9893084096402
Road,680,10,-590.5537290349224,-936.6193429050909,675.327315891978,-1085.2644884466426,692.7057682881132,-1045.9751043467186,-215.05068754366948,-165170.4960894549,-261960.72246876764,188880.6086635376,2,8,830.9244168030491
Road,28,10,812.0413848424884,-952.3263527223315,3938.309465083819,-2663.894814005558,8072.937983146636,-1916.0845044232265,3233.8373914828117,227117.82482313347,-266353.7767770272,1101495.9285156305,3,7,5149.921895906038
Road,565,10,-671.9685125322576,-1125.207795549999,895.8877959751262,-1328.322947921406,1024.784906398272,-1280.8516328603362,-170.4759111686726,-187941.1933488658,-314706.55531789036,250568.61793679316,3,7,1110.3757216916636
Road,197,10,-1546.6010851278581,-1176.8762685272377,1009.7071155702067,-3312.1624132762663,-384.36142084616586,-2225.443919760408,-870.9353050536738,-432564.9909966978,-329157.5813537118,282402.4588860422,0,10,1354.508614706734
Road,533,10,-1248.4507680448733,-1179.9225779078843,324.7131019752448,-1745.948605447309,-732.3841195096902,-1494.1948638779868,-1050.7624531357142,-349176.0741875505,-330009.5960086114,90818.19570870127,0,10,443.4324107422726
