development,scenario,total_veh_km,new_link_veh_km,rest_network_veh_km,status_quo_veh_km,delta_total_veh_km,delta_rest_network_veh_km
759,scenario_89,361363.724237365,5899.196394989259,355464.52784237574,347030.8183515454,14332.905885819637,8433.70949083037
761,scenario_89,346995.5965911267,1499.6398908271542,345495.9567002995,347030.8183515454,-35.22176041867351,-1534.8616512458539
764,scenario_89,352053.0901592916,5221.346820595195,346831.74333869637,347030.8183515454,5022.271807746205,-199.07501284900354
767,scenario_89,347009.981232379,818.8517759749976,346191.12945640396,347030.8183515454,-20.83711916639004,-839.6888951414148
770,scenario_89,347207.99244189303,527.8866144917804,346680.1058274013,347030.8183515454,177.17409034766024,-350.71252414409537
775,scenario_89,356472.19920736225,4558.669415156944,351913.5297922053,347030.8183515454,9441.380855816882,4882.711440659943
776,scenario_89,349448.04176616686,1917.3833820988232,347530.65838406805,347030.8183515454,2417.2234146214905,499.84003252268303
780,scenario_89,348742.61908887967,1513.5810432981261,347229.03804558155,347030.8183515454,1711.800737334299,198.2196940361755
789,scenario_89,357720.06726847787,7281.963833397483,350438.1034350804,347030.8183515454,10689.248916932498,3407.285083535011
791,scenario_89,350834.7285247308,3171.89202210635,347662.83650262444,347030.8183515454,3803.9101731854025,632.0181510790717
809,scenario_89,351009.19780314446,3303.695295191529,347705.5025079529,347030.8183515454,3978.3794515990885,674.6841564075439
810,scenario_89,351839.35731109435,5627.947005051263,346211.4103060431,347030.8183515454,4808.538959548983,-819.4080455022631
811,scenario_89,347297.9242022512,359.2170099879636,346938.7071922632,347030.8183515454,267.10585070581874,-92.1111592821544
813,scenario_89,352441.6993583321,8873.761614456607,343567.9377438755,347030.8183515454,5410.881006786716,-3462.880607669882
822,scenario_89,348570.2203123199,1106.1104000994794,347464.10991222045,347030.8183515454,1539.4019607745577,433.29156067507574
831,scenario_89,348877.8898790684,1526.1793248459458,347351.71055422246,347030.8183515454,1847.0715275230468,320.8922026770888
837,scenario_89,348205.36230109126,1404.937165755104,346800.4251353362,347030.8183515454,1174.543949545885,-230.3932162091951
858,scenario_89,351792.64552341605,5480.034909850833,346312.6106135652,347030.8183515454,4761.827171870682,-718.2077379801776
863,scenario_89,351016.45877351804,5077.740630943913,345938.71814257413,347030.8183515454,3985.6404219726683,-1092.100208971242
866,scenario_89,348627.2028828939,1214.0174996682308,347413.1853832257,347030.8183515454,1596.3845313485363,382.3670316803036
873,scenario_89,356583.0518135751,5531.3060543045485,351051.74575927056,347030.8183515454,9552.233462029719,4020.9274077251903
878,scenario_89,350351.79626416246,2933.2243501403987,347418.5719140221,347030.8183515454,3320.9779126170906,387.7535624767188
887,scenario_89,349966.1300657748,824.9618049929671,349141.1682607818,347030.8183515454,2935.311714229407,2110.349909236422
895,scenario_89,355842.61842738604,5284.050255339188,350558.56817204686,347030.8183515454,8811.80007584067,3527.7498205014854
935,scenario_89,348975.94454819866,1222.7205220839455,347753.22402611474,347030.8183515454,1945.1261966532911,722.405674569367
938,scenario_89,350264.91142077686,6032.862663944375,344232.0487568325,347030.8183515454,3234.093069231487,-2798.7695947128814
940,scenario_89,348973.5086186646,1307.0656142337302,347666.44300443085,347030.8183515454,1942.6902671192074,635.6246528854826
945,scenario_89,356544.27354937745,3541.395270642133,353002.8782787353,347030.8183515454,9513.455197832081,5972.0599271899555
952,scenario_89,357544.9726424625,7256.618596511394,350288.35404595116,347030.8183515454,10514.154290917155,3257.5356944057858
958,scenario_89,348291.5251024273,1155.530736640369,347135.9943657869,347030.8183515454,1260.7067508819164,105.17601424152963
964,scenario_89,347351.5068574959,373.1461206073613,346978.3607368885,347030.8183515454,320.68850595050026,-52.45761465688702
970,scenario_89,349242.3248735966,1241.1327843450708,348001.19208925153,347030.8183515454,2211.5065220512333,970.3737377061625
971,scenario_89,348023.9217050782,987.167778163087,347036.7539269151,347030.8183515454,993.1033535328461,5.935575369745493
