development,scenario,veh_km,case_type
813,scenario_26,249202.4175942222,development
822,scenario_26,246465.32042473895,development
831,scenario_26,246673.49738183263,development
837,scenario_26,246203.61788912196,development
858,scenario_26,248733.73458624468,development
863,scenario_26,248191.9054378204,development
866,scenario_26,246503.74258564741,development
873,scenario_26,252120.62220317143,development
878,scenario_26,247728.00388265474,development
887,scenario_26,247442.1810885511,development
895,scenario_26,251601.5937761247,development
9,scenario_26,232007.9320860684,development
90,scenario_26,246074.03899067832,development
935,scenario_26,246755.48678175814,development
938,scenario_26,247664.66779017105,development
94,scenario_26,245388.38995244633,development
940,scenario_26,246750.38335952273,development
945,scenario_26,252084.8619234086,development
952,scenario_26,252802.53060250476,development
958,scenario_26,246287.01709956874,development
964,scenario_26,245601.0345536037,development
970,scenario_26,246928.91849440883,development
971,scenario_26,246091.6187424313,development
987,scenario_26,245442.41943762233,development
status_quo,scenario_26,245376.64368814207,status_quo
0,scenario_44,413392.68856549833,development
103,scenario_44,425322.05141115136,development
104,scenario_44,414792.0760163236,development
109,scenario_44,431336.9362123303,development
114,scenario_44,416355.9378725132,development
12,scenario_44,417932.28193663986,development
126,scenario_44,425211.2782973225,development
140,scenario_44,414718.3869429117,development
143,scenario_44,414338.2727413355,development
144,scenario_44,420803.7092754657,development
15,scenario_44,413499.1215806386,development
150,scenario_44,421331.64041918045,development
152,scenario_44,390831.97300513525,development
17,scenario_44,427393.2490396419,development
176,scenario_44,416253.24063951476,development
177,scenario_44,414291.42757711676,development
195,scenario_44,421635.08708776254,development
197,scenario_44,415789.2625369424,development
2,scenario_44,424298.6646652599,development
201,scenario_44,425452.33657569706,development
202,scenario_44,418676.998557987,development
206,scenario_44,415649.00336388836,development
209,scenario_44,418511.96155654255,development
227,scenario_44,415061.01230340236,development
233,scenario_44,415504.7740688053,development
240,scenario_44,415170.8185502082,development
243,scenario_44,427046.2252520249,development
245,scenario_44,421660.21779201715,development
249,scenario_44,425536.87924591923,development
25,scenario_44,422292.2685365595,development
250,scenario_44,417279.7791438319,development
254,scenario_44,386868.5163222962,development
255,scenario_44,416195.03718632506,development
261,scenario_44,417819.82971976284,development
267,scenario_44,414955.5859248076,development
27,scenario_44,422026.1531607234,development
270,scenario_44,416446.4812555811,development
273,scenario_44,415482.0398550804,development
277,scenario_44,420789.8929645648,development
28,scenario_44,429358.4206426172,development
284,scenario_44,416217.90795989736,development
285,scenario_44,425862.7769819362,development
289,scenario_44,425339.01394443755,development
308,scenario_44,419571.43508188304,development
331,scenario_44,425690.1023473025,development
334,scenario_44,412938.80871305574,development
348,scenario_44,428842.33385843126,development
351,scenario_44,425036.9377334724,development
356,scenario_44,420106.2486926251,development
358,scenario_44,424391.6251021259,development
390,scenario_44,418869.16493300244,development
392,scenario_44,414396.26227710076,development
394,scenario_44,416676.81689015194,development
423,scenario_44,414353.80310473137,development
459,scenario_44,420953.1777892738,development
464,scenario_44,414239.2178848509,development
469,scenario_44,421335.0374423586,development
486,scenario_44,425872.3210345959,development
493,scenario_44,414268.83694628853,development
499,scenario_44,421026.47902596206,development
517,scenario_44,415191.9831775576,development
521,scenario_44,430054.86872222944,development
531,scenario_44,422531.7078697667,development
533,scenario_44,417157.2104550568,development
538,scenario_44,416010.15792796,development
540,scenario_44,415868.61418257403,development
546,scenario_44,415278.82399785914,development
550,scenario_44,416724.16968832264,development
552,scenario_44,416802.3851421016,development
556,scenario_44,415665.8579388866,development
557,scenario_44,386450.4303533888,development
558,scenario_44,426930.2246613806,development
564,scenario_44,425503.08365204657,development
565,scenario_44,418806.6676502913,development
569,scenario_44,415630.9591636952,development
57,scenario_44,414558.9203794694,development
594,scenario_44,420127.295145927,development
602,scenario_44,418755.3346452756,development
612,scenario_44,431326.31178934604,development
614,scenario_44,416049.3189149018,development
62,scenario_44,414484.60679283,development
625,scenario_44,417024.8116939617,development
627,scenario_44,416461.150036276,development
628,scenario_44,416310.06649178785,development
629,scenario_44,415713.67688230507,development
63,scenario_44,426153.43941535614,development
648,scenario_44,416597.06742892467,development
662,scenario_44,429962.00621954125,development
669,scenario_44,413148.10462031455,development
670,scenario_44,417274.1438558558,development
673,scenario_44,413628.4488482108,development
678,scenario_44,422745.28227811155,development
680,scenario_44,418730.2823693891,development
682,scenario_44,426950.39650737774,development
689,scenario_44,425849.92923789966,development
694,scenario_44,417273.79155912745,development
726,scenario_44,416297.9582171488,development
73,scenario_44,418082.4926402375,development
736,scenario_44,414300.9569727558,development
750,scenario_44,426181.5484500102,development
755,scenario_44,417508.2260746812,development
759,scenario_44,431336.36284639244,development
761,scenario_44,414176.9845323946,development
764,scenario_44,420223.58733184775,development
767,scenario_44,414192.97350976465,development
770,scenario_44,414430.9313191632,development
775,scenario_44,425499.47631625494,development
776,scenario_44,417116.6869922192,development
780,scenario_44,416262.563399197,development
789,scenario_44,426986.5818070303,development
791,scenario_44,418768.2662852346,development
809,scenario_44,418976.2968391595,development
810,scenario_44,419968.67071887327,development
811,scenario_44,414536.79301888164,development
813,scenario_44,420685.4474114331,development
822,scenario_44,416066.20115786523,development
831,scenario_44,416435.83182621707,development
837,scenario_44,415633.3071229635,development
858,scenario_44,419912.6201989772,development
863,scenario_44,418985.0463258528,development
866,scenario_44,416134.90535963804,development
873,scenario_44,425631.86012404173,development
878,scenario_44,418194.06200301787,development
887,scenario_44,417733.1473522846,development
895,scenario_44,424746.55530285987,development
9,scenario_44,391629.09637561836,development
90,scenario_44,415415.3067948875,development
935,scenario_44,416549.2444277605,development
938,scenario_44,418087.3289503758,development
94,scenario_44,414212.44819941645,development
940,scenario_44,416547.13067972835,development
945,scenario_44,425583.72212181566,development
952,scenario_44,426777.6837588686,development
958,scenario_44,415724.3866285492,development
964,scenario_44,414611.82543789846,development
970,scenario_44,416869.25738143653,development
971,scenario_44,415404.01946630393,development
987,scenario_44,414288.4035040159,development
status_quo,scenario_44,414226.4009526994,status_quo
0,scenario_64,511650.1194448409,development
103,scenario_64,526432.7436670231,development
104,scenario_64,513393.52566402167,development
109,scenario_64,533889.7961584552,development
114,scenario_64,515322.5431721416,development
12,scenario_64,517284.94607832504,development
126,scenario_64,526296.7536693572,development
140,scenario_64,513299.0402082651,development
143,scenario_64,512819.0110809889,development
144,scenario_64,520835.78586614906,development
15,scenario_64,511781.92599328165,development
150,scenario_64,521495.1115913539,development
152,scenario_64,483694.74975138874,development
17,scenario_64,528990.3442243107,development
176,scenario_64,515202.73254976503,development
177,scenario_64,512762.91019898903,development
195,scenario_64,521872.46402919234,development
197,scenario_64,514623.55425458,development
2,scenario_64,525163.9781524024,development
201,scenario_64,526594.9352417078,development
202,scenario_64,518202.5459584382,development
206,scenario_64,514450.4712776357,development
209,scenario_64,517996.87212990347,development
227,scenario_64,513717.8707029354,development
233,scenario_64,514274.7537822088,development
240,scenario_64,513854.62424053147,development
243,scenario_64,528580.0330022448,development
245,scenario_64,521893.4163141199,development
249,scenario_64,526699.7290192306,development
25,scenario_64,522680.96451667027,development
250,scenario_64,516469.8835795766,development
254,scenario_64,478792.68476120604,development
255,scenario_64,515131.22640647826,development
261,scenario_64,517142.2975429723,development
267,scenario_64,513601.346254682,development
27,scenario_64,522349.0040907079,development
270,scenario_64,515442.89845377643,development
273,scenario_64,514238.7763550548,development
277,scenario_64,520819.18886744446,development
28,scenario_64,531429.2944906682,development
284,scenario_64,515154.8514704619,development
285,scenario_64,527103.9069656065,development
289,scenario_64,526454.7220272495,development
308,scenario_64,519315.78406526294,development
331,scenario_64,526888.4729678908,development
334,scenario_64,511089.66640730645,development
348,scenario_64,530801.9743184182,development
351,scenario_64,526102.1448926941,development
356,scenario_64,519972.32880051184,development
358,scenario_64,525279.2570593972,development
390,scenario_64,518441.1480413031,development
392,scenario_64,512890.7495220406,development
394,scenario_64,515721.62322240847,development
423,scenario_64,512844.3405822945,development
459,scenario_64,521027.30036686256,development
464,scenario_64,512697.4507469544,development
469,scenario_64,521494.6192340379,development
486,scenario_64,527116.2300091994,development
493,scenario_64,512734.23517055094,development
499,scenario_64,521109.0883979956,development
517,scenario_64,513878.9675385865,development
521,scenario_64,532300.8831639874,development
531,scenario_64,522984.4991870303,development
533,scenario_64,516309.6874926093,development
538,scenario_64,514880.57698542834,development
540,scenario_64,514717.51044325146,development
546,scenario_64,514000.5781149451,development
550,scenario_64,515762.8393789694,development
552,scenario_64,515882.4369483663,development
556,scenario_64,514478.2660308007,development
557,scenario_64,478266.86155597115,development
558,scenario_64,528421.3394660217,development
564,scenario_64,526656.443919244,development
565,scenario_64,518370.0813218192,development
569,scenario_64,514425.59201212734,development
57,scenario_64,513092.9208068963,development
594,scenario_64,520005.9006566873,development
602,scenario_64,518306.58138397534,development
612,scenario_64,533876.6792336595,development
614,scenario_64,514943.60320069996,development
62,scenario_64,513001.34767699114,development
625,scenario_64,516157.09451761935,development
627,scenario_64,515454.7393966115,development
628,scenario_64,515279.3056731428,development
629,scenario_64,514527.4796943989,development
63,scenario_64,527464.6161012129,development
648,scenario_64,515630.42921612493,development
662,scenario_64,532184.1561838475,development
669,scenario_64,511351.2011801452,development
670,scenario_64,516462.529870682,development
673,scenario_64,511942.1600074781,development
678,scenario_64,523228.1266672175,development
680,scenario_64,518274.7066586222,development
682,scenario_64,528446.3338438013,development
689,scenario_64,527085.774999584,development
694,scenario_64,516462.13163154304,development
726,scenario_64,515271.49780732155,development
73,scenario_64,517473.0280176924,development
736,scenario_64,512757.74100576056,development
750,scenario_64,527496.3509386219,development
755,scenario_64,516753.32810944197,development
759,scenario_64,533888.5100299737,development
761,scenario_64,512621.4221998064,development
764,scenario_64,520123.8465349004,development
767,scenario_64,512638.19968492124,development
770,scenario_64,512937.09984749614,development
775,scenario_64,526652.069063009,development
776,scenario_64,516284.57836552017,development
