development,scenario,veh_km,status_quo_veh_km,delta_veh_km,delta_pct
625,scenario_75,417855.047448287,415051.19567632925,2803.851771957765,0.675543595866256
627,scenario_75,417290.9890427971,415051.19567632925,2239.7933664678712,0.5396426729522149
628,scenario_75,417139.50312434754,415051.19567632925,2088.307448018284,0.5031445445218801
629,scenario_75,416541.8983218684,415051.19567632925,1490.7026455391315,0.3591611495324136
63,scenario_75,427003.450060547,415051.19567632925,11952.254384217726,2.8797060480072663
648,scenario_75,417427.3328326407,415051.19567632925,2376.1371563114226,0.5724925457543829
662,scenario_75,430820.3899057239,415051.19567632925,15769.194229394663,3.79933714049387
669,scenario_75,413971.14108558936,415051.19567632925,-1080.0545907398919,-0.2602220164623148
670,scenario_75,418105.68390746135,415051.19567632925,3054.488231132098,0.7359304738671538
673,scenario_75,414452.1455730658,415051.19567632925,-599.0501032634638,-0.14433161728092528
678,scenario_75,423587.3305713951,415051.19567632925,8536.134895065858,2.056646260506769
680,scenario_75,419565.01927362185,415051.19567632925,4513.82359729259,1.087534175136462
682,scenario_75,427801.6227075274,415051.19567632925,12750.427031198167,3.072013082728564
689,scenario_75,426698.97621330846,415051.19567632925,11647.780536979204,2.8063479055876592
694,scenario_75,418104.5481243428,415051.19567632925,3053.352448013553,0.7356568249461589
726,scenario_75,417128.2181727974,415051.19567632925,2077.0224964681547,0.5004256145036831
73,scenario_75,418915.9638443175,415051.19567632925,3864.7681679882226,0.9311545679781869
736,scenario_75,415125.7338136744,415051.19567632925,74.53813734516734,0.017958781500124785
750,scenario_75,427031.26895027386,415051.19567632925,11980.07327394461,2.8864085680859164
755,scenario_75,418340.45744392544,415051.19567632925,3289.261767596181,0.7924954323372813
759,scenario_75,432197.87579813495,415051.19567632925,17146.680121805693,4.131220509765076
761,scenario_75,415001.6306109235,415051.19567632925,-49.565065405739006,-0.011941916062902153
764,scenario_75,421061.4728413987,415051.19567632925,6010.277165069419,1.4480809181324306
767,scenario_75,415017.5321528641,415051.19567632925,-33.66352346516214,-0.00811069184135397
770,scenario_75,415256.2042017524,415051.19567632925,205.0085254231235,0.04939355133986796
775,scenario_75,426347.73143052694,415051.19567632925,11296.535754197685,2.7217210483612484
776,scenario_75,417948.40427113464,415051.19567632925,2897.2085948053864,0.6980364410429807
780,scenario_75,417090.3869185048,415051.19567632925,2039.191242175526,0.4913107740486442
789,scenario_75,427838.16728942684,415051.19567632925,12786.971613097587,3.080817919886031
791,scenario_75,419600.68337526976,415051.19567632925,4549.487698940502,1.0961268745478676
809,scenario_75,419809.0840521553,415051.19567632925,4757.888375826064,1.146337710959499
810,scenario_75,420806.2743703204,415051.19567632925,5755.0786939911195,1.3865948957485046
811,scenario_75,415362.2397282237,415051.19567632925,311.0440518944524,0.07494112898231835
813,scenario_75,421523.0763397293,415051.19567632925,6471.88066340005,1.5592969568137418
822,scenario_75,416894.39809735987,415051.19567632925,1843.2024210306117,0.4440903773393783
831,scenario_75,417265.56934484513,415051.19567632925,2214.37366851588,0.5335182000638596
837,scenario_75,416460.37858028203,415051.19567632925,1409.1829039527802,0.3395202612671686
858,scenario_75,420750.2105842135,415051.19567632925,5699.014907884237,1.3730872160475642
863,scenario_75,419819.63329298334,415051.19567632925,4768.43761665409,1.1488793831526933
866,scenario_75,416963.04461598676,415051.19567632925,1911.8489396575023,0.46062966679137723
873,scenario_75,426480.5561752493,415051.19567632925,11429.360498920025,2.753723063077987
878,scenario_75,419025.3254253755,415051.19567632925,3974.129749046231,0.9575035056989428
887,scenario_75,418566.0713067571,415051.19567632925,3514.8756304278504,0.8468535127817984
895,scenario_75,425593.1718028241,415051.19567632925,10541.976126494817,2.539921878629113
9,scenario_75,392404.09366454877,415051.19567632925,-22647.102011780487,-5.456459889213631
90,scenario_75,416242.09937684814,415051.19567632925,1190.9037005188875,0.2869293506258428
935,scenario_75,417378.17413010914,415051.19567632925,2326.978453779884,0.5606485363782784
938,scenario_75,418919.46698126564,415051.19567632925,3868.271304936381,0.9319985932417331
94,scenario_75,415037.25062805467,415051.19567632925,-13.945048274588771,-0.0033598381163232657
940,scenario_75,417376.08049307263,415051.19567632925,2324.8848167433753,0.5601441077539739
945,scenario_75,426434.58121288626,415051.19567632925,11383.385536557005,2.742646125379229
952,scenario_75,427628.94795408513,415051.19567632925,12577.752277755877,3.030409840709007
958,scenario_75,416551.15113767394,415051.19567632925,1499.9554613446817,0.36139046868675856
964,scenario_75,415437.27392180654,415051.19567632925,386.07824547728524,0.09301942736200715
970,scenario_75,417700.63722529646,415051.19567632925,2649.44154896721,0.6383409026565805
971,scenario_75,416231.45531644125,415051.19567632925,1180.2596401119954,0.28436483315961847
987,scenario_75,415112.91586692794,415051.19567632925,61.72019059868762,0.014870500613331346
0,scenario_78,560929.3478952495,562067.9056858013,-1138.5577905518003,-0.20256587843467078
103,scenario_78,577135.3479245735,562067.9056858013,15067.442238772172,2.680715637087976
104,scenario_78,562844.7842940835,562067.9056858013,776.8786082821898,0.1382179271264901
109,scenario_78,585306.321420459,562067.9056858013,23238.41573465767,4.134449859097284
114,scenario_78,564952.3557639807,562067.9056858013,2884.4500781793613,0.5131853373944079
12,scenario_78,567107.4072875298,562067.9056858013,5039.501601728494,0.8966001350992634
126,scenario_78,576986.6534839165,562067.9056858013,14918.747798115248,2.6542607480696296
140,scenario_78,562740.0952690733,562067.9056858013,672.1895832719747,0.11959223724966285
143,scenario_78,562209.8539147652,562067.9056858013,141.9482289638836,0.025254640503034404
144,scenario_78,570997.0062737385,562067.9056858013,8929.100587937166,1.5886159835158027
15,scenario_78,561073.6317858641,562067.9056858013,-994.273899937165,-0.1768956899832258
150,scenario_78,571722.8997598405,562067.9056858013,9654.994074039161,1.717762920880302
152,scenario_78,530295.5997703313,562067.9056858013,-31772.305915470002,-5.652752202014337
17,scenario_78,579939.1097888855,562067.9056858013,17871.204103084165,3.179545375621261
