development,scenario,origin_access_savings,destination_access_savings,access_savings,network_savings,total_tts,positive_tts,monetized_savings_yearly,monetized_savings
209,scenario_19,-116.27833899530378,-116.27833899530378,-232.55667799060757,10474.478314091915,10241.921636101324,True,3349961.868474808,167498093.42374042
28,scenario_30,1069.2720933790915,1069.2720933790915,2138.544186758183,7289.867637038231,9428.41182379634,True,3083876.3673667195,154193818.36833596
770,scenario_19,94.36888811193056,94.36888811193056,188.73777622386112,8320.308942801785,8509.046719025355,True,2783167.3643478765,139158368.21739382
761,scenario_30,33.35173633544764,33.351736335444,66.70347267089164,8098.467035970651,8165.170508641517,True,2670691.187201496,133534559.3600748
0,scenario_29,231.73125080742463,231.73125080742105,463.4625016148457,7422.009644976933,7885.472146591754,True,2579206.514614386,128960325.7307193
423,scenario_29,201.4885451002556,201.48854510024464,402.97709020050024,7212.75293824356,7615.73002844397,True,2490978.363470215,124548918.17351076
813,scenario_29,1149.3094244887434,1149.3094244887398,2298.618848977483,5231.601301633287,7530.220150610898,True,2463009.507595648,123150475.37978238
669,scenario_29,114.56106719136731,114.56106719136368,229.122134382731,7135.805899830302,7364.928034213139,True,2408945.211190548,120447260.55952737
863,scenario_19,-97.2301167516962,-97.2301167516962,-194.4602335033924,7384.824789508013,7190.364556004526,True,2351848.4068598137,117592420.34299068
57,scenario_30,1168.2492274720937,1168.2492274720937,2336.4984549441874,4371.181318891933,6707.679773836164,True,2193970.259358912,109698512.9679456
673,scenario_30,71.53557131152411,71.53557131152047,143.07114262304458,6515.3351791074965,6658.406321730465,True,2177853.734399339,108892686.71996696
540,scenario_30,326.1548341710186,326.15483417102223,652.3096683420408,5966.876221851213,6619.18589019333,True,2165025.3849174017,108251269.24587008
62,scenario_19,93.61738339918156,93.61738339918156,187.23476679836313,6376.4316439265385,6563.666410724632,True,2146865.8885078486,107343294.42539243
767,scenario_30,149.6096546920489,149.60965469205257,299.2193093841015,6019.537497167941,6318.756806552177,True,2066760.0388097744,103338001.94048873
938,scenario_29,782.9932137518699,782.9932137518663,1565.9864275037362,4457.729119968601,6023.715547472239,True,1970256.9603190443,98512848.01595224
694,scenario_30,120.19846113448511,120.19846113448148,240.3969222689666,5434.692666400457,5675.089588669362,True,1856227.2196272705,92811360.9813635
15,scenario_29,146.95863750628268,146.95863750627905,293.91727501256173,5304.726515794406,5598.6437908068765,True,1831223.0732430825,91561153.66215412
680,scenario_19,104.0289191242955,104.02891912429914,208.05783824859463,5190.565021185903,5398.6228594344575,True,1765799.5602733537,88289978.01366769
780,scenario_19,307.5442303761083,307.5442303761083,615.0884607522166,4769.713879237417,5384.802339989692,True,1761279.0987049616,88063954.93524808
958,scenario_19,139.7654982848071,139.76549828480347,279.5309965696106,4916.568831124809,5196.099827694241,True,1699557.6519749912,84977882.59874956
17,scenario_30,1006.8203266332494,1006.8203266332494,2013.6406532664987,3095.6042242331896,5109.244877499761,True,1671148.8453488802,83557442.26744401
602,scenario_19,-203.520865730301,-203.5208657302937,-407.04173146059475,5491.72325630323,5084.681524842279,True,1663114.5820838287,83155729.10419144
550,scenario_19,311.99274125574084,311.9927412557372,623.985482511478,4459.818790212972,5083.804272724083,True,1662827.6475368354,83141382.37684177
12,scenario_19,75.48102300556275,75.48102300555911,150.96204601112186,4855.24428749783,5006.206333508715,True,1637446.6549184755,81872332.74592377
538,scenario_19,182.58317399102447,182.58317399102816,365.1663479820526,4478.623546218034,4843.78989419993,True,1584322.944561227,79216147.22806135
176,scenario_29,15.316773517766704,15.316773517766704,30.633547035533407,4795.070507157245,4825.704054192756,True,1578407.3677255472,78920368.38627736
