development,n_municipalities,base_total_accessibility,dev_total_accessibility,delta_total_accessibility,delta_pct_total_accessibility,base_mean_accessibility,dev_mean_accessibility,delta_mean_accessibility,n_improved,n_worsened,n_unchanged,base_valid_total
101007,162,1165501.9255386724,1088716.2381884342,76785.68735023821,6.588207678399962,7194.456330485632,6720.470606101446,473.98572438418614,114,1,47,162
101015,162,1165501.9255386724,1088905.2804628008,76596.64507587161,6.571987861836447,7194.456330485632,6721.637533720992,472.81879676463996,115,0,47,162
101022,162,1165501.9255386724,1088946.7894010185,76555.13613765384,6.568426397259837,7194.456330485632,6721.893761734682,472.56256875095005,115,0,47,162
100004,162,1165501.9255386724,1089085.7838502603,76416.14168841206,6.556500681291796,7194.456330485632,6722.7517521621,471.7045783235317,115,0,47,162
100002,162,1165501.9255386724,1089089.136343116,76412.78919555643,6.556213037592359,7194.456330485632,6722.772446562444,471.68388392318775,113,2,47,162
100001,162,1165501.9255386724,1089089.981238787,76411.9442998853,6.556140545591049,7194.456330485632,6722.777661967822,471.67866851781037,115,0,47,162
100005,162,1165501.9255386724,1089829.498184981,75672.42735369131,6.4926900329844575,7194.456330485632,6727.342581388772,467.1137490968604,113,2,47,162
101003,162,1165501.9255386724,1089830.3842718466,75671.54126682575,6.492614006780969,7194.456330485632,6727.3480510607815,467.1082794248505,113,2,47,162
101013,162,1165501.9255386724,1090112.5999839795,75389.32555469288,6.468399914470274,7194.456330485632,6729.090123357898,465.366207127734,112,3,47,162
101008,162,1165501.9255386724,1090203.5731173605,75298.3524213119,6.46059442471624,7194.456330485632,6729.651685909633,464.8046445759992,113,2,47,162
101024,162,1165501.9255386724,1090396.775249978,75105.1502886943,6.444017692547541,7194.456330485632,6730.844291666531,463.61203881910114,114,1,47,162
101028,162,1165501.9255386724,1090998.6652092242,74503.26032944815,6.392375567720679,7194.456330485632,6734.559661785334,459.8966687002976,113,2,47,162
101026,162,1165501.9255386724,1091028.8057896725,74473.11974899983,6.389789507604614,7194.456330485632,6734.745714751065,459.710615734567,112,3,47,162
101010,162,1165501.9255386724,1091129.9993278987,74371.92621077364,6.381107107686707,7194.456330485632,6735.370366221597,459.0859642640353,112,3,47,162
101031,162,1165501.9255386724,1091170.0424731243,74331.88306554803,6.37767140806681,7194.456330485632,6735.617546130397,458.83878435523457,112,3,47,162
100003,162,1165501.9255386724,1091967.2739776957,73534.65156097664,6.3092689895806355,7194.456330485632,6740.538728257381,453.91760222825087,112,3,47,162
101021,162,1165501.9255386724,1092486.058507646,73015.8670310264,6.264757305937516,7194.456330485632,6743.741101899049,450.7152285865832,112,3,47,162
100000,162,1165501.9255386724,1095555.3810863513,69946.54445232102,6.0014096004168405,7194.456330485632,6762.68753757007,431.7687929155618,115,0,47,162
101002,162,1165501.9255386724,1097024.9884578409,68476.9370808315,5.875317370169319,7194.456330485632,6771.759188011363,422.69714247426873,112,3,47,162
101016,162,1165501.9255386724,1097997.4019245722,67504.52361410018,5.791884349131461,7194.456330485632,6777.761740275137,416.69459021049533,112,3,47,162
